"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"ecoj","P423_00005","K12524","thrA","bifunctional aspartokinase / homoserine dehydrogenase 1","0.4044","0.3181","Escherichia coli JJ1886"
"ecoj","P423_00010","K00872","thrB1","homoserine kinase","0.0895","0.1017","Escherichia coli JJ1886"
"ecoj","P423_00015","K01733","thrC","threonine synthase","0.1110","0.1922","Escherichia coli JJ1886"
"ecoj","P423_00035","K00616","E2.2.1.2, talA, talB","transaldolase","0.2499","0.2247","Escherichia coli JJ1886"
"ecoj","P423_00040","K03831","mogA","molybdopterin adenylyltransferase","0.0106","0.0170","Escherichia coli JJ1886"
"ecoj","P423_00060","K04043","dnaK","molecular chaperone DnaK","0.3525","0.3257","Escherichia coli JJ1886"
"ecoj","P423_00110","K02968","RP-S20, rpsT","small subunit ribosomal protein S20","0.2265","0.4557","Escherichia coli JJ1886"
"ecoj","P423_00120","K11753","ribF","riboflavin kinase / FMN adenylyltransferase","0.6293","0.5031","Escherichia coli JJ1886"
"ecoj","P423_00125","K01870","IARS, ileS","isoleucyl-tRNA synthetase","0.7341","0.5753","Escherichia coli JJ1886"
"ecoj","P423_00130","K03101","lspA","signal peptidase II","0.2338","0.2223","Escherichia coli JJ1886"
"ecoj","P423_00140","K03527","ispH, lytB","4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase","0.5261","0.3796","Escherichia coli JJ1886"
"ecoj","P423_00155","K00215","dapB","4-hydroxy-tetrahydrodipicolinate reductase","0.5376","0.5651","Escherichia coli JJ1886"
"ecoj","P423_00160","K01956","carA, CPA1","carbamoyl-phosphate synthase small subunit","0.4583","0.4389","Escherichia coli JJ1886"
"ecoj","P423_00165","K01955","carB, CPA2","carbamoyl-phosphate synthase large subunit","0.4583","0.4389","Escherichia coli JJ1886"
"ecoj","P423_00240","K00287","folA","dihydrofolate reductase","0.7829","0.7222","Escherichia coli JJ1886"
"ecoj","P423_00255","K01525","apaH","bis(5-nucleosyl)-tetraphosphatase (symmetrical)","0.0000 ","0.0339","Escherichia coli JJ1886"
"ecoj","P423_00270","K00097","pdxA","4-hydroxythreonine-4-phosphate dehydrogenase","0.2365","0.1560","Escherichia coli JJ1886"
"ecoj","P423_00305","K03077","ulaF, sgaE","L-ribulose-5-phosphate 4-epimerase","0.0000 ","0.0000 ","Escherichia coli JJ1886"
"ecoj","P423_00310","K01804","araA","L-arabinose isomerase","0.0000 ","4.31E-","Escherichia coli JJ1886"
"ecoj","P423_00315","K00853","araB","L-ribulokinase","0.0000 ","4.31E-","Escherichia coli JJ1886"
"ecoj","P423_00330","K01714","dapA","4-hydroxy-tetrahydrodipicolinate synthase","0.4899","0.3442","Escherichia coli JJ1886"
"ecoj","P423_00355","K02062","thiQ","thiamine transport system ATP-binding protein","0.0039","0.0070","Escherichia coli JJ1886"
"ecoj","P423_00360","K02063","thiP","thiamine transport system permease protein","0.0035","0.0095","Escherichia coli JJ1886"
"ecoj","P423_00365","K02064","thiB, tbpA","thiamine transport system substrate-binding protein","0.0000 ","0.0073","Escherichia coli JJ1886"
"ecoj","P423_00380","K01704","leuD, IPMI-S","3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit","0.0482","0.0748","Escherichia coli JJ1886"
"ecoj","P423_00385","K01703","leuC, IPMI-L","3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit","0.0463","0.0763","Escherichia coli JJ1886"
"ecoj","P423_00390","K00052","leuB, IMDH","3-isopropylmalate dehydrogenase","0.0322","0.0634","Escherichia coli JJ1886"
"ecoj","P423_00395","K01649","leuA, IMS","2-isopropylmalate synthase","0.0107","0.0293","Escherichia coli JJ1886"
"ecoj","P423_00405","K01652","E2.2.1.6L, ilvB, ilvG, ilvI","acetolactate synthase I/II/III large subunit","0.0184","0.0311","Escherichia coli JJ1886"
"ecoj","P423_00410","K01653","E2.2.1.6S, ilvH, ilvN","acetolactate synthase I/III small subunit","0.0190","0.0562","Escherichia coli JJ1886"
"ecoj","P423_00435","K03587","ftsI","cell division protein FtsI (penicillin-binding protein 3)","0.4471","0.0687","Escherichia coli JJ1886"
"ecoj","P423_00440","K01928","murE","UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase","0.5681","0.4831","Escherichia coli JJ1886"
"ecoj","P423_00445","K01929","murF","UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase","0.7026","0.7733","Escherichia coli JJ1886"
"ecoj","P423_00450","K01000","mraY","phospho-N-acetylmuramoyl-pentapeptide-transferase","0.6496","0.5029","Escherichia coli JJ1886"
"ecoj","P423_00455","K01925","murD","UDP-N-acetylmuramoylalanine--D-glutamate ligase","0.5987","0.7314","Escherichia coli JJ1886"
"ecoj","P423_00465","K02563","murG","UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase","0.7026","0.5912","Escherichia coli JJ1886"
"ecoj","P423_00470","K01924","murC","UDP-N-acetylmuramate--alanine ligase","0.8149","0.6201","Escherichia coli JJ1886"
"ecoj","P423_00475","K01921","ddl","D-alanine-D-alanine ligase","0.5987","0.5198","Escherichia coli JJ1886"
"ecoj","P423_00495","K02535","lpxC","UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase","0.4346","0.2421","Escherichia coli JJ1886"
"ecoj","P423_00500","K13301","secM","secretion monitor","0.0051","0.0794","Escherichia coli JJ1886"
"ecoj","P423_00505","K03070","secA","preprotein translocase subunit SecA","0.3906","0.4886","Escherichia coli JJ1886"
"ecoj","P423_00525","K00859","coaE","dephospho-CoA kinase","0.5800","0.5125","Escherichia coli JJ1886"
"ecoj","P423_00530","K00364","E1.7.1.7, guaC","GMP reductase","0.0000 ","0.0331","Escherichia coli JJ1886"
"ecoj","P423_00550","K00767","nadC, QPRT","nicotinate-nucleotide pyrophosphorylase (carboxylating)","0.0445","0.1747","Escherichia coli JJ1886"
"ecoj","P423_00615","K00163","aceE","pyruvate dehydrogenase E1 component","0.0071","0.0586","Escherichia coli JJ1886"
"ecoj","P423_00620","K00627","DLAT, aceF, pdhC","pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase)","0.0899","0.1582","Escherichia coli JJ1886"
"ecoj","P423_00625","K00382","DLD, lpd, pdhD","dihydrolipoamide dehydrogenase","0.5030","0.4139","Escherichia coli JJ1886"
"ecoj","P423_00635","K01682","acnB","aconitate hydratase 2 / 2-methylisocitrate dehydratase","0.1854","0.1720","Escherichia coli JJ1886"
"ecoj","P423_00645","K01611","speD, AMD1","S-adenosylmethionine decarboxylase","0.0000 ","0.0000 ","Escherichia coli JJ1886"
"ecoj","P423_00650","K00797","speE, SRM","spermidine synthase","0.0000 ","0.0000 ","Escherichia coli JJ1886"
"ecoj","P423_00665","K00117","gcd","quinoprotein glucose dehydrogenase","0.0029","0.0064","Escherichia coli JJ1886"
"ecoj","P423_00670","K00760","hprT, hpt, HPRT1","hypoxanthine phosphoribosyltransferase","0.1815","0.3313","Escherichia coli JJ1886"
"ecoj","P423_00675","K01673","cynT, can","carbonic anhydrase","0.0399","0.0279","Escherichia coli JJ1886"
"ecoj","P423_00700","K01579","panD","aspartate 1-decarboxylase","0.1399","0.1934","Escherichia coli JJ1886"
"ecoj","P423_00715","K01918","panC","pantoate--beta-alanine ligase","0.2338","0.2517","Escherichia coli JJ1886"
"ecoj","P423_00720","K00606","panB","3-methyl-2-oxobutanoate hydroxymethyltransferase","0.1192","0.2722","Escherichia coli JJ1886"
"ecoj","P423_00760","K00950","folK","2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase","0.4583","0.4040","Escherichia coli JJ1886"
"ecoj","P423_00765","K00970","pcnB","poly(A) polymerase","0.0234","0.1016","Escherichia coli JJ1886"
"ecoj","P423_00775","K06204","dksA","DnaK suppressor protein","0.0016","0.0112","Escherichia coli JJ1886"
"ecoj","P423_00795","K05365","mrcB","penicillin-binding protein 1B","0.0026","0.0175","Escherichia coli JJ1886"
"ecoj","P423_00825","K02013","ABC.FEV.A","iron complex transport system ATP-binding protein","0.0399","0.0544","Escherichia coli JJ1886"
"ecoj","P423_00830","K02016","ABC.FEV.S","iron complex transport system substrate-binding protein","0.0044","0.0127","Escherichia coli JJ1886"
"ecoj","P423_00835","K02015","ABC.FEV.P","iron complex transport system permease protein","0.0184","0.0354","Escherichia coli JJ1886"
"ecoj","P423_00840","K01845","hemL","glutamate-1-semialdehyde 2,1-aminomutase","0.1623","0.1170","Escherichia coli JJ1886"
"ecoj","P423_00860","K06858","ABC.VB12.S1, btuF","vitamin B12 transport system substrate-binding protein","0.0000 ","0.0127","Escherichia coli JJ1886"
"ecoj","P423_00865","K01243","mtnN, mtn, pfs","adenosylhomocysteine nucleosidase","0.0429","0.1589","Escherichia coli JJ1886"
"ecoj","P423_00870","K01129","dgt","dGTPase","0.0000 ","0.0331","Escherichia coli JJ1886"
"ecoj","P423_00875","K04771","degP, htrA","serine protease Do","0.0015","0.0052","Escherichia coli JJ1886"
"ecoj","P423_00890","K00674","dapD","2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase","0.3434","0.1480","Escherichia coli JJ1886"
"ecoj","P423_00895","K00990","glnD","[protein-PII] uridylyltransferase","0.0000 ","0.0007","Escherichia coli JJ1886"
"ecoj","P423_00905","K02967","RP-S2, MRPS2, rpsB","small subunit ribosomal protein S2","0.4440","0.5564","Escherichia coli JJ1886"
"ecoj","P423_00915","K09903","pyrH","uridylate kinase","0.8789","0.5971","Escherichia coli JJ1886"
"ecoj","P423_00925","K00099","dxr","1-deoxy-D-xylulose-5-phosphate reductoisomerase","0.5774","0.3985","Escherichia coli JJ1886"
"ecoj","P423_00930","K00806","uppS","undecaprenyl diphosphate synthase","0.6186","0.2407","Escherichia coli JJ1886"
"ecoj","P423_00935","K00981","E2.7.7.41, CDS1, CDS2, cdsA","phosphatidate cytidylyltransferase","0.8212","0.9472","Escherichia coli JJ1886"
"ecoj","P423_00940","K11749","rseP","regulator of sigma E protease","0.0563","0.0923","Escherichia coli JJ1886"
"ecoj","P423_00955","K02536","lpxD","UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase","0.5366","0.2754","Escherichia coli JJ1886"
"ecoj","P423_00960","K02372","fabZ","3-hydroxyacyl-[acyl-carrier-protein] dehydratase","0.5987","0.6766","Escherichia coli JJ1886"
"ecoj","P423_00965","K00677","lpxA","UDP-N-acetylglucosamine acyltransferase","0.4842","0.3084","Escherichia coli JJ1886"
"ecoj","P423_00970","K00748","lpxB","lipid-A-disaccharide synthase","0.4346","0.2421","Escherichia coli JJ1886"
"ecoj","P423_00975","K03470","rnhB","ribonuclease HII","0.0093","0.1015","Escherichia coli JJ1886"
"ecoj","P423_00980","K02337","DPO3A1, dnaE","DNA polymerase III subunit alpha","0.9384","0.7471","Escherichia coli JJ1886"
"ecoj","P423_00985","K01962","accA","acetyl-CoA carboxylase carboxyl transferase subunit alpha","0.6626","0.6603","Escherichia coli JJ1886"
"ecoj","P423_00990","K01582","E4.1.1.18, ldcC, cadA","lysine decarboxylase","0.0000 ","0.0108","Escherichia coli JJ1886"
"ecoj","P423_01025","K06079","cutF, nlpE","copper homeostasis protein (lipoprotein)","0.0000 ","0.0043","Escherichia coli JJ1886"
"ecoj","P423_01040","K01881","PARS, proS","prolyl-tRNA synthetase","0.6601","0.5571","Escherichia coli JJ1886"
"ecoj","P423_01050","K06080","rcsF","RcsF protein","0.0000 ","0.0210","Escherichia coli JJ1886"
"ecoj","P423_01055","K02073","metQ","D-methionine transport system substrate-binding protein","0.0000 ","0.0053","Escherichia coli JJ1886"
"ecoj","P423_01060","K02072","metI","D-methionine transport system permease protein","0.0000 ","0.0053","Escherichia coli JJ1886"
"ecoj","P423_01065","K02071","metN","D-methionine transport system ATP-binding protein","0.0000 ","0.0053","Escherichia coli JJ1886"
"ecoj","P423_01070","K03273","gmhB","D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase","0.0875","0.0999","Escherichia coli JJ1886"
"ecoj","P423_01075","K01977","16SrRNA, rrs","16S ribosomal RNA","0.0000 ","0.3104","Escherichia coli JJ1886"
"ecoj","P423_01080","K14227","tRNA-Ile","tRNA Ile","0.0000 ","0.2024","Escherichia coli JJ1886"
"ecoj","P423_01085","K14218","tRNA-Ala","tRNA Ala","0.0060","0.2024","Escherichia coli JJ1886"
"ecoj","P423_01090","K01980","23SrRNA, rrl","23S ribosomal RNA","0.0000 ","0.3104","Escherichia coli JJ1886"
"ecoj","P423_01095","K01985","5SrRNA, rrf","5S ribosomal RNA","0.0060","0.3104","Escherichia coli JJ1886"
"ecoj","P423_01100","K14221","tRNA-Asp","tRNA Asp","0.0000 ","0.2024","Escherichia coli JJ1886"
"ecoj","P423_01130","K01069","E3.1.2.6, gloB","hydroxyacylglutathione hydrolase","0.0000 ","0.0100","Escherichia coli JJ1886"
"ecoj","P423_01140","K03469","rnhA, RNASEH1","ribonuclease HI","0.0206","0.1042","Escherichia coli JJ1886"
"ecoj","P423_01145","K02342","DPO3E, dnaQ","DNA polymerase III subunit epsilon","0.8212","0.6494","Escherichia coli JJ1886"
"ecoj","P423_01150","K14221","tRNA-Asp","tRNA Asp","0.0000 ","0.2024","Escherichia coli JJ1886"
"ecoj","P423_01155","K13566","NIT2","omega-amidase","0.0000 ","0.0412","Escherichia coli JJ1886"
"ecoj","P423_01165","K06445","fadE","acyl-CoA dehydrogenase","0.0106","0.0068","Escherichia coli JJ1886"
"ecoj","P423_01170","K03271","gmhA, lpcA","D-sedoheptulose 7-phosphate isomerase","0.0472","0.0727","Escherichia coli JJ1886"
"ecoj","P423_01195","K02400","flhA","flagellar biosynthesis protein FlhA","0.0000 ","0.0007","Escherichia coli JJ1886"
"ecoj","P423_01200","K02401","flhB","flagellar biosynthetic protein FlhB","0.0000 ","0.0007","Escherichia coli JJ1886"
"ecoj","P423_01205","K02421","fliR","flagellar biosynthetic protein FliR","0.0000 ","0.0013","Escherichia coli JJ1886"
"ecoj","P423_01210","K02420","fliQ","flagellar biosynthetic protein FliQ","0.0000 ","0.0013","Escherichia coli JJ1886"
"ecoj","P423_01215","K02419","fliP","flagellar biosynthetic protein FliP","0.0000 ","0.0007","Escherichia coli JJ1886"
"ecoj","P423_01220","K02417","fliNY, fliN","flagellar motor switch protein FliN/FliY","0.0067","0.0087","Escherichia coli JJ1886"
"ecoj","P423_01225","K02416","fliM","flagellar motor switch protein FliM","0.0000 ","0.0039","Escherichia coli JJ1886"
"ecoj","P423_01235","K02408","fliE","flagellar hook-basal body complex protein FliE","0.0016","0.0053","Escherichia coli JJ1886"
"ecoj","P423_01240","K02409","fliF","flagellar M-ring protein FliF","0.0000 ","0.0013","Escherichia coli JJ1886"
"ecoj","P423_01245","K02410","fliG","flagellar motor switch protein FliG","0.0000 ","0.0039","Escherichia coli JJ1886"
"ecoj","P423_01250","K02411","fliH","flagellar assembly protein FliH","0.0000 ","0.0007","Escherichia coli JJ1886"
"ecoj","P423_01255","K02412","fliI","flagellum-specific ATP synthase","0.0000 ","0.0007","Escherichia coli JJ1886"
"ecoj","P423_01265","K00968","PCYT1","choline-phosphate cytidylyltransferase","0.0080","0.0787","Escherichia coli JJ1886"
"ecoj","P423_01290","K02399","flgN","flagella synthesis protein FlgN","0.0000 ","0.0007","Escherichia coli JJ1886"
"ecoj","P423_01295","K02398","flgM","negative regulator of flagellin synthesis FlgM","0.0000 ","0.0000 ","Escherichia coli JJ1886"
"ecoj","P423_01300","K02386","flgA","flagella basal body P-ring formation protein FlgA","0.0018","0.0048","Escherichia coli JJ1886"
"ecoj","P423_01305","K02387","flgB","flagellar basal-body rod protein FlgB","0.0000 ","0.0007","Escherichia coli JJ1886"
"ecoj","P423_01310","K02388","flgC","flagellar basal-body rod protein FlgC","0.0000 ","0.0007","Escherichia coli JJ1886"
"ecoj","P423_01315","K02389","flgD","flagellar basal-body rod modification protein FlgD","0.0000 ","0.0007","Escherichia coli JJ1886"
"ecoj","P423_01325","K02390","flgE","flagellar hook protein FlgE","0.0000 ","0.0007","Escherichia coli JJ1886"
"ecoj","P423_01330","K02391","flgF","flagellar basal-body rod protein FlgF","0.0000 ","0.0007","Escherichia coli JJ1886"
"ecoj","P423_01335","K02392","flgG","flagellar basal-body rod protein FlgG","0.0000 ","0.0007","Escherichia coli JJ1886"
"ecoj","P423_01340","K02393","flgH","flagellar L-ring protein precursor FlgH","0.0000 ","0.0007","Escherichia coli JJ1886"
"ecoj","P423_01345","K02394","flgI","flagellar P-ring protein precursor FlgI","0.0000 ","0.0007","Escherichia coli JJ1886"
"ecoj","P423_01355","K02396","flgK","flagellar hook-associated protein 1 FlgK","0.0000 ","0.0007","Escherichia coli JJ1886"
"ecoj","P423_01360","K02397","flgL","flagellar hook-associated protein 3 FlgL","0.0016","0.0053","Escherichia coli JJ1886"
"ecoj","P423_01375","K02406","fliC","flagellin","0.0016","0.0097","Escherichia coli JJ1886"
"ecoj","P423_01380","K02407","fliD","flagellar hook-associated protein 2","0.0000 ","0.0007","Escherichia coli JJ1886"
"ecoj","P423_01385","K02422","fliS","flagellar protein FliS","0.0000 ","0.0007","Escherichia coli JJ1886"
"ecoj","P423_01395","K02414","fliK","flagellar hook-length control protein FliK","0.0000 ","0.0007","Escherichia coli JJ1886"
"ecoj","P423_01405","K02405","fliA","RNA polymerase sigma factor for flagellar operon FliA","0.0000 ","0.0062","Escherichia coli JJ1886"
"ecoj","P423_01410","K02556","motA","chemotaxis protein MotA","0.0000 ","0.0000 ","Escherichia coli JJ1886"
"ecoj","P423_01415","K02557","motB","chemotaxis protein MotB","0.0016","0.0085","Escherichia coli JJ1886"
"ecoj","P423_01430","K18148","rtcB","release factor H-coupled RctB family protein","0.0000 ","2.64E-","Escherichia coli JJ1886"
"ecoj","P423_01440","K01270","pepD","dipeptidase D","0.0472","0.0460","Escherichia coli JJ1886"
"ecoj","P423_01445","K00769","gpt","xanthine phosphoribosyltransferase","0.2718","0.1143","Escherichia coli JJ1886"
"ecoj","P423_01465","K00931","proB","glutamate 5-kinase","0.0792","0.1238","Escherichia coli JJ1886"
"ecoj","P423_01470","K00147","proA","glutamate-5-semialdehyde dehydrogenase","0.0429","0.1070","Escherichia coli JJ1886"
"ecoj","P423_01475","K14234","tRNA-Thr","tRNA Thr","0.0060","0.2024","Escherichia coli JJ1886"
"ecoj","P423_01570","K02919","RP-L36, MRPL36, rpmJ","large subunit ribosomal protein L36","0.1815","0.4208","Escherichia coli JJ1886"
"ecoj","P423_01575","K02909","RP-L31, rpmE","large subunit ribosomal protein L31","0.1218","0.4008","Escherichia coli JJ1886"
"ecoj","P423_01695","K00130","betB, gbsA","betaine-aldehyde dehydrogenase","0.0000 ","0.0043","Escherichia coli JJ1886"
"ecoj","P423_01740","K00926","arcC","carbamate kinase","0.0206","0.0235","Escherichia coli JJ1886"
"ecoj","P423_01770","K03417","prpB","methylisocitrate lyase","0.0000 ","0.0099","Escherichia coli JJ1886"
"ecoj","P423_01775","K01659","prpC","2-methylcitrate synthase","0.0000 ","0.0701","Escherichia coli JJ1886"
"ecoj","P423_01780","K01720","prpD","2-methylcitrate dehydratase","0.0000 ","0.0030","Escherichia coli JJ1886"
"ecoj","P423_01785","K01908","prpE","propionyl-CoA synthetase","0.0000 ","0.0071","Escherichia coli JJ1886"
"ecoj","P423_01795","K01485","codA","cytosine deaminase","0.0000 ","0.0010","Escherichia coli JJ1886"
"ecoj","P423_01810","K01190","lacZ","beta-galactosidase","0.0000 ","0.0000 ","Escherichia coli JJ1886"
"ecoj","P423_01825","K05712","mhpA","3-(3-hydroxy-phenyl)propionate hydroxylase","0.0000 ","0.0311","Escherichia coli JJ1886"
"ecoj","P423_01830","K05713","mhpB","2,3-dihydroxyphenylpropionate 1,2-dioxygenase","0.0000 ","0.0204","Escherichia coli JJ1886"
"ecoj","P423_01835","K05714","mhpC","2-hydroxy-6-oxonona-2,4-dienedioate hydrolase","0.0000 ","0.0033","Escherichia coli JJ1886"
"ecoj","P423_01840","K02554","mhpD","2-keto-4-pentenoate hydratase","0.0000 ","0.0000 ","Escherichia coli JJ1886"
"ecoj","P423_01845","K04073","mhpF","acetaldehyde dehydrogenase","0.0206","0.0058","Escherichia coli JJ1886"
"ecoj","P423_01850","K01666","mhpE","4-hydroxy 2-oxovalerate aldolase","0.0000 ","0.0056","Escherichia coli JJ1886"
"ecoj","P423_01865","K01070","frmB, ESD, fghA","S-formylglutathione hydrolase","0.0000 ","0.0002","Escherichia coli JJ1886"
"ecoj","P423_01870","K00121","frmA, ADH5, adhC","S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase","0.0144","0.0255","Escherichia coli JJ1886"
"ecoj","P423_01880","K15551","tauA","taurine transport system substrate-binding protein","0.0000 ","0.0000 ","Escherichia coli JJ1886"
"ecoj","P423_01885","K10831","tauB","taurine transport system ATP-binding protein","0.0000 ","0.0000 ","Escherichia coli JJ1886"
