"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"nco","AAW31_00100","K02847","waaL, rfaL","O-antigen ligase","0.0141","0.0617","Nitrosomonas communis"
"nco","AAW31_00105","K21749","CMAS","N-acylneuraminate/3-deoxy-D-glycero-D-galacto-nononate cytidylyltransferase","0.0080","0.0266","Nitrosomonas communis"
"nco","AAW31_00235","K00615","E2.2.1.1, tktA, tktB","transketolase","0.4726","0.6145","Nitrosomonas communis"
"nco","AAW31_00245","K00951","relA","GTP pyrophosphokinase","0.0198","0.0641","Nitrosomonas communis"
"nco","AAW31_00260","K00381","cysI","sulfite reductase (NADPH) hemoprotein beta-component","0.0245","0.0158","Nitrosomonas communis"
"nco","AAW31_00265","K00380","cysJ","sulfite reductase (NADPH) flavoprotein alpha-component","0.0257","0.0191","Nitrosomonas communis"
"nco","AAW31_00275","K06928","NTPCR","nucleoside-triphosphatase","0.4891","0.4988","Nitrosomonas communis"
"nco","AAW31_00385","K01985","5SrRNA, rrf","5S ribosomal RNA","0.0060","0.3104","Nitrosomonas communis"
"nco","AAW31_00390","K01980","23SrRNA, rrl","23S ribosomal RNA","0.0000 ","0.3104","Nitrosomonas communis"
"nco","AAW31_00395","K14218","tRNA-Ala","tRNA Ala","0.0060","0.2024","Nitrosomonas communis"
"nco","AAW31_00400","K14227","tRNA-Ile","tRNA Ile","0.0000 ","0.2024","Nitrosomonas communis"
"nco","AAW31_00405","K01977","16SrRNA, rrs","16S ribosomal RNA","0.0000 ","0.3104","Nitrosomonas communis"
"nco","AAW31_00410","K22451","N/A","","N/A","N/A","Nitrosomonas communis"
"nco","AAW31_00420","K00975","glgC","glucose-1-phosphate adenylyltransferase","0.0018","0.0077","Nitrosomonas communis"
"nco","AAW31_00425","K00700","GBE1, glgB","1,4-alpha-glucan branching enzyme","0.0137","0.0162","Nitrosomonas communis"
"nco","AAW31_00460","K10914","crp","CRP/FNR family transcriptional regulator, cyclic AMP receptor protein","0.0000 ","5.20E-","Nitrosomonas communis"
"nco","AAW31_00505","K03111","ssb","single-strand DNA-binding protein","0.4028","0.5247","Nitrosomonas communis"
"nco","AAW31_00515","K03701","uvrA","excinuclease ABC subunit A","0.0009","0.0194","Nitrosomonas communis"
"nco","AAW31_00520","K11529","gck, gckA, GLYCTK","glycerate 2-kinase","0.0051","0.0030","Nitrosomonas communis"
