"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"lfi","LFML04_0001","K02313","dnaA","chromosomal replication initiator protein","0.5800","0.2130","Leptospirillum ferriphilum ML-04"
"lfi","LFML04_0002","K02338","DPO3B, dnaN","DNA polymerase III subunit beta","0.8789","0.9703","Leptospirillum ferriphilum ML-04"
"lfi","LFML04_0007","K10026","queE","7-carboxy-7-deazaguanine synthase","0.0013","0.1471","Leptospirillum ferriphilum ML-04"
"lfi","LFML04_0008","K06920","queC","7-cyano-7-deazaguanine synthase","0.0000 ","0.1423","Leptospirillum ferriphilum ML-04"
"lfi","LFML04_0009","K01255","CARP, pepA","leucyl aminopeptidase","0.0277","0.0512","Leptospirillum ferriphilum ML-04"
"lfi","LFML04_0045","K01673","cynT, can","carbonic anhydrase","0.0399","0.0279","Leptospirillum ferriphilum ML-04"
"lfi","LFML04_0046","K17218","sqr","sulfide:quinone oxidoreductase","0.0000 ","0.0087","Leptospirillum ferriphilum ML-04"
"lfi","LFML04_0057","K13598","ntrY","two-component system, NtrC family, nitrogen regulation sensor histidine kinase NtrY","0.0000 ","0.0007","Leptospirillum ferriphilum ML-04"
"lfi","LFML04_0058","K13599","ntrX","two-component system, NtrC family, nitrogen regulation response regulator NtrX","0.0403","0.0011","Leptospirillum ferriphilum ML-04"
"lfi","LFML04_0059","K00648","fabH","3-oxoacyl-[acyl-carrier-protein] synthase III","0.7190","0.3716","Leptospirillum ferriphilum ML-04"
"lfi","LFML04_0061","K02304","MET8","precorrin-2 dehydrogenase / sirohydrochlorin ferrochelatase","0.0127","0.0329","Leptospirillum ferriphilum ML-04"
"lfi","LFML04_0063","K14228","tRNA-Leu","tRNA Leu","0.0060","0.2024","Leptospirillum ferriphilum ML-04"
"lfi","LFML04_0066","K00762","pyrE","orotate phosphoribosyltransferase","0.0259","0.1665","Leptospirillum ferriphilum ML-04"
"lfi","LFML04_0068","K05366","mrcA","penicillin-binding protein 1A","0.0544","0.0518","Leptospirillum ferriphilum ML-04"
"lfi","LFML04_0069","K00134","GAPDH, gapA","glyceraldehyde 3-phosphate dehydrogenase","0.5166","0.5281","Leptospirillum ferriphilum ML-04"
"lfi","LFML04_0071","K00927","PGK, pgk","phosphoglycerate kinase","0.3906","0.5214","Leptospirillum ferriphilum ML-04"
"lfi","LFML04_0072","K01803","TPI, tpiA","triosephosphate isomerase (TIM)","0.5625","0.7010","Leptospirillum ferriphilum ML-04"
"lfi","LFML04_0073","K03075","secG","preprotein translocase subunit SecG","0.0644","0.3115","Leptospirillum ferriphilum ML-04"
"lfi","LFML04_0074","K02035","ABC.PE.S","peptide/nickel transport system substrate-binding protein","0.0016","0.0015","Leptospirillum ferriphilum ML-04"
"lfi","LFML04_0075","K02033","ABC.PE.P","peptide/nickel transport system permease protein","0.0016","0.0026","Leptospirillum ferriphilum ML-04"
"lfi","LFML04_0076","K02034","ABC.PE.P1","peptide/nickel transport system permease protein","0.0075","0.0026","Leptospirillum ferriphilum ML-04"
"lfi","LFML04_0077","K01091","gph","phosphoglycolate phosphatase","0.0000 ","0.0024","Leptospirillum ferriphilum ML-04"
"lfi","LFML04_0079","K02108","ATPF0A, atpB","F-type H+-transporting ATPase subunit a","0.3003","0.3956","Leptospirillum ferriphilum ML-04"
"lfi","LFML04_0081","K02109","ATPF0B, atpF","F-type H+-transporting ATPase subunit b","0.2660","0.3800","Leptospirillum ferriphilum ML-04"
"lfi","LFML04_0082","K02113","ATPF1D, atpH","F-type H+-transporting ATPase subunit delta","0.2338","0.3650","Leptospirillum ferriphilum ML-04"
"lfi","LFML04_0083","K02111","ATPF1A, atpA","F-type H+-transporting ATPase subunit alpha","0.3635","0.4331","Leptospirillum ferriphilum ML-04"
"lfi","LFML04_0084","K02115","ATPF1G, atpG","F-type H+-transporting ATPase subunit gamma","0.3262","0.4160","Leptospirillum ferriphilum ML-04"
"lfi","LFML04_0085","K02112","ATPF1B, atpD","F-type H+-transporting ATPase subunit beta","0.4028","0.4508","Leptospirillum ferriphilum ML-04"
"lfi","LFML04_0086","K02114","ATPF1E, atpC","F-type H+-transporting ATPase subunit epsilon","0.0665","0.2761","Leptospirillum ferriphilum ML-04"
"lfi","LFML04_0089","K14232","tRNA-Pro","tRNA Pro","0.0000 ","0.2024","Leptospirillum ferriphilum ML-04"
"lfi","LFML04_0096","K01061","E3.1.1.45","carboxymethylenebutenolidase","0.0000 ","0.0000 ","Leptospirillum ferriphilum ML-04"
"lfi","LFML04_0099","K03429","ugtP","processive 1,2-diacylglycerol beta-glucosyltransferase","0.0060","0.1844","Leptospirillum ferriphilum ML-04"
"lfi","LFML04_0101","K01759","GLO1, gloA","lactoylglutathione lyase","0.0000 ","0.0104","Leptospirillum ferriphilum ML-04"
"lfi","LFML04_0102","K01895","ACSS, acs","acetyl-CoA synthetase","0.0111","0.0269","Leptospirillum ferriphilum ML-04"
"lfi","LFML04_0103","K03149","thiG","thiazole synthase","0.1086","0.1495","Leptospirillum ferriphilum ML-04"
"lfi","LFML04_0104","K00788","thiE","thiamine-phosphate pyrophosphorylase","0.1443","0.1297","Leptospirillum ferriphilum ML-04"
"lfi","LFML04_0106","K00941","thiD","hydroxymethylpyrimidine/phosphomethylpyrimidine kinase","0.1238","0.1645","Leptospirillum ferriphilum ML-04"
"lfi","LFML04_0109","K01868","TARS, thrS","threonyl-tRNA synthetase","0.6103","0.5347","Leptospirillum ferriphilum ML-04"
"lfi","LFML04_0111","K02916","RP-L35, MRPL35, rpmI","large subunit ribosomal protein L35","0.3752","0.5158","Leptospirillum ferriphilum ML-04"
"lfi","LFML04_0112","K02887","RP-L20, MRPL20, rplT","large subunit ribosomal protein L20","0.4873","0.5756","Leptospirillum ferriphilum ML-04"
"lfi","LFML04_0113","K01890","FARSB, pheT","phenylalanyl-tRNA synthetase beta chain","0.7119","0.5803","Leptospirillum ferriphilum ML-04"
"lfi","LFML04_0114","K01889","FARSA, pheS","phenylalanyl-tRNA synthetase alpha chain","0.6601","0.5571","Leptospirillum ferriphilum ML-04"
"lfi","LFML04_0116","K02031","ABC.PE.A","peptide/nickel transport system ATP-binding protein","0.0000 ","0.0004","Leptospirillum ferriphilum ML-04"
"lfi","LFML04_0117","K01737","queD, ptpS, PTS","6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase","0.0013","0.1482","Leptospirillum ferriphilum ML-04"
"lfi","LFML04_0122","K02888","RP-L21, MRPL21, rplU","large subunit ribosomal protein L21","0.3906","0.5424","Leptospirillum ferriphilum ML-04"
"lfi","LFML04_0123","K02899","RP-L27, MRPL27, rpmA","large subunit ribosomal protein L27","0.3906","0.5424","Leptospirillum ferriphilum ML-04"
"lfi","LFML04_0125","K00931","proB","glutamate 5-kinase","0.0792","0.1238","Leptospirillum ferriphilum ML-04"
"lfi","LFML04_0126","K00147","proA","glutamate-5-semialdehyde dehydrogenase","0.0429","0.1070","Leptospirillum ferriphilum ML-04"
"lfi","LFML04_0127","K00969","nadD","nicotinate-nucleotide adenylyltransferase","0.4583","0.4141","Leptospirillum ferriphilum ML-04"
"lfi","LFML04_0136","K00826","E2.6.1.42, ilvE","branched-chain amino acid aminotransferase","0.0166","0.0653","Leptospirillum ferriphilum ML-04"
"lfi","LFML04_0137","K02335","DPO1, polA","DNA polymerase I","0.7656","0.8943","Leptospirillum ferriphilum ML-04"
