"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"ary","ATC04_00140","K04567","KARS, lysS","lysyl-tRNA synthetase, class II","0.4899","0.4350","Arthrobacter sp. YC-RL1"
"ary","ATC04_00155","K01985","5SrRNA, rrf","5S ribosomal RNA","0.0060","0.3104","Arthrobacter sp. YC-RL1"
"ary","ATC04_00160","K01980","23SrRNA, rrl","23S ribosomal RNA","0.0000 ","0.3104","Arthrobacter sp. YC-RL1"
"ary","ATC04_00165","K01977","16SrRNA, rrs","16S ribosomal RNA","0.0000 ","0.3104","Arthrobacter sp. YC-RL1"
"ary","ATC04_00195","K00459","ncd2, npd","nitronate monooxygenase","0.0017","0.1220","Arthrobacter sp. YC-RL1"
"ary","ATC04_00200","K01918","panC","pantoate--beta-alanine ligase","0.2338","0.2517","Arthrobacter sp. YC-RL1"
"ary","ATC04_00225","K13940","sulD","dihydroneopterin aldolase / 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase","0.6813","0.4175","Arthrobacter sp. YC-RL1"
"ary","ATC04_00230","K00796","folP","dihydropteroate synthase","0.5030","0.3686","Arthrobacter sp. YC-RL1"
"ary","ATC04_00235","K01495","GCH1, folE","GTP cyclohydrolase I","0.4010","0.3596","Arthrobacter sp. YC-RL1"
"ary","ATC04_00245","K00760","hprT, hpt, HPRT1","hypoxanthine phosphoribosyltransferase","0.1815","0.3313","Arthrobacter sp. YC-RL1"
"ary","ATC04_00260","K07259","dacB","serine-type D-Ala-D-Ala carboxypeptidase/endopeptidase (penicillin-binding protein 4)","0.0016","0.0145","Arthrobacter sp. YC-RL1"
"ary","ATC04_00265","K01507","ppa","inorganic pyrophosphatase","0.3722","0.1858","Arthrobacter sp. YC-RL1"
"ary","ATC04_00310","K01875","SARS, serS","seryl-tRNA synthetase","0.6103","0.5347","Arthrobacter sp. YC-RL1"
"ary","ATC04_00320","K04518","pheA2","prephenate dehydratase","0.1142","0.0816","Arthrobacter sp. YC-RL1"
"ary","ATC04_00330","K01426","E3.5.1.4, amiE","amidase","0.0000 ","0.0465","Arthrobacter sp. YC-RL1"
"ary","ATC04_00355","K01835","pgm","phosphoglucomutase","0.0858","0.1247","Arthrobacter sp. YC-RL1"
"ary","ATC04_00365","K00128","ALDH","aldehyde dehydrogenase (NAD+)","0.0018","0.0086","Arthrobacter sp. YC-RL1"
"ary","ATC04_00380","K00878","thiM","hydroxyethylthiazole kinase","0.0000 ","0.0811","Arthrobacter sp. YC-RL1"
"ary","ATC04_00385","K00788","thiE","thiamine-phosphate pyrophosphorylase","0.1443","0.1297","Arthrobacter sp. YC-RL1"
"ary","ATC04_00390","K00941","thiD","hydroxymethylpyrimidine/phosphomethylpyrimidine kinase","0.1238","0.1645","Arthrobacter sp. YC-RL1"
"ary","ATC04_00440","K05342","E2.4.1.64","alpha,alpha-trehalose phosphorylase","0.0544","0.0078","Arthrobacter sp. YC-RL1"
"ary","ATC04_00450","K01126","E3.1.4.46, glpQ, ugpQ","glycerophosphoryl diester phosphodiesterase","0.0000 ","0.0333","Arthrobacter sp. YC-RL1"
"ary","ATC04_00460","K00847","E2.7.1.4, scrK","fructokinase","0.0013","0.0090","Arthrobacter sp. YC-RL1"
"ary","ATC04_00470","K01715","crt","enoyl-CoA hydratase","0.0241","0.0208","Arthrobacter sp. YC-RL1"
"ary","ATC04_00485","K01061","E3.1.1.45","carboxymethylenebutenolidase","0.0000 ","0.0000 ","Arthrobacter sp. YC-RL1"
"ary","ATC04_00490","K01239","iunH","purine nucleosidase","0.0221","0.0143","Arthrobacter sp. YC-RL1"
"ary","ATC04_00510","K14228","tRNA-Leu","tRNA Leu","0.0060","0.2024","Arthrobacter sp. YC-RL1"
"ary","ATC04_00535","K05364","pbpA","penicillin-binding protein A","0.0000 ","0.0344","Arthrobacter sp. YC-RL1"
"ary","ATC04_00550","K01664","pabA","para-aminobenzoate synthetase component II","0.0024","0.1645","Arthrobacter sp. YC-RL1"
"ary","ATC04_00585","K03767","PPIA","peptidyl-prolyl cis-trans isomerase A (cyclophilin A)","0.0000 ","0.0178","Arthrobacter sp. YC-RL1"
"ary","ATC04_00610","K14218","tRNA-Ala","tRNA Ala","0.0060","0.2024","Arthrobacter sp. YC-RL1"
"ary","ATC04_00615","K14227","tRNA-Ile","tRNA Ile","0.0000 ","0.2024","Arthrobacter sp. YC-RL1"
"ary","ATC04_00640","K03629","recF","DNA replication and repair protein RecF","0.0047","0.0420","Arthrobacter sp. YC-RL1"
"ary","ATC04_00645","K02338","DPO3B, dnaN","DNA polymerase III subunit beta","0.8789","0.9703","Arthrobacter sp. YC-RL1"
"ary","ATC04_00650","K02313","dnaA","chromosomal replication initiator protein","0.5800","0.2130","Arthrobacter sp. YC-RL1"
"ary","ATC04_00665","K03217","yidC, spoIIIJ, OXA1, ccfA","YidC/Oxa1 family membrane protein insertase","0.5327","0.5418","Arthrobacter sp. YC-RL1"
"ary","ATC04_00695","K00384","trxB","thioredoxin reductase (NADPH)","0.1650","0.2275","Arthrobacter sp. YC-RL1"
"ary","ATC04_00715","K00970","pcnB","poly(A) polymerase","0.0234","0.1016","Arthrobacter sp. YC-RL1"
"ary","ATC04_00720","K01858","INO1, ISYNA1","myo-inositol-1-phosphate synthase","0.0080","0.0008","Arthrobacter sp. YC-RL1"
"ary","ATC04_00820","K02990","RP-S6, MRPS6, rpsF","small subunit ribosomal protein S6","0.5030","0.5709","Arthrobacter sp. YC-RL1"
"ary","ATC04_00825","K03111","ssb","single-strand DNA-binding protein","0.4028","0.5247","Arthrobacter sp. YC-RL1"
"ary","ATC04_00830","K02963","RP-S18, MRPS18, rpsR","small subunit ribosomal protein S18","0.4440","0.5564","Arthrobacter sp. YC-RL1"
