"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"hyl","LPB072_00005","K02313","dnaA","chromosomal replication initiator protein","0.5800","0.2130","Hydrogenophaga sp. LPB0072"
"hyl","LPB072_00010","K02338","DPO3B, dnaN","DNA polymerase III subunit beta","0.8789","0.9703","Hydrogenophaga sp. LPB0072"
"hyl","LPB072_00030","K06445","fadE","acyl-CoA dehydrogenase","0.0106","0.0068","Hydrogenophaga sp. LPB0072"
"hyl","LPB072_00045","K01512","acyP","acylphosphatase","0.0000 ","0.0000 ","Hydrogenophaga sp. LPB0072"
"hyl","LPB072_00055","K01631","dgoA","2-dehydro-3-deoxyphosphogalactonate aldolase","0.0000 ","0.0099","Hydrogenophaga sp. LPB0072"
"hyl","LPB072_00060","K00883","dgoK","2-dehydro-3-deoxygalactonokinase","0.0000 ","0.0038","Hydrogenophaga sp. LPB0072"
"hyl","LPB072_00065","K00547","mmuM, BHMT2","homocysteine S-methyltransferase","0.0887","0.0381","Hydrogenophaga sp. LPB0072"
"hyl","LPB072_00070","K01761","E4.4.1.11","methionine-gamma-lyase","0.0000 ","0.0794","Hydrogenophaga sp. LPB0072"
"hyl","LPB072_00090","K10017","hisP","histidine transport system ATP-binding protein","0.0000 ","0.0053","Hydrogenophaga sp. LPB0072"
"hyl","LPB072_00110","K02160","accB, bccP","acetyl-CoA carboxylase biotin carboxyl carrier protein","0.6398","0.6233","Hydrogenophaga sp. LPB0072"
"hyl","LPB072_00130","K01968","E6.4.1.4A","3-methylcrotonyl-CoA carboxylase alpha subunit","0.0000 ","0.0950","Hydrogenophaga sp. LPB0072"
"hyl","LPB072_00185","K20034","dmdB","3-(methylthio)propionyl---CoA ligase","0.0000 ","0.0090","Hydrogenophaga sp. LPB0072"
"hyl","LPB072_00200","K02342","DPO3E, dnaQ","DNA polymerase III subunit epsilon","0.8212","0.6494","Hydrogenophaga sp. LPB0072"
"hyl","LPB072_00230","K01626","E2.5.1.54, aroF, aroG, aroH","3-deoxy-7-phosphoheptulonate synthase","0.0606","0.0964","Hydrogenophaga sp. LPB0072"
"hyl","LPB072_00305","K02548","menA","1,4-dihydroxy-2-naphthoate octaprenyltransferase","0.0722","0.0758","Hydrogenophaga sp. LPB0072"
"hyl","LPB072_00385","K00799","GST, gst","glutathione S-transferase","0.0402","0.0384","Hydrogenophaga sp. LPB0072"
"hyl","LPB072_00400","K09471","puuB, ordL","gamma-glutamylputrescine oxidase","0.0000 ","0.0058","Hydrogenophaga sp. LPB0072"
"hyl","LPB072_00425","K01915","glnA, GLUL","glutamine synthetase","0.4736","0.4162","Hydrogenophaga sp. LPB0072"
"hyl","LPB072_00430","K12256","spuC","putrescine---pyruvate transaminase","0.0000 ","0.0103","Hydrogenophaga sp. LPB0072"
"hyl","LPB072_00435","K11073","potF","putrescine transport system substrate-binding protein","0.0000 ","0.0089","Hydrogenophaga sp. LPB0072"
"hyl","LPB072_00440","K11076","potG","putrescine transport system ATP-binding protein","0.0000 ","0.0065","Hydrogenophaga sp. LPB0072"
"hyl","LPB072_00445","K11075","potH","putrescine transport system permease protein","0.0000 ","0.0075","Hydrogenophaga sp. LPB0072"
"hyl","LPB072_00450","K11074","potI","putrescine transport system permease protein","0.0000 ","0.0071","Hydrogenophaga sp. LPB0072"
"hyl","LPB072_00465","K00823","puuE","4-aminobutyrate aminotransferase","0.0039","0.0172","Hydrogenophaga sp. LPB0072"
"hyl","LPB072_00590","K00449","pcaH","protocatechuate 3,4-dioxygenase, beta subunit","0.0000 ","0.0000 ","Hydrogenophaga sp. LPB0072"
"hyl","LPB072_00620","K03271","gmhA, lpcA","D-sedoheptulose 7-phosphate isomerase","0.0472","0.0727","Hydrogenophaga sp. LPB0072"
"hyl","LPB072_00630","K00020","mmsB, HIBADH","3-hydroxyisobutyrate dehydrogenase","0.0000 ","0.0024","Hydrogenophaga sp. LPB0072"
"hyl","LPB072_00680","K00104","glcD","glycolate oxidase","0.0085","0.0055","Hydrogenophaga sp. LPB0072"
"hyl","LPB072_00695","K01433","purU","formyltetrahydrofolate deformylase","0.0206","0.0571","Hydrogenophaga sp. LPB0072"
"hyl","LPB072_00740","K16171","faaH","fumarylacetoacetate (FAA) hydrolase","0.0000 ","0.0000 ","Hydrogenophaga sp. LPB0072"
"hyl","LPB072_00755","K01692","paaF, echA","enoyl-CoA hydratase","0.0091","0.0090","Hydrogenophaga sp. LPB0072"
"hyl","LPB072_00770","K00102","LDHD, dld","D-lactate dehydrogenase (cytochrome)","0.0000 ","0.0303","Hydrogenophaga sp. LPB0072"
"hyl","LPB072_00780","K00798","MMAB, pduO","cob(I)alamin adenosyltransferase","0.0067","0.0376","Hydrogenophaga sp. LPB0072"
"hyl","LPB072_00790","K10440","rbsC","ribose transport system permease protein","0.0000 ","0.0053","Hydrogenophaga sp. LPB0072"
"hyl","LPB072_00795","K10441","rbsA","ribose transport system ATP-binding protein","0.0000 ","0.0057","Hydrogenophaga sp. LPB0072"
"hyl","LPB072_00815","K01961","accC","acetyl-CoA carboxylase, biotin carboxylase subunit","0.6943","0.5149","Hydrogenophaga sp. LPB0072"
"hyl","LPB072_00855","K01246","tag","DNA-3-methyladenine glycosylase I","0.0012","0.0100","Hydrogenophaga sp. LPB0072"
"hyl","LPB072_00870","K09808","lolC_E","lipoprotein-releasing system permease protein","0.4739","0.1800","Hydrogenophaga sp. LPB0072"
"hyl","LPB072_00875","K09810","lolD","lipoprotein-releasing system ATP-binding protein","0.3618","0.0231","Hydrogenophaga sp. LPB0072"
"hyl","LPB072_00885","K01555","FAH, fahA","fumarylacetoacetase","0.0000 ","0.0203","Hydrogenophaga sp. LPB0072"
"hyl","LPB072_00925","K01907","AACS, acsA","acetoacetyl-CoA synthetase","0.0000 ","0.0040","Hydrogenophaga sp. LPB0072"
"hyl","LPB072_00950","K18028","nicX","2,5-dihydroxypyridine 5,6-dioxygenase","0.0000 ","0.1727","Hydrogenophaga sp. LPB0072"
"hyl","LPB072_00980","K00108","betA, CHDH","choline dehydrogenase","0.0000 ","0.0107","Hydrogenophaga sp. LPB0072"
"hyl","LPB072_01125","K01775","alr","alanine racemase","0.3752","0.4780","Hydrogenophaga sp. LPB0072"
"hyl","LPB072_01175","K11473","glcF","glycolate oxidase iron-sulfur subunit","0.0098","0.0044","Hydrogenophaga sp. LPB0072"
"hyl","LPB072_01180","K11472","glcE","glycolate oxidase FAD binding subunit","0.0116","0.0055","Hydrogenophaga sp. LPB0072"
"hyl","LPB072_01230","K01488","add, ADA","adenosine deaminase","0.0022","0.0066","Hydrogenophaga sp. LPB0072"
"hyl","LPB072_01235","K00077","panE, apbA","2-dehydropantoate 2-reductase","0.0526","0.2248","Hydrogenophaga sp. LPB0072"
"hyl","LPB072_01245","K00548","metH, MTR","5-methyltetrahydrofolate--homocysteine methyltransferase","0.0551","0.0781","Hydrogenophaga sp. LPB0072"
"hyl","LPB072_01265","K07794","tctB","putative tricarboxylic transport membrane protein","0.0000 ","0.0210","Hydrogenophaga sp. LPB0072"
"hyl","LPB072_01270","K07793","tctA","putative tricarboxylic transport membrane protein","0.0000 ","0.0007","Hydrogenophaga sp. LPB0072"
"hyl","LPB072_01275","K00077","panE, apbA","2-dehydropantoate 2-reductase","0.0526","0.2248","Hydrogenophaga sp. LPB0072"
"hyl","LPB072_01285","K21028","ynjE","molybdopterin synthase sulfurtransferase","0.0464","0.0578","Hydrogenophaga sp. LPB0072"
"hyl","LPB072_01310","K03654","recQ","ATP-dependent DNA helicase RecQ","0.0014","0.0359","Hydrogenophaga sp. LPB0072"
"hyl","LPB072_01320","K01951","guaA, GMPS","GMP synthase (glutamine-hydrolysing)","0.4583","0.4623","Hydrogenophaga sp. LPB0072"
"hyl","LPB072_01355","K00874","kdgK","2-dehydro-3-deoxygluconokinase","0.0018","0.0093","Hydrogenophaga sp. LPB0072"
"hyl","LPB072_01380","K01754","E4.3.1.19, ilvA, tdcB","threonine dehydratase","0.2176","0.1963","Hydrogenophaga sp. LPB0072"
"hyl","LPB072_01395","K01596","E4.1.1.32, pckA, PCK","phosphoenolpyruvate carboxykinase (GTP)","0.1577","0.0802","Hydrogenophaga sp. LPB0072"
"hyl","LPB072_01445","K00285","dadA","D-amino-acid dehydrogenase","0.0000 ","0.0022","Hydrogenophaga sp. LPB0072"
"hyl","LPB072_01455","K05515","mrdA","penicillin-binding protein 2","0.2106","0.0687","Hydrogenophaga sp. LPB0072"
"hyl","LPB072_01475","K02435","gatC, GATC","aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit C","0.4842","0.3799","Hydrogenophaga sp. LPB0072"
"hyl","LPB072_01480","K02433","gatA, QRSL1","aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A","0.5916","0.2286","Hydrogenophaga sp. LPB0072"
"hyl","LPB072_01485","K02434","gatB, PET112","aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B","0.5916","0.4150","Hydrogenophaga sp. LPB0072"
