"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"fpsz","AMR72_00085","K14219","tRNA-Arg","tRNA Arg","0.0000 ","0.2024","Flavobacterium psychrophilum Z2"
"fpsz","AMR72_00090","K00759","APRT, apt","adenine phosphoribosyltransferase","0.2016","0.1143","Flavobacterium psychrophilum Z2"
"fpsz","AMR72_00125","K00003","E1.1.1.3","homoserine dehydrogenase","0.1029","0.1079","Flavobacterium psychrophilum Z2"
"fpsz","AMR72_00130","K17217","mccB","cystathionine gamma-lyase / homocysteine desulfhydrase","0.4332","0.1844","Flavobacterium psychrophilum Z2"
"fpsz","AMR72_00155","K02371","fabK","enoyl-[acyl-carrier protein] reductase II","0.5916","0.4354","Flavobacterium psychrophilum Z2"
"fpsz","AMR72_00170","K01077","E3.1.3.1, phoA, phoB","alkaline phosphatase","0.2007","0.1265","Flavobacterium psychrophilum Z2"
"fpsz","AMR72_00180","K01586","lysA","diaminopimelate decarboxylase","0.0710","0.1073","Flavobacterium psychrophilum Z2"
"fpsz","AMR72_00190","K01903","sucC","succinyl-CoA synthetase beta subunit","0.0322","0.0831","Flavobacterium psychrophilum Z2"
"fpsz","AMR72_00395","K00575","cheR","chemotaxis protein methyltransferase CheR","0.0000 ","0.0032","Flavobacterium psychrophilum Z2"
"fpsz","AMR72_00400","K03412","cheB","two-component system, chemotaxis family, response regulator CheB","0.0000 ","0.0034","Flavobacterium psychrophilum Z2"
"fpsz","AMR72_00455","K01999","livK","branched-chain amino acid transport system substrate-binding protein","0.0000 ","0.0005","Flavobacterium psychrophilum Z2"
"fpsz","AMR72_00510","K15862","ccoNO","cytochrome c oxidase cbb3-type subunit I/II","0.0000 ","0.0089","Flavobacterium psychrophilum Z2"
"fpsz","AMR72_00520","K00406","ccoP","cytochrome c oxidase cbb3-type subunit III","0.0026","0.0093","Flavobacterium psychrophilum Z2"
"fpsz","AMR72_00560","K07646","kdpD","two-component system, OmpR family, sensor histidine kinase KdpD","0.0000 ","0.0007","Flavobacterium psychrophilum Z2"
"fpsz","AMR72_00570","K01548","kdpC","K+-transporting ATPase ATPase C chain","0.0000 ","0.0007","Flavobacterium psychrophilum Z2"
"fpsz","AMR72_00575","K01547","kdpB","K+-transporting ATPase ATPase B chain","0.0000 ","0.0007","Flavobacterium psychrophilum Z2"
"fpsz","AMR72_00580","K01546","kdpA","K+-transporting ATPase ATPase A chain","0.0000 ","0.0007","Flavobacterium psychrophilum Z2"
"fpsz","AMR72_00695","K00058","serA, PHGDH","D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase","0.1073","0.1203","Flavobacterium psychrophilum Z2"
"fpsz","AMR72_00700","K00831","serC, PSAT1","phosphoserine aminotransferase","0.1238","0.1765","Flavobacterium psychrophilum Z2"
"fpsz","AMR72_00745","K02557","motB","chemotaxis protein MotB","0.0016","0.0085","Flavobacterium psychrophilum Z2"
"fpsz","AMR72_00760","K02340","DPO3D1, holA","DNA polymerase III subunit delta","0.9384","0.9971","Flavobacterium psychrophilum Z2"
"fpsz","AMR72_00785","K00135","gabD","succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase","0.0245","0.0296","Flavobacterium psychrophilum Z2"
"fpsz","AMR72_00800","K06966","K06966","uncharacterized protein","0.0012","0.0125","Flavobacterium psychrophilum Z2"
"fpsz","AMR72_00805","K03701","uvrA","excinuclease ABC subunit A","0.0009","0.0194","Flavobacterium psychrophilum Z2"
"fpsz","AMR72_00825","K02825","pyrR","pyrimidine operon attenuation protein / uracil phosphoribosyltransferase","0.0321","0.1417","Flavobacterium psychrophilum Z2"
"fpsz","AMR72_00830","K00609","pyrB, PYR2","aspartate carbamoyltransferase catalytic subunit","0.0526","0.2378","Flavobacterium psychrophilum Z2"
