"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"lis","LIL_10001","K02313","dnaA","chromosomal replication initiator protein","0.5800","0.2130","Leptospira interrogans serovar Linhai"
"lis","LIL_10003","K02338","DPO3B, dnaN","DNA polymerase III subunit beta","0.8789","0.9703","Leptospira interrogans serovar Linhai"
"lis","LIL_10004","K03629","recF","DNA replication and repair protein RecF","0.0047","0.0420","Leptospira interrogans serovar Linhai"
"lis","LIL_10014","K02340","DPO3D1, holA","DNA polymerase III subunit delta","0.9384","0.9971","Leptospira interrogans serovar Linhai"
"lis","LIL_10019","K00059","fabG","3-oxoacyl-[acyl-carrier protein] reductase","0.7026","0.4376","Leptospira interrogans serovar Linhai"
"lis","LIL_10024","K02410","fliG","flagellar motor switch protein FliG","0.0000 ","0.0039","Leptospira interrogans serovar Linhai"
"lis","LIL_10031","K01092","E3.1.3.25, IMPA, suhB","myo-inositol-1(or 4)-monophosphatase","0.1110","0.1479","Leptospira interrogans serovar Linhai"
"lis","LIL_10033","K12308","bgaB, lacA","beta-galactosidase","0.0000 ","0.0038","Leptospira interrogans serovar Linhai"
"lis","LIL_10037","K12573","rnr, vacB","ribonuclease R","0.0090","0.0479","Leptospira interrogans serovar Linhai"
"lis","LIL_10041","K03785","aroD","3-dehydroquinate dehydratase I","0.1532","0.1315","Leptospira interrogans serovar Linhai"
"lis","LIL_10042","K06041","kdsD, kpsF","arabinose-5-phosphate isomerase","0.3297","0.1914","Leptospira interrogans serovar Linhai"
"lis","LIL_10045","K03776","aer","aerotaxis receptor","0.0031","0.0055","Leptospira interrogans serovar Linhai"
"lis","LIL_10047","K08678","UXS1, uxs","UDP-glucuronate decarboxylase","0.0000 ","0.0200","Leptospira interrogans serovar Linhai"
"lis","LIL_10048","K00324","pntA","NAD(P) transhydrogenase subunit alpha","0.4010","0.3698","Leptospira interrogans serovar Linhai"
"lis","LIL_10050","K01892","HARS, hisS","histidyl-tRNA synthetase","0.6103","0.5347","Leptospira interrogans serovar Linhai"
"lis","LIL_10057","K00640","cysE","serine O-acetyltransferase","0.0386","0.0820","Leptospira interrogans serovar Linhai"
"lis","LIL_10067","K01494","dcd","dCTP deaminase","0.3149","0.2584","Leptospira interrogans serovar Linhai"
"lis","LIL_10076","K01778","dapF","diaminopimelate epimerase","0.3297","0.2269","Leptospira interrogans serovar Linhai"
"lis","LIL_10097","K01897","ACSL, fadD","long-chain acyl-CoA synthetase","0.0000 ","0.0000 ","Leptospira interrogans serovar Linhai"
"lis","LIL_10101","K03342","pabBC","para-aminobenzoate synthetase / 4-amino-4-deoxychorismate lyase","0.0000 ","0.1423","Leptospira interrogans serovar Linhai"
"lis","LIL_10104","K01739","metB","cystathionine gamma-synthase","0.0321","0.0993","Leptospira interrogans serovar Linhai"
"lis","LIL_10113","K01693","hisB","imidazoleglycerol-phosphate dehydratase","0.0680","0.0662","Leptospira interrogans serovar Linhai"
"lis","LIL_10114","K02501","hisH","glutamine amidotransferase","0.0606","0.0888","Leptospira interrogans serovar Linhai"
"lis","LIL_10115","K01814","hisA","phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase","0.0445","0.0799","Leptospira interrogans serovar Linhai"
"lis","LIL_10119","K00941","thiD","hydroxymethylpyrimidine/phosphomethylpyrimidine kinase","0.1238","0.1645","Leptospira interrogans serovar Linhai"
"lis","LIL_10122","K06949","rsgA, engC","ribosome biogenesis GTPase / thiamine phosphate phosphatase","0.3865","0.2740","Leptospira interrogans serovar Linhai"
"lis","LIL_10133","K02584","nifA","Nif-specific regulatory protein","0.0000 ","0.0007","Leptospira interrogans serovar Linhai"
"lis","LIL_10142","K01736","aroC","chorismate synthase","0.1496","0.1733","Leptospira interrogans serovar Linhai"
"lis","LIL_10143","K00336","nuoG","NADH-quinone oxidoreductase subunit G","0.1241","0.0469","Leptospira interrogans serovar Linhai"
"lis","LIL_10144","K00338","nuoI","NADH-quinone oxidoreductase subunit I","0.1462","0.0307","Leptospira interrogans serovar Linhai"
"lis","LIL_10150","K00835","avtA","valine--pyruvate aminotransferase","0.0426","0.0521","Leptospira interrogans serovar Linhai"
"lis","LIL_10152","K02914","RP-L34, MRPL34, rpmH","large subunit ribosomal protein L34","0.3752","0.5158","Leptospira interrogans serovar Linhai"
"lis","LIL_10154","K03217","yidC, spoIIIJ, OXA1, ccfA","YidC/Oxa1 family membrane protein insertase","0.5327","0.5418","Leptospira interrogans serovar Linhai"
"lis","LIL_10157","K00029","E1.1.1.40, maeB","malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+)","0.0137","0.0262","Leptospira interrogans serovar Linhai"
"lis","LIL_10159","K01679","E4.2.1.2B, fumC","fumarate hydratase, class II","0.1043","0.1495","Leptospira interrogans serovar Linhai"
"lis","LIL_10193","K13566","NIT2","omega-amidase","0.0000 ","0.0412","Leptospira interrogans serovar Linhai"
"lis","LIL_10198","K01092","E3.1.3.25, IMPA, suhB","myo-inositol-1(or 4)-monophosphatase","0.1110","0.1479","Leptospira interrogans serovar Linhai"
