"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"osg","BST96_00205","K00605","gcvT, AMT","aminomethyltransferase","0.5261","0.3955","Oceanicoccus sagamiensis"
"osg","BST96_00235","K10805","tesB","acyl-CoA thioesterase II","0.0000 ","0.0033","Oceanicoccus sagamiensis"
"osg","BST96_00455","K01897","ACSL, fadD","long-chain acyl-CoA synthetase","0.0000 ","0.0000 ","Oceanicoccus sagamiensis"
"osg","BST96_00560","K01130","E3.1.6.1, aslA","arylsulfatase","0.0000 ","0.0000 ","Oceanicoccus sagamiensis"
"osg","BST96_00610","K03555","mutS","DNA mismatch repair protein MutS","0.0046","0.0241","Oceanicoccus sagamiensis"
"osg","BST96_00645","K01770","ispF","2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase","0.5916","0.3681","Oceanicoccus sagamiensis"
"osg","BST96_00650","K00991","ispD","2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase","0.5995","0.2651","Oceanicoccus sagamiensis"
"osg","BST96_00660","K01689","ENO, eno","enolase","0.4306","0.5736","Oceanicoccus sagamiensis"
"osg","BST96_00665","K01627","kdsA","2-dehydro-3-deoxyphosphooctonate aldolase (KDO 8-P synthase)","0.2898","0.2015","Oceanicoccus sagamiensis"
"osg","BST96_00670","K01937","pyrG, CTPS","CTP synthase","0.7895","0.5413","Oceanicoccus sagamiensis"
"osg","BST96_00680","K06131","clsA_B","cardiolipin synthase A/B","0.0144","0.0916","Oceanicoccus sagamiensis"
"osg","BST96_00695","K02406","fliC","flagellin","0.0016","0.0097","Oceanicoccus sagamiensis"
"osg","BST96_00700","K00259","ald","alanine dehydrogenase","0.3500","0.2236","Oceanicoccus sagamiensis"
"osg","BST96_00720","K18139","oprM, emhC, ttgC, cusC, adeK, smeF, mtrE, cmeC, gesC","outer membrane protein, multidrug efflux system","0.0000 ","3.47E-","Oceanicoccus sagamiensis"
"osg","BST96_00730","K03585","acrA, mexA, adeI, smeD, mtrC, cmeA","membrane fusion protein, multidrug efflux system","0.0015","0.0094","Oceanicoccus sagamiensis"
"osg","BST96_00765","K07642","baeS, smeS","two-component system, OmpR family, sensor histidine kinase BaeS","0.0000 ","0.0013","Oceanicoccus sagamiensis"
"osg","BST96_00770","K07664","baeR, smeR","two-component system, OmpR family, response regulator BaeR","0.0000 ","0.0028","Oceanicoccus sagamiensis"
"osg","BST96_00820","K01246","tag","DNA-3-methyladenine glycosylase I","0.0012","0.0100","Oceanicoccus sagamiensis"
"osg","BST96_00945","K00117","gcd","quinoprotein glucose dehydrogenase","0.0029","0.0064","Oceanicoccus sagamiensis"
"osg","BST96_00980","K01649","leuA, IMS","2-isopropylmalate synthase","0.0107","0.0293","Oceanicoccus sagamiensis"
"osg","BST96_00985","K00324","pntA","NAD(P) transhydrogenase subunit alpha","0.4010","0.3698","Oceanicoccus sagamiensis"
"osg","BST96_00990","K00324","pntA","NAD(P) transhydrogenase subunit alpha","0.4010","0.3698","Oceanicoccus sagamiensis"
"osg","BST96_00995","K00325","pntB","NAD(P) transhydrogenase subunit beta","0.4010","0.3698","Oceanicoccus sagamiensis"
"osg","BST96_01040","K17103","CHO1, pssA","CDP-diacylglycerol---serine O-phosphatidyltransferase","0.3583","0.2425","Oceanicoccus sagamiensis"
"osg","BST96_01050","K00053","ilvC","ketol-acid reductoisomerase","0.0563","0.1147","Oceanicoccus sagamiensis"
