"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"pkt","AT984_00005","K01980","23SrRNA, rrl","23S ribosomal RNA","0.0000 ","0.3104","Paucibacter sp. KCTC 42545"
"pkt","AT984_00010","K01985","5SrRNA, rrf","5S ribosomal RNA","0.0060","0.3104","Paucibacter sp. KCTC 42545"
"pkt","AT984_00025","K01897","ACSL, fadD","long-chain acyl-CoA synthetase","0.0000 ","0.0000 ","Paucibacter sp. KCTC 42545"
"pkt","AT984_00040","K00457","HPD, hppD","4-hydroxyphenylpyruvate dioxygenase","0.0000 ","0.0000 ","Paucibacter sp. KCTC 42545"
"pkt","AT984_00090","K05845","opuC","osmoprotectant transport system substrate-binding protein","0.0000 ","0.0053","Paucibacter sp. KCTC 42545"
"pkt","AT984_00095","K01996","livF","branched-chain amino acid transport system ATP-binding protein","0.0000 ","0.0002","Paucibacter sp. KCTC 42545"
"pkt","AT984_00100","K01995","livG","branched-chain amino acid transport system ATP-binding protein","0.0000 ","0.0002","Paucibacter sp. KCTC 42545"
"pkt","AT984_00105","K01997","livH","branched-chain amino acid transport system permease protein","0.0000 ","0.0000 ","Paucibacter sp. KCTC 42545"
"pkt","AT984_00115","K00857","tdk, TK","thymidine kinase","0.0402","0.0518","Paucibacter sp. KCTC 42545"
"pkt","AT984_00130","K22549","N/A","","N/A","N/A","Paucibacter sp. KCTC 42545"
"pkt","AT984_00135","K22550","N/A","","N/A","N/A","Paucibacter sp. KCTC 42545"
"pkt","AT984_00140","K21061","lhpB","D-hydroxyproline dehydrogenase","0.0000 ","0.0058","Paucibacter sp. KCTC 42545"
"pkt","AT984_00145","K12658","lhpA","4-hydroxyproline epimerase","0.0000 ","0.0037","Paucibacter sp. KCTC 42545"
"pkt","AT984_00155","K03210","yajC","preprotein translocase subunit YajC","0.1110","0.3272","Paucibacter sp. KCTC 42545"
"pkt","AT984_00160","K03072","secD","preprotein translocase subunit SecD","0.3583","0.2073","Paucibacter sp. KCTC 42545"
"pkt","AT984_00165","K03074","secF","preprotein translocase subunit SecF","0.2743","0.1805","Paucibacter sp. KCTC 42545"
"pkt","AT984_00195","K00604","MTFMT, fmt","methionyl-tRNA formyltransferase","0.5166","0.6569","Paucibacter sp. KCTC 42545"
"pkt","AT984_00225","K00927","PGK, pgk","phosphoglycerate kinase","0.3906","0.5214","Paucibacter sp. KCTC 42545"
"pkt","AT984_00240","K00029","E1.1.1.40, maeB","malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+)","0.0137","0.0262","Paucibacter sp. KCTC 42545"
"pkt","AT984_00245","K00873","PK, pyk","pyruvate kinase","0.7341","0.8327","Paucibacter sp. KCTC 42545"
"pkt","AT984_00260","K01624","FBA, fbaA","fructose-bisphosphate aldolase, class II","0.5327","0.3946","Paucibacter sp. KCTC 42545"
"pkt","AT984_00265","K01923","purC","phosphoribosylaminoimidazole-succinocarboxamide synthase","0.0544","0.0920","Paucibacter sp. KCTC 42545"
"pkt","AT984_00280","K01588","purE","5-(carboxyamino)imidazole ribonucleotide mutase","0.0526","0.0937","Paucibacter sp. KCTC 42545"
"pkt","AT984_00285","K01589","purK","5-(carboxyamino)imidazole ribonucleotide synthase","0.0429","0.0792","Paucibacter sp. KCTC 42545"
"pkt","AT984_00310","K21929","udg","uracil-DNA glycosylase","0.0000 ","0.0182","Paucibacter sp. KCTC 42545"
"pkt","AT984_00330","K00799","GST, gst","glutathione S-transferase","0.0402","0.0384","Paucibacter sp. KCTC 42545"
"pkt","AT984_00375","K16370","pfkB","6-phosphofructokinase 2","0.5261","0.3636","Paucibacter sp. KCTC 42545"
"pkt","AT984_00420","K00297","metF, MTHFR","methylenetetrahydrofolate reductase (NADPH)","0.0012","0.0130","Paucibacter sp. KCTC 42545"
"pkt","AT984_00430","K01251","E3.3.1.1, ahcY","adenosylhomocysteinase","0.0534","0.0351","Paucibacter sp. KCTC 42545"
"pkt","AT984_00445","K03413","cheY","two-component system, chemotaxis family, response regulator CheY","0.0000 ","0.0036","Paucibacter sp. KCTC 42545"
"pkt","AT984_00460","K00789","metK","S-adenosylmethionine synthetase","0.7119","0.5349","Paucibacter sp. KCTC 42545"
"pkt","AT984_00465","K02517","lpxL, htrB","Kdo2-lipid IVA lauroyltransferase","0.1623","0.0916","Paucibacter sp. KCTC 42545"
"pkt","AT984_00470","K02517","lpxL, htrB","Kdo2-lipid IVA lauroyltransferase","0.1623","0.0916","Paucibacter sp. KCTC 42545"
"pkt","AT984_00475","K01778","dapF","diaminopimelate epimerase","0.3297","0.2269","Paucibacter sp. KCTC 42545"
"pkt","AT984_00505","K00820","glmS, GFPT","glucosamine--fructose-6-phosphate aminotransferase (isomerizing)","0.6712","0.7161","Paucibacter sp. KCTC 42545"
"pkt","AT984_00525","K07644","cusS, copS, silS","two-component system, OmpR family, heavy metal sensor histidine kinase CusS","0.0000 ","0.0013","Paucibacter sp. KCTC 42545"
"pkt","AT984_00530","K07665","cusR, copR, silR","two-component system, OmpR family, copper resistance phosphate regulon response regulator CusR","0.0000 ","0.0028","Paucibacter sp. KCTC 42545"
"pkt","AT984_00540","K07127","uraH, pucM, hiuH","5-hydroxyisourate hydrolase","0.0022","0.0364","Paucibacter sp. KCTC 42545"
"pkt","AT984_00610","K00847","E2.7.1.4, scrK","fructokinase","0.0013","0.0090","Paucibacter sp. KCTC 42545"
"pkt","AT984_00630","K11903","hcp","type VI secretion system secreted protein Hcp","0.0000 ","0.0000 ","Paucibacter sp. KCTC 42545"
"pkt","AT984_00670","K01113","phoD","alkaline phosphatase D","0.1207","0.0659","Paucibacter sp. KCTC 42545"
"pkt","AT984_00680","K00823","puuE","4-aminobutyrate aminotransferase","0.0039","0.0172","Paucibacter sp. KCTC 42545"
"pkt","AT984_00685","K00135","gabD","succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase","0.0245","0.0296","Paucibacter sp. KCTC 42545"
"pkt","AT984_00695","K01006","ppdK","pyruvate, orthophosphate dikinase","0.4471","0.4267","Paucibacter sp. KCTC 42545"
"pkt","AT984_00700","K03821","phbC, phaC","polyhydroxyalkanoate synthase","0.0026","0.0034","Paucibacter sp. KCTC 42545"
"pkt","AT984_00705","K00208","fabI","enoyl-[acyl-carrier protein] reductase I","0.5376","0.5020","Paucibacter sp. KCTC 42545"
"pkt","AT984_00790","K19302","bcrC","undecaprenyl-diphosphatase","0.0000 ","0.0619","Paucibacter sp. KCTC 42545"
"pkt","AT984_00795","K03776","aer","aerotaxis receptor","0.0031","0.0055","Paucibacter sp. KCTC 42545"
"pkt","AT984_00855","K06016","pydC","beta-ureidopropionase / N-carbamoyl-L-amino-acid hydrolase","0.0044","0.1559","Paucibacter sp. KCTC 42545"
"pkt","AT984_00865","K07127","uraH, pucM, hiuH","5-hydroxyisourate hydrolase","0.0022","0.0364","Paucibacter sp. KCTC 42545"
"pkt","AT984_00885","K10914","crp","CRP/FNR family transcriptional regulator, cyclic AMP receptor protein","0.0000 ","5.20E-","Paucibacter sp. KCTC 42545"
"pkt","AT984_00895","K13482","xdhB","xanthine dehydrogenase large subunit","0.0116","0.0386","Paucibacter sp. KCTC 42545"
"pkt","AT984_00900","K13481","xdhA","xanthine dehydrogenase small subunit","0.0116","0.0386","Paucibacter sp. KCTC 42545"
"pkt","AT984_00905","K01487","E3.5.4.3, guaD","guanine deaminase","0.0116","0.0342","Paucibacter sp. KCTC 42545"
"pkt","AT984_00980","K00253","IVD, ivd","isovaleryl-CoA dehydrogenase","0.0106","0.0046","Paucibacter sp. KCTC 42545"
"pkt","AT984_00985","K17989","SDS, SDH, CHA1","L-serine/L-threonine ammonia-lyase","0.3615","0.1659","Paucibacter sp. KCTC 42545"
"pkt","AT984_00990","K01673","cynT, can","carbonic anhydrase","0.0399","0.0279","Paucibacter sp. KCTC 42545"
"pkt","AT984_01000","K00626","E2.3.1.9, atoB","acetyl-CoA C-acetyltransferase","0.0206","0.0393","Paucibacter sp. KCTC 42545"
"pkt","AT984_01020","K00876","udk, UCK","uridine kinase","0.0152","0.0293","Paucibacter sp. KCTC 42545"
