"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"ttn","TTX_0005","K02433","gatA, QRSL1","aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A","0.5916","0.2286","Thermoproteus tenax"
"ttn","TTX_0012","K02946","RP-S10, MRPS10, rpsJ","small subunit ribosomal protein S10","0.4873","0.5756","Thermoproteus tenax"
"ttn","TTX_0031","K06282","hyaA, hybO","hydrogenase small subunit","0.0000 ","0.0004","Thermoproteus tenax"
"ttn","TTX_0033","K06281","hyaB, hybC","hydrogenase large subunit","0.0000 ","0.0000 ","Thermoproteus tenax"
"ttn","TTX_0040","K01955","carB, CPA2","carbamoyl-phosphate synthase large subunit","0.4583","0.4389","Thermoproteus tenax"
"ttn","TTX_0046","K21307","soeA","sulfite dehydrogenase (quinone) subunit SoeA","0.0000 ","0.0065","Thermoproteus tenax"
"ttn","TTX_0047","K21308","soeB","sulfite dehydrogenase (quinone) subunit SoeB","0.0000 ","0.0068","Thermoproteus tenax"
"ttn","TTX_0052","K10112","msmX, msmK, malK, sugC, ggtA, msiK","multiple sugar transport system ATP-binding protein","0.0080","0.0057","Thermoproteus tenax"
"ttn","TTX_0060","K00845","glk","glucokinase","0.0051","0.0269","Thermoproteus tenax"
"ttn","TTX_0065","K16786","ecfA1","energy-coupling factor transport system ATP-binding protein","0.0534","0.0143","Thermoproteus tenax"
"ttn","TTX_0066","K16785","ecfT","energy-coupling factor transport system permease protein","0.0394","0.0102","Thermoproteus tenax"
"ttn","TTX_0068","K00331","nuoB","NADH-quinone oxidoreductase subunit B","0.0936","0.0437","Thermoproteus tenax"
"ttn","TTX_0069","K00332","nuoC","NADH-quinone oxidoreductase subunit C","0.0887","0.0288","Thermoproteus tenax"
"ttn","TTX_0077","K06897","K06897","7,8-dihydropterin-6-yl-methyl-4-(beta-D-ribofuranosyl)aminobenzene 5-phosphate synthase","0.0000 ","0.0063","Thermoproteus tenax"
"ttn","TTX_0083","K02035","ABC.PE.S","peptide/nickel transport system substrate-binding protein","0.0016","0.0015","Thermoproteus tenax"
