"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"cma","Cmaq_0004","K02974","RP-S24e, RPS24","small subunit ribosomal protein S24e","0.0000 ","0.2901","Caldivirga maquilingensis"
"cma","Cmaq_0005","K03738","aor","aldehyde:ferredoxin oxidoreductase","0.0000 ","0.0113","Caldivirga maquilingensis"
"cma","Cmaq_0008","K00133","asd","aspartate-semialdehyde dehydrogenase","0.4295","0.3677","Caldivirga maquilingensis"
"cma","Cmaq_0009","K00928","lysC","aspartate kinase","0.3479","0.4527","Caldivirga maquilingensis"
"cma","Cmaq_0010","K02881","RP-L18, MRPL18, rplR","large subunit ribosomal protein L18","0.5625","0.6211","Caldivirga maquilingensis"
"cma","Cmaq_0011","K02885","RP-L19e, RPL19","large subunit ribosomal protein L19e","0.0000 ","0.2901","Caldivirga maquilingensis"
"cma","Cmaq_0012","K02912","RP-L32e, RPL32","large subunit ribosomal protein L32e","0.0000 ","0.2901","Caldivirga maquilingensis"
"cma","Cmaq_0014","K03151","thiI","thiamine biosynthesis protein ThiI","0.0180","0.0983","Caldivirga maquilingensis"
"cma","Cmaq_0015","K01507","ppa","inorganic pyrophosphatase","0.3722","0.1858","Caldivirga maquilingensis"
"cma","Cmaq_0019","K01939","purA, ADSS","adenylosuccinate synthase","0.1496","0.2426","Caldivirga maquilingensis"
"cma","Cmaq_0020","K01756","purB, ADSL","adenylosuccinate lyase","0.2660","0.2990","Caldivirga maquilingensis"
"cma","Cmaq_0021","K06863","purP","5-formaminoimidazole-4-carboxamide-1-(beta)-D-ribofuranosyl 5-monophosphate synthetase","0.1728","0.0586","Caldivirga maquilingensis"
"cma","Cmaq_0022","K06863","purP","5-formaminoimidazole-4-carboxamide-1-(beta)-D-ribofuranosyl 5-monophosphate synthetase","0.1728","0.0586","Caldivirga maquilingensis"
"cma","Cmaq_0033","K02035","ABC.PE.S","peptide/nickel transport system substrate-binding protein","0.0016","0.0015","Caldivirga maquilingensis"
"cma","Cmaq_0040","K04799","FEN1, RAD2","flap endonuclease-1","0.0000 ","0.0000 ","Caldivirga maquilingensis"
"cma","Cmaq_0042","K04802","PCNA","proliferating cell nuclear antigen","0.0000 ","0.4731","Caldivirga maquilingensis"
"cma","Cmaq_0054","K00059","fabG","3-oxoacyl-[acyl-carrier protein] reductase","0.7026","0.4376","Caldivirga maquilingensis"
"cma","Cmaq_0056","K00973","E2.7.7.24, rfbA, rffH","glucose-1-phosphate thymidylyltransferase","0.0335","0.0709","Caldivirga maquilingensis"
