"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"bxy","BXY_00110","K02121","ATPVE, ntpE, atpE","V/A-type H+/Na+-transporting ATPase subunit E","0.0000 ","0.0160","Bacteroides xylanisolvens"
"bxy","BXY_00130","K02117","ATPVA, ntpA, atpA","V/A-type H+/Na+-transporting ATPase subunit A","0.0000 ","0.0160","Bacteroides xylanisolvens"
"bxy","BXY_00140","K02118","ATPVB, ntpB, atpB","V/A-type H+/Na+-transporting ATPase subunit B","0.0000 ","0.0160","Bacteroides xylanisolvens"
"bxy","BXY_00160","K02123","ATPVI, ntpI, atpI","V/A-type H+/Na+-transporting ATPase subunit I","0.0000 ","0.0160","Bacteroides xylanisolvens"
"bxy","BXY_00170","K02124","ATPVK, ntpK, atpK","V/A-type H+/Na+-transporting ATPase subunit K","0.0000 ","0.0952","Bacteroides xylanisolvens"
"bxy","BXY_00190","K00688","PYG, glgP","glycogen phosphorylase","0.0137","0.0350","Bacteroides xylanisolvens"
"bxy","BXY_00210","K11072","potA","spermidine/putrescine transport system ATP-binding protein","0.0018","0.0065","Bacteroides xylanisolvens"
"bxy","BXY_00230","K11070","potC","spermidine/putrescine transport system permease protein","0.0071","0.0071","Bacteroides xylanisolvens"
"bxy","BXY_00240","K11069","potD","spermidine/putrescine transport system substrate-binding protein","0.0071","0.0089","Bacteroides xylanisolvens"
"bxy","BXY_00330","K00848","rhaB","rhamnulokinase","0.0000 ","0.0007","Bacteroides xylanisolvens"
"bxy","BXY_00350","K01818","fucI","L-fucose/D-arabinose isomerase","0.0039","0.0019","Bacteroides xylanisolvens"
"bxy","BXY_00380","K02959","RP-S16, MRPS16, rpsP","small subunit ribosomal protein S16","0.3752","0.5158","Bacteroides xylanisolvens"
"bxy","BXY_00560","K00874","kdgK","2-dehydro-3-deoxygluconokinase","0.0018","0.0093","Bacteroides xylanisolvens"
"bxy","BXY_00570","K01625","eda","2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase","0.0053","0.0197","Bacteroides xylanisolvens"
"bxy","BXY_00700","K12373","HEXA_B","hexosaminidase","0.0031","0.0048","Bacteroides xylanisolvens"
"bxy","BXY_00800","K00602","purH","phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase","0.3103","0.3691","Bacteroides xylanisolvens"
"bxy","BXY_00880","K01424","E3.5.1.1, ansA, ansB","L-asparaginase","0.0190","0.1677","Bacteroides xylanisolvens"
"bxy","BXY_00890","K01695","trpA","tryptophan synthase alpha chain","0.0606","0.0979","Bacteroides xylanisolvens"
"bxy","BXY_00900","K01817","trpF","phosphoribosylanthranilate isomerase","0.0472","0.0773","Bacteroides xylanisolvens"
"bxy","BXY_00910","K01609","trpC","indole-3-glycerol phosphate synthase","0.0579","0.0881","Bacteroides xylanisolvens"
"bxy","BXY_00920","K00766","trpD","anthranilate phosphoribosyltransferase","0.0503","0.0927","Bacteroides xylanisolvens"
"bxy","BXY_00930","K01658","trpG","anthranilate synthase component II","0.0482","0.0712","Bacteroides xylanisolvens"
"bxy","BXY_00940","K01657","trpE","anthranilate synthase component I","0.0429","0.0698","Bacteroides xylanisolvens"
"bxy","BXY_00950","K01696","trpB","tryptophan synthase beta chain","0.0606","0.0979","Bacteroides xylanisolvens"
"bxy","BXY_00970","K08325","yqhD","NADP-dependent alcohol dehydrogenase","0.0000 ","0.0030","Bacteroides xylanisolvens"
"bxy","BXY_01090","K04751","glnB","nitrogen regulatory protein P-II 1","0.0152","0.0102","Bacteroides xylanisolvens"
"bxy","BXY_01110","K10206","E2.6.1.83","LL-diaminopimelate aminotransferase","0.0286","0.1087","Bacteroides xylanisolvens"
"bxy","BXY_01120","K01778","dapF","diaminopimelate epimerase","0.3297","0.2269","Bacteroides xylanisolvens"
"bxy","BXY_01140","K01126","E3.1.4.46, glpQ, ugpQ","glycerophosphoryl diester phosphodiesterase","0.0000 ","0.0333","Bacteroides xylanisolvens"
