"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"pca","Pcar_0001","K02313","dnaA","chromosomal replication initiator protein","0.5800","0.2130","Pelobacter carbinolicus"
"pca","Pcar_0002","K02338","DPO3B, dnaN","DNA polymerase III subunit beta","0.8789","0.9703","Pelobacter carbinolicus"
"pca","Pcar_0003","K03629","recF","DNA replication and repair protein RecF","0.0047","0.0420","Pelobacter carbinolicus"
"pca","Pcar_0007","K00057","gpsA","glycerol-3-phosphate dehydrogenase (NAD(P)+)","0.2265","0.0904","Pelobacter carbinolicus"
"pca","Pcar_0009","K10773","NTH","endonuclease III","0.0010","0.0113","Pelobacter carbinolicus"
"pca","Pcar_0010","K05366","mrcA","penicillin-binding protein 1A","0.0544","0.0518","Pelobacter carbinolicus"
"pca","Pcar_0015","K02108","ATPF0A, atpB","F-type H+-transporting ATPase subunit a","0.3003","0.3956","Pelobacter carbinolicus"
"pca","Pcar_0016","K02110","ATPF0C, atpE","F-type H+-transporting ATPase subunit c","0.2416","0.2823","Pelobacter carbinolicus"
"pca","Pcar_0020","K00329","E1.6.5.3","NADH dehydrogenase","0.0000 ","0.0363","Pelobacter carbinolicus"
"pca","Pcar_0024","K03274","gmhD, rfaD","ADP-L-glycero-D-manno-heptose 6-epimerase","0.0302","0.0632","Pelobacter carbinolicus"
"pca","Pcar_0028","K00946","thiL","thiamine-monophosphate kinase","0.4471","0.2865","Pelobacter carbinolicus"
"pca","Pcar_0029","K03406","mcp","methyl-accepting chemotaxis protein","0.0071","0.0042","Pelobacter carbinolicus"
"pca","Pcar_0030","K03408","cheW","purine-binding chemotaxis protein CheW","0.0270","0.0084","Pelobacter carbinolicus"
"pca","Pcar_0031","K03407","cheA","two-component system, chemotaxis family, sensor kinase CheA","0.0016","0.0078","Pelobacter carbinolicus"
"pca","Pcar_0037","K00805","hepST","heptaprenyl diphosphate synthase","0.0051","0.2081","Pelobacter carbinolicus"
"pca","Pcar_0048","K00113","glpC","glycerol-3-phosphate dehydrogenase subunit C","0.0000 ","0.0354","Pelobacter carbinolicus"
"pca","Pcar_0050","K04487","iscS, NFS1","cysteine desulfurase","0.4010","0.3030","Pelobacter carbinolicus"
"pca","Pcar_0054","K01087","otsB","trehalose 6-phosphate phosphatase","0.0022","0.0076","Pelobacter carbinolicus"
"pca","Pcar_0057","K00198","cooS, acsA","anaerobic carbon-monoxide dehydrogenase catalytic subunit","0.0000 ","0.0000 ","Pelobacter carbinolicus"
"pca","Pcar_0059","K00196","cooF","anaerobic carbon-monoxide dehydrogenase iron sulfur subunit","0.0000 ","0.0000 ","Pelobacter carbinolicus"
"pca","Pcar_0061","K02007","cbiM","cobalt/nickel transport system permease protein","0.0060","0.0062","Pelobacter carbinolicus"
"pca","Pcar_0079","K01821","praC, xylH","4-oxalocrotonate tautomerase","0.0192","0.0185","Pelobacter carbinolicus"
"pca","Pcar_0087","K03701","uvrA","excinuclease ABC subunit A","0.0009","0.0194","Pelobacter carbinolicus"
"pca","Pcar_0088","K00097","pdxA","4-hydroxythreonine-4-phosphate dehydrogenase","0.2365","0.1560","Pelobacter carbinolicus"
"pca","Pcar_0091","K03723","mfd","transcription-repair coupling factor (superfamily II helicase)","0.0010","0.0189","Pelobacter carbinolicus"
"pca","Pcar_0092","K03517","nadA","quinolinate synthase","0.0463","0.1954","Pelobacter carbinolicus"
"pca","Pcar_0093","K03116","tatA","sec-independent protein translocase protein TatA","0.0206","0.0739","Pelobacter carbinolicus"
"pca","Pcar_0094","K03118","tatC","sec-independent protein translocase protein TatC","0.0584","0.1144","Pelobacter carbinolicus"
"pca","Pcar_0099","K03702","uvrB","excinuclease ABC subunit B","0.0041","0.0270","Pelobacter carbinolicus"
"pca","Pcar_0100","K01883","CARS, cysS","cysteinyl-tRNA synthetase","0.6601","0.3696","Pelobacter carbinolicus"
"pca","Pcar_0101","K01886","QARS, glnS","glutaminyl-tRNA synthetase","0.4571","0.4463","Pelobacter carbinolicus"
"pca","Pcar_0102","K01770","ispF","2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase","0.5916","0.3681","Pelobacter carbinolicus"
"pca","Pcar_0103","K00991","ispD","2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase","0.5995","0.2651","Pelobacter carbinolicus"
"pca","Pcar_0107","K04043","dnaK","molecular chaperone DnaK","0.3525","0.3257","Pelobacter carbinolicus"
"pca","Pcar_0114","K00384","trxB","thioredoxin reductase (NADPH)","0.1650","0.2275","Pelobacter carbinolicus"
"pca","Pcar_0137","K02456","gspG","general secretion pathway protein G","0.0000 ","0.0007","Pelobacter carbinolicus"
"pca","Pcar_0138","K02456","gspG","general secretion pathway protein G","0.0000 ","0.0007","Pelobacter carbinolicus"
"pca","Pcar_0148","K02016","ABC.FEV.S","iron complex transport system substrate-binding protein","0.0044","0.0127","Pelobacter carbinolicus"
"pca","Pcar_0153","K02016","ABC.FEV.S","iron complex transport system substrate-binding protein","0.0044","0.0127","Pelobacter carbinolicus"
"pca","Pcar_0154","K02015","ABC.FEV.P","iron complex transport system permease protein","0.0184","0.0354","Pelobacter carbinolicus"
"pca","Pcar_0155","K02013","ABC.FEV.A","iron complex transport system ATP-binding protein","0.0399","0.0544","Pelobacter carbinolicus"
"pca","Pcar_0156","K11261","fwdE, fmdE","formylmethanofuran dehydrogenase subunit E","0.0000 ","0.0000 ","Pelobacter carbinolicus"
"pca","Pcar_0167","K00763","pncB, NAPRT1","nicotinate phosphoribosyltransferase","0.0685","0.2006","Pelobacter carbinolicus"
"pca","Pcar_0186","K00789","metK","S-adenosylmethionine synthetase","0.7119","0.5349","Pelobacter carbinolicus"
"pca","Pcar_0189","K01652","E2.2.1.6L, ilvB, ilvG, ilvI","acetolactate synthase I/II/III large subunit","0.0184","0.0311","Pelobacter carbinolicus"
"pca","Pcar_0199","K06167","phnP","phosphoribosyl 1,2-cyclic phosphate phosphodiesterase","0.0000 ","0.0002","Pelobacter carbinolicus"
"pca","Pcar_0200","K01255","CARP, pepA","leucyl aminopeptidase","0.0277","0.0512","Pelobacter carbinolicus"
"pca","Pcar_0202","K02502","hisZ","ATP phosphoribosyltransferase regulatory subunit","0.0983","0.0714","Pelobacter carbinolicus"
"pca","Pcar_0203","K01939","purA, ADSS","adenylosuccinate synthase","0.1496","0.2426","Pelobacter carbinolicus"
"pca","Pcar_0204","K03469","rnhA, RNASEH1","ribonuclease HI","0.0206","0.1042","Pelobacter carbinolicus"
"pca","Pcar_0205","K00330","nuoA","NADH-quinone oxidoreductase subunit A","0.0526","0.0355","Pelobacter carbinolicus"
"pca","Pcar_0206","K13380","nuoBCD","NADH-quinone oxidoreductase subunit B/C/D","0.0000 ","0.0160","Pelobacter carbinolicus"
"pca","Pcar_0207","K00334","nuoE","NADH-quinone oxidoreductase subunit E","0.0980","0.0425","Pelobacter carbinolicus"
"pca","Pcar_0208","K00335","nuoF","NADH-quinone oxidoreductase subunit F","0.0980","0.0425","Pelobacter carbinolicus"
"pca","Pcar_0209","K00336","nuoG","NADH-quinone oxidoreductase subunit G","0.1241","0.0469","Pelobacter carbinolicus"
"pca","Pcar_0210","K00337","nuoH","NADH-quinone oxidoreductase subunit H","0.0936","0.0437","Pelobacter carbinolicus"
"pca","Pcar_0211","K00338","nuoI","NADH-quinone oxidoreductase subunit I","0.1462","0.0307","Pelobacter carbinolicus"
"pca","Pcar_0212","K00339","nuoJ","NADH-quinone oxidoreductase subunit J","0.1184","0.0483","Pelobacter carbinolicus"
"pca","Pcar_0213","K00340","nuoK","NADH-quinone oxidoreductase subunit K","0.1184","0.0483","Pelobacter carbinolicus"
"pca","Pcar_0214","K00341","nuoL","NADH-quinone oxidoreductase subunit L","0.1184","0.0299","Pelobacter carbinolicus"
"pca","Pcar_0215","K00342","nuoM","NADH-quinone oxidoreductase subunit M","0.1462","0.0896","Pelobacter carbinolicus"
"pca","Pcar_0216","K00343","nuoN","NADH-quinone oxidoreductase subunit N","0.0936","0.0437","Pelobacter carbinolicus"
"pca","Pcar_0230","K02018","modB","molybdate transport system permease protein","0.0014","0.0066","Pelobacter carbinolicus"
"pca","Pcar_0231","K02017","modC","molybdate transport system ATP-binding protein","0.0017","0.0074","Pelobacter carbinolicus"
"pca","Pcar_0235","K02020","modA","molybdate transport system substrate-binding protein","0.0000 ","0.0053","Pelobacter carbinolicus"
"pca","Pcar_0238","K00297","metF, MTHFR","methylenetetrahydrofolate reductase (NADPH)","0.0012","0.0130","Pelobacter carbinolicus"
"pca","Pcar_0240","K01783","rpe, RPE","ribulose-phosphate 3-epimerase","0.3164","0.3150","Pelobacter carbinolicus"
"pca","Pcar_0244","K00604","MTFMT, fmt","methionyl-tRNA formyltransferase","0.5166","0.6569","Pelobacter carbinolicus"
"pca","Pcar_0246","K01902","sucD","succinyl-CoA synthetase alpha subunit","0.0631","0.0742","Pelobacter carbinolicus"
"pca","Pcar_0247","K01903","sucC","succinyl-CoA synthetase beta subunit","0.0322","0.0831","Pelobacter carbinolicus"
"pca","Pcar_0248","K00616","E2.2.1.2, talA, talB","transaldolase","0.2499","0.2247","Pelobacter carbinolicus"
"pca","Pcar_0250","K00950","folK","2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase","0.4583","0.4040","Pelobacter carbinolicus"
"pca","Pcar_0251","K13954","yiaY","alcohol dehydrogenase","0.0286","0.0119","Pelobacter carbinolicus"
"pca","Pcar_0254","K03738","aor","aldehyde:ferredoxin oxidoreductase","0.0000 ","0.0113","Pelobacter carbinolicus"
"pca","Pcar_0255","K13954","yiaY","alcohol dehydrogenase","0.0286","0.0119","Pelobacter carbinolicus"
"pca","Pcar_0256","K03750","moeA","molybdopterin molybdotransferase","0.0051","0.1550","Pelobacter carbinolicus"
