"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"btha","DR62_06000","K00788","thiE","thiamine-phosphate pyrophosphorylase","0.1443","0.1297","Burkholderia thailandensis 2003015869"
"btha","DR62_06080","K02457","gspH","general secretion pathway protein H","0.0029","0.0007","Burkholderia thailandensis 2003015869"
"btha","DR62_06395","K06016","pydC","beta-ureidopropionase / N-carbamoyl-L-amino-acid hydrolase","0.0044","0.1559","Burkholderia thailandensis 2003015869"
"btha","DR62_06430","K00969","nadD","nicotinate-nucleotide adenylyltransferase","0.4583","0.4141","Burkholderia thailandensis 2003015869"
"btha","DR62_06750","K03644","lipA","lipoyl synthase","0.2427","0.2360","Burkholderia thailandensis 2003015869"
"btha","DR62_06985","K00507","SCD, desC","stearoyl-CoA desaturase (Delta-9 desaturase)","0.0141","0.0094","Burkholderia thailandensis 2003015869"
"btha","DR62_07190","K01426","E3.5.1.4, amiE","amidase","0.0000 ","0.0465","Burkholderia thailandensis 2003015869"
"btha","DR62_07295","K11904","vgrG","type VI secretion system secreted protein VgrG","0.0000 ","0.0001","Burkholderia thailandensis 2003015869"
"btha","DR62_07440","K12990","rfbF, rhlC","rhamnosyltransferase","0.0000 ","0.0027","Burkholderia thailandensis 2003015869"
"btha","DR62_07445","K18101","rhlB","rhamnosyltransferase subunit B","0.0000 ","0.0000 ","Burkholderia thailandensis 2003015869"
"btha","DR62_07455","K02970","RP-S21, MRPS21, rpsU","small subunit ribosomal protein S21","0.2105","0.4343","Burkholderia thailandensis 2003015869"
"btha","DR62_07745","K02843","waaF, rfaF","heptosyltransferase II","0.0366","0.0662","Burkholderia thailandensis 2003015869"
"btha","DR62_08080","K02386","flgA","flagella basal body P-ring formation protein FlgA","0.0018","0.0048","Burkholderia thailandensis 2003015869"
"btha","DR62_1","K14682","argAB","amino-acid N-acetyltransferase","0.0680","0.0630","Burkholderia thailandensis 2003015869"
"btha","DR62_100","K01087","otsB","trehalose 6-phosphate phosphatase","0.0022","0.0076","Burkholderia thailandensis 2003015869"
"btha","DR62_1000","K14218","tRNA-Ala","tRNA Ala","0.0060","0.2024","Burkholderia thailandensis 2003015869"
"btha","DR62_1001","K14227","tRNA-Ile","tRNA Ile","0.0000 ","0.2024","Burkholderia thailandensis 2003015869"
"btha","DR62_1002","K01977","16SrRNA, rrs","16S ribosomal RNA","0.0000 ","0.3104","Burkholderia thailandensis 2003015869"
"btha","DR62_1004","K02609","paaA","ring-1,2-phenylacetyl-CoA epoxidase subunit PaaA","0.0000 ","0.0010","Burkholderia thailandensis 2003015869"
"btha","DR62_1005","K02610","paaB","ring-1,2-phenylacetyl-CoA epoxidase subunit PaaB","0.0000 ","0.0001","Burkholderia thailandensis 2003015869"
"btha","DR62_1006","K02611","paaC","ring-1,2-phenylacetyl-CoA epoxidase subunit PaaC","0.0039","0.0010","Burkholderia thailandensis 2003015869"
"btha","DR62_1007","K02612","paaD","ring-1,2-phenylacetyl-CoA epoxidase subunit PaaD","0.0000 ","0.0001","Burkholderia thailandensis 2003015869"
"btha","DR62_1008","K02613","paaE","ring-1,2-phenylacetyl-CoA epoxidase subunit PaaE","0.0000 ","0.0083","Burkholderia thailandensis 2003015869"
"btha","DR62_1013","K00457","HPD, hppD","4-hydroxyphenylpyruvate dioxygenase","0.0000 ","0.0000 ","Burkholderia thailandensis 2003015869"
"btha","DR62_1016","K00029","E1.1.1.40, maeB","malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+)","0.0137","0.0262","Burkholderia thailandensis 2003015869"
"btha","DR62_1017","K00762","pyrE","orotate phosphoribosyltransferase","0.0259","0.1665","Burkholderia thailandensis 2003015869"
"btha","DR62_1019","K03809","wrbA","NAD(P)H dehydrogenase (quinone)","0.0017","0.0508","Burkholderia thailandensis 2003015869"
"btha","DR62_1020","K00145","argC","N-acetyl-gamma-glutamyl-phosphate reductase","0.0463","0.0630","Burkholderia thailandensis 2003015869"
"btha","DR62_1033","K14218","tRNA-Ala","tRNA Ala","0.0060","0.2024","Burkholderia thailandensis 2003015869"
"btha","DR62_1034","K08738","CYC","cytochrome c","0.0029","0.0053","Burkholderia thailandensis 2003015869"
"btha","DR62_1036","K03271","gmhA, lpcA","D-sedoheptulose 7-phosphate isomerase","0.0472","0.0727","Burkholderia thailandensis 2003015869"
"btha","DR62_1047","K01999","livK","branched-chain amino acid transport system substrate-binding protein","0.0000 ","0.0005","Burkholderia thailandensis 2003015869"
"btha","DR62_1048","K00459","ncd2, npd","nitronate monooxygenase","0.0017","0.1220","Burkholderia thailandensis 2003015869"
"btha","DR62_1049","K01061","E3.1.1.45","carboxymethylenebutenolidase","0.0000 ","0.0000 ","Burkholderia thailandensis 2003015869"
"btha","DR62_1051","K00297","metF, MTHFR","methylenetetrahydrofolate reductase (NADPH)","0.0012","0.0130","Burkholderia thailandensis 2003015869"
"btha","DR62_1053","K01251","E3.3.1.1, ahcY","adenosylhomocysteinase","0.0534","0.0351","Burkholderia thailandensis 2003015869"
"btha","DR62_1054","K02405","fliA","RNA polymerase sigma factor for flagellar operon FliA","0.0000 ","0.0062","Burkholderia thailandensis 2003015869"
"btha","DR62_1057","K02400","flhA","flagellar biosynthesis protein FlhA","0.0000 ","0.0007","Burkholderia thailandensis 2003015869"
"btha","DR62_1058","K02401","flhB","flagellar biosynthetic protein FlhB","0.0000 ","0.0007","Burkholderia thailandensis 2003015869"
"btha","DR62_1063","K03414","cheZ","chemotaxis protein CheZ","0.0000 ","0.0000 ","Burkholderia thailandensis 2003015869"
"btha","DR62_1064","K03413","cheY","two-component system, chemotaxis family, response regulator CheY","0.0000 ","0.0036","Burkholderia thailandensis 2003015869"
"btha","DR62_1065","K03412","cheB","two-component system, chemotaxis family, response regulator CheB","0.0000 ","0.0034","Burkholderia thailandensis 2003015869"
"btha","DR62_1066","K03411","cheD","chemotaxis protein CheD","0.0000 ","0.0000 ","Burkholderia thailandensis 2003015869"
"btha","DR62_1067","K00575","cheR","chemotaxis protein methyltransferase CheR","0.0000 ","0.0032","Burkholderia thailandensis 2003015869"
"btha","DR62_1068","K05874","tsr","methyl-accepting chemotaxis protein I, serine sensor receptor","0.0060","0.0042","Burkholderia thailandensis 2003015869"
"btha","DR62_1069","K03408","cheW","purine-binding chemotaxis protein CheW","0.0270","0.0084","Burkholderia thailandensis 2003015869"
"btha","DR62_107","K08968","msrC","L-methionine (R)-S-oxide reductase","0.0000 ","0.0131","Burkholderia thailandensis 2003015869"
"btha","DR62_1070","K03407","cheA","two-component system, chemotaxis family, sensor kinase CheA","0.0016","0.0078","Burkholderia thailandensis 2003015869"
"btha","DR62_1071","K03413","cheY","two-component system, chemotaxis family, response regulator CheY","0.0000 ","0.0036","Burkholderia thailandensis 2003015869"
"btha","DR62_1072","K02557","motB","chemotaxis protein MotB","0.0016","0.0085","Burkholderia thailandensis 2003015869"
"btha","DR62_1073","K02556","motA","chemotaxis protein MotA","0.0000 ","0.0000 ","Burkholderia thailandensis 2003015869"
"btha","DR62_1074","K02402","flhC","flagellar transcriptional activator FlhC","0.0000 ","0.0203","Burkholderia thailandensis 2003015869"
"btha","DR62_1075","K02403","flhD","flagellar transcriptional activator FlhD","0.0000 ","0.0203","Burkholderia thailandensis 2003015869"
"btha","DR62_1080","K18676","gspK","glucosamine kinase","0.0000 ","0.0172","Burkholderia thailandensis 2003015869"
"btha","DR62_1081","K01246","tag","DNA-3-methyladenine glycosylase I","0.0012","0.0100","Burkholderia thailandensis 2003015869"
"btha","DR62_1082","K02970","RP-S21, MRPS21, rpsU","small subunit ribosomal protein S21","0.2105","0.4343","Burkholderia thailandensis 2003015869"
"btha","DR62_1083","K02406","fliC","flagellin","0.0016","0.0097","Burkholderia thailandensis 2003015869"
"btha","DR62_1084","K02407","fliD","flagellar hook-associated protein 2","0.0000 ","0.0007","Burkholderia thailandensis 2003015869"
"btha","DR62_109","K14222","tRNA-Cys","tRNA Cys","0.0000 ","0.2024","Burkholderia thailandensis 2003015869"
"btha","DR62_1094","K03406","mcp","methyl-accepting chemotaxis protein","0.0071","0.0042","Burkholderia thailandensis 2003015869"
"btha","DR62_110","K14225","tRNA-Gly","tRNA Gly","0.0000 ","0.2024","Burkholderia thailandensis 2003015869"
"btha","DR62_1108","K14219","tRNA-Arg","tRNA Arg","0.0000 ","0.2024","Burkholderia thailandensis 2003015869"
"btha","DR62_111","K14225","tRNA-Gly","tRNA Gly","0.0000 ","0.2024","Burkholderia thailandensis 2003015869"
"btha","DR62_1116","K00605","gcvT, AMT","aminomethyltransferase","0.5261","0.3955","Burkholderia thailandensis 2003015869"
"btha","DR62_1117","K02437","gcvH, GCSH","glycine cleavage system H protein","0.4306","0.3273","Burkholderia thailandensis 2003015869"
"btha","DR62_1118","K00281","GLDC, gcvP","glycine dehydrogenase","0.5052","0.3271","Burkholderia thailandensis 2003015869"
"btha","DR62_112","K08744","CRLS","cardiolipin synthase (CMP-forming)","0.0716","0.1601","Burkholderia thailandensis 2003015869"
"btha","DR62_1120","K01752","E4.3.1.17, sdaA, sdaB, tdcG","L-serine dehydratase","0.1877","0.2699","Burkholderia thailandensis 2003015869"
"btha","DR62_1121","K01652","E2.2.1.6L, ilvB, ilvG, ilvI","acetolactate synthase I/II/III large subunit","0.0184","0.0311","Burkholderia thailandensis 2003015869"
"btha","DR62_1124","K00138","aldB","aldehyde dehydrogenase","0.0016","0.0092","Burkholderia thailandensis 2003015869"
