"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"cgn","OK18_00075","K00382","DLD, lpd, pdhD","dihydrolipoamide dehydrogenase","0.5030","0.4139","Chryseobacterium gallinarum"
"cgn","OK18_00090","K01206","FUCA","alpha-L-fucosidase","0.0000 ","0.0000 ","Chryseobacterium gallinarum"
"cgn","OK18_00160","K02523","ispB","octaprenyl-diphosphate synthase","0.3018","0.2081","Chryseobacterium gallinarum"
"cgn","OK18_00240","K02071","metN","D-methionine transport system ATP-binding protein","0.0000 ","0.0053","Chryseobacterium gallinarum"
"cgn","OK18_00245","K02072","metI","D-methionine transport system permease protein","0.0000 ","0.0053","Chryseobacterium gallinarum"
"cgn","OK18_00250","K02073","metQ","D-methionine transport system substrate-binding protein","0.0000 ","0.0053","Chryseobacterium gallinarum"
"cgn","OK18_00255","K05349","bglX","beta-glucosidase","0.0024","0.0063","Chryseobacterium gallinarum"
"cgn","OK18_00335","K01971","ligD","bifunctional non-homologous end joining protein LigD","0.0000 ","0.0000 ","Chryseobacterium gallinarum"
"cgn","OK18_00455","K02337","DPO3A1, dnaE","DNA polymerase III subunit alpha","0.9384","0.7471","Chryseobacterium gallinarum"
"cgn","OK18_00745","K10914","crp","CRP/FNR family transcriptional regulator, cyclic AMP receptor protein","0.0000 ","5.20E-","Chryseobacterium gallinarum"
"cgn","OK18_00750","K00648","fabH","3-oxoacyl-[acyl-carrier-protein] synthase III","0.7190","0.3716","Chryseobacterium gallinarum"
"cgn","OK18_00820","K01425","glsA, GLS","glutaminase","0.4954","0.4712","Chryseobacterium gallinarum"
"cgn","OK18_00835","K02078","acpP","acyl carrier protein","0.4873","0.1020","Chryseobacterium gallinarum"
"cgn","OK18_00875","K00558","DNMT1, dcm","DNA (cytosine-5)-methyltransferase 1","0.1370","0.1102","Chryseobacterium gallinarum"
"cgn","OK18_01015","K01428","ureC","urease subunit alpha","0.0022","0.0055","Chryseobacterium gallinarum"
"cgn","OK18_01020","K14048","ureAB","urease subunit gamma/beta","0.0071","0.0029","Chryseobacterium gallinarum"
"cgn","OK18_01025","K01430","ureA","urease subunit gamma","0.0024","0.0055","Chryseobacterium gallinarum"
"cgn","OK18_01035","K00294","E1.2.1.88","1-pyrroline-5-carboxylate dehydrogenase","0.1045","0.0415","Chryseobacterium gallinarum"
"cgn","OK18_01085","K00648","fabH","3-oxoacyl-[acyl-carrier-protein] synthase III","0.7190","0.3716","Chryseobacterium gallinarum"
"cgn","OK18_01120","K01246","tag","DNA-3-methyladenine glycosylase I","0.0012","0.0100","Chryseobacterium gallinarum"
"cgn","OK18_01130","K16936","doxA","thiosulfate dehydrogenase [quinone] small subunit","0.0000 ","0.0282","Chryseobacterium gallinarum"
"cgn","OK18_01170","K02341","DPO3D2, holB","DNA polymerase III subunit delta","0.9384","0.9971","Chryseobacterium gallinarum"
"cgn","OK18_01200","K01929","murF","UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase","0.7026","0.7733","Chryseobacterium gallinarum"
