"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"dhd","Dhaf_0001","K02313","dnaA","chromosomal replication initiator protein","0.5800","0.2130","Desulfitobacterium hafniense DCB-2"
"dhd","Dhaf_0002","K02338","DPO3B, dnaN","DNA polymerase III subunit beta","0.8789","0.9703","Desulfitobacterium hafniense DCB-2"
"dhd","Dhaf_0003","K03629","recF","DNA replication and repair protein RecF","0.0047","0.0420","Desulfitobacterium hafniense DCB-2"
"dhd","Dhaf_0007","K08681","pdxT, pdx2","5-phosphate synthase pdxT subunit","0.0000 ","0.0470","Desulfitobacterium hafniense DCB-2"
"dhd","Dhaf_0008","K01875","SARS, serS","seryl-tRNA synthetase","0.6103","0.5347","Desulfitobacterium hafniense DCB-2"
"dhd","Dhaf_0018","K18231","msrA, vmlR","macrolide transport system ATP-binding/permease protein","0.0000 ","0.0077","Desulfitobacterium hafniense DCB-2"
"dhd","Dhaf_0025","K02016","ABC.FEV.S","iron complex transport system substrate-binding protein","0.0044","0.0127","Desulfitobacterium hafniense DCB-2"
"dhd","Dhaf_0026","K02015","ABC.FEV.P","iron complex transport system permease protein","0.0184","0.0354","Desulfitobacterium hafniense DCB-2"
"dhd","Dhaf_0027","K02013","ABC.FEV.A","iron complex transport system ATP-binding protein","0.0399","0.0544","Desulfitobacterium hafniense DCB-2"
"dhd","Dhaf_0030","K11707","troA, mntA, znuA","manganese/zinc/iron transport system substrate-binding protein","0.0000 ","0.0067","Desulfitobacterium hafniense DCB-2"
"dhd","Dhaf_0031","K11710","troB, mntB, znuC","manganese/zinc/iron transport system ATP- binding protein","0.0000 ","0.0053","Desulfitobacterium hafniense DCB-2"
"dhd","Dhaf_0032","K11708","troC, mntC, znuB","manganese/zinc/iron transport system permease protein","0.0000 ","0.0058","Desulfitobacterium hafniense DCB-2"
"dhd","Dhaf_0033","K11709","troD, mntD, znuB","manganese/zinc/iron transport system permease protein","0.0000 ","0.0058","Desulfitobacterium hafniense DCB-2"
"dhd","Dhaf_0035","K02035","ABC.PE.S","peptide/nickel transport system substrate-binding protein","0.0016","0.0015","Desulfitobacterium hafniense DCB-2"
"dhd","Dhaf_0036","K02033","ABC.PE.P","peptide/nickel transport system permease protein","0.0016","0.0026","Desulfitobacterium hafniense DCB-2"
"dhd","Dhaf_0037","K02034","ABC.PE.P1","peptide/nickel transport system permease protein","0.0075","0.0026","Desulfitobacterium hafniense DCB-2"
"dhd","Dhaf_0038","K02031","ABC.PE.A","peptide/nickel transport system ATP-binding protein","0.0000 ","0.0004","Desulfitobacterium hafniense DCB-2"
"dhd","Dhaf_0039","K02032","ABC.PE.A1","peptide/nickel transport system ATP-binding protein","0.0000 ","0.0004","Desulfitobacterium hafniense DCB-2"
"dhd","Dhaf_0042","K09815","znuA","zinc transport system substrate-binding protein","0.0064","0.0067","Desulfitobacterium hafniense DCB-2"
"dhd","Dhaf_0043","K09817","znuC","zinc transport system ATP-binding protein","0.0000 ","0.0053","Desulfitobacterium hafniense DCB-2"
"dhd","Dhaf_0044","K09816","znuB","zinc transport system permease protein","0.0016","0.0058","Desulfitobacterium hafniense DCB-2"
"dhd","Dhaf_0050","K02343","DPO3G, dnaX","DNA polymerase III subunit gamma/tau","0.9384","0.9971","Desulfitobacterium hafniense DCB-2"
"dhd","Dhaf_0052","K06187","recR","recombination protein RecR","0.0040","0.0446","Desulfitobacterium hafniense DCB-2"
"dhd","Dhaf_0054","K03737","por, nifJ","pyruvate-ferredoxin/flavodoxin oxidoreductase","0.7509","0.7507","Desulfitobacterium hafniense DCB-2"
"dhd","Dhaf_0056","K03594","bfr","bacterioferritin","0.0000 ","0.0280","Desulfitobacterium hafniense DCB-2"
"dhd","Dhaf_0061","K02341","DPO3D2, holB","DNA polymerase III subunit delta","0.9384","0.9971","Desulfitobacterium hafniense DCB-2"
"dhd","Dhaf_0067","K01874","MARS, metG","methionyl-tRNA synthetase","0.3906","0.3932","Desulfitobacterium hafniense DCB-2"
"dhd","Dhaf_0071","K01448","E3.5.1.28B, amiA, amiB, amiC","N-acetylmuramoyl-L-alanine amidase","0.0606","0.0578","Desulfitobacterium hafniense DCB-2"
"dhd","Dhaf_0077","K00297","metF, MTHFR","methylenetetrahydrofolate reductase (NADPH)","0.0012","0.0130","Desulfitobacterium hafniense DCB-2"
"dhd","Dhaf_0078","K03406","mcp","methyl-accepting chemotaxis protein","0.0071","0.0042","Desulfitobacterium hafniense DCB-2"
"dhd","Dhaf_0079","K03406","mcp","methyl-accepting chemotaxis protein","0.0071","0.0042","Desulfitobacterium hafniense DCB-2"
"dhd","Dhaf_0087","K00919","ispE","4-diphosphocytidyl-2-C-methyl-D-erythritol kinase","0.5198","0.4114","Desulfitobacterium hafniense DCB-2"
