"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"ccel","CCDG5_0001","K02313","dnaA","chromosomal replication initiator protein","0.5800","0.2130","Clostridium cellulosi"
"ccel","CCDG5_0002","K02338","DPO3B, dnaN","DNA polymerase III subunit beta","0.8789","0.9703","Clostridium cellulosi"
"ccel","CCDG5_0004","K03629","recF","DNA replication and repair protein RecF","0.0047","0.0420","Clostridium cellulosi"
"ccel","CCDG5_0011","K01520","dut, DUT","dUTP pyrophosphatase","0.3727","0.3207","Clostridium cellulosi"
"ccel","CCDG5_0014","K01805","xylA","xylose isomerase","0.0000 ","0.0000 ","Clostridium cellulosi"
"ccel","CCDG5_0020","K01835","pgm","phosphoglucomutase","0.0858","0.1247","Clostridium cellulosi"
"ccel","CCDG5_0023","K02650","pilA","type IV pilus assembly protein PilA","0.0000 ","0.0008","Clostridium cellulosi"
"ccel","CCDG5_0024","K00854","xylB, XYLB","xylulokinase","0.0000 ","0.0007","Clostridium cellulosi"
"ccel","CCDG5_0032","K05366","mrcA","penicillin-binding protein 1A","0.0544","0.0518","Clostridium cellulosi"
"ccel","CCDG5_0036","K06131","clsA_B","cardiolipin synthase A/B","0.0144","0.0916","Clostridium cellulosi"
"ccel","CCDG5_0037","K01756","purB, ADSL","adenylosuccinate lyase","0.2660","0.2990","Clostridium cellulosi"
"ccel","CCDG5_0038","K03072","secD","preprotein translocase subunit SecD","0.3583","0.2073","Clostridium cellulosi"
"ccel","CCDG5_0039","K03074","secF","preprotein translocase subunit SecF","0.2743","0.1805","Clostridium cellulosi"
"ccel","CCDG5_0050","K05366","mrcA","penicillin-binding protein 1A","0.0544","0.0518","Clostridium cellulosi"
"ccel","CCDG5_0051","K05366","mrcA","penicillin-binding protein 1A","0.0544","0.0518","Clostridium cellulosi"
"ccel","CCDG5_0052","K01686","uxuA","mannonate dehydratase","0.0000 ","4.31E-","Clostridium cellulosi"
"ccel","CCDG5_0053","K00040","uxuB","fructuronate reductase","0.0000 ","4.31E-","Clostridium cellulosi"
"ccel","CCDG5_0054","K05349","bglX","beta-glucosidase","0.0024","0.0063","Clostridium cellulosi"
"ccel","CCDG5_0056","K17318","K17318, lplA","putative aldouronate transport system substrate-binding protein","0.0000 ","0.0053","Clostridium cellulosi"
"ccel","CCDG5_0057","K17320","lplC","putative aldouronate transport system permease protein","0.0000 ","0.0053","Clostridium cellulosi"
"ccel","CCDG5_0058","K17319","lplB","putative aldouronate transport system permease protein","0.0000 ","0.0053","Clostridium cellulosi"
"ccel","CCDG5_0059","K01190","lacZ","beta-galactosidase","0.0000 ","0.0000 ","Clostridium cellulosi"
"ccel","CCDG5_0068","K01785","galM, GALM","aldose 1-epimerase","0.0000 ","0.0000 ","Clostridium cellulosi"
"ccel","CCDG5_0069","K00008","SORD, gutB","L-iditol 2-dehydrogenase","0.0000 ","0.0002","Clostridium cellulosi"
"ccel","CCDG5_0070","K05349","bglX","beta-glucosidase","0.0024","0.0063","Clostridium cellulosi"
"ccel","CCDG5_0071","K10119","msmG","raffinose/stachyose/melibiose transport system permease protein","0.0000 ","0.0053","Clostridium cellulosi"
"ccel","CCDG5_0072","K10118","msmF","raffinose/stachyose/melibiose transport system permease protein","0.0000 ","0.0056","Clostridium cellulosi"
"ccel","CCDG5_0073","K10117","msmE","raffinose/stachyose/melibiose transport system substrate-binding protein","0.0000 ","0.0053","Clostridium cellulosi"
"ccel","CCDG5_0074","K07718","yesM","two-component system, sensor histidine kinase YesM","0.0000 ","0.0007","Clostridium cellulosi"
"ccel","CCDG5_0075","K07720","yesN","two-component system, response regulator YesN","0.0000 ","0.0007","Clostridium cellulosi"
"ccel","CCDG5_0080","K07130","kynB","arylformamidase","0.0000 ","0.0000 ","Clostridium cellulosi"
"ccel","CCDG5_0084","K01835","pgm","phosphoglucomutase","0.0858","0.1247","Clostridium cellulosi"
"ccel","CCDG5_0087","K00027","ME2, sfcA, maeA","malate dehydrogenase (oxaloacetate-decarboxylating)","0.0016","0.0078","Clostridium cellulosi"
"ccel","CCDG5_0089","K00651","metA","homoserine O-succinyltransferase","0.0020","0.0081","Clostridium cellulosi"
"ccel","CCDG5_0090","K01977","16SrRNA, rrs","16S ribosomal RNA","0.0000 ","0.3104","Clostridium cellulosi"
"ccel","CCDG5_0093","K14218","tRNA-Ala","tRNA Ala","0.0060","0.2024","Clostridium cellulosi"
"ccel","CCDG5_0095","K01980","23SrRNA, rrl","23S ribosomal RNA","0.0000 ","0.3104","Clostridium cellulosi"
"ccel","CCDG5_0097","K01985","5SrRNA, rrf","5S ribosomal RNA","0.0060","0.3104","Clostridium cellulosi"
"ccel","CCDG5_0105","K08722","yfbR","5-deoxynucleotidase","0.0959","0.1358","Clostridium cellulosi"
"ccel","CCDG5_0112","K10112","msmX, msmK, malK, sugC, ggtA, msiK","multiple sugar transport system ATP-binding protein","0.0080","0.0057","Clostridium cellulosi"
"ccel","CCDG5_0114","K09812","ftsE","cell division transport system ATP-binding protein","0.1086","0.0737","Clostridium cellulosi"
"ccel","CCDG5_0115","K09811","ftsX","cell division transport system permease protein","0.1399","0.0813","Clostridium cellulosi"
"ccel","CCDG5_0120","K04567","KARS, lysS","lysyl-tRNA synthetase, class II","0.4899","0.4350","Clostridium cellulosi"
"ccel","CCDG5_0123","K03150","thiH","2-iminoacetate synthase","0.0000 ","0.0811","Clostridium cellulosi"
"ccel","CCDG5_0127","K05349","bglX","beta-glucosidase","0.0024","0.0063","Clostridium cellulosi"
"ccel","CCDG5_0131","K03660","OGG1","N-glycosylase/DNA lyase","0.0000 ","0.0035","Clostridium cellulosi"
"ccel","CCDG5_0132","K02335","DPO1, polA","DNA polymerase I","0.7656","0.8943","Clostridium cellulosi"
"ccel","CCDG5_0137","K00928","lysC","aspartate kinase","0.3479","0.4527","Clostridium cellulosi"
"ccel","CCDG5_0138","K00872","thrB1","homoserine kinase","0.0895","0.1017","Clostridium cellulosi"
"ccel","CCDG5_0139","K00003","E1.1.1.3","homoserine dehydrogenase","0.1029","0.1079","Clostridium cellulosi"
"ccel","CCDG5_0140","K06209","pheB","chorismate mutase","0.1146","0.0737","Clostridium cellulosi"
"ccel","CCDG5_0143","K01678","E4.2.1.2AB, fumB","fumarate hydratase subunit beta","0.1422","0.0503","Clostridium cellulosi"
"ccel","CCDG5_0148","K02871","RP-L13, MRPL13, rplM","large subunit ribosomal protein L13","0.7119","0.6883","Clostridium cellulosi"
"ccel","CCDG5_0149","K02996","RP-S9, MRPS9, rpsI","small subunit ribosomal protein S9","0.5166","0.6003","Clostridium cellulosi"
"ccel","CCDG5_0151","K01874","MARS, metG","methionyl-tRNA synthetase","0.3906","0.3932","Clostridium cellulosi"
"ccel","CCDG5_0155","K01809","manA, MPI","mannose-6-phosphate isomerase","0.0716","0.0718","Clostridium cellulosi"
"ccel","CCDG5_0161","K03657","uvrD, pcrA","DNA helicase II / ATP-dependent DNA helicase PcrA","0.0351","0.0917","Clostridium cellulosi"
