"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"rmu","RMDY18_00010","K02313","dnaA","chromosomal replication initiator protein","0.5800","0.2130","Rothia mucilaginosa"
"rmu","RMDY18_00020","K02338","DPO3B, dnaN","DNA polymerase III subunit beta","0.8789","0.9703","Rothia mucilaginosa"
"rmu","RMDY18_00030","K03629","recF","DNA replication and repair protein RecF","0.0047","0.0420","Rothia mucilaginosa"
"rmu","RMDY18_00130","K03767","PPIA","peptidyl-prolyl cis-trans isomerase A (cyclophilin A)","0.0000 ","0.0178","Rothia mucilaginosa"
"rmu","RMDY18_00180","K00014","aroE","shikimate dehydrogenase","0.1039","0.1242","Rothia mucilaginosa"
"rmu","RMDY18_00220","K00849","galK","galactokinase","0.0000 ","0.0261","Rothia mucilaginosa"
"rmu","RMDY18_00300","K02796","PTS-Man-EIID, manZ","PTS system, mannose-specific IID component","0.0116","0.0076","Rothia mucilaginosa"
"rmu","RMDY18_00310","K02795","PTS-Man-EIIC, manY","PTS system, mannose-specific IIC component","0.0116","0.0074","Rothia mucilaginosa"
"rmu","RMDY18_00320","K02793","PTS-Man-EIIA, manX","PTS system, mannose-specific IIA component","0.0091","0.0080","Rothia mucilaginosa"
"rmu","RMDY18_00440","K01438","argE","acetylornithine deacetylase","0.0579","0.0640","Rothia mucilaginosa"
"rmu","RMDY18_00530","K00014","aroE","shikimate dehydrogenase","0.1039","0.1242","Rothia mucilaginosa"
"rmu","RMDY18_00540","K15371","GDH2","glutamate dehydrogenase","0.3003","0.2395","Rothia mucilaginosa"
"rmu","RMDY18_00600","K00134","GAPDH, gapA","glyceraldehyde 3-phosphate dehydrogenase","0.5166","0.5281","Rothia mucilaginosa"
"rmu","RMDY18_00610","K00847","E2.7.1.4, scrK","fructokinase","0.0013","0.0090","Rothia mucilaginosa"
"rmu","RMDY18_00740","K13950","pabAB","para-aminobenzoate synthetase","0.0000 ","0.1626","Rothia mucilaginosa"
"rmu","RMDY18_00750","K00762","pyrE","orotate phosphoribosyltransferase","0.0259","0.1665","Rothia mucilaginosa"
"rmu","RMDY18_00780","K01750","E4.3.1.12, ocd","ornithine cyclodeaminase","0.0000 ","0.0660","Rothia mucilaginosa"
"rmu","RMDY18_00820","K01624","FBA, fbaA","fructose-bisphosphate aldolase, class II","0.5327","0.3946","Rothia mucilaginosa"
"rmu","RMDY18_00840","K02777","PTS-Glc-EIIA, crr","PTS system, sugar-specific IIA component","0.0192","0.0150","Rothia mucilaginosa"
"rmu","RMDY18_00850","K01126","E3.1.4.46, glpQ, ugpQ","glycerophosphoryl diester phosphodiesterase","0.0000 ","0.0333","Rothia mucilaginosa"
"rmu","RMDY18_00860","K00135","gabD","succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase","0.0245","0.0296","Rothia mucilaginosa"
"rmu","RMDY18_01030","K00558","DNMT1, dcm","DNA (cytosine-5)-methyltransferase 1","0.1370","0.1102","Rothia mucilaginosa"
"rmu","RMDY18_01050","K13788","pta","phosphate acetyltransferase","0.0750","0.0874","Rothia mucilaginosa"
"rmu","RMDY18_01090","K04518","pheA2","prephenate dehydratase","0.1142","0.0816","Rothia mucilaginosa"
"rmu","RMDY18_01100","K01875","SARS, serS","seryl-tRNA synthetase","0.6103","0.5347","Rothia mucilaginosa"
"rmu","RMDY18_01260","K00925","ackA","acetate kinase","0.0298","0.0659","Rothia mucilaginosa"
"rmu","RMDY18_01340","K01142","E3.1.11.2, xthA","exodeoxyribonuclease III","0.0010","0.0110","Rothia mucilaginosa"
"rmu","RMDY18_01350","K11601","mntC","manganese transport system substrate-binding protein","0.0000 ","0.0014","Rothia mucilaginosa"
"rmu","RMDY18_01370","K11603","mntA","manganese transport system ATP-binding protein","0.0000 ","0.0000 ","Rothia mucilaginosa"
"rmu","RMDY18_01380","K11602","mntB","manganese transport system permease protein","0.0000 ","0.0005","Rothia mucilaginosa"
"rmu","RMDY18_01450","K07259","dacB","serine-type D-Ala-D-Ala carboxypeptidase/endopeptidase (penicillin-binding protein 4)","0.0016","0.0145","Rothia mucilaginosa"
"rmu","RMDY18_01470","K01507","ppa","inorganic pyrophosphatase","0.3722","0.1858","Rothia mucilaginosa"
"rmu","RMDY18_01500","K00760","hprT, hpt, HPRT1","hypoxanthine phosphoribosyltransferase","0.1815","0.3313","Rothia mucilaginosa"
"rmu","RMDY18_01520","K01495","GCH1, folE","GTP cyclohydrolase I","0.4010","0.3596","Rothia mucilaginosa"
"rmu","RMDY18_01550","K00796","folP","dihydropteroate synthase","0.5030","0.3686","Rothia mucilaginosa"
"rmu","RMDY18_01570","K01633","folB","dihydroneopterin aldolase / 7,8-dihydroneopterin epimerase","0.4583","0.2731","Rothia mucilaginosa"
"rmu","RMDY18_01590","K00950","folK","2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase","0.4583","0.4040","Rothia mucilaginosa"
"rmu","RMDY18_01650","K01918","panC","pantoate--beta-alanine ligase","0.2338","0.2517","Rothia mucilaginosa"
"rmu","RMDY18_01660","K04567","KARS, lysS","lysyl-tRNA synthetase, class II","0.4899","0.4350","Rothia mucilaginosa"
"rmu","RMDY18_01690","K03575","mutY","A/G-specific adenine glycosylase","0.0000 ","0.0035","Rothia mucilaginosa"
"rmu","RMDY18_01800","K01424","E3.5.1.1, ansA, ansB","L-asparaginase","0.0190","0.1677","Rothia mucilaginosa"
"rmu","RMDY18_01880","K03654","recQ","ATP-dependent DNA helicase RecQ","0.0014","0.0359","Rothia mucilaginosa"
"rmu","RMDY18_01950","K00761","upp, UPRT","uracil phosphoribosyltransferase","0.0177","0.1551","Rothia mucilaginosa"
"rmu","RMDY18_02040","K01644","citE","citrate lyase subunit beta / citryl-CoA lyase","0.0085","0.0032","Rothia mucilaginosa"
"rmu","RMDY18_02120","K01756","purB, ADSL","adenylosuccinate lyase","0.2660","0.2990","Rothia mucilaginosa"
"rmu","RMDY18_02150","K00817","hisC","histidinol-phosphate aminotransferase","0.1003","0.1197","Rothia mucilaginosa"
"rmu","RMDY18_02170","K00161","PDHA, pdhA","pyruvate dehydrogenase E1 component alpha subunit","0.1209","0.0478","Rothia mucilaginosa"
"rmu","RMDY18_02180","K00162","PDHB, pdhB","pyruvate dehydrogenase E1 component beta subunit","0.0170","0.0372","Rothia mucilaginosa"
"rmu","RMDY18_02190","K00627","DLAT, aceF, pdhC","pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase)","0.0899","0.1582","Rothia mucilaginosa"
"rmu","RMDY18_02240","K01897","ACSL, fadD","long-chain acyl-CoA synthetase","0.0000 ","0.0000 ","Rothia mucilaginosa"
"rmu","RMDY18_02250","K02073","metQ","D-methionine transport system substrate-binding protein","0.0000 ","0.0053","Rothia mucilaginosa"
"rmu","RMDY18_02260","K02071","metN","D-methionine transport system ATP-binding protein","0.0000 ","0.0053","Rothia mucilaginosa"
"rmu","RMDY18_02270","K02072","metI","D-methionine transport system permease protein","0.0000 ","0.0053","Rothia mucilaginosa"
"rmu","RMDY18_02350","K00882","fruK","1-phosphofructokinase","0.0000 ","0.0906","Rothia mucilaginosa"
"rmu","RMDY18_02370","K02768","PTS-Fru-EIIA, fruB","PTS system, fructose-specific IIA component","0.0016","0.0042","Rothia mucilaginosa"
"rmu","RMDY18_02380","K08483","PTS-EI.PTSI, ptsI","phosphotransferase system, enzyme I, PtsI","0.0137","0.0186","Rothia mucilaginosa"
"rmu","RMDY18_02420","K03648","UNG, UDG","uracil-DNA glycosylase","0.0184","0.0637","Rothia mucilaginosa"
"rmu","RMDY18_02460","K04077","groEL, HSPD1","chaperonin GroEL","0.4440","0.5638","Rothia mucilaginosa"
"rmu","RMDY18_02520","K01252","entB, dhbB, vibB, mxcF","bifunctional isochorismate lyase / aryl carrier protein","0.0000 ","9.33E-","Rothia mucilaginosa"
"rmu","RMDY18_02540","K00216","entA","2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase","0.0000 ","0.0295","Rothia mucilaginosa"
"rmu","RMDY18_02550","K02361","entC","isochorismate synthase","0.0206","0.0188","Rothia mucilaginosa"
"rmu","RMDY18_02560","K06133","LYS5, acpT","4-phosphopantetheinyl transferase","0.0206","0.1975","Rothia mucilaginosa"
"rmu","RMDY18_02570","K03469","rnhA, RNASEH1","ribonuclease HI","0.0206","0.1042","Rothia mucilaginosa"
"rmu","RMDY18_02680","K03657","uvrD, pcrA","DNA helicase II / ATP-dependent DNA helicase PcrA","0.0351","0.0917","Rothia mucilaginosa"
"rmu","RMDY18_02690","K01903","sucC","succinyl-CoA synthetase beta subunit","0.0322","0.0831","Rothia mucilaginosa"
"rmu","RMDY18_02710","K01902","sucD","succinyl-CoA synthetase alpha subunit","0.0631","0.0742","Rothia mucilaginosa"
"rmu","RMDY18_02910","K14645","K14645","serine protease","0.0000 ","0.0004","Rothia mucilaginosa"
"rmu","RMDY18_02920","K14645","K14645","serine protease","0.0000 ","0.0004","Rothia mucilaginosa"
"rmu","RMDY18_02940","K01933","purM","phosphoribosylformylglycinamidine cyclo-ligase","0.0526","0.0937","Rothia mucilaginosa"
"rmu","RMDY18_02950","K00764","purF, PPAT","amidophosphoribosyltransferase","0.0184","0.1521","Rothia mucilaginosa"
"rmu","RMDY18_02990","K01945","purD","phosphoribosylamine--glycine ligase","0.0268","0.0743","Rothia mucilaginosa"
"rmu","RMDY18_03000","K01923","purC","phosphoribosylaminoimidazole-succinocarboxamide synthase","0.0544","0.0920","Rothia mucilaginosa"
"rmu","RMDY18_03240","K10914","crp","CRP/FNR family transcriptional regulator, cyclic AMP receptor protein","0.0000 ","5.20E-","Rothia mucilaginosa"
"rmu","RMDY18_03260","K03786","aroQ, qutE","3-dehydroquinate dehydratase II","0.1693","0.1315","Rothia mucilaginosa"
"rmu","RMDY18_03270","K10773","NTH","endonuclease III","0.0010","0.0113","Rothia mucilaginosa"
"rmu","RMDY18_03290","K02335","DPO1, polA","DNA polymerase I","0.7656","0.8943","Rothia mucilaginosa"
"rmu","RMDY18_03480","K01524","ppx-gppA","exopolyphosphatase / guanosine-5-triphosphate,3-diphosphate pyrophosphatase","0.0111","0.0535","Rothia mucilaginosa"
"rmu","RMDY18_03520","K00286","proC","pyrroline-5-carboxylate reductase","0.0526","0.0624","Rothia mucilaginosa"
"rmu","RMDY18_03620","K02548","menA","1,4-dihydroxy-2-naphthoate octaprenyltransferase","0.0722","0.0758","Rothia mucilaginosa"
"rmu","RMDY18_03630","K01911","menE","O-succinylbenzoic acid--CoA ligase","0.0572","0.0475","Rothia mucilaginosa"
