"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"acd","AOLE_00005","K02313","dnaA","chromosomal replication initiator protein","0.5800","0.2130","Acinetobacter oleivorans"
"acd","AOLE_00010","K02338","DPO3B, dnaN","DNA polymerase III subunit beta","0.8789","0.9703","Acinetobacter oleivorans"
"acd","AOLE_00015","K03629","recF","DNA replication and repair protein RecF","0.0047","0.0420","Acinetobacter oleivorans"
"acd","AOLE_00070","K01866","YARS, tyrS","tyrosyl-tRNA synthetase","0.6601","0.5571","Acinetobacter oleivorans"
"acd","AOLE_00075","K00799","GST, gst","glutathione S-transferase","0.0402","0.0384","Acinetobacter oleivorans"
"acd","AOLE_00100","K00604","MTFMT, fmt","methionyl-tRNA formyltransferase","0.5166","0.6569","Acinetobacter oleivorans"
"acd","AOLE_00105","K01687","ilvD","dihydroxy-acid dehydratase","0.0429","0.0806","Acinetobacter oleivorans"
"acd","AOLE_00130","K01595","ppc","phosphoenolpyruvate carboxylase","0.0895","0.1205","Acinetobacter oleivorans"
"acd","AOLE_00165","K00215","dapB","4-hydroxy-tetrahydrodipicolinate reductase","0.5376","0.5651","Acinetobacter oleivorans"
"acd","AOLE_00205","K01246","tag","DNA-3-methyladenine glycosylase I","0.0012","0.0100","Acinetobacter oleivorans"
"acd","AOLE_00220","K03575","mutY","A/G-specific adenine glycosylase","0.0000 ","0.0035","Acinetobacter oleivorans"
"acd","AOLE_00265","K01923","purC","phosphoribosylaminoimidazole-succinocarboxamide synthase","0.0544","0.0920","Acinetobacter oleivorans"
"acd","AOLE_00275","K01714","dapA","4-hydroxy-tetrahydrodipicolinate synthase","0.4899","0.3442","Acinetobacter oleivorans"
"acd","AOLE_00280","K08281","pncA","nicotinamidase/pyrazinamidase","0.0000 ","0.1532","Acinetobacter oleivorans"
"acd","AOLE_00300","K00457","HPD, hppD","4-hydroxyphenylpyruvate dioxygenase","0.0000 ","0.0000 ","Acinetobacter oleivorans"
"acd","AOLE_00315","K01800","maiA, GSTZ1","maleylacetoacetate isomerase","0.0000 ","0.0067","Acinetobacter oleivorans"
"acd","AOLE_00320","K01555","FAH, fahA","fumarylacetoacetase","0.0000 ","0.0203","Acinetobacter oleivorans"
"acd","AOLE_00355","K01712","hutU, UROC1","urocanate hydratase","0.0016","0.0067","Acinetobacter oleivorans"
"acd","AOLE_00360","K01745","hutH, HAL","histidine ammonia-lyase","0.0137","0.0186","Acinetobacter oleivorans"
"acd","AOLE_00370","K01468","hutI, AMDHD1","imidazolonepropionase","0.0000 ","0.0021","Acinetobacter oleivorans"
"acd","AOLE_00375","K01479","hutG","formiminoglutamase","0.0000 ","0.0021","Acinetobacter oleivorans"
"acd","AOLE_00385","K01091","gph","phosphoglycolate phosphatase","0.0000 ","0.0024","Acinetobacter oleivorans"
"acd","AOLE_00390","K01776","murI","glutamate racemase","0.3599","0.4250","Acinetobacter oleivorans"
"acd","AOLE_00410","K00820","glmS, GFPT","glucosamine--fructose-6-phosphate aminotransferase (isomerizing)","0.6712","0.7161","Acinetobacter oleivorans"
