"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"flm","MY04_0001","K02313","dnaA","chromosomal replication initiator protein","0.5800","0.2130","Flammeovirga sp. MY04"
"flm","MY04_0019","K01589","purK","5-(carboxyamino)imidazole ribonucleotide synthase","0.0429","0.0792","Flammeovirga sp. MY04"
"flm","MY04_0020","K01945","purD","phosphoribosylamine--glycine ligase","0.0268","0.0743","Flammeovirga sp. MY04"
"flm","MY04_0025","K01613","psd, PISD","phosphatidylserine decarboxylase","0.2176","0.1484","Flammeovirga sp. MY04"
"flm","MY04_0026","K06167","phnP","phosphoribosyl 1,2-cyclic phosphate phosphodiesterase","0.0000 ","0.0002","Flammeovirga sp. MY04"
"flm","MY04_0031","K02563","murG","UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase","0.7026","0.5912","Flammeovirga sp. MY04"
"flm","MY04_0032","K01924","murC","UDP-N-acetylmuramate--alanine ligase","0.8149","0.6201","Flammeovirga sp. MY04"
"flm","MY04_0038","K01183","E3.2.1.14","chitinase","0.0000 ","0.0172","Flammeovirga sp. MY04"
"flm","MY04_0041","K00850","pfkA, PFK","6-phosphofructokinase 1","0.5774","0.5374","Flammeovirga sp. MY04"
"flm","MY04_0045","K00973","E2.7.7.24, rfbA, rffH","glucose-1-phosphate thymidylyltransferase","0.0335","0.0709","Flammeovirga sp. MY04"
"flm","MY04_0049","K01939","purA, ADSS","adenylosuccinate synthase","0.1496","0.2426","Flammeovirga sp. MY04"
"flm","MY04_0051","K01736","aroC","chorismate synthase","0.1496","0.1733","Flammeovirga sp. MY04"
"flm","MY04_0056","K01190","lacZ","beta-galactosidase","0.0000 ","0.0000 ","Flammeovirga sp. MY04"
"flm","MY04_0057","K12308","bgaB, lacA","beta-galactosidase","0.0000 ","0.0038","Flammeovirga sp. MY04"
"flm","MY04_0065","K01624","FBA, fbaA","fructose-bisphosphate aldolase, class II","0.5327","0.3946","Flammeovirga sp. MY04"
"flm","MY04_0066","K01963","accD","acetyl-CoA carboxylase carboxyl transferase subunit beta","0.6626","0.5064","Flammeovirga sp. MY04"
"flm","MY04_0069","K00789","metK","S-adenosylmethionine synthetase","0.7119","0.5349","Flammeovirga sp. MY04"
"flm","MY04_0091","K00281","GLDC, gcvP","glycine dehydrogenase","0.5052","0.3271","Flammeovirga sp. MY04"
"flm","MY04_0101","K03100","lepB, TPP","signal peptidase I","0.3262","0.4509","Flammeovirga sp. MY04"
"flm","MY04_0102","K00215","dapB","4-hydroxy-tetrahydrodipicolinate reductase","0.5376","0.5651","Flammeovirga sp. MY04"
"flm","MY04_0107","K00826","E2.6.1.42, ilvE","branched-chain amino acid aminotransferase","0.0166","0.0653","Flammeovirga sp. MY04"
"flm","MY04_0108","K01687","ilvD","dihydroxy-acid dehydratase","0.0429","0.0806","Flammeovirga sp. MY04"
"flm","MY04_0109","K01652","E2.2.1.6L, ilvB, ilvG, ilvI","acetolactate synthase I/II/III large subunit","0.0184","0.0311","Flammeovirga sp. MY04"
"flm","MY04_0110","K01653","E2.2.1.6S, ilvH, ilvN","acetolactate synthase I/III small subunit","0.0190","0.0562","Flammeovirga sp. MY04"
"flm","MY04_0111","K01754","E4.3.1.19, ilvA, tdcB","threonine dehydratase","0.2176","0.1963","Flammeovirga sp. MY04"
"flm","MY04_0117","K01953","asnB, ASNS","asparagine synthase (glutamine-hydrolysing)","0.0302","0.0397","Flammeovirga sp. MY04"
"flm","MY04_0122","K01448","E3.5.1.28B, amiA, amiB, amiC","N-acetylmuramoyl-L-alanine amidase","0.0606","0.0578","Flammeovirga sp. MY04"
"flm","MY04_0123","K03118","tatC","sec-independent protein translocase protein TatC","0.0584","0.1144","Flammeovirga sp. MY04"
"flm","MY04_0124","K06187","recR","recombination protein RecR","0.0040","0.0446","Flammeovirga sp. MY04"
"flm","MY04_0126","K00067","rfbD, rmlD","dTDP-4-dehydrorhamnose reductase","0.0335","0.0762","Flammeovirga sp. MY04"
"flm","MY04_0134","K19222","menI","1,4-dihydroxy-2-naphthoyl-CoA hydrolase","0.0179","0.0481","Flammeovirga sp. MY04"
"flm","MY04_0137","K00767","nadC, QPRT","nicotinate-nucleotide pyrophosphorylase (carboxylating)","0.0445","0.1747","Flammeovirga sp. MY04"
"flm","MY04_0141","K01633","folB","dihydroneopterin aldolase / 7,8-dihydroneopterin epimerase","0.4583","0.2731","Flammeovirga sp. MY04"
"flm","MY04_0148","K00627","DLAT, aceF, pdhC","pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase)","0.0899","0.1582","Flammeovirga sp. MY04"
"flm","MY04_0153","K08281","pncA","nicotinamidase/pyrazinamidase","0.0000 ","0.1532","Flammeovirga sp. MY04"
"flm","MY04_0167","K01192","E3.2.1.25, MANBA, manB","beta-mannosidase","0.0000 ","0.0203","Flammeovirga sp. MY04"
"flm","MY04_0169","K00390","cysH","phosphoadenosine phosphosulfate reductase","0.0144","0.0272","Flammeovirga sp. MY04"
"flm","MY04_0177","K00031","IDH1, IDH2, icd","isocitrate dehydrogenase","0.1443","0.2055","Flammeovirga sp. MY04"
"flm","MY04_0187","K00029","E1.1.1.40, maeB","malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+)","0.0137","0.0262","Flammeovirga sp. MY04"
"flm","MY04_0190","K05349","bglX","beta-glucosidase","0.0024","0.0063","Flammeovirga sp. MY04"
"flm","MY04_0191","K01179","E3.2.1.4","endoglucanase","0.0044","0.0058","Flammeovirga sp. MY04"
"flm","MY04_0202","K00940","ndk, NME","nucleoside-diphosphate kinase","0.7341","0.8327","Flammeovirga sp. MY04"
"flm","MY04_0212","K05592","deaD, cshA","ATP-dependent RNA helicase DeaD","0.0000 ","0.0313","Flammeovirga sp. MY04"
