"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"adi","B5T_00001","K02313","dnaA","chromosomal replication initiator protein","0.5800","0.2130","Alcanivorax dieselolei"
"adi","B5T_00002","K02338","DPO3B, dnaN","DNA polymerase III subunit beta","0.8789","0.9703","Alcanivorax dieselolei"
"adi","B5T_00003","K03629","recF","DNA replication and repair protein RecF","0.0047","0.0420","Alcanivorax dieselolei"
"adi","B5T_00006","K00655","plsC","1-acyl-sn-glycerol-3-phosphate acyltransferase","0.7119","0.5099","Alcanivorax dieselolei"
"adi","B5T_00007","K03273","gmhB","D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase","0.0875","0.0999","Alcanivorax dieselolei"
"adi","B5T_00011","K01999","livK","branched-chain amino acid transport system substrate-binding protein","0.0000 ","0.0005","Alcanivorax dieselolei"
"adi","B5T_00012","K01997","livH","branched-chain amino acid transport system permease protein","0.0000 ","0.0000 ","Alcanivorax dieselolei"
"adi","B5T_00014","K01879","glyS","glycyl-tRNA synthetase beta chain","0.6310","0.4651","Alcanivorax dieselolei"
"adi","B5T_00015","K01878","glyQ","glycyl-tRNA synthetase alpha chain","0.4306","0.3913","Alcanivorax dieselolei"
"adi","B5T_00016","K01246","tag","DNA-3-methyladenine glycosylase I","0.0012","0.0100","Alcanivorax dieselolei"
"adi","B5T_00017","K01951","guaA, GMPS","GMP synthase (glutamine-hydrolysing)","0.4583","0.4623","Alcanivorax dieselolei"
"adi","B5T_00024","K00058","serA, PHGDH","D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase","0.1073","0.1203","Alcanivorax dieselolei"
"adi","B5T_00033","K00681","ggt","gamma-glutamyltranspeptidase / glutathione hydrolase","0.0013","0.0125","Alcanivorax dieselolei"
"adi","B5T_00034","K00954","E2.7.7.3A, coaD, kdtB","pantetheine-phosphate adenylyltransferase","0.5327","0.4431","Alcanivorax dieselolei"
"adi","B5T_00044","K01027","OXCT","3-oxoacid CoA-transferase","0.0000 ","0.0203","Alcanivorax dieselolei"
"adi","B5T_00056","K01759","GLO1, gloA","lactoylglutathione lyase","0.0000 ","0.0104","Alcanivorax dieselolei"
"adi","B5T_00059","K02517","lpxL, htrB","Kdo2-lipid IVA lauroyltransferase","0.1623","0.0916","Alcanivorax dieselolei"
"adi","B5T_00061","K06598","chpC","chemosensory pili system protein ChpC","0.0000 ","0.0203","Alcanivorax dieselolei"
