"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"gma","AciX8_0001","K02313","dnaA","chromosomal replication initiator protein","0.5800","0.2130","Granulicella mallensis"
"gma","AciX8_0003","K02338","DPO3B, dnaN","DNA polymerase III subunit beta","0.8789","0.9703","Granulicella mallensis"
"gma","AciX8_0007","K05350","bglB","beta-glucosidase","0.0044","0.0023","Granulicella mallensis"
"gma","AciX8_0011","K01569","oxdD","oxalate decarboxylase","0.0000 ","0.0716","Granulicella mallensis"
"gma","AciX8_0030","K01792","E5.1.3.15","glucose-6-phosphate 1-epimerase","0.2316","0.1624","Granulicella mallensis"
"gma","AciX8_0035","K10773","NTH","endonuclease III","0.0010","0.0113","Granulicella mallensis"
"gma","AciX8_0040","K02535","lpxC","UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase","0.4346","0.2421","Granulicella mallensis"
"gma","AciX8_0042","K00950","folK","2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase","0.4583","0.4040","Granulicella mallensis"
"gma","AciX8_0051","K00681","ggt","gamma-glutamyltranspeptidase / glutathione hydrolase","0.0013","0.0125","Granulicella mallensis"
"gma","AciX8_0053","K00655","plsC","1-acyl-sn-glycerol-3-phosphate acyltransferase","0.7119","0.5099","Granulicella mallensis"
"gma","AciX8_0054","K11754","folC","dihydrofolate synthase / folylpolyglutamate synthase","0.5987","0.4070","Granulicella mallensis"
"gma","AciX8_0056","K01963","accD","acetyl-CoA carboxylase carboxyl transferase subunit beta","0.6626","0.5064","Granulicella mallensis"
"gma","AciX8_0058","K01893","NARS, asnS","asparaginyl-tRNA synthetase","0.2860","0.2797","Granulicella mallensis"
"gma","AciX8_0073","K01921","ddl","D-alanine-D-alanine ligase","0.5987","0.5198","Granulicella mallensis"
"gma","AciX8_0075","K01754","E4.3.1.19, ilvA, tdcB","threonine dehydratase","0.2176","0.1963","Granulicella mallensis"
"gma","AciX8_0086","K02902","RP-L28, MRPL28, rpmB","large subunit ribosomal protein L28","0.3164","0.5072","Granulicella mallensis"
"gma","AciX8_0087","K02913","RP-L33, MRPL33, rpmG","large subunit ribosomal protein L33","0.0687","0.3611","Granulicella mallensis"
