"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"mavr","LA63_00005","K02313","dnaA","chromosomal replication initiator protein","0.5800","0.2130","Mycobacterium avium subsp. avium 2285 (R)"
"mavr","LA63_00010","K02338","DPO3B, dnaN","DNA polymerase III subunit beta","0.8789","0.9703","Mycobacterium avium subsp. avium 2285 (R)"
"mavr","LA63_00015","K03629","recF","DNA replication and repair protein RecF","0.0047","0.0420","Mycobacterium avium subsp. avium 2285 (R)"
"mavr","LA63_00040","K14227","tRNA-Ile","tRNA Ile","0.0000 ","0.2024","Mycobacterium avium subsp. avium 2285 (R)"
"mavr","LA63_00045","K14218","tRNA-Ala","tRNA Ala","0.0060","0.2024","Mycobacterium avium subsp. avium 2285 (R)"
"mavr","LA63_00065","K03767","PPIA","peptidyl-prolyl cis-trans isomerase A (cyclophilin A)","0.0000 ","0.0178","Mycobacterium avium subsp. avium 2285 (R)"
"mavr","LA63_00085","K01664","pabA","para-aminobenzoate synthetase component II","0.0024","0.1645","Mycobacterium avium subsp. avium 2285 (R)"
"mavr","LA63_00100","K05364","pbpA","penicillin-binding protein A","0.0000 ","0.0344","Mycobacterium avium subsp. avium 2285 (R)"
"mavr","LA63_00125","K14228","tRNA-Leu","tRNA Leu","0.0060","0.2024","Mycobacterium avium subsp. avium 2285 (R)"
"mavr","LA63_00145","K02078","acpP","acyl carrier protein","0.4873","0.1020","Mycobacterium avium subsp. avium 2285 (R)"
"mavr","LA63_00150","K01909","mbtM","long-chain-fatty-acid--[acyl-carrier-protein] ligase","0.0000 ","0.2326","Mycobacterium avium subsp. avium 2285 (R)"
"mavr","LA63_00270","K01869","LARS, leuS","leucyl-tRNA synthetase","0.6103","0.5347","Mycobacterium avium subsp. avium 2285 (R)"
"mavr","LA63_00330","K01858","INO1, ISYNA1","myo-inositol-1-phosphate synthase","0.0080","0.0008","Mycobacterium avium subsp. avium 2285 (R)"
"mavr","LA63_00365","K02990","RP-S6, MRPS6, rpsF","small subunit ribosomal protein S6","0.5030","0.5709","Mycobacterium avium subsp. avium 2285 (R)"
"mavr","LA63_00370","K03111","ssb","single-strand DNA-binding protein","0.4028","0.5247","Mycobacterium avium subsp. avium 2285 (R)"
"mavr","LA63_00375","K02963","RP-S18, MRPS18, rpsR","small subunit ribosomal protein S18","0.4440","0.5564","Mycobacterium avium subsp. avium 2285 (R)"
"mavr","LA63_00380","K02939","RP-L9, MRPL9, rplI","large subunit ribosomal protein L9","0.0090","0.3152","Mycobacterium avium subsp. avium 2285 (R)"
"mavr","LA63_00385","K02314","dnaB","replicative DNA helicase","0.6807","0.7836","Mycobacterium avium subsp. avium 2285 (R)"
"mavr","LA63_00445","K10914","crp","CRP/FNR family transcriptional regulator, cyclic AMP receptor protein","0.0000 ","5.20E-","Mycobacterium avium subsp. avium 2285 (R)"
"mavr","LA63_00475","K03823","pat","phosphinothricin acetyltransferase","0.0000 ","0.0002","Mycobacterium avium subsp. avium 2285 (R)"
"mavr","LA63_00490","K02066","mlaE, linK","phospholipid/cholesterol/gamma-HCH transport system permease protein","0.0012","0.0117","Mycobacterium avium subsp. avium 2285 (R)"
"mavr","LA63_00495","K02066","mlaE, linK","phospholipid/cholesterol/gamma-HCH transport system permease protein","0.0012","0.0117","Mycobacterium avium subsp. avium 2285 (R)"
"mavr","LA63_00505","K02067","mlaD, linM","phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein","0.0000 ","0.0053","Mycobacterium avium subsp. avium 2285 (R)"
"mavr","LA63_00685","K15555","ssuB","sulfonate transport system ATP-binding protein","0.0000 ","0.0000 ","Mycobacterium avium subsp. avium 2285 (R)"
"mavr","LA63_00690","K15553","ssuA","sulfonate transport system substrate-binding protein","0.0000 ","0.0000 ","Mycobacterium avium subsp. avium 2285 (R)"
"mavr","LA63_00695","K15554","ssuC","sulfonate transport system permease protein","0.0000 ","0.0007","Mycobacterium avium subsp. avium 2285 (R)"
"mavr","LA63_00810","K00265","gltB","glutamate synthase (NADPH/NADH) large chain","0.2338","0.2722","Mycobacterium avium subsp. avium 2285 (R)"
"mavr","LA63_00815","K00266","gltD","glutamate synthase (NADPH/NADH) small chain","0.2338","0.2051","Mycobacterium avium subsp. avium 2285 (R)"
"mavr","LA63_00850","K10215","ethA","monooxygenase","0.0000 ","0.0170","Mycobacterium avium subsp. avium 2285 (R)"
"mavr","LA63_00905","K01126","E3.1.4.46, glpQ, ugpQ","glycerophosphoryl diester phosphodiesterase","0.0000 ","0.0333","Mycobacterium avium subsp. avium 2285 (R)"
"mavr","LA63_00920","K04518","pheA2","prephenate dehydratase","0.1142","0.0816","Mycobacterium avium subsp. avium 2285 (R)"
"mavr","LA63_00945","K01875","SARS, serS","seryl-tRNA synthetase","0.6103","0.5347","Mycobacterium avium subsp. avium 2285 (R)"
"mavr","LA63_00980","K14952","namH","UDP-MurNAc hydroxylase","0.0000 ","0.0000 ","Mycobacterium avium subsp. avium 2285 (R)"
"mavr","LA63_01020","K01854","glf","UDP-galactopyranose mutase","0.0127","0.0311","Mycobacterium avium subsp. avium 2285 (R)"
"mavr","LA63_01045","K18851","fbp","diacylglycerol O-acyltransferase / trehalose O-mycolyltransferase","0.0071","0.0015","Mycobacterium avium subsp. avium 2285 (R)"
"mavr","LA63_01150","K06912","tfdA","alpha-ketoglutarate-dependent 2,4-dichlorophenoxyacetate dioxygenase","0.0000 ","0.0203","Mycobacterium avium subsp. avium 2285 (R)"
"mavr","LA63_01190","K14233","tRNA-Ser","tRNA Ser","0.0000 ","0.2024","Mycobacterium avium subsp. avium 2285 (R)"
"mavr","LA63_01210","K01692","paaF, echA","enoyl-CoA hydratase","0.0091","0.0090","Mycobacterium avium subsp. avium 2285 (R)"
"mavr","LA63_01225","K00817","hisC","histidinol-phosphate aminotransferase","0.1003","0.1197","Mycobacterium avium subsp. avium 2285 (R)"
"mavr","LA63_01230","K14233","tRNA-Ser","tRNA Ser","0.0000 ","0.2024","Mycobacterium avium subsp. avium 2285 (R)"
"mavr","LA63_01235","K14219","tRNA-Arg","tRNA Arg","0.0000 ","0.2024","Mycobacterium avium subsp. avium 2285 (R)"
"mavr","LA63_01425","K14953","lpqH","ipoprotein LpqH","0.0000 ","0.0203","Mycobacterium avium subsp. avium 2285 (R)"
