"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"blas","BSY18_1001","K03100","lepB, TPP","signal peptidase I","0.3262","0.4509","Blastomonas sp. RAC04"
"blas","BSY18_1002","K01810","GPI, pgi","glucose-6-phosphate isomerase","0.3262","0.3873","Blastomonas sp. RAC04"
"blas","BSY18_1003","K00383","GSR, gor","glutathione reductase (NADPH)","0.0125","0.1203","Blastomonas sp. RAC04"
"blas","BSY18_1005","K01966","PCCB, pccB","propionyl-CoA carboxylase beta chain","0.0031","0.0878","Blastomonas sp. RAC04"
"blas","BSY18_1006","K05606","MCEE, epi","methylmalonyl-CoA/ethylmalonyl-CoA epimerase","0.0031","0.1112","Blastomonas sp. RAC04"
"blas","BSY18_1007","K15866","paaG","2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA isomerase","0.0000 ","0.0013","Blastomonas sp. RAC04"
"blas","BSY18_1008","K01847","MUT","methylmalonyl-CoA mutase","0.0029","0.1311","Blastomonas sp. RAC04"
"blas","BSY18_1009","K01012","bioB","biotin synthase","0.0544","0.1254","Blastomonas sp. RAC04"
"blas","BSY18_1011","K01965","PCCA, pccA","propionyl-CoA carboxylase alpha chain","0.0039","0.0942","Blastomonas sp. RAC04"
"blas","BSY18_1013","K01775","alr","alanine racemase","0.3752","0.4780","Blastomonas sp. RAC04"
"blas","BSY18_1014","K00626","E2.3.1.9, atoB","acetyl-CoA C-acetyltransferase","0.0206","0.0393","Blastomonas sp. RAC04"
"blas","BSY18_1015","K03821","phbC, phaC","polyhydroxyalkanoate synthase","0.0026","0.0034","Blastomonas sp. RAC04"
"blas","BSY18_1017","K01881","PARS, proS","prolyl-tRNA synthetase","0.6601","0.5571","Blastomonas sp. RAC04"
"blas","BSY18_1018","K12573","rnr, vacB","ribonuclease R","0.0090","0.0479","Blastomonas sp. RAC04"
"blas","BSY18_1020","K00627","DLAT, aceF, pdhC","pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase)","0.0899","0.1582","Blastomonas sp. RAC04"
"blas","BSY18_1023","K00382","DLD, lpd, pdhD","dihydrolipoamide dehydrogenase","0.5030","0.4139","Blastomonas sp. RAC04"
"blas","BSY18_1028","K01259","pip","proline iminopeptidase","0.0021","0.0070","Blastomonas sp. RAC04"
"blas","BSY18_1030","K03406","mcp","methyl-accepting chemotaxis protein","0.0071","0.0042","Blastomonas sp. RAC04"
"blas","BSY18_1034","K01735","aroB","3-dehydroquinate synthase","0.1039","0.1485","Blastomonas sp. RAC04"
"blas","BSY18_1035","K00891","E2.7.1.71, aroK, aroL","shikimate kinase","0.1756","0.1196","Blastomonas sp. RAC04"
"blas","BSY18_1039","K01962","accA","acetyl-CoA carboxylase carboxyl transferase subunit alpha","0.6626","0.6603","Blastomonas sp. RAC04"
"blas","BSY18_1044","K14219","tRNA-Arg","tRNA Arg","0.0000 ","0.2024","Blastomonas sp. RAC04"
"blas","BSY18_1045","K00457","HPD, hppD","4-hydroxyphenylpyruvate dioxygenase","0.0000 ","0.0000 ","Blastomonas sp. RAC04"
"blas","BSY18_1050","K01563","dhaA","haloalkane dehalogenase","0.0000 ","0.0032","Blastomonas sp. RAC04"
"blas","BSY18_1060","K14233","tRNA-Ser","tRNA Ser","0.0000 ","0.2024","Blastomonas sp. RAC04"
"blas","BSY18_1063","K07258","dacC, dacA, dacD","serine-type D-Ala-D-Ala carboxypeptidase (penicillin-binding protein 5/6)","0.0012","0.0145","Blastomonas sp. RAC04"
"blas","BSY18_1064","K00943","tmk, DTYMK","dTMP kinase","0.7026","0.4891","Blastomonas sp. RAC04"
"blas","BSY18_1065","K02341","DPO3D2, holB","DNA polymerase III subunit delta","0.9384","0.9971","Blastomonas sp. RAC04"
"blas","BSY18_1066","K01874","MARS, metG","methionyl-tRNA synthetase","0.3906","0.3932","Blastomonas sp. RAC04"
"blas","BSY18_1068","K06167","phnP","phosphoribosyl 1,2-cyclic phosphate phosphodiesterase","0.0000 ","0.0002","Blastomonas sp. RAC04"
"blas","BSY18_1071","K04765","mazG","nucleoside triphosphate diphosphatase","0.7341","0.8327","Blastomonas sp. RAC04"
"blas","BSY18_1072","K03666","hfq","host factor-I protein","0.0234","0.0506","Blastomonas sp. RAC04"
"blas","BSY18_1073","K13599","ntrX","two-component system, NtrC family, nitrogen regulation response regulator NtrX","0.0403","0.0011","Blastomonas sp. RAC04"
"blas","BSY18_1074","K13598","ntrY","two-component system, NtrC family, nitrogen regulation sensor histidine kinase NtrY","0.0000 ","0.0007","Blastomonas sp. RAC04"
"blas","BSY18_1075","K07712","glnG, ntrC","two-component system, NtrC family, nitrogen regulation response regulator GlnG","0.0000 ","0.0011","Blastomonas sp. RAC04"
"blas","BSY18_1076","K07708","glnL, ntrB","two-component system, NtrC family, nitrogen regulation sensor histidine kinase GlnL","0.0000 ","0.0007","Blastomonas sp. RAC04"
"blas","BSY18_1078","K12506","ispDF","2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase / 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase","0.6234","0.3906","Blastomonas sp. RAC04"
"blas","BSY18_108","K01626","E2.5.1.54, aroF, aroG, aroH","3-deoxy-7-phosphoheptulonate synthase","0.0606","0.0964","Blastomonas sp. RAC04"
"blas","BSY18_1081","K03743","pncC","nicotinamide-nucleotide amidase","0.0000 ","0.1524","Blastomonas sp. RAC04"
"blas","BSY18_1082","K03644","lipA","lipoyl synthase","0.2427","0.2360","Blastomonas sp. RAC04"
"blas","BSY18_1083","K00275","pdxH, PNPO","pyridoxamine 5-phosphate oxidase","0.1770","0.0889","Blastomonas sp. RAC04"
"blas","BSY18_1088","K01951","guaA, GMPS","GMP synthase (glutamine-hydrolysing)","0.4583","0.4623","Blastomonas sp. RAC04"
"blas","BSY18_1098","K01523","hisE","phosphoribosyl-ATP pyrophosphohydrolase","0.0887","0.0604","Blastomonas sp. RAC04"
"blas","BSY18_11","K01467","ampC","beta-lactamase class C","0.0000 ","0.0009","Blastomonas sp. RAC04"
"blas","BSY18_1100","K02500","hisF","cyclase","0.0606","0.0888","Blastomonas sp. RAC04"
"blas","BSY18_1101","K01814","hisA","phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase","0.0445","0.0799","Blastomonas sp. RAC04"
"blas","BSY18_1102","K02501","hisH","glutamine amidotransferase","0.0606","0.0888","Blastomonas sp. RAC04"
"blas","BSY18_1103","K01693","hisB","imidazoleglycerol-phosphate dehydratase","0.0680","0.0662","Blastomonas sp. RAC04"
"blas","BSY18_1105","K01679","E4.2.1.2B, fumC","fumarate hydratase, class II","0.1043","0.1495","Blastomonas sp. RAC04"
"blas","BSY18_1107","K00942","E2.7.4.8, gmk","guanylate kinase","0.8789","0.5063","Blastomonas sp. RAC04"
"blas","BSY18_1110","K06446","DCAA","acyl-CoA dehydrogenase","0.0000 ","0.0023","Blastomonas sp. RAC04"
"blas","BSY18_1115","K00121","frmA, ADH5, adhC","S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase","0.0144","0.0255","Blastomonas sp. RAC04"
"blas","BSY18_1120","K07516","fadN","3-hydroxyacyl-CoA dehydrogenase","0.0029","0.0088","Blastomonas sp. RAC04"
"blas","BSY18_1124","K01091","gph","phosphoglycolate phosphatase","0.0000 ","0.0024","Blastomonas sp. RAC04"
"blas","BSY18_1136","K04077","groEL, HSPD1","chaperonin GroEL","0.4440","0.5638","Blastomonas sp. RAC04"
"blas","BSY18_1137","K18199","inhA","cyclohexyl-isocyanide hydratase","0.0000 ","0.0024","Blastomonas sp. RAC04"
"blas","BSY18_1140","K02335","DPO1, polA","DNA polymerase I","0.7656","0.8943","Blastomonas sp. RAC04"
"blas","BSY18_1142","K04518","pheA2","prephenate dehydratase","0.1142","0.0816","Blastomonas sp. RAC04"
"blas","BSY18_1143","K08738","CYC","cytochrome c","0.0029","0.0053","Blastomonas sp. RAC04"
