"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"bami","KSO_000010","K02914","RP-L34, MRPL34, rpmH","large subunit ribosomal protein L34","0.3752","0.5158","Bacillus amyloliquefaciens IT-45"
"bami","KSO_000020","K03217","yidC, spoIIIJ, OXA1, ccfA","YidC/Oxa1 family membrane protein insertase","0.5327","0.5418","Bacillus amyloliquefaciens IT-45"
"bami","KSO_000090","K02990","RP-S6, MRPS6, rpsF","small subunit ribosomal protein S6","0.5030","0.5709","Bacillus amyloliquefaciens IT-45"
"bami","KSO_000095","K03111","ssb","single-strand DNA-binding protein","0.4028","0.5247","Bacillus amyloliquefaciens IT-45"
"bami","KSO_000100","K02963","RP-S18, MRPS18, rpsR","small subunit ribosomal protein S18","0.4440","0.5564","Bacillus amyloliquefaciens IT-45"
"bami","KSO_000115","K01142","E3.1.11.2, xthA","exodeoxyribonuclease III","0.0010","0.0110","Bacillus amyloliquefaciens IT-45"
"bami","KSO_000125","K01759","GLO1, gloA","lactoylglutathione lyase","0.0000 ","0.0104","Bacillus amyloliquefaciens IT-45"
"bami","KSO_000175","K00019","E1.1.1.30, bdh","3-hydroxybutyrate dehydrogenase","0.0000 ","0.0294","Bacillus amyloliquefaciens IT-45"
"bami","KSO_000185","K01607","pcaC","4-carboxymuconolactone decarboxylase","0.0000 ","0.0000 ","Bacillus amyloliquefaciens IT-45"
"bami","KSO_000245","K01212","sacC, levB","levanase","0.0000 ","0.0050","Bacillus amyloliquefaciens IT-45"
"bami","KSO_000250","K00692","sacB","levansucrase","0.0000 ","0.0204","Bacillus amyloliquefaciens IT-45"
"bami","KSO_000260","K15986","ppaC","manganese-dependent inorganic pyrophosphatase","0.0882","0.0310","Bacillus amyloliquefaciens IT-45"
"bami","KSO_000290","K02939","RP-L9, MRPL9, rplI","large subunit ribosomal protein L9","0.0090","0.3152","Bacillus amyloliquefaciens IT-45"
"bami","KSO_000345","K02314","dnaB","replicative DNA helicase","0.6807","0.7836","Bacillus amyloliquefaciens IT-45"
"bami","KSO_000355","K01939","purA, ADSS","adenylosuccinate synthase","0.1496","0.2426","Bacillus amyloliquefaciens IT-45"
"bami","KSO_000365","K07668","vicR","two-component system, OmpR family, response regulator VicR","0.1120","0.0028","Bacillus amyloliquefaciens IT-45"
"bami","KSO_000370","K07652","vicK","two-component system, OmpR family, sensor histidine kinase VicK","0.0179","0.0013","Bacillus amyloliquefaciens IT-45"
"bami","KSO_000450","K00819","rocD, OAT","ornithine--oxo-acid transaminase","0.0044","0.0191","Bacillus amyloliquefaciens IT-45"
"bami","KSO_000460","K01476","E3.5.3.1, rocF, arg","arginase","0.0000 ","0.0005","Bacillus amyloliquefaciens IT-45"
"bami","KSO_000575","K07141","mocA","molybdenum cofactor cytidylyltransferase","0.0000 ","0.0063","Bacillus amyloliquefaciens IT-45"
"bami","KSO_000595","K04041","fbp3","fructose-1,6-bisphosphatase III","0.6172","0.5007","Bacillus amyloliquefaciens IT-45"
"bami","KSO_000645","K00128","ALDH","aldehyde dehydrogenase (NAD+)","0.0018","0.0086","Bacillus amyloliquefaciens IT-45"
"bami","KSO_000655","K10255","FAD6, desA","acyl-lipid omega-6 desaturase (Delta-12 desaturase)","0.0000 ","0.0012","Bacillus amyloliquefaciens IT-45"
"bami","KSO_000660","K07778","desK","two-component system, NarL family, sensor histidine kinase DesK","0.0000 ","0.0013","Bacillus amyloliquefaciens IT-45"
"bami","KSO_000665","K07693","desR","two-component system, NarL family, response regulator DesR","0.0000 ","0.0010","Bacillus amyloliquefaciens IT-45"
"bami","KSO_000700","K00140","mmsA, iolA, ALDH6A1","malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase","0.0000 ","0.0040","Bacillus amyloliquefaciens IT-45"
