"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"cbj","16SrRNA-1","K01977","16SrRNA, rrs","16S ribosomal RNA","0.0000 ","0.3104","Clostridium botulinum H04402 065"
"cbj","16SrRNA-2","K01977","16SrRNA, rrs","16S ribosomal RNA","0.0000 ","0.3104","Clostridium botulinum H04402 065"
"cbj","16SrRNA-3","K01977","16SrRNA, rrs","16S ribosomal RNA","0.0000 ","0.3104","Clostridium botulinum H04402 065"
"cbj","16SrRNA-4","K01977","16SrRNA, rrs","16S ribosomal RNA","0.0000 ","0.3104","Clostridium botulinum H04402 065"
"cbj","16SrRNA-5","K01977","16SrRNA, rrs","16S ribosomal RNA","0.0000 ","0.3104","Clostridium botulinum H04402 065"
"cbj","16SrRNA-6","K01977","16SrRNA, rrs","16S ribosomal RNA","0.0000 ","0.3104","Clostridium botulinum H04402 065"
"cbj","16SrRNA-7","K01977","16SrRNA, rrs","16S ribosomal RNA","0.0000 ","0.3104","Clostridium botulinum H04402 065"
"cbj","16SrRNA-8","K01977","16SrRNA, rrs","16S ribosomal RNA","0.0000 ","0.3104","Clostridium botulinum H04402 065"
"cbj","23SrRNA-1","K01980","23SrRNA, rrl","23S ribosomal RNA","0.0000 ","0.3104","Clostridium botulinum H04402 065"
"cbj","23SrRNA-2","K01980","23SrRNA, rrl","23S ribosomal RNA","0.0000 ","0.3104","Clostridium botulinum H04402 065"
"cbj","23SrRNA-3","K01980","23SrRNA, rrl","23S ribosomal RNA","0.0000 ","0.3104","Clostridium botulinum H04402 065"
"cbj","23SrRNA-4","K01980","23SrRNA, rrl","23S ribosomal RNA","0.0000 ","0.3104","Clostridium botulinum H04402 065"
"cbj","23SrRNA-5","K01980","23SrRNA, rrl","23S ribosomal RNA","0.0000 ","0.3104","Clostridium botulinum H04402 065"
"cbj","23SrRNA-6","K01980","23SrRNA, rrl","23S ribosomal RNA","0.0000 ","0.3104","Clostridium botulinum H04402 065"
"cbj","23SrRNA-7","K01980","23SrRNA, rrl","23S ribosomal RNA","0.0000 ","0.3104","Clostridium botulinum H04402 065"
"cbj","23SrRNA-8","K01980","23SrRNA, rrl","23S ribosomal RNA","0.0000 ","0.3104","Clostridium botulinum H04402 065"
"cbj","23SrRNA-9","K01980","23SrRNA, rrl","23S ribosomal RNA","0.0000 ","0.3104","Clostridium botulinum H04402 065"
"cbj","5SrRNA-2","K01985","5SrRNA, rrf","5S ribosomal RNA","0.0060","0.3104","Clostridium botulinum H04402 065"
"cbj","5SrRNA-3","K01985","5SrRNA, rrf","5S ribosomal RNA","0.0060","0.3104","Clostridium botulinum H04402 065"
"cbj","H04402_00001","K02313","dnaA","chromosomal replication initiator protein","0.5800","0.2130","Clostridium botulinum H04402 065"
"cbj","H04402_00002","K02338","DPO3B, dnaN","DNA polymerase III subunit beta","0.8789","0.9703","Clostridium botulinum H04402 065"
"cbj","H04402_00004","K03629","recF","DNA replication and repair protein RecF","0.0047","0.0420","Clostridium botulinum H04402 065"
"cbj","H04402_00015","K01875","SARS, serS","seryl-tRNA synthetase","0.6103","0.5347","Clostridium botulinum H04402 065"
"cbj","H04402_00016","K01613","psd, PISD","phosphatidylserine decarboxylase","0.2176","0.1484","Clostridium botulinum H04402 065"
"cbj","H04402_00020","K01761","E4.4.1.11","methionine-gamma-lyase","0.0000 ","0.0794","Clostridium botulinum H04402 065"
"cbj","H04402_00022","K02343","DPO3G, dnaX","DNA polymerase III subunit gamma/tau","0.9384","0.9971","Clostridium botulinum H04402 065"
"cbj","H04402_00024","K06187","recR","recombination protein RecR","0.0040","0.0446","Clostridium botulinum H04402 065"
"cbj","H04402_00028","K03426","E3.6.1.22, NUDT12, nudC","NAD+ diphosphatase","0.4153","0.4516","Clostridium botulinum H04402 065"
"cbj","H04402_00034","K21929","udg","uracil-DNA glycosylase","0.0000 ","0.0182","Clostridium botulinum H04402 065"
"cbj","H04402_00049","K00943","tmk, DTYMK","dTMP kinase","0.7026","0.4891","Clostridium botulinum H04402 065"
"cbj","H04402_00051","K02341","DPO3D2, holB","DNA polymerase III subunit delta","0.9384","0.9971","Clostridium botulinum H04402 065"
"cbj","H04402_00059","K01478","arcA","arginine deiminase","0.0206","0.0235","Clostridium botulinum H04402 065"
"cbj","H04402_00060","K01770","ispF","2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase","0.5916","0.3681","Clostridium botulinum H04402 065"
"cbj","H04402_00066","K21929","udg","uracil-DNA glycosylase","0.0000 ","0.0182","Clostridium botulinum H04402 065"
"cbj","H04402_00068","K01874","MARS, metG","methionyl-tRNA synthetase","0.3906","0.3932","Clostridium botulinum H04402 065"
"cbj","H04402_00085","K21636","nrdD","ribonucleoside-triphosphate reductase (formate)","0.3500","0.1132","Clostridium botulinum H04402 065"
"cbj","H04402_00090","K01870","IARS, ileS","isoleucyl-tRNA synthetase","0.7341","0.5753","Clostridium botulinum H04402 065"
"cbj","H04402_00093","K00971","manC, cpsB","mannose-1-phosphate guanylyltransferase","0.0180","0.0457","Clostridium botulinum H04402 065"
"cbj","H04402_00113","K00919","ispE","4-diphosphocytidyl-2-C-methyl-D-erythritol kinase","0.5198","0.4114","Clostridium botulinum H04402 065"
"cbj","H04402_00118","K03429","ugtP","processive 1,2-diacylglycerol beta-glucosyltransferase","0.0060","0.1844","Clostridium botulinum H04402 065"
"cbj","H04402_00123","K01937","pyrG, CTPS","CTP synthase","0.7895","0.5413","Clostridium botulinum H04402 065"
"cbj","H04402_00125","K03628","rho","transcription termination factor Rho","0.2427","0.1615","Clostridium botulinum H04402 065"
"cbj","H04402_00126","K02909","RP-L31, rpmE","large subunit ribosomal protein L31","0.1218","0.4008","Clostridium botulinum H04402 065"
"cbj","H04402_00127","K00857","tdk, TK","thymidine kinase","0.0402","0.0518","Clostridium botulinum H04402 065"
"cbj","H04402_00135","K01808","rpiB","ribose 5-phosphate isomerase B","0.5995","0.5491","Clostridium botulinum H04402 065"
"cbj","H04402_00136","K00761","upp, UPRT","uracil phosphoribosyltransferase","0.0177","0.1551","Clostridium botulinum H04402 065"
"cbj","H04402_00137","K01493","comEB","dCMP deaminase","0.1422","0.1520","Clostridium botulinum H04402 065"
