"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"aso","SFBmNL_00001","K02313","dnaA","chromosomal replication initiator protein","0.5800","0.2130","Candidatus Arthromitus sp. SFB-mouse-NL"
"aso","SFBmNL_00002","K02338","DPO3B, dnaN","DNA polymerase III subunit beta","0.8789","0.9703","Candidatus Arthromitus sp. SFB-mouse-NL"
"aso","SFBmNL_00003","K03629","recF","DNA replication and repair protein RecF","0.0047","0.0420","Candidatus Arthromitus sp. SFB-mouse-NL"
"aso","SFBmNL_00008","K14218","tRNA-Ala","tRNA Ala","0.0060","0.2024","Candidatus Arthromitus sp. SFB-mouse-NL"
"aso","SFBmNL_00010","K01875","SARS, serS","seryl-tRNA synthetase","0.6103","0.5347","Candidatus Arthromitus sp. SFB-mouse-NL"
"aso","SFBmNL_00034","K01881","PARS, proS","prolyl-tRNA synthetase","0.6601","0.5571","Candidatus Arthromitus sp. SFB-mouse-NL"
"aso","SFBmNL_00040","K02343","DPO3G, dnaX","DNA polymerase III subunit gamma/tau","0.9384","0.9971","Candidatus Arthromitus sp. SFB-mouse-NL"
"aso","SFBmNL_00042","K06187","recR","recombination protein RecR","0.0040","0.0446","Candidatus Arthromitus sp. SFB-mouse-NL"
"aso","SFBmNL_00044","K01980","23SrRNA, rrl","23S ribosomal RNA","0.0000 ","0.3104","Candidatus Arthromitus sp. SFB-mouse-NL"
"aso","SFBmNL_00045","K01985","5SrRNA, rrf","5S ribosomal RNA","0.0060","0.3104","Candidatus Arthromitus sp. SFB-mouse-NL"
"aso","SFBmNL_00046","K14229","tRNA-Lys","tRNA Lys","0.0060","0.2024","Candidatus Arthromitus sp. SFB-mouse-NL"
"aso","SFBmNL_00049","K01243","mtnN, mtn, pfs","adenosylhomocysteine nucleosidase","0.0429","0.1589","Candidatus Arthromitus sp. SFB-mouse-NL"
"aso","SFBmNL_00053","K01985","5SrRNA, rrf","5S ribosomal RNA","0.0060","0.3104","Candidatus Arthromitus sp. SFB-mouse-NL"
"aso","SFBmNL_00054","K11693","femX, fmhB","peptidoglycan pentaglycine glycine transferase (the first glycine)","0.0080","0.0124","Candidatus Arthromitus sp. SFB-mouse-NL"
"aso","SFBmNL_00057","K08641","vanX","zinc D-Ala-D-Ala dipeptidase","0.0000 ","0.0000 ","Candidatus Arthromitus sp. SFB-mouse-NL"
"aso","SFBmNL_00069","K00971","manC, cpsB","mannose-1-phosphate guanylyltransferase","0.0180","0.0457","Candidatus Arthromitus sp. SFB-mouse-NL"
"aso","SFBmNL_00071","K00963","UGP2, galU, galF","UTP--glucose-1-phosphate uridylyltransferase","0.2177","0.2983","Candidatus Arthromitus sp. SFB-mouse-NL"
"aso","SFBmNL_00073","K03111","ssb","single-strand DNA-binding protein","0.4028","0.5247","Candidatus Arthromitus sp. SFB-mouse-NL"
"aso","SFBmNL_00076","K00997","acpS","holo-[acyl-carrier protein] synthase","0.2267","0.2984","Candidatus Arthromitus sp. SFB-mouse-NL"
"aso","SFBmNL_00078","K01775","alr","alanine racemase","0.3752","0.4780","Candidatus Arthromitus sp. SFB-mouse-NL"
"aso","SFBmNL_00082","K09812","ftsE","cell division transport system ATP-binding protein","0.1086","0.0737","Candidatus Arthromitus sp. SFB-mouse-NL"
"aso","SFBmNL_00083","K09811","ftsX","cell division transport system permease protein","0.1399","0.0813","Candidatus Arthromitus sp. SFB-mouse-NL"
"aso","SFBmNL_00086","K03702","uvrB","excinuclease ABC subunit B","0.0041","0.0270","Candidatus Arthromitus sp. SFB-mouse-NL"
"aso","SFBmNL_00087","K03701","uvrA","excinuclease ABC subunit A","0.0009","0.0194","Candidatus Arthromitus sp. SFB-mouse-NL"
"aso","SFBmNL_00090","K05364","pbpA","penicillin-binding protein A","0.0000 ","0.0344","Candidatus Arthromitus sp. SFB-mouse-NL"
"aso","SFBmNL_00091","K03703","uvrC","excinuclease ABC subunit C","0.0009","0.0153","Candidatus Arthromitus sp. SFB-mouse-NL"
"aso","SFBmNL_00092","K00075","murB","UDP-N-acetylmuramate dehydrogenase","0.7026","0.7608","Candidatus Arthromitus sp. SFB-mouse-NL"
"aso","SFBmNL_00097","K01953","asnB, ASNS","asparagine synthase (glutamine-hydrolysing)","0.0302","0.0397","Candidatus Arthromitus sp. SFB-mouse-NL"
"aso","SFBmNL_00098","K02337","DPO3A1, dnaE","DNA polymerase III subunit alpha","0.9384","0.7471","Candidatus Arthromitus sp. SFB-mouse-NL"
"aso","SFBmNL_00099","K00850","pfkA, PFK","6-phosphofructokinase 1","0.5774","0.5374","Candidatus Arthromitus sp. SFB-mouse-NL"
"aso","SFBmNL_00100","K00873","PK, pyk","pyruvate kinase","0.7341","0.8327","Candidatus Arthromitus sp. SFB-mouse-NL"
"aso","SFBmNL_00158","K03100","lepB, TPP","signal peptidase I","0.3262","0.4509","Candidatus Arthromitus sp. SFB-mouse-NL"
"aso","SFBmNL_00159","K03657","uvrD, pcrA","DNA helicase II / ATP-dependent DNA helicase PcrA","0.0351","0.0917","Candidatus Arthromitus sp. SFB-mouse-NL"
"aso","SFBmNL_00162","K00928","lysC","aspartate kinase","0.3479","0.4527","Candidatus Arthromitus sp. SFB-mouse-NL"
"aso","SFBmNL_00163","K01586","lysA","diaminopimelate decarboxylase","0.0710","0.1073","Candidatus Arthromitus sp. SFB-mouse-NL"
"aso","SFBmNL_00166","K01770","ispF","2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase","0.5916","0.3681","Candidatus Arthromitus sp. SFB-mouse-NL"
"aso","SFBmNL_00186","K01980","23SrRNA, rrl","23S ribosomal RNA","0.0000 ","0.3104","Candidatus Arthromitus sp. SFB-mouse-NL"
"aso","SFBmNL_00187","K01985","5SrRNA, rrf","5S ribosomal RNA","0.0060","0.3104","Candidatus Arthromitus sp. SFB-mouse-NL"
"aso","SFBmNL_00195","K06131","clsA_B","cardiolipin synthase A/B","0.0144","0.0916","Candidatus Arthromitus sp. SFB-mouse-NL"
"aso","SFBmNL_00197","K01190","lacZ","beta-galactosidase","0.0000 ","0.0000 ","Candidatus Arthromitus sp. SFB-mouse-NL"
"aso","SFBmNL_00205","K00134","GAPDH, gapA","glyceraldehyde 3-phosphate dehydrogenase","0.5166","0.5281","Candidatus Arthromitus sp. SFB-mouse-NL"
"aso","SFBmNL_00206","K00927","PGK, pgk","phosphoglycerate kinase","0.3906","0.5214","Candidatus Arthromitus sp. SFB-mouse-NL"
"aso","SFBmNL_00207","K01803","TPI, tpiA","triosephosphate isomerase (TIM)","0.5625","0.7010","Candidatus Arthromitus sp. SFB-mouse-NL"
"aso","SFBmNL_00208","K15633","gpmI","2,3-bisphosphoglycerate-independent phosphoglycerate mutase","0.4153","0.4448","Candidatus Arthromitus sp. SFB-mouse-NL"
"aso","SFBmNL_00209","K01689","ENO, eno","enolase","0.4306","0.5736","Candidatus Arthromitus sp. SFB-mouse-NL"
"aso","SFBmNL_00210","K00014","aroE","shikimate dehydrogenase","0.1039","0.1242","Candidatus Arthromitus sp. SFB-mouse-NL"
"aso","SFBmNL_00211","K03786","aroQ, qutE","3-dehydroquinate dehydratase II","0.1693","0.1315","Candidatus Arthromitus sp. SFB-mouse-NL"
"aso","SFBmNL_00212","K00891","E2.7.1.71, aroK, aroL","shikimate kinase","0.1756","0.1196","Candidatus Arthromitus sp. SFB-mouse-NL"
"aso","SFBmNL_00213","K03075","secG","preprotein translocase subunit SecG","0.0644","0.3115","Candidatus Arthromitus sp. SFB-mouse-NL"
"aso","SFBmNL_00214","K12573","rnr, vacB","ribonuclease R","0.0090","0.0479","Candidatus Arthromitus sp. SFB-mouse-NL"
"aso","SFBmNL_00221","K02798","PTS-Mtl-EIIA, mtlA, cmtB","PTS system, mannitol-specific IIA component","0.0000 ","0.0042","Candidatus Arthromitus sp. SFB-mouse-NL"
