"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"lke","WANG_0001","K02890","RP-L22, MRPL22, rplV","large subunit ribosomal protein L22","0.4873","0.5756","Lactobacillus kefiranofaciens"
"lke","WANG_0002","K02982","RP-S3, rpsC","small subunit ribosomal protein S3","0.7119","0.6883","Lactobacillus kefiranofaciens"
"lke","WANG_0003","K02878","RP-L16, MRPL16, rplP","large subunit ribosomal protein L16","0.7119","0.6883","Lactobacillus kefiranofaciens"
"lke","WANG_0004","K02904","RP-L29, rpmC","large subunit ribosomal protein L29","0.4873","0.5756","Lactobacillus kefiranofaciens"
"lke","WANG_0005","K02961","RP-S17, MRPS17, rpsQ","small subunit ribosomal protein S17","0.4873","0.5756","Lactobacillus kefiranofaciens"
"lke","WANG_0006","K02874","RP-L14, MRPL14, rplN","large subunit ribosomal protein L14","0.5166","0.6003","Lactobacillus kefiranofaciens"
"lke","WANG_0007","K02895","RP-L24, MRPL24, rplX","large subunit ribosomal protein L24","0.5800","0.6162","Lactobacillus kefiranofaciens"
"lke","WANG_0008","K02931","RP-L5, MRPL5, rplE","large subunit ribosomal protein L5","0.7119","0.6883","Lactobacillus kefiranofaciens"
"lke","WANG_0009","K02994","RP-S8, rpsH","small subunit ribosomal protein S8","0.6293","0.6378","Lactobacillus kefiranofaciens"
"lke","WANG_0010","K02933","RP-L6, MRPL6, rplF","large subunit ribosomal protein L6","0.7656","0.7124","Lactobacillus kefiranofaciens"
"lke","WANG_0011","K02881","RP-L18, MRPL18, rplR","large subunit ribosomal protein L18","0.5625","0.6211","Lactobacillus kefiranofaciens"
"lke","WANG_0012","K02988","RP-S5, MRPS5, rpsE","small subunit ribosomal protein S5","0.7119","0.6883","Lactobacillus kefiranofaciens"
"lke","WANG_0013","K02907","RP-L30, MRPL30, rpmD","large subunit ribosomal protein L30","0.3727","0.4868","Lactobacillus kefiranofaciens"
"lke","WANG_0014","K02876","RP-L15, MRPL15, rplO","large subunit ribosomal protein L15","0.5625","0.6211","Lactobacillus kefiranofaciens"
"lke","WANG_0015","K03076","secY","preprotein translocase subunit SecY","0.6601","0.6114","Lactobacillus kefiranofaciens"
"lke","WANG_0016","K00939","adk, AK","adenylate kinase","0.8789","0.7609","Lactobacillus kefiranofaciens"
"lke","WANG_0018","K02952","RP-S13, rpsM","small subunit ribosomal protein S13","0.6103","0.6427","Lactobacillus kefiranofaciens"
"lke","WANG_0019","K02948","RP-S11, MRPS11, rpsK","small subunit ribosomal protein S11","0.7119","0.6883","Lactobacillus kefiranofaciens"
"lke","WANG_0020","K03040","rpoA","DNA-directed RNA polymerase subunit alpha","0.9384","0.8488","Lactobacillus kefiranofaciens"
"lke","WANG_0021","K02879","RP-L17, MRPL17, rplQ","large subunit ribosomal protein L17","0.4726","0.5803","Lactobacillus kefiranofaciens"
"lke","WANG_0022","K16786","ecfA1","energy-coupling factor transport system ATP-binding protein","0.0534","0.0143","Lactobacillus kefiranofaciens"
"lke","WANG_0023","K16787","ecfA2","energy-coupling factor transport system ATP-binding protein","0.0534","0.0143","Lactobacillus kefiranofaciens"
"lke","WANG_0024","K16785","ecfT","energy-coupling factor transport system permease protein","0.0394","0.0102","Lactobacillus kefiranofaciens"
"lke","WANG_0026","K02871","RP-L13, MRPL13, rplM","large subunit ribosomal protein L13","0.7119","0.6883","Lactobacillus kefiranofaciens"
"lke","WANG_0027","K02996","RP-S9, MRPS9, rpsI","small subunit ribosomal protein S9","0.5166","0.6003","Lactobacillus kefiranofaciens"
"lke","WANG_0031","K01560","E3.8.1.2","2-haloacid dehalogenase","0.0000 ","0.0388","Lactobacillus kefiranofaciens"
"lke","WANG_0037","K01834","PGAM, gpmA","2,3-bisphosphoglycerate-dependent phosphoglycerate mutase","0.4443","0.4971","Lactobacillus kefiranofaciens"
"lke","WANG_0045","K01520","dut, DUT","dUTP pyrophosphatase","0.3727","0.3207","Lactobacillus kefiranofaciens"
"lke","WANG_0047","K09698","gltX","nondiscriminating glutamyl-tRNA synthetase","0.7777","0.4463","Lactobacillus kefiranofaciens"
"lke","WANG_0048","K01883","CARS, cysS","cysteinyl-tRNA synthetase","0.6601","0.3696","Lactobacillus kefiranofaciens"
"lke","WANG_0053","K00851","E2.7.1.12, gntK, idnK","gluconokinase","0.0000 ","0.0066","Lactobacillus kefiranofaciens"
"lke","WANG_0055","K01662","dxs","1-deoxy-D-xylulose-5-phosphate synthase","0.6552","0.5909","Lactobacillus kefiranofaciens"
"lke","WANG_0056","K02913","RP-L33, MRPL33, rpmG","large subunit ribosomal protein L33","0.0687","0.3611","Lactobacillus kefiranofaciens"
"lke","WANG_0057","K03073","secE","preprotein translocase subunit SecE","0.5987","0.5577","Lactobacillus kefiranofaciens"
"lke","WANG_0059","K02867","RP-L11, MRPL11, rplK","large subunit ribosomal protein L11","0.5327","0.5955","Lactobacillus kefiranofaciens"
"lke","WANG_0060","K02863","RP-L1, MRPL1, rplA","large subunit ribosomal protein L1","0.4306","0.5610","Lactobacillus kefiranofaciens"
"lke","WANG_0061","K02040","pstS","phosphate transport system substrate-binding protein","0.0099","0.0481","Lactobacillus kefiranofaciens"
"lke","WANG_0062","K02037","pstC","phosphate transport system permease protein","0.0099","0.0317","Lactobacillus kefiranofaciens"
"lke","WANG_0063","K02038","pstA","phosphate transport system permease protein","0.0184","0.0317","Lactobacillus kefiranofaciens"
"lke","WANG_0064","K02036","pstB","phosphate transport system ATP-binding protein","0.0103","0.0272","Lactobacillus kefiranofaciens"
"lke","WANG_0065","K02036","pstB","phosphate transport system ATP-binding protein","0.0103","0.0272","Lactobacillus kefiranofaciens"
"lke","WANG_0069","K02864","RP-L10, MRPL10, rplJ","large subunit ribosomal protein L10","0.5800","0.6162","Lactobacillus kefiranofaciens"
"lke","WANG_0070","K02935","RP-L7, MRPL12, rplL","large subunit ribosomal protein L7/L12","0.6601","0.6651","Lactobacillus kefiranofaciens"
