"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"fba","FIC_00001","K01808","rpiB","ribose 5-phosphate isomerase B","0.5995","0.5491","Flavobacteriaceae bacterium 3519-10"
"fba","FIC_00002","K12573","rnr, vacB","ribonuclease R","0.0090","0.0479","Flavobacteriaceae bacterium 3519-10"
"fba","FIC_00011","K02492","hemA","glutamyl-tRNA reductase","0.2206","0.1199","Flavobacteriaceae bacterium 3519-10"
"fba","FIC_00012","K01749","hemC, HMBS","hydroxymethylbilane synthase","0.4471","0.2333","Flavobacteriaceae bacterium 3519-10"
"fba","FIC_00013","K01719","hemD, UROS","uroporphyrinogen-III synthase","0.3727","0.2247","Flavobacteriaceae bacterium 3519-10"
"fba","FIC_00014","K01599","hemE, UROD","uroporphyrinogen decarboxylase","0.4306","0.2372","Flavobacteriaceae bacterium 3519-10"
"fba","FIC_00024","K00262","E1.4.1.4, gdhA","glutamate dehydrogenase (NADP+)","0.2743","0.2224","Flavobacteriaceae bacterium 3519-10"
"fba","FIC_00031","K01880","GARS, glyS1","glycyl-tRNA synthetase","0.0987","0.1960","Flavobacteriaceae bacterium 3519-10"
"fba","FIC_00032","K11717","sufS","cysteine desulfurase / selenocysteine lyase","0.2588","0.0692","Flavobacteriaceae bacterium 3519-10"
"fba","FIC_00034","K10773","NTH","endonuclease III","0.0010","0.0113","Flavobacteriaceae bacterium 3519-10"
"fba","FIC_00042","K11754","folC","dihydrofolate synthase / folylpolyglutamate synthase","0.5987","0.4070","Flavobacteriaceae bacterium 3519-10"
"fba","FIC_00043","K14237","tRNA-Val","tRNA Val","0.0060","0.2024","Flavobacteriaceae bacterium 3519-10"
"fba","FIC_00044","K14237","tRNA-Val","tRNA Val","0.0060","0.2024","Flavobacteriaceae bacterium 3519-10"
"fba","FIC_00045","K00254","DHODH, pyrD","dihydroorotate dehydrogenase","0.0463","0.1443","Flavobacteriaceae bacterium 3519-10"
"fba","FIC_00055","K01847","MUT","methylmalonyl-CoA mutase","0.0029","0.1311","Flavobacteriaceae bacterium 3519-10"
"fba","FIC_00062","K01679","E4.2.1.2B, fumC","fumarate hydratase, class II","0.1043","0.1495","Flavobacteriaceae bacterium 3519-10"
"fba","FIC_00067","K13038","coaBC, dfp","phosphopantothenoylcysteine decarboxylase / phosphopantothenate--cysteine ligase","0.4153","0.3095","Flavobacteriaceae bacterium 3519-10"
"fba","FIC_00085","K01586","lysA","diaminopimelate decarboxylase","0.0710","0.1073","Flavobacteriaceae bacterium 3519-10"
"fba","FIC_00086","K02342","DPO3E, dnaQ","DNA polymerase III subunit epsilon","0.8212","0.6494","Flavobacteriaceae bacterium 3519-10"
"fba","FIC_00093","K13566","NIT2","omega-amidase","0.0000 ","0.0412","Flavobacteriaceae bacterium 3519-10"
"fba","FIC_00095","K11749","rseP","regulator of sigma E protease","0.0563","0.0923","Flavobacteriaceae bacterium 3519-10"
"fba","FIC_00096","K14220","tRNA-Asn","tRNA Asn","0.0000 ","0.2024","Flavobacteriaceae bacterium 3519-10"
"fba","FIC_00098","K01640","E4.1.3.4, HMGCL, hmgL","hydroxymethylglutaryl-CoA lyase","0.0091","0.0134","Flavobacteriaceae bacterium 3519-10"
"fba","FIC_00102","K05515","mrdA","penicillin-binding protein 2","0.2106","0.0687","Flavobacteriaceae bacterium 3519-10"
"fba","FIC_00105","K01915","glnA, GLUL","glutamine synthetase","0.4736","0.4162","Flavobacteriaceae bacterium 3519-10"
"fba","FIC_00108","K03525","coaX","type III pantothenate kinase","0.4954","0.4088","Flavobacteriaceae bacterium 3519-10"
"fba","FIC_00122","K02065","mlaF, linL, mkl","phospholipid/cholesterol/gamma-HCH transport system ATP-binding protein","0.0012","0.0117","Flavobacteriaceae bacterium 3519-10"
"fba","FIC_00123","K02066","mlaE, linK","phospholipid/cholesterol/gamma-HCH transport system permease protein","0.0012","0.0117","Flavobacteriaceae bacterium 3519-10"
"fba","FIC_00125","K10026","queE","7-carboxy-7-deazaguanine synthase","0.0013","0.1471","Flavobacteriaceae bacterium 3519-10"
"fba","FIC_00126","K01491","folD","methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase","0.4306","0.4659","Flavobacteriaceae bacterium 3519-10"
"fba","FIC_00127","K01810","GPI, pgi","glucose-6-phosphate isomerase","0.3262","0.3873","Flavobacteriaceae bacterium 3519-10"
"fba","FIC_00131","K02067","mlaD, linM","phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein","0.0000 ","0.0053","Flavobacteriaceae bacterium 3519-10"
"fba","FIC_00139","K01875","SARS, serS","seryl-tRNA synthetase","0.6103","0.5347","Flavobacteriaceae bacterium 3519-10"
"fba","FIC_00144","K00406","ccoP","cytochrome c oxidase cbb3-type subunit III","0.0026","0.0093","Flavobacteriaceae bacterium 3519-10"
"fba","FIC_00146","K15862","ccoNO","cytochrome c oxidase cbb3-type subunit I/II","0.0000 ","0.0089","Flavobacteriaceae bacterium 3519-10"
"fba","FIC_00150","K00606","panB","3-methyl-2-oxobutanoate hydroxymethyltransferase","0.1192","0.2722","Flavobacteriaceae bacterium 3519-10"
"fba","FIC_00155","K00058","serA, PHGDH","D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase","0.1073","0.1203","Flavobacteriaceae bacterium 3519-10"
"fba","FIC_00162","K01681","ACO, acnA","aconitate hydratase","0.1854","0.2183","Flavobacteriaceae bacterium 3519-10"
"fba","FIC_00166","K01493","comEB","dCMP deaminase","0.1422","0.1520","Flavobacteriaceae bacterium 3519-10"
"fba","FIC_00167","K01715","crt","enoyl-CoA hydratase","0.0241","0.0208","Flavobacteriaceae bacterium 3519-10"
"fba","FIC_00170","K00789","metK","S-adenosylmethionine synthetase","0.7119","0.5349","Flavobacteriaceae bacterium 3519-10"
"fba","FIC_00175","K01867","WARS, trpS","tryptophanyl-tRNA synthetase","0.5166","0.4923","Flavobacteriaceae bacterium 3519-10"
"fba","FIC_00176","K03101","lspA","signal peptidase II","0.2338","0.2223","Flavobacteriaceae bacterium 3519-10"
"fba","FIC_00180","K01870","IARS, ileS","isoleucyl-tRNA synthetase","0.7341","0.5753","Flavobacteriaceae bacterium 3519-10"
"fba","FIC_00195","K00806","uppS","undecaprenyl diphosphate synthase","0.6186","0.2407","Flavobacteriaceae bacterium 3519-10"
"fba","FIC_00200","K00067","rfbD, rmlD","dTDP-4-dehydrorhamnose reductase","0.0335","0.0762","Flavobacteriaceae bacterium 3519-10"
"fba","FIC_00204","K14226","tRNA-His","tRNA His","0.0000 ","0.2024","Flavobacteriaceae bacterium 3519-10"
"fba","FIC_00206","K18889","mdlA, smdA","ATP-binding cassette, subfamily B, multidrug efflux pump","0.0000 ","0.0165","Flavobacteriaceae bacterium 3519-10"
"fba","FIC_00209","K03210","yajC","preprotein translocase subunit YajC","0.1110","0.3272","Flavobacteriaceae bacterium 3519-10"
"fba","FIC_00216","K03784","deoD","purine-nucleoside phosphorylase","0.0402","0.0637","Flavobacteriaceae bacterium 3519-10"
"fba","FIC_00220","K03116","tatA","sec-independent protein translocase protein TatA","0.0206","0.0739","Flavobacteriaceae bacterium 3519-10"
"fba","FIC_00223","K00973","E2.7.7.24, rfbA, rffH","glucose-1-phosphate thymidylyltransferase","0.0335","0.0709","Flavobacteriaceae bacterium 3519-10"
"fba","FIC_00224","K01520","dut, DUT","dUTP pyrophosphatase","0.3727","0.3207","Flavobacteriaceae bacterium 3519-10"
"fba","FIC_00226","K01465","URA4, pyrC","dihydroorotase","0.0386","0.1747","Flavobacteriaceae bacterium 3519-10"
"fba","FIC_00239","K14223","tRNA-Gln","tRNA Gln","0.0000 ","0.2024","Flavobacteriaceae bacterium 3519-10"
"fba","FIC_00240","K03553","recA","recombination protein RecA","0.0156","0.0636","Flavobacteriaceae bacterium 3519-10"
"fba","FIC_00245","K01911","menE","O-succinylbenzoic acid--CoA ligase","0.0572","0.0475","Flavobacteriaceae bacterium 3519-10"
"fba","FIC_00246","K01887","RARS, argS","arginyl-tRNA synthetase","0.5800","0.5082","Flavobacteriaceae bacterium 3519-10"
"fba","FIC_00249","K03470","rnhB","ribonuclease HII","0.0093","0.1015","Flavobacteriaceae bacterium 3519-10"
"fba","FIC_00250","K03217","yidC, spoIIIJ, OXA1, ccfA","YidC/Oxa1 family membrane protein insertase","0.5327","0.5418","Flavobacteriaceae bacterium 3519-10"
"fba","FIC_00251","K01937","pyrG, CTPS","CTP synthase","0.7895","0.5413","Flavobacteriaceae bacterium 3519-10"
"fba","FIC_00260","K04077","groEL, HSPD1","chaperonin GroEL","0.4440","0.5638","Flavobacteriaceae bacterium 3519-10"
"fba","FIC_00265","K02970","RP-S21, MRPS21, rpsU","small subunit ribosomal protein S21","0.2105","0.4343","Flavobacteriaceae bacterium 3519-10"
"fba","FIC_00268","K14234","tRNA-Thr","tRNA Thr","0.0060","0.2024","Flavobacteriaceae bacterium 3519-10"
"fba","FIC_00269","K14236","tRNA-Tyr","tRNA Tyr","0.0000 ","0.2024","Flavobacteriaceae bacterium 3519-10"
"fba","FIC_00270","K14225","tRNA-Gly","tRNA Gly","0.0000 ","0.2024","Flavobacteriaceae bacterium 3519-10"
"fba","FIC_00271","K14234","tRNA-Thr","tRNA Thr","0.0060","0.2024","Flavobacteriaceae bacterium 3519-10"
"fba","FIC_00273","K14235","tRNA-Trp","tRNA Trp","0.0060","0.2024","Flavobacteriaceae bacterium 3519-10"
"fba","FIC_00274","K03073","secE","preprotein translocase subunit SecE","0.5987","0.5577","Flavobacteriaceae bacterium 3519-10"
"fba","FIC_00276","K02867","RP-L11, MRPL11, rplK","large subunit ribosomal protein L11","0.5327","0.5955","Flavobacteriaceae bacterium 3519-10"
"fba","FIC_00277","K02863","RP-L1, MRPL1, rplA","large subunit ribosomal protein L1","0.4306","0.5610","Flavobacteriaceae bacterium 3519-10"
"fba","FIC_00278","K02864","RP-L10, MRPL10, rplJ","large subunit ribosomal protein L10","0.5800","0.6162","Flavobacteriaceae bacterium 3519-10"
"fba","FIC_00279","K02935","RP-L7, MRPL12, rplL","large subunit ribosomal protein L7/L12","0.6601","0.6651","Flavobacteriaceae bacterium 3519-10"
"fba","FIC_00280","K03043","rpoB","DNA-directed RNA polymerase subunit beta","0.9384","0.8359","Flavobacteriaceae bacterium 3519-10"
"fba","FIC_00281","K03046","rpoC","DNA-directed RNA polymerase subunit beta","0.9384","0.8387","Flavobacteriaceae bacterium 3519-10"
"fba","FIC_00284","K14652","ribBA","3,4-dihydroxy 2-butanone 4-phosphate synthase / GTP cyclohydrolase II","0.3054","0.3176","Flavobacteriaceae bacterium 3519-10"
"fba","FIC_00286","K14222","tRNA-Cys","tRNA Cys","0.0000 ","0.2024","Flavobacteriaceae bacterium 3519-10"
