"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"pcon","B0A89_00010","K01776","murI","glutamate racemase","0.3599","0.4250","Paracoccus contaminans"
"pcon","B0A89_00025","K01952","purL, PFAS","phosphoribosylformylglycinamidine synthase","0.0386","0.0838","Paracoccus contaminans"
"pcon","B0A89_00030","K07636","phoR","two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR","0.0120","0.0013","Paracoccus contaminans"
"pcon","B0A89_00040","K00942","E2.7.4.8, gmk","guanylate kinase","0.8789","0.5063","Paracoccus contaminans"
"pcon","B0A89_00045","K03527","ispH, lytB","4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase","0.5261","0.3796","Paracoccus contaminans"
"pcon","B0A89_00050","K00799","GST, gst","glutathione S-transferase","0.0402","0.0384","Paracoccus contaminans"
"pcon","B0A89_00055","K03469","rnhA, RNASEH1","ribonuclease HI","0.0206","0.1042","Paracoccus contaminans"
"pcon","B0A89_00090","K02911","RP-L32, MRPL32, rpmF","large subunit ribosomal protein L32","0.2338","0.4521","Paracoccus contaminans"
"pcon","B0A89_00095","K03621","plsX","glycerol-3-phosphate acyltransferase PlsX","0.7026","0.6424","Paracoccus contaminans"
"pcon","B0A89_00100","K00648","fabH","3-oxoacyl-[acyl-carrier-protein] synthase III","0.7190","0.3716","Paracoccus contaminans"
"pcon","B0A89_00105","K02500","hisF","cyclase","0.0606","0.0888","Paracoccus contaminans"
"pcon","B0A89_00110","K01523","hisE","phosphoribosyl-ATP pyrophosphohydrolase","0.0887","0.0604","Paracoccus contaminans"
"pcon","B0A89_00120","K13877","aldH","2,5-dioxopentanoate dehydrogenase","0.0000 ","0.0217","Paracoccus contaminans"
"pcon","B0A89_00125","K16856","ugl","ureidoglycolate lyase","0.0080","0.0534","Paracoccus contaminans"
"pcon","B0A89_00130","K10112","msmX, msmK, malK, sugC, ggtA, msiK","multiple sugar transport system ATP-binding protein","0.0080","0.0057","Paracoccus contaminans"
"pcon","B0A89_00150","K00874","kdgK","2-dehydro-3-deoxygluconokinase","0.0018","0.0093","Paracoccus contaminans"
"pcon","B0A89_00175","K22186","N/A","","N/A","N/A","Paracoccus contaminans"
"pcon","B0A89_00190","K21883","lra5","2-dehydro-3-deoxy-L-rhamnonate dehydrogenase (NAD+)","0.0000 ","0.0358","Paracoccus contaminans"
"pcon","B0A89_00195","K05846","opuBD","osmoprotectant transport system permease protein","0.0000 ","0.0053","Paracoccus contaminans"
"pcon","B0A89_00200","K05847","opuA","osmoprotectant transport system ATP-binding protein","0.0000 ","0.0053","Paracoccus contaminans"
"pcon","B0A89_00205","K05846","opuBD","osmoprotectant transport system permease protein","0.0000 ","0.0053","Paracoccus contaminans"
"pcon","B0A89_00210","K05845","opuC","osmoprotectant transport system substrate-binding protein","0.0000 ","0.0053","Paracoccus contaminans"
"pcon","B0A89_00215","K06016","pydC","beta-ureidopropionase / N-carbamoyl-L-amino-acid hydrolase","0.0044","0.1559","Paracoccus contaminans"
"pcon","B0A89_00235","K01876","DARS, aspS","aspartyl-tRNA synthetase","0.6601","0.5571","Paracoccus contaminans"
"pcon","B0A89_00250","K00102","LDHD, dld","D-lactate dehydrogenase (cytochrome)","0.0000 ","0.0303","Paracoccus contaminans"
"pcon","B0A89_00260","K09883","cobT","cobaltochelatase CobT","0.0157","0.0483","Paracoccus contaminans"
"pcon","B0A89_00285","K09882","cobS","cobaltochelatase CobS","0.0355","0.0302","Paracoccus contaminans"
"pcon","B0A89_00320","K01738","cysK","cysteine synthase A","0.0899","0.1017","Paracoccus contaminans"
"pcon","B0A89_00330","K14233","tRNA-Ser","tRNA Ser","0.0000 ","0.2024","Paracoccus contaminans"
"pcon","B0A89_00350","K03821","phbC, phaC","polyhydroxyalkanoate synthase","0.0026","0.0034","Paracoccus contaminans"
"pcon","B0A89_00355","K05973","phaZ","poly(3-hydroxybutyrate) depolymerase","0.0035","0.0026","Paracoccus contaminans"
"pcon","B0A89_00370","K01868","TARS, thrS","threonyl-tRNA synthetase","0.6103","0.5347","Paracoccus contaminans"
"pcon","B0A89_00385","K00525","E1.17.4.1A, nrdA, nrdE","ribonucleoside-diphosphate reductase alpha chain","0.7656","0.6595","Paracoccus contaminans"
