"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"aql","BXU06_00005","K02313","dnaA","chromosomal replication initiator protein","0.5800","0.2130","Aquaspirillum sp. LM1"
"aql","BXU06_00010","K02338","DPO3B, dnaN","DNA polymerase III subunit beta","0.8789","0.9703","Aquaspirillum sp. LM1"
"aql","BXU06_00055","K01719","hemD, UROS","uroporphyrinogen-III synthase","0.3727","0.2247","Aquaspirillum sp. LM1"
"aql","BXU06_00060","K01749","hemC, HMBS","hydroxymethylbilane synthase","0.4471","0.2333","Aquaspirillum sp. LM1"
"aql","BXU06_00065","K01595","ppc","phosphoenolpyruvate carboxylase","0.0895","0.1205","Aquaspirillum sp. LM1"
"aql","BXU06_00075","K21029","moeB","molybdopterin-synthase adenylyltransferase","0.0716","0.0757","Aquaspirillum sp. LM1"
"aql","BXU06_00100","K03406","mcp","methyl-accepting chemotaxis protein","0.0071","0.0042","Aquaspirillum sp. LM1"
"aql","BXU06_00110","K03406","mcp","methyl-accepting chemotaxis protein","0.0071","0.0042","Aquaspirillum sp. LM1"
"aql","BXU06_00115","K03406","mcp","methyl-accepting chemotaxis protein","0.0071","0.0042","Aquaspirillum sp. LM1"
"aql","BXU06_00135","K03406","mcp","methyl-accepting chemotaxis protein","0.0071","0.0042","Aquaspirillum sp. LM1"
"aql","BXU06_00145","K01142","E3.1.11.2, xthA","exodeoxyribonuclease III","0.0010","0.0110","Aquaspirillum sp. LM1"
"aql","BXU06_00165","K00790","murA","UDP-N-acetylglucosamine 1-carboxyvinyltransferase","0.6496","0.7385","Aquaspirillum sp. LM1"
"aql","BXU06_00215","K14155","patB, malY","cystathione beta-lyase","0.4044","0.3065","Aquaspirillum sp. LM1"
"aql","BXU06_00225","K00163","aceE","pyruvate dehydrogenase E1 component","0.0071","0.0586","Aquaspirillum sp. LM1"
"aql","BXU06_00230","K00627","DLAT, aceF, pdhC","pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase)","0.0899","0.1582","Aquaspirillum sp. LM1"
"aql","BXU06_00235","K00382","DLD, lpd, pdhD","dihydrolipoamide dehydrogenase","0.5030","0.4139","Aquaspirillum sp. LM1"
"aql","BXU06_00345","K02584","nifA","Nif-specific regulatory protein","0.0000 ","0.0007","Aquaspirillum sp. LM1"
"aql","BXU06_00350","K02018","modB","molybdate transport system permease protein","0.0014","0.0066","Aquaspirillum sp. LM1"
"aql","BXU06_00355","K02017","modC","molybdate transport system ATP-binding protein","0.0017","0.0074","Aquaspirillum sp. LM1"
"aql","BXU06_00385","K07122","mlaB","phospholipid transport system transporter-binding protein","0.0085","0.0128","Aquaspirillum sp. LM1"
"aql","BXU06_00390","K07323","mlaC","phospholipid transport system substrate-binding protein","0.0000 ","0.0053","Aquaspirillum sp. LM1"
"aql","BXU06_00395","K02067","mlaD, linM","phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein","0.0000 ","0.0053","Aquaspirillum sp. LM1"
"aql","BXU06_00400","K02066","mlaE, linK","phospholipid/cholesterol/gamma-HCH transport system permease protein","0.0012","0.0117","Aquaspirillum sp. LM1"
"aql","BXU06_00405","K02065","mlaF, linL, mkl","phospholipid/cholesterol/gamma-HCH transport system ATP-binding protein","0.0012","0.0117","Aquaspirillum sp. LM1"
"aql","BXU06_00410","K02453","gspD","general secretion pathway protein D","0.0000 ","0.0005","Aquaspirillum sp. LM1"
"aql","BXU06_00445","K02650","pilA","type IV pilus assembly protein PilA","0.0000 ","0.0008","Aquaspirillum sp. LM1"
"aql","BXU06_00450","K00833","bioA","adenosylmethionine---8-amino-7-oxononanoate aminotransferase","0.0190","0.0731","Aquaspirillum sp. LM1"
"aql","BXU06_00455","K00931","proB","glutamate 5-kinase","0.0792","0.1238","Aquaspirillum sp. LM1"
"aql","BXU06_00540","K01912","paaK","phenylacetate-CoA ligase","0.0000 ","0.0000 ","Aquaspirillum sp. LM1"
"aql","BXU06_00550","K03406","mcp","methyl-accepting chemotaxis protein","0.0071","0.0042","Aquaspirillum sp. LM1"
"aql","BXU06_00580","K15551","tauA","taurine transport system substrate-binding protein","0.0000 ","0.0000 ","Aquaspirillum sp. LM1"
"aql","BXU06_00585","K10831","tauB","taurine transport system ATP-binding protein","0.0000 ","0.0000 ","Aquaspirillum sp. LM1"
"aql","BXU06_00590","K15552","tauC","taurine transport system permease protein","0.0000 ","0.0007","Aquaspirillum sp. LM1"
"aql","BXU06_00595","K03119","tauD","taurine dioxygenase","0.0000 ","0.0000 ","Aquaspirillum sp. LM1"
"aql","BXU06_00610","K01159","ruvC","crossover junction endodeoxyribonuclease RuvC","0.0198","0.0563","Aquaspirillum sp. LM1"
"aql","BXU06_00615","K00992","murU","MurNAc alpha-1-phosphate uridylyltransferase","0.0098","0.0208","Aquaspirillum sp. LM1"
"aql","BXU06_00620","K07102","amgK","anomeric MurNAc/GlcNAc kinase","0.0024","0.0203","Aquaspirillum sp. LM1"
"aql","BXU06_00635","K00097","pdxA","4-hydroxythreonine-4-phosphate dehydrogenase","0.2365","0.1560","Aquaspirillum sp. LM1"
"aql","BXU06_00660","K01011","TST, MPST, sseA","thiosulfate/3-mercaptopyruvate sulfurtransferase","0.0152","0.0317","Aquaspirillum sp. LM1"
"aql","BXU06_00670","K00681","ggt","gamma-glutamyltranspeptidase / glutathione hydrolase","0.0013","0.0125","Aquaspirillum sp. LM1"
"aql","BXU06_00710","K00799","GST, gst","glutathione S-transferase","0.0402","0.0384","Aquaspirillum sp. LM1"
"aql","BXU06_00735","K02548","menA","1,4-dihydroxy-2-naphthoate octaprenyltransferase","0.0722","0.0758","Aquaspirillum sp. LM1"
"aql","BXU06_00740","K03550","ruvA","holliday junction DNA helicase RuvA","0.0362","0.0821","Aquaspirillum sp. LM1"
"aql","BXU06_00745","K19302","bcrC","undecaprenyl-diphosphatase","0.0000 ","0.0619","Aquaspirillum sp. LM1"
"aql","BXU06_00750","K03551","ruvB","holliday junction DNA helicase RuvB","0.0625","0.1054","Aquaspirillum sp. LM1"
"aql","BXU06_00760","K03657","uvrD, pcrA","DNA helicase II / ATP-dependent DNA helicase PcrA","0.0351","0.0917","Aquaspirillum sp. LM1"
"aql","BXU06_00780","K02169","bioC","malonyl-CoA O-methyltransferase","0.3922","0.0824","Aquaspirillum sp. LM1"
"aql","BXU06_00785","K02170","bioH","pimeloyl-[acyl-carrier protein] methyl ester esterase","0.1122","0.0697","Aquaspirillum sp. LM1"
"aql","BXU06_00815","K14267","dapC","N-succinyldiaminopimelate aminotransferase","0.3392","0.1087","Aquaspirillum sp. LM1"
"aql","BXU06_00820","K00674","dapD","2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase","0.3434","0.1480","Aquaspirillum sp. LM1"
"aql","BXU06_00845","K02557","motB","chemotaxis protein MotB","0.0016","0.0085","Aquaspirillum sp. LM1"
"aql","BXU06_00875","K09811","ftsX","cell division transport system permease protein","0.1399","0.0813","Aquaspirillum sp. LM1"
"aql","BXU06_00880","K09812","ftsE","cell division transport system ATP-binding protein","0.1086","0.0737","Aquaspirillum sp. LM1"
"aql","BXU06_00885","K03110","ftsY","fused signal recognition particle receptor","0.6601","0.5766","Aquaspirillum sp. LM1"
"aql","BXU06_00935","K03073","secE","preprotein translocase subunit SecE","0.5987","0.5577","Aquaspirillum sp. LM1"
"aql","BXU06_00945","K02867","RP-L11, MRPL11, rplK","large subunit ribosomal protein L11","0.5327","0.5955","Aquaspirillum sp. LM1"
