"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"mea","Mex_1p0001","K02313","dnaA","chromosomal replication initiator protein","0.5800","0.2130","Methylobacterium extorquens AM1"
"mea","Mex_1p0002","K02338","DPO3B, dnaN","DNA polymerase III subunit beta","0.8789","0.9703","Methylobacterium extorquens AM1"
"mea","Mex_1p0003","K03629","recF","DNA replication and repair protein RecF","0.0047","0.0420","Methylobacterium extorquens AM1"
"mea","Mex_1p0005","K03654","recQ","ATP-dependent DNA helicase RecQ","0.0014","0.0359","Methylobacterium extorquens AM1"
"mea","Mex_1p0008","K03581","recD","exodeoxyribonuclease V alpha subunit","0.0058","0.0394","Methylobacterium extorquens AM1"
"mea","Mex_1p0010","K01952","purL, PFAS","phosphoribosylformylglycinamidine synthase","0.0386","0.0838","Methylobacterium extorquens AM1"
"mea","Mex_1p0014","K14274","K14274","D-xylonolactonase","0.0000 ","0.0203","Methylobacterium extorquens AM1"
"mea","Mex_1p0029","K00645","fabD","[acyl-carrier-protein] S-malonyltransferase","0.7026","0.4710","Methylobacterium extorquens AM1"
"mea","Mex_1p0030","K02453","gspD","general secretion pathway protein D","0.0000 ","0.0005","Methylobacterium extorquens AM1"
"mea","Mex_1p0031","K02460","gspK","general secretion pathway protein K","0.0000 ","0.0005","Methylobacterium extorquens AM1"
"mea","Mex_1p0032","K02459","gspJ","general secretion pathway protein J","0.0000 ","0.0007","Methylobacterium extorquens AM1"
"mea","Mex_1p0033","K02458","gspI","general secretion pathway protein I","0.0000 ","0.0007","Methylobacterium extorquens AM1"
"mea","Mex_1p0034","K02457","gspH","general secretion pathway protein H","0.0029","0.0007","Methylobacterium extorquens AM1"
"mea","Mex_1p0038","K02456","gspG","general secretion pathway protein G","0.0000 ","0.0007","Methylobacterium extorquens AM1"
"mea","Mex_1p0041","K02455","gspF","general secretion pathway protein F","0.0000 ","0.0009","Methylobacterium extorquens AM1"
"mea","Mex_1p0042","K02454","gspE","general secretion pathway protein E","0.0000 ","0.0010","Methylobacterium extorquens AM1"
"mea","Mex_1p0043","K02461","gspL","general secretion pathway protein L","0.0024","0.0036","Methylobacterium extorquens AM1"
"mea","Mex_1p0049","K01696","trpB","tryptophan synthase beta chain","0.0606","0.0979","Methylobacterium extorquens AM1"
"mea","Mex_1p0050","K01817","trpF","phosphoribosylanthranilate isomerase","0.0472","0.0773","Methylobacterium extorquens AM1"
"mea","Mex_1p0055","K02945","RP-S1, rpsA","small subunit ribosomal protein S1","0.3635","0.5201","Methylobacterium extorquens AM1"
"mea","Mex_1p0079","K01247","alkA","DNA-3-methyladenine glycosylase II","0.0000 ","0.0035","Methylobacterium extorquens AM1"
"mea","Mex_1p0091","K00696","E2.4.1.14","sucrose-phosphate synthase","0.0000 ","0.0046","Methylobacterium extorquens AM1"
"mea","Mex_1p0099","K03701","uvrA","excinuclease ABC subunit A","0.0009","0.0194","Methylobacterium extorquens AM1"
"mea","Mex_1p0105","K00058","serA, PHGDH","D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase","0.1073","0.1203","Methylobacterium extorquens AM1"
"mea","Mex_1p0114","K02275","coxB","cytochrome c oxidase subunit II","0.0000 ","0.0171","Methylobacterium extorquens AM1"
"mea","Mex_1p0115","K02274","coxA","cytochrome c oxidase subunit I","0.0000 ","0.0160","Methylobacterium extorquens AM1"
"mea","Mex_1p0116","K02276","coxC","cytochrome c oxidase subunit III","0.0000 ","0.0169","Methylobacterium extorquens AM1"
"mea","Mex_1p0122","K03781","katE, CAT, catB, srpA","catalase","0.0000 ","0.0000 ","Methylobacterium extorquens AM1"
"mea","Mex_1p0128","K01546","kdpA","K+-transporting ATPase ATPase A chain","0.0000 ","0.0007","Methylobacterium extorquens AM1"
"mea","Mex_1p0130","K01547","kdpB","K+-transporting ATPase ATPase B chain","0.0000 ","0.0007","Methylobacterium extorquens AM1"
"mea","Mex_1p0131","K01548","kdpC","K+-transporting ATPase ATPase C chain","0.0000 ","0.0007","Methylobacterium extorquens AM1"
"mea","Mex_1p0132","K07646","kdpD","two-component system, OmpR family, sensor histidine kinase KdpD","0.0000 ","0.0007","Methylobacterium extorquens AM1"
"mea","Mex_1p0133","K07667","kdpE","two-component system, OmpR family, KDP operon response regulator KdpE","0.0000 ","0.0024","Methylobacterium extorquens AM1"
"mea","Mex_1p0140","K01858","INO1, ISYNA1","myo-inositol-1-phosphate synthase","0.0080","0.0008","Methylobacterium extorquens AM1"
"mea","Mex_1p0141","K08678","UXS1, uxs","UDP-glucuronate decarboxylase","0.0000 ","0.0200","Methylobacterium extorquens AM1"
"mea","Mex_1p0147","K12454","rfbE","CDP-paratose 2-epimerase","0.0000 ","0.0375","Methylobacterium extorquens AM1"
"mea","Mex_1p0148","K17947","wbiB","dTDP-L-rhamnose 4-epimerase","0.0000 ","0.0027","Methylobacterium extorquens AM1"
"mea","Mex_1p0169","K01091","gph","phosphoglycolate phosphatase","0.0000 ","0.0024","Methylobacterium extorquens AM1"
"mea","Mex_1p0172","K01966","PCCB, pccB","propionyl-CoA carboxylase beta chain","0.0031","0.0878","Methylobacterium extorquens AM1"
"mea","Mex_1p0175","K00053","ilvC","ketol-acid reductoisomerase","0.0563","0.1147","Methylobacterium extorquens AM1"
"mea","Mex_1p0178","K14446","ccr","crotonyl-CoA carboxylase/reductase","0.0000 ","0.0011","Methylobacterium extorquens AM1"
"mea","Mex_1p0179","K03781","katE, CAT, catB, srpA","catalase","0.0000 ","0.0000 ","Methylobacterium extorquens AM1"
"mea","Mex_1p0180","K14447","ecm","ethylmalonyl-CoA mutase","0.0000 ","0.0000 ","Methylobacterium extorquens AM1"
"mea","Mex_1p0182","K00059","fabG","3-oxoacyl-[acyl-carrier protein] reductase","0.7026","0.4376","Methylobacterium extorquens AM1"
"mea","Mex_1p0184","K01867","WARS, trpS","tryptophanyl-tRNA synthetase","0.5166","0.4923","Methylobacterium extorquens AM1"
"mea","Mex_1p0186","K01704","leuD, IPMI-S","3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit","0.0482","0.0748","Methylobacterium extorquens AM1"
"mea","Mex_1p0196","K02575","NRT, narK, nrtP, nasA","MFS transporter, NNP family, nitrate/nitrite transporter","0.0000 ","0.0033","Methylobacterium extorquens AM1"
"mea","Mex_1p0204","K00620","argJ","glutamate N-acetyltransferase / amino-acid N-acetyltransferase","0.1209","0.0773","Methylobacterium extorquens AM1"
"mea","Mex_1p0207","K00432","gpx","glutathione peroxidase","0.0000 ","0.0000 ","Methylobacterium extorquens AM1"
"mea","Mex_1p0211","K13821","putA","RHH-type transcriptional regulator, proline utilization regulon repressor / proline dehydrogenase / delta 1-pyrroline-5-carboxylate dehydrogenase","0.0750","0.0820","Methylobacterium extorquens AM1"
"mea","Mex_1p0214","K03657","uvrD, pcrA","DNA helicase II / ATP-dependent DNA helicase PcrA","0.0351","0.0917","Methylobacterium extorquens AM1"
"mea","Mex_1p0217","K02342","DPO3E, dnaQ","DNA polymerase III subunit epsilon","0.8212","0.6494","Methylobacterium extorquens AM1"
"mea","Mex_1p0218","K01569","oxdD","oxalate decarboxylase","0.0000 ","0.0716","Methylobacterium extorquens AM1"
"mea","Mex_1p0225","K15555","ssuB","sulfonate transport system ATP-binding protein","0.0000 ","0.0000 ","Methylobacterium extorquens AM1"
"mea","Mex_1p0226","K15554","ssuC","sulfonate transport system permease protein","0.0000 ","0.0007","Methylobacterium extorquens AM1"
"mea","Mex_1p0228","K15553","ssuA","sulfonate transport system substrate-binding protein","0.0000 ","0.0000 ","Methylobacterium extorquens AM1"
"mea","Mex_1p0229","K00990","glnD","[protein-PII] uridylyltransferase","0.0000 ","0.0007","Methylobacterium extorquens AM1"
