"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"atu","Atu0003","K00014","aroE","shikimate dehydrogenase","0.1039","0.1242","Agrobacterium fabrum"
"atu","Atu0004","K00859","coaE","dephospho-CoA kinase","0.5800","0.5125","Agrobacterium fabrum"
"atu","Atu0005","K02342","DPO3E, dnaQ","DNA polymerase III subunit epsilon","0.8212","0.6494","Agrobacterium fabrum"
"atu","Atu0006","K03071","secB","preprotein translocase subunit SecB","0.0016","0.2412","Agrobacterium fabrum"
"atu","Atu0015","K05973","phaZ","poly(3-hydroxybutyrate) depolymerase","0.0035","0.0026","Agrobacterium fabrum"
"atu","Atu0017","K01817","trpF","phosphoribosylanthranilate isomerase","0.0472","0.0773","Agrobacterium fabrum"
"atu","Atu0018","K01696","trpB","tryptophan synthase beta chain","0.0606","0.0979","Agrobacterium fabrum"
"atu","Atu0019","K01695","trpA","tryptophan synthase alpha chain","0.0606","0.0979","Agrobacterium fabrum"
"atu","Atu0020","K01963","accD","acetyl-CoA carboxylase carboxyl transferase subunit beta","0.6626","0.5064","Agrobacterium fabrum"
"atu","Atu0021","K11754","folC","dihydrofolate synthase / folylpolyglutamate synthase","0.5987","0.4070","Agrobacterium fabrum"
"atu","Atu0025","K00992","murU","MurNAc alpha-1-phosphate uridylyltransferase","0.0098","0.0208","Agrobacterium fabrum"
"atu","Atu0026","K07102","amgK","anomeric MurNAc/GlcNAc kinase","0.0024","0.0203","Agrobacterium fabrum"
"atu","Atu0029","K01251","E3.3.1.1, ahcY","adenosylhomocysteinase","0.0534","0.0351","Agrobacterium fabrum"
"atu","Atu0031","K02793","PTS-Man-EIIA, manX","PTS system, mannose-specific IIA component","0.0091","0.0080","Agrobacterium fabrum"
"atu","Atu0033","K14980","chvG","two-component system, OmpR family, sensor histidine kinase ChvG","0.0179","0.0013","Agrobacterium fabrum"
"atu","Atu0034","K14981","chvI","two-component system, OmpR family, response regulator ChvI","0.0716","0.0028","Agrobacterium fabrum"
"atu","Atu0035","K01610","E4.1.1.49, pckA","phosphoenolpyruvate carboxykinase (ATP)","0.0895","0.1205","Agrobacterium fabrum"
"atu","Atu0037","K00867","coaA","type I pantothenate kinase","0.5073","0.3107","Agrobacterium fabrum"
"atu","Atu0038","K01523","hisE","phosphoribosyl-ATP pyrophosphohydrolase","0.0887","0.0604","Agrobacterium fabrum"
"atu","Atu0039","K02500","hisF","cyclase","0.0606","0.0888","Agrobacterium fabrum"
"atu","Atu0040","K01814","hisA","phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase","0.0445","0.0799","Agrobacterium fabrum"
"atu","Atu0041","K02501","hisH","glutamine amidotransferase","0.0606","0.0888","Agrobacterium fabrum"
"atu","Atu0043","K01693","hisB","imidazoleglycerol-phosphate dehydratase","0.0680","0.0662","Agrobacterium fabrum"
"atu","Atu0047","K01638","aceB, glcB","malate synthase","0.0000 ","0.0000 ","Agrobacterium fabrum"
"atu","Atu0050","K15012","regA, regR, actR","two-component system, response regulator RegA","0.0000 ","0.0007","Agrobacterium fabrum"
"atu","Atu0051","K15011","regB, regS, actS","two-component system, sensor histidine kinase RegB","0.0000 ","0.0013","Agrobacterium fabrum"
"atu","Atu0053","K01977","16SrRNA, rrs","16S ribosomal RNA","0.0000 ","0.3104","Agrobacterium fabrum"
"atu","Atu0054","K14227","tRNA-Ile","tRNA Ile","0.0000 ","0.2024","Agrobacterium fabrum"
"atu","Atu0055","K14218","tRNA-Ala","tRNA Ala","0.0060","0.2024","Agrobacterium fabrum"
"atu","Atu0057","K01980","23SrRNA, rrl","23S ribosomal RNA","0.0000 ","0.3104","Agrobacterium fabrum"
"atu","Atu0059","K01985","5SrRNA, rrf","5S ribosomal RNA","0.0060","0.3104","Agrobacterium fabrum"
"atu","Atu0060","K14230","tRNA-Met","tRNA Met","0.0000 ","0.2024","Agrobacterium fabrum"
"atu","Atu0061","K03654","recQ","ATP-dependent DNA helicase RecQ","0.0014","0.0359","Agrobacterium fabrum"
"atu","Atu0063","K10552","frcB","fructose transport system substrate-binding protein","0.0000 ","0.0057","Agrobacterium fabrum"
"atu","Atu0064","K10553","frcC","fructose transport system permease protein","0.0000 ","0.0053","Agrobacterium fabrum"
"atu","Atu0065","K10554","frcA","fructose transport system ATP-binding protein","0.0000 ","0.0057","Agrobacterium fabrum"
"atu","Atu0070","K00525","E1.17.4.1A, nrdA, nrdE","ribonucleoside-diphosphate reductase alpha chain","0.7656","0.6595","Agrobacterium fabrum"
"atu","Atu0071","K00526","E1.17.4.1B, nrdB, nrdF","ribonucleoside-diphosphate reductase beta chain","0.7656","0.6595","Agrobacterium fabrum"
"atu","Atu0073","K03629","recF","DNA replication and repair protein RecF","0.0047","0.0420","Agrobacterium fabrum"
"atu","Atu0077","K00015","gyaR","glyoxylate reductase","0.0179","0.0057","Agrobacterium fabrum"
"atu","Atu0082","K00962","pnp, PNPT1","polyribonucleotide nucleotidyltransferase","0.0841","0.1783","Agrobacterium fabrum"
"atu","Atu0084","K02956","RP-S15, MRPS15, rpsO","small subunit ribosomal protein S15","0.2910","0.4866","Agrobacterium fabrum"
"atu","Atu0093","K06187","recR","recombination protein RecR","0.0040","0.0446","Agrobacterium fabrum"
"atu","Atu0096","K02343","DPO3G, dnaX","DNA polymerase III subunit gamma/tau","0.9384","0.9971","Agrobacterium fabrum"
"atu","Atu0098","K03426","E3.6.1.22, NUDT12, nudC","NAD+ diphosphatase","0.4153","0.4516","Agrobacterium fabrum"
"atu","Atu0099","K04518","pheA2","prephenate dehydratase","0.1142","0.0816","Agrobacterium fabrum"
"atu","Atu0100","K00979","kdsB","3-deoxy-manno-octulosonate cytidylyltransferase (CMP-KDO synthetase)","0.4649","0.2620","Agrobacterium fabrum"
