"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"bpu","BPUM_0001","K02313","dnaA","chromosomal replication initiator protein","0.5800","0.2130","Bacillus pumilus SAFR-032"
"bpu","BPUM_0002","K02338","DPO3B, dnaN","DNA polymerase III subunit beta","0.8789","0.9703","Bacillus pumilus SAFR-032"
"bpu","BPUM_0004","K03629","recF","DNA replication and repair protein RecF","0.0047","0.0420","Bacillus pumilus SAFR-032"
"bpu","BPUM_0012","K00943","tmk, DTYMK","dTMP kinase","0.7026","0.4891","Bacillus pumilus SAFR-032"
"bpu","BPUM_0015","K02341","DPO3D2, holB","DNA polymerase III subunit delta","0.9384","0.9971","Bacillus pumilus SAFR-032"
"bpu","BPUM_0022","K01874","MARS, metG","methionyl-tRNA synthetase","0.3906","0.3932","Bacillus pumilus SAFR-032"
"bpu","BPUM_0030","K00919","ispE","4-diphosphocytidyl-2-C-methyl-D-erythritol kinase","0.5198","0.4114","Bacillus pumilus SAFR-032"
"bpu","BPUM_0034","K04042","glmU","bifunctional UDP-N-acetylglucosamine pyrophosphorylase / Glucosamine-1-phosphate N-acetyltransferase","0.5073","0.2081","Bacillus pumilus SAFR-032"
"bpu","BPUM_0035","K00948","PRPS, prsA","ribose-phosphate pyrophosphokinase","0.7656","0.8943","Bacillus pumilus SAFR-032"
"bpu","BPUM_0036","K02897","RP-L25, rplY","large subunit ribosomal protein L25","0.0966","0.3652","Bacillus pumilus SAFR-032"
"bpu","BPUM_0039","K03723","mfd","transcription-repair coupling factor (superfamily II helicase)","0.0010","0.0189","Bacillus pumilus SAFR-032"
"bpu","BPUM_0052","K00760","hprT, hpt, HPRT1","hypoxanthine phosphoribosyltransferase","0.1815","0.3313","Bacillus pumilus SAFR-032"
"bpu","BPUM_0054","K03525","coaX","type III pantothenate kinase","0.4954","0.4088","Bacillus pumilus SAFR-032"
"bpu","BPUM_0057","K01738","cysK","cysteine synthase A","0.0899","0.1017","Bacillus pumilus SAFR-032"
"bpu","BPUM_0058","K01665","pabB","para-aminobenzoate synthetase component I","0.0137","0.1631","Bacillus pumilus SAFR-032"
"bpu","BPUM_0059","K01664","pabA","para-aminobenzoate synthetase component II","0.0024","0.1645","Bacillus pumilus SAFR-032"
"bpu","BPUM_0060","K02619","pabC","4-amino-4-deoxychorismate lyase","0.0017","0.1705","Bacillus pumilus SAFR-032"
"bpu","BPUM_0061","K00796","folP","dihydropteroate synthase","0.5030","0.3686","Bacillus pumilus SAFR-032"
"bpu","BPUM_0062","K01633","folB","dihydroneopterin aldolase / 7,8-dihydroneopterin epimerase","0.4583","0.2731","Bacillus pumilus SAFR-032"
"bpu","BPUM_0063","K00950","folK","2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase","0.4583","0.4040","Bacillus pumilus SAFR-032"
"bpu","BPUM_0066","K04567","KARS, lysS","lysyl-tRNA synthetase, class II","0.4899","0.4350","Bacillus pumilus SAFR-032"
"bpu","BPUM_0075","K00991","ispD","2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase","0.5995","0.2651","Bacillus pumilus SAFR-032"
"bpu","BPUM_0076","K01770","ispF","2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase","0.5916","0.3681","Bacillus pumilus SAFR-032"
"bpu","BPUM_0077","K09698","gltX","nondiscriminating glutamyl-tRNA synthetase","0.7777","0.4463","Bacillus pumilus SAFR-032"
"bpu","BPUM_0078","K00640","cysE","serine O-acetyltransferase","0.0386","0.0820","Bacillus pumilus SAFR-032"
"bpu","BPUM_0079","K01883","CARS, cysS","cysteinyl-tRNA synthetase","0.6601","0.3696","Bacillus pumilus SAFR-032"
"bpu","BPUM_0084","K02913","RP-L33, MRPL33, rpmG","large subunit ribosomal protein L33","0.0687","0.3611","Bacillus pumilus SAFR-032"
"bpu","BPUM_0085","K03073","secE","preprotein translocase subunit SecE","0.5987","0.5577","Bacillus pumilus SAFR-032"
"bpu","BPUM_0087","K02867","RP-L11, MRPL11, rplK","large subunit ribosomal protein L11","0.5327","0.5955","Bacillus pumilus SAFR-032"
"bpu","BPUM_0088","K02863","RP-L1, MRPL1, rplA","large subunit ribosomal protein L1","0.4306","0.5610","Bacillus pumilus SAFR-032"
"bpu","BPUM_0089","K02864","RP-L10, MRPL10, rplJ","large subunit ribosomal protein L10","0.5800","0.6162","Bacillus pumilus SAFR-032"
"bpu","BPUM_0090","K02935","RP-L7, MRPL12, rplL","large subunit ribosomal protein L7/L12","0.6601","0.6651","Bacillus pumilus SAFR-032"
"bpu","BPUM_0093","K03043","rpoB","DNA-directed RNA polymerase subunit beta","0.9384","0.8359","Bacillus pumilus SAFR-032"
"bpu","BPUM_0094","K03046","rpoC","DNA-directed RNA polymerase subunit beta","0.9384","0.8387","Bacillus pumilus SAFR-032"
"bpu","BPUM_0095","K07590","RP-L7A, rplGB","large subunit ribosomal protein L7A","0.0000 ","0.2901","Bacillus pumilus SAFR-032"
"bpu","BPUM_0096","K02950","RP-S12, MRPS12, rpsL","small subunit ribosomal protein S12","0.5625","0.6211","Bacillus pumilus SAFR-032"
"bpu","BPUM_0097","K02992","RP-S7, MRPS7, rpsG","small subunit ribosomal protein S7","0.7119","0.6883","Bacillus pumilus SAFR-032"
"bpu","BPUM_0101","K02946","RP-S10, MRPS10, rpsJ","small subunit ribosomal protein S10","0.4873","0.5756","Bacillus pumilus SAFR-032"
"bpu","BPUM_0102","K02906","RP-L3, MRPL3, rplC","large subunit ribosomal protein L3","0.7341","0.6833","Bacillus pumilus SAFR-032"
"bpu","BPUM_0103","K02926","RP-L4, MRPL4, rplD","large subunit ribosomal protein L4","0.6807","0.6601","Bacillus pumilus SAFR-032"
"bpu","BPUM_0104","K02892","RP-L23, MRPL23, rplW","large subunit ribosomal protein L23","0.5987","0.6114","Bacillus pumilus SAFR-032"
"bpu","BPUM_0105","K02886","RP-L2, MRPL2, rplB","large subunit ribosomal protein L2","0.7119","0.6883","Bacillus pumilus SAFR-032"
"bpu","BPUM_0106","K02965","RP-S19, rpsS","small subunit ribosomal protein S19","0.4873","0.5756","Bacillus pumilus SAFR-032"
"bpu","BPUM_0107","K02890","RP-L22, MRPL22, rplV","large subunit ribosomal protein L22","0.4873","0.5756","Bacillus pumilus SAFR-032"
"bpu","BPUM_0108","K02982","RP-S3, rpsC","small subunit ribosomal protein S3","0.7119","0.6883","Bacillus pumilus SAFR-032"
"bpu","BPUM_0109","K02878","RP-L16, MRPL16, rplP","large subunit ribosomal protein L16","0.7119","0.6883","Bacillus pumilus SAFR-032"
"bpu","BPUM_0110","K02904","RP-L29, rpmC","large subunit ribosomal protein L29","0.4873","0.5756","Bacillus pumilus SAFR-032"
"bpu","BPUM_0111","K02961","RP-S17, MRPS17, rpsQ","small subunit ribosomal protein S17","0.4873","0.5756","Bacillus pumilus SAFR-032"
"bpu","BPUM_0112","K02874","RP-L14, MRPL14, rplN","large subunit ribosomal protein L14","0.5166","0.6003","Bacillus pumilus SAFR-032"
"bpu","BPUM_0113","K02895","RP-L24, MRPL24, rplX","large subunit ribosomal protein L24","0.5800","0.6162","Bacillus pumilus SAFR-032"
"bpu","BPUM_0114","K02931","RP-L5, MRPL5, rplE","large subunit ribosomal protein L5","0.7119","0.6883","Bacillus pumilus SAFR-032"
"bpu","BPUM_0115","K02954","RP-S14, MRPS14, rpsN","small subunit ribosomal protein S14","0.5625","0.6211","Bacillus pumilus SAFR-032"
"bpu","BPUM_0116","K02994","RP-S8, rpsH","small subunit ribosomal protein S8","0.6293","0.6378","Bacillus pumilus SAFR-032"
"bpu","BPUM_0117","K02933","RP-L6, MRPL6, rplF","large subunit ribosomal protein L6","0.7656","0.7124","Bacillus pumilus SAFR-032"
"bpu","BPUM_0118","K02881","RP-L18, MRPL18, rplR","large subunit ribosomal protein L18","0.5625","0.6211","Bacillus pumilus SAFR-032"
"bpu","BPUM_0119","K02988","RP-S5, MRPS5, rpsE","small subunit ribosomal protein S5","0.7119","0.6883","Bacillus pumilus SAFR-032"
"bpu","BPUM_0120","K02907","RP-L30, MRPL30, rpmD","large subunit ribosomal protein L30","0.3727","0.4868","Bacillus pumilus SAFR-032"
"bpu","BPUM_0121","K02876","RP-L15, MRPL15, rplO","large subunit ribosomal protein L15","0.5625","0.6211","Bacillus pumilus SAFR-032"
"bpu","BPUM_0122","K03076","secY","preprotein translocase subunit SecY","0.6601","0.6114","Bacillus pumilus SAFR-032"
"bpu","BPUM_0123","K00939","adk, AK","adenylate kinase","0.8789","0.7609","Bacillus pumilus SAFR-032"
"bpu","BPUM_0127","K02919","RP-L36, MRPL36, rpmJ","large subunit ribosomal protein L36","0.1815","0.4208","Bacillus pumilus SAFR-032"
"bpu","BPUM_0128","K02952","RP-S13, rpsM","small subunit ribosomal protein S13","0.6103","0.6427","Bacillus pumilus SAFR-032"
"bpu","BPUM_0129","K02948","RP-S11, MRPS11, rpsK","small subunit ribosomal protein S11","0.7119","0.6883","Bacillus pumilus SAFR-032"
"bpu","BPUM_0130","K03040","rpoA","DNA-directed RNA polymerase subunit alpha","0.9384","0.8488","Bacillus pumilus SAFR-032"
"bpu","BPUM_0131","K02879","RP-L17, MRPL17, rplQ","large subunit ribosomal protein L17","0.4726","0.5803","Bacillus pumilus SAFR-032"
"bpu","BPUM_0132","K16786","ecfA1","energy-coupling factor transport system ATP-binding protein","0.0534","0.0143","Bacillus pumilus SAFR-032"
"bpu","BPUM_0133","K16787","ecfA2","energy-coupling factor transport system ATP-binding protein","0.0534","0.0143","Bacillus pumilus SAFR-032"
"bpu","BPUM_0134","K16785","ecfT","energy-coupling factor transport system permease protein","0.0394","0.0102","Bacillus pumilus SAFR-032"
"bpu","BPUM_0136","K02871","RP-L13, MRPL13, rplM","large subunit ribosomal protein L13","0.7119","0.6883","Bacillus pumilus SAFR-032"
"bpu","BPUM_0137","K02996","RP-S9, MRPS9, rpsI","small subunit ribosomal protein S9","0.5166","0.6003","Bacillus pumilus SAFR-032"
"bpu","BPUM_0144","K01448","E3.5.1.28B, amiA, amiB, amiC","N-acetylmuramoyl-L-alanine amidase","0.0606","0.0578","Bacillus pumilus SAFR-032"
"bpu","BPUM_0150","K02406","fliC","flagellin","0.0016","0.0097","Bacillus pumilus SAFR-032"
"bpu","BPUM_0154","K01207","nagZ","beta-N-acetylhexosaminidase","0.0013","0.0110","Bacillus pumilus SAFR-032"
"bpu","BPUM_0155","K21469","pbp4b","serine-type D-Ala-D-Ala carboxypeptidase","0.0000 ","0.0063","Bacillus pumilus SAFR-032"
"bpu","BPUM_0156","K02809","PTS-Scr-EIIB, scrA, sacP, sacX, ptsS","PTS system, sucrose-specific IIB component","0.0000 ","0.0005","Bacillus pumilus SAFR-032"
"bpu","BPUM_0158","K07106","murQ","N-acetylmuramic acid 6-phosphate etherase","0.0000 ","0.0172","Bacillus pumilus SAFR-032"
"bpu","BPUM_0159","K01476","E3.5.3.1, rocF, arg","arginase","0.0000 ","0.0005","Bacillus pumilus SAFR-032"
"bpu","BPUM_0164","K03431","glmM","phosphoglucosamine mutase","0.6398","0.1673","Bacillus pumilus SAFR-032"
"bpu","BPUM_0165","K00820","glmS, GFPT","glucosamine--fructose-6-phosphate aminotransferase (isomerizing)","0.6712","0.7161","Bacillus pumilus SAFR-032"
"bpu","BPUM_0181","K01126","E3.1.4.46, glpQ, ugpQ","glycerophosphoryl diester phosphodiesterase","0.0000 ","0.0333","Bacillus pumilus SAFR-032"
"bpu","BPUM_0197","K01881","PARS, proS","prolyl-tRNA synthetase","0.6601","0.5571","Bacillus pumilus SAFR-032"
"bpu","BPUM_0209","K02755","PTS-Bgl-EIIA, bglF, bglP","PTS system, beta-glucoside-specific IIA component","0.0000 ","0.0037","Bacillus pumilus SAFR-032"
"bpu","BPUM_0210","K01223","E3.2.1.86B, bglA","6-phospho-beta-glucosidase","0.0000 ","0.0004","Bacillus pumilus SAFR-032"
"bpu","BPUM_0215","K00847","E2.7.1.4, scrK","fructokinase","0.0013","0.0090","Bacillus pumilus SAFR-032"
"bpu","BPUM_0217","K02770","PTS-Fru-EIIC, fruA","PTS system, fructose-specific IIC component","0.0017","0.0026","Bacillus pumilus SAFR-032"
"bpu","BPUM_0218","K02769","PTS-Fru-EIIB, fruA","PTS system, fructose-specific IIB component","0.0017","0.0026","Bacillus pumilus SAFR-032"
"bpu","BPUM_0219","K02768","PTS-Fru-EIIA, fruB","PTS system, fructose-specific IIA component","0.0016","0.0042","Bacillus pumilus SAFR-032"
"bpu","BPUM_0224","K00547","mmuM, BHMT2","homocysteine S-methyltransferase","0.0887","0.0381","Bacillus pumilus SAFR-032"
"bpu","BPUM_0233","K13277","epr","minor extracellular protease Epr","0.0000 ","0.0004","Bacillus pumilus SAFR-032"
"bpu","BPUM_0234","K01426","E3.5.1.4, amiE","amidase","0.0000 ","0.0465","Bacillus pumilus SAFR-032"
"bpu","BPUM_0237","K00121","frmA, ADH5, adhC","S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase","0.0144","0.0255","Bacillus pumilus SAFR-032"
"bpu","BPUM_0243","K11626","glnT","putative sodium/glutamine symporter","0.0000 ","0.0065","Bacillus pumilus SAFR-032"
"bpu","BPUM_0244","K01425","glsA, GLS","glutaminase","0.4954","0.4712","Bacillus pumilus SAFR-032"
"bpu","BPUM_0245","K07717","ycbA, glnK","two-component system, sensor histidine kinase YcbA","0.0000 ","0.0013","Bacillus pumilus SAFR-032"
"bpu","BPUM_0246","K07719","ycbB, glnL","two-component system, response regulator YcbB","0.0000 ","0.0210","Bacillus pumilus SAFR-032"
"bpu","BPUM_0250","K11640","natK","two-component system, LytTR family, sensor histidine kinase NatK","0.0000 ","0.0007","Bacillus pumilus SAFR-032"
