"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"lef","LJPFL01_0001","K02313","dnaA","chromosomal replication initiator protein","0.5800","0.2130","Lelliottia sp. PFL01"
"lef","LJPFL01_0002","K02338","DPO3B, dnaN","DNA polymerase III subunit beta","0.8789","0.9703","Lelliottia sp. PFL01"
"lef","LJPFL01_0003","K03629","recF","DNA replication and repair protein RecF","0.0047","0.0420","Lelliottia sp. PFL01"
"lef","LJPFL01_0007","K00883","dgoK","2-dehydro-3-deoxygalactonokinase","0.0000 ","0.0038","Lelliottia sp. PFL01"
"lef","LJPFL01_0008","K01631","dgoA","2-dehydro-3-deoxyphosphogalactonate aldolase","0.0000 ","0.0099","Lelliottia sp. PFL01"
"lef","LJPFL01_0009","K01684","dgoD","galactonate dehydratase","0.0000 ","0.0040","Lelliottia sp. PFL01"
"lef","LJPFL01_0017","K02749","PTS-Glv-EIIB, glvB, malP, aglA","PTS system, alpha-glucoside-specific IIB component","0.0000 ","0.0005","Lelliottia sp. PFL01"
"lef","LJPFL01_0018","K01232","glvA","maltose-6-phosphate glucosidase","0.0000 ","0.0043","Lelliottia sp. PFL01"
"lef","LJPFL01_0022","K01753","dsdA","D-serine dehydratase","0.0000 ","0.0002","Lelliottia sp. PFL01"
"lef","LJPFL01_0028","K01652","E2.2.1.6L, ilvB, ilvG, ilvI","acetolactate synthase I/II/III large subunit","0.0184","0.0311","Lelliottia sp. PFL01"
"lef","LJPFL01_0029","K01653","E2.2.1.6S, ilvH, ilvN","acetolactate synthase I/III small subunit","0.0190","0.0562","Lelliottia sp. PFL01"
"lef","LJPFL01_0030","K07686","uhpA","two-component system, NarL family, uhpT operon response regulator UhpA","0.0000 ","0.0010","Lelliottia sp. PFL01"
"lef","LJPFL01_0031","K07675","uhpB","two-component system, NarL family, sensor histidine kinase UhpB","0.0000 ","0.0007","Lelliottia sp. PFL01"
"lef","LJPFL01_0032","K07783","uhpC","MFS transporter, OPA family, sugar phosphate sensor protein UhpC","0.0000 ","0.0007","Lelliottia sp. PFL01"
"lef","LJPFL01_0033","K07784","uhpT","MFS transporter, OPA family, hexose phosphate transport protein UhpT","0.0000 ","0.0007","Lelliottia sp. PFL01"
"lef","LJPFL01_0041","K02759","PTS-Cel-EIIA, celC, chbA","PTS system, cellobiose-specific IIA component","0.0000 ","0.0002","Lelliottia sp. PFL01"
"lef","LJPFL01_0042","K01223","E3.2.1.86B, bglA","6-phospho-beta-glucosidase","0.0000 ","0.0004","Lelliottia sp. PFL01"
"lef","LJPFL01_0043","K02761","PTS-Cel-EIIC, celB, chbC","PTS system, cellobiose-specific IIC component","0.0000 ","0.0002","Lelliottia sp. PFL01"
"lef","LJPFL01_0044","K02760","PTS-Cel-EIIB, celA, chbB","PTS system, cellobiose-specific IIB component","0.0029","0.0027","Lelliottia sp. PFL01"
"lef","LJPFL01_0047","K18139","oprM, emhC, ttgC, cusC, adeK, smeF, mtrE, cmeC, gesC","outer membrane protein, multidrug efflux system","0.0000 ","3.47E-","Lelliottia sp. PFL01"
"lef","LJPFL01_0048","K18138","acrB, mexB, adeJ, smeE, mtrD, cmeB","multidrug efflux pump","0.0058","0.0098","Lelliottia sp. PFL01"
"lef","LJPFL01_0049","K03585","acrA, mexA, adeI, smeD, mtrC, cmeA","membrane fusion protein, multidrug efflux system","0.0015","0.0094","Lelliottia sp. PFL01"
"lef","LJPFL01_0052","K02073","metQ","D-methionine transport system substrate-binding protein","0.0000 ","0.0053","Lelliottia sp. PFL01"
"lef","LJPFL01_0063","K07127","uraH, pucM, hiuH","5-hydroxyisourate hydrolase","0.0022","0.0364","Lelliottia sp. PFL01"
"lef","LJPFL01_0079","K03655","recG","ATP-dependent DNA helicase RecG","0.0000 ","0.0283","Lelliottia sp. PFL01"
"lef","LJPFL01_0081","K01139","spoT","GTP diphosphokinase / guanosine-3,5-bis(diphosphate) 3-diphosphatase","0.0609","0.0641","Lelliottia sp. PFL01"
"lef","LJPFL01_0082","K03060","rpoZ","DNA-directed RNA polymerase subunit omega","0.7119","0.8249","Lelliottia sp. PFL01"
"lef","LJPFL01_0083","K00942","E2.7.4.8, gmk","guanylate kinase","0.8789","0.5063","Lelliottia sp. PFL01"
"lef","LJPFL01_0084","K01972","E6.5.1.2, ligA, ligB","DNA ligase (NAD+)","0.7656","0.6583","Lelliottia sp. PFL01"
"lef","LJPFL01_0089","K00762","pyrE","orotate phosphoribosyltransferase","0.0259","0.1665","Lelliottia sp. PFL01"
"lef","LJPFL01_0091","K01520","dut, DUT","dUTP pyrophosphatase","0.3727","0.3207","Lelliottia sp. PFL01"
