"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"mcub","MCBB_0001","K02224","cobB-cbiA","cobyrinic acid a,c-diamide synthase","0.0085","0.0355","Methanobacterium curvum"
"mcub","MCBB_0002","K00319","mtd","methylenetetrahydromethanopterin dehydrogenase","0.0000 ","0.0000 ","Methanobacterium curvum"
"mcub","MCBB_0008","K01693","hisB","imidazoleglycerol-phosphate dehydratase","0.0680","0.0662","Methanobacterium curvum"
"mcub","MCBB_0021","K13812","fae-hps","bifunctional enzyme Fae/Hps","0.0000 ","0.0000 ","Methanobacterium curvum"
"mcub","MCBB_0022","K06001","trpB","tryptophan synthase beta chain","0.1561","0.0712","Methanobacterium curvum"
"mcub","MCBB_0026","K01649","leuA, IMS","2-isopropylmalate synthase","0.0107","0.0293","Methanobacterium curvum"
"mcub","MCBB_0040","K19244","ala","alanine dehydrogenase","0.3934","0.1507","Methanobacterium curvum"
"mcub","MCBB_0048","K02433","gatA, QRSL1","aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A","0.5916","0.2286","Methanobacterium curvum"
"mcub","MCBB_0050","K02858","ribB, RIB3","3,4-dihydroxy 2-butanone 4-phosphate synthase","0.2472","0.2616","Methanobacterium curvum"
"mcub","MCBB_0051","K07732","rfk","riboflavin kinase, archaea type","0.6172","0.3849","Methanobacterium curvum"
"mcub","MCBB_0052","K07587","sepRS","O-phosphoseryl-tRNA synthetase","0.0000 ","0.1821","Methanobacterium curvum"
"mcub","MCBB_0053","K18209","tfrA","fumarate reductase (CoM/CoB) subunit A","0.0000 ","0.0583","Methanobacterium curvum"
"mcub","MCBB_0061","K02501","hisH","glutamine amidotransferase","0.0606","0.0888","Methanobacterium curvum"
"mcub","MCBB_0063","K21611","cfbD","nickel-sirohydrochlorin a,c-diamide reductase subunit CfbD","0.0000 ","0.0067","Methanobacterium curvum"
"mcub","MCBB_0072","K03399","cbiE","cobalt-precorrin-7 (C5)-methyltransferase","0.0000 ","0.0280","Methanobacterium curvum"
"mcub","MCBB_0080","K01916","nadE","NAD+ synthase","0.6496","0.4952","Methanobacterium curvum"
"mcub","MCBB_0082","K01869","LARS, leuS","leucyl-tRNA synthetase","0.6103","0.5347","Methanobacterium curvum"
"mcub","MCBB_0085","K00765","hisG","ATP phosphoribosyltransferase","0.0606","0.0888","Methanobacterium curvum"
"mcub","MCBB_0086","K12960","mtaD","5-methylthioadenosine/S-adenosylhomocysteine deaminase","0.0000 ","0.0141","Methanobacterium curvum"
"mcub","MCBB_0103","K01756","purB, ADSL","adenylosuccinate lyase","0.2660","0.2990","Methanobacterium curvum"
"mcub","MCBB_0105","K02322","DPB1, polD2","DNA polymerase II large subunit","0.8098","0.8032","Methanobacterium curvum"
"mcub","MCBB_0106","K21636","nrdD","ribonucleoside-triphosphate reductase (formate)","0.3500","0.1132","Methanobacterium curvum"
"mcub","MCBB_0107","K01485","codA","cytosine deaminase","0.0000 ","0.0010","Methanobacterium curvum"
"mcub","MCBB_0114","K04566","lysK","lysyl-tRNA synthetase, class I","0.0825","0.1904","Methanobacterium curvum"
"mcub","MCBB_0116","K03147","thiC","phosphomethylpyrimidine synthase","0.0335","0.1146","Methanobacterium curvum"
"mcub","MCBB_0117","K22026","N/A","","N/A","N/A","Methanobacterium curvum"
"mcub","MCBB_0119","K08094","hxlB","6-phospho-3-hexuloisomerase","0.0000 ","0.0000 ","Methanobacterium curvum"
"mcub","MCBB_0122","K03639","moaA, CNX2","GTP 3,8-cyclase","0.0206","0.0410","Methanobacterium curvum"
"mcub","MCBB_0126","K00205","fwdF, fmdF","4Fe-4S ferredoxin","0.0000 ","0.0055","Methanobacterium curvum"
"mcub","MCBB_0127","K11260","fwdG","4Fe-4S ferredoxin","0.0000 ","0.0055","Methanobacterium curvum"
"mcub","MCBB_0128","K00203","fwdD, fmdD","formylmethanofuran dehydrogenase subunit D","0.0000 ","0.0000 ","Methanobacterium curvum"
"mcub","MCBB_0129","K00200","fwdA, fmdA","formylmethanofuran dehydrogenase subunit A","0.0000 ","0.0000 ","Methanobacterium curvum"
"mcub","MCBB_0130","K00202","fwdC, fmdC","formylmethanofuran dehydrogenase subunit C","0.0000 ","0.0000 ","Methanobacterium curvum"
"mcub","MCBB_0131","K00201","fwdB, fmdB","formylmethanofuran dehydrogenase subunit B","0.0000 ","0.0000 ","Methanobacterium curvum"
"mcub","MCBB_0144","K02016","ABC.FEV.S","iron complex transport system substrate-binding protein","0.0044","0.0127","Methanobacterium curvum"
"mcub","MCBB_0145","K02015","ABC.FEV.P","iron complex transport system permease protein","0.0184","0.0354","Methanobacterium curvum"
"mcub","MCBB_0146","K02013","ABC.FEV.A","iron complex transport system ATP-binding protein","0.0399","0.0544","Methanobacterium curvum"
"mcub","MCBB_0149","K05773","tupB, vupB","tungstate transport system permease protein","0.0000 ","0.0053","Methanobacterium curvum"
"mcub","MCBB_0150","K05772","tupA, vupA","tungstate transport system substrate-binding protein","0.0060","0.0062","Methanobacterium curvum"
"mcub","MCBB_0152","K00205","fwdF, fmdF","4Fe-4S ferredoxin","0.0000 ","0.0055","Methanobacterium curvum"
"mcub","MCBB_0156","K01915","glnA, GLUL","glutamine synthetase","0.4736","0.4162","Methanobacterium curvum"
"mcub","MCBB_0164","K11781","cofH","FO synthase subunit 2","0.0000 ","9.16E-","Methanobacterium curvum"
"mcub","MCBB_0167","K01580","E4.1.1.15, gadB, gadA, GAD","glutamate decarboxylase","0.2139","0.1009","Methanobacterium curvum"
"mcub","MCBB_0168","K03147","thiC","phosphomethylpyrimidine synthase","0.0335","0.1146","Methanobacterium curvum"
"mcub","MCBB_0172","K10747","LIG1","DNA ligase 1","0.0000 ","0.2360","Methanobacterium curvum"
"mcub","MCBB_0186","K15778","pmm-pgm","phosphomannomutase / phosphoglucomutase","0.1854","0.2408","Methanobacterium curvum"
"mcub","MCBB_0192","K01895","ACSS, acs","acetyl-CoA synthetase","0.0111","0.0269","Methanobacterium curvum"
"mcub","MCBB_0193","K00188","vorD","2-oxoisovalerate ferredoxin oxidoreductase, delta subunit","0.0000 ","0.1795","Methanobacterium curvum"
"mcub","MCBB_0195","K00187","vorB","2-oxoisovalerate ferredoxin oxidoreductase, beta subunit","0.0000 ","0.3539","Methanobacterium curvum"
"mcub","MCBB_0196","K01142","E3.1.11.2, xthA","exodeoxyribonuclease III","0.0010","0.0110","Methanobacterium curvum"
"mcub","MCBB_0198","K09482","gatD","glutamyl-tRNA(Gln) amidotransferase subunit D","0.5211","0.3173","Methanobacterium curvum"
"mcub","MCBB_0199","K03330","gatE","glutamyl-tRNA(Gln) amidotransferase subunit E","0.5211","0.3506","Methanobacterium curvum"
"mcub","MCBB_0200","K00384","trxB","thioredoxin reductase (NADPH)","0.1650","0.2275","Methanobacterium curvum"
"mcub","MCBB_0201","K01151","nfo","deoxyribonuclease IV","0.0098","0.0100","Methanobacterium curvum"
"mcub","MCBB_0209","K02492","hemA","glutamyl-tRNA reductase","0.2206","0.1199","Methanobacterium curvum"
"mcub","MCBB_0210","K02304","MET8","precorrin-2 dehydrogenase / sirohydrochlorin ferrochelatase","0.0127","0.0329","Methanobacterium curvum"
"mcub","MCBB_0212","K00400","K00400","methyl coenzyme M reductase system, component A2","0.0000 ","9.16E-","Methanobacterium curvum"
"mcub","MCBB_0214","K08096","gch3","GTP cyclohydrolase IIa","0.0000 ","0.1554","Methanobacterium curvum"
"mcub","MCBB_0215","K11212","cofD","LPPG:FO 2-phospho-L-lactate transferase","0.0000 ","9.16E-","Methanobacterium curvum"
"mcub","MCBB_0216","K12234","cofE, fbiB","coenzyme F420-0:L-glutamate ligase / coenzyme F420-1:gamma-L-glutamate ligase","0.0000 ","9.16E-","Methanobacterium curvum"
"mcub","MCBB_0217","K11176","purO","IMP cyclohydrolase","0.1728","0.0586","Methanobacterium curvum"
"mcub","MCBB_0220","K03470","rnhB","ribonuclease HII","0.0093","0.1015","Methanobacterium curvum"
"mcub","MCBB_0223","K01613","psd, PISD","phosphatidylserine decarboxylase","0.2176","0.1484","Methanobacterium curvum"
"mcub","MCBB_0227","K09739","mptD","dihydroneopterin aldolase","0.0000 ","0.0073","Methanobacterium curvum"
"mcub","MCBB_0233","K00176","korD, oorD","2-oxoglutarate ferredoxin oxidoreductase subunit delta","0.0206","0.2277","Methanobacterium curvum"
"mcub","MCBB_0234","K00174","korA, oorA, oforA","2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha","0.7777","0.7464","Methanobacterium curvum"
"mcub","MCBB_0235","K00175","korB, oorB, oforB","2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta","0.7777","0.7464","Methanobacterium curvum"
"mcub","MCBB_0236","K00177","korC, oorC","2-oxoglutarate ferredoxin oxidoreductase subunit gamma","0.0044","0.1681","Methanobacterium curvum"
"mcub","MCBB_0237","K01903","sucC","succinyl-CoA synthetase beta subunit","0.0322","0.0831","Methanobacterium curvum"
"mcub","MCBB_0244","K01803","TPI, tpiA","triosephosphate isomerase (TIM)","0.5625","0.7010","Methanobacterium curvum"
"mcub","MCBB_0245","K00927","PGK, pgk","phosphoglycerate kinase","0.3906","0.5214","Methanobacterium curvum"
"mcub","MCBB_0249","K14221","tRNA-Asp","tRNA Asp","0.0000 ","0.2024","Methanobacterium curvum"
"mcub","MCBB_0251","K03053","rpoH","DNA-directed RNA polymerase subunit H","0.8098","0.8186","Methanobacterium curvum"
"mcub","MCBB_0252","K03045","rpoB2","DNA-directed RNA polymerase subunit B","0.8098","0.8359","Methanobacterium curvum"
"mcub","MCBB_0253","K03044","rpoB1","DNA-directed RNA polymerase subunit B","0.8098","0.8359","Methanobacterium curvum"
"mcub","MCBB_0254","K03041","rpoA1","DNA-directed RNA polymerase subunit A","0.8098","0.8387","Methanobacterium curvum"
"mcub","MCBB_0255","K03042","rpoA2","DNA-directed RNA polymerase subunit A","0.8098","0.8387","Methanobacterium curvum"
"mcub","MCBB_0256","K02908","RP-L30e, RPL30","large subunit ribosomal protein L30e","0.0000 ","0.2901","Methanobacterium curvum"
"mcub","MCBB_0258","K02950","RP-S12, MRPS12, rpsL","small subunit ribosomal protein S12","0.5625","0.6211","Methanobacterium curvum"
"mcub","MCBB_0259","K02992","RP-S7, MRPS7, rpsG","small subunit ribosomal protein S7","0.7119","0.6883","Methanobacterium curvum"
"mcub","MCBB_0262","K02946","RP-S10, MRPS10, rpsJ","small subunit ribosomal protein S10","0.4873","0.5756","Methanobacterium curvum"
"mcub","MCBB_0273","K00230","hemG","menaquinone-dependent protoporphyrinogen oxidase","0.1270","0.0403","Methanobacterium curvum"
"mcub","MCBB_0274","K00995","pgsA, PGS1","CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase","0.5261","0.1601","Methanobacterium curvum"
"mcub","MCBB_0296","K06868","sepcysS","Sep-tRNA:Cys-tRNA synthetase","0.0000 ","0.1821","Methanobacterium curvum"
"mcub","MCBB_0298","K00150","gap2","glyceraldehyde-3-phosphate dehydrogenase (NAD(P))","0.6172","0.4505","Methanobacterium curvum"
"mcub","MCBB_0305","K03750","moeA","molybdopterin molybdotransferase","0.0051","0.1550","Methanobacterium curvum"
"mcub","MCBB_0310","K09011","cimA","D-citramalate synthase","0.0000 ","0.0389","Methanobacterium curvum"
"mcub","MCBB_0317","K01951","guaA, GMPS","GMP synthase (glutamine-hydrolysing)","0.4583","0.4623","Methanobacterium curvum"
"mcub","MCBB_0319","K01951","guaA, GMPS","GMP synthase (glutamine-hydrolysing)","0.4583","0.4623","Methanobacterium curvum"
"mcub","MCBB_0323","K01486","ade","adenine deaminase","0.0060","0.0341","Methanobacterium curvum"
"mcub","MCBB_0326","K01480","speB","agmatinase","0.0031","0.0043","Methanobacterium curvum"
"mcub","MCBB_0328","K02626","pdaD","arginine decarboxylase","0.0825","0.0121","Methanobacterium curvum"
"mcub","MCBB_0329","K01092","E3.1.3.25, IMPA, suhB","myo-inositol-1(or 4)-monophosphatase","0.1110","0.1479","Methanobacterium curvum"
"mcub","MCBB_0330","K00858","ppnK, NADK","NAD+ kinase","0.5327","0.4578","Methanobacterium curvum"
"mcub","MCBB_0331","K21612","cfbE","coenzyme F430 synthetase","0.0000 ","0.3715","Methanobacterium curvum"
"mcub","MCBB_0332","K01749","hemC, HMBS","hydroxymethylbilane synthase","0.4471","0.2333","Methanobacterium curvum"
"mcub","MCBB_0334","K00762","pyrE","orotate phosphoribosyltransferase","0.0259","0.1665","Methanobacterium curvum"
"mcub","MCBB_0335","K03265","ETF1, ERF1","peptide chain release factor subunit 1","0.0000 ","","Methanobacterium curvum"
"mcub","MCBB_0339","K09903","pyrH","uridylate kinase","0.8789","0.5971","Methanobacterium curvum"
