"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"btra","F544_100","K08476","pgtA","two-component system, NtrC family, phosphoglycerate transport system response regulator PgtA","0.0000 ","0.0011","Bibersteinia trehalosi USDA-ARS-USMARC-190"
"btra","F544_10020","K01639","E4.1.3.3, nanA, NPL","N-acetylneuraminate lyase","0.0000 ","0.0682","Bibersteinia trehalosi USDA-ARS-USMARC-190"
"btra","F544_10040","K03075","secG","preprotein translocase subunit SecG","0.0644","0.3115","Bibersteinia trehalosi USDA-ARS-USMARC-190"
"btra","F544_10080","K21636","nrdD","ribonucleoside-triphosphate reductase (formate)","0.3500","0.1132","Bibersteinia trehalosi USDA-ARS-USMARC-190"
"btra","F544_10110","K11069","potD","spermidine/putrescine transport system substrate-binding protein","0.0071","0.0089","Bibersteinia trehalosi USDA-ARS-USMARC-190"
"btra","F544_10150","K01889","FARSA, pheS","phenylalanyl-tRNA synthetase alpha chain","0.6601","0.5571","Bibersteinia trehalosi USDA-ARS-USMARC-190"
"btra","F544_10160","K01890","FARSB, pheT","phenylalanyl-tRNA synthetase beta chain","0.7119","0.5803","Bibersteinia trehalosi USDA-ARS-USMARC-190"
"btra","F544_10210","K01673","cynT, can","carbonic anhydrase","0.0399","0.0279","Bibersteinia trehalosi USDA-ARS-USMARC-190"
"btra","F544_10270","K03814","mtgA","monofunctional glycosyltransferase","0.0016","0.0175","Bibersteinia trehalosi USDA-ARS-USMARC-190"
"btra","F544_1030","K01919","gshA","glutamate--cysteine ligase","0.0526","0.0617","Bibersteinia trehalosi USDA-ARS-USMARC-190"
"btra","F544_10320","K00254","DHODH, pyrD","dihydroorotate dehydrogenase","0.0463","0.1443","Bibersteinia trehalosi USDA-ARS-USMARC-190"
"btra","F544_10330","K00948","PRPS, prsA","ribose-phosphate pyrophosphokinase","0.7656","0.8943","Bibersteinia trehalosi USDA-ARS-USMARC-190"
"btra","F544_10340","K00919","ispE","4-diphosphocytidyl-2-C-methyl-D-erythritol kinase","0.5198","0.4114","Bibersteinia trehalosi USDA-ARS-USMARC-190"
"btra","F544_10360","K01141","sbcB, exoI","exodeoxyribonuclease I","0.0029","0.0124","Bibersteinia trehalosi USDA-ARS-USMARC-190"
"btra","F544_10400","K11754","folC","dihydrofolate synthase / folylpolyglutamate synthase","0.5987","0.4070","Bibersteinia trehalosi USDA-ARS-USMARC-190"
"btra","F544_10410","K01963","accD","acetyl-CoA carboxylase carboxyl transferase subunit beta","0.6626","0.5064","Bibersteinia trehalosi USDA-ARS-USMARC-190"
"btra","F544_10430","K03636","moaD, cysO","sulfur-carrier protein","0.0000 ","0.0140","Bibersteinia trehalosi USDA-ARS-USMARC-190"
"btra","F544_10440","K03635","MOCS2B, moaE","molybdopterin synthase catalytic subunit","0.0115","0.0336","Bibersteinia trehalosi USDA-ARS-USMARC-190"
"btra","F544_10470","K10540","mglB","methyl-galactoside transport system substrate-binding protein","0.0039","0.0020","Bibersteinia trehalosi USDA-ARS-USMARC-190"
"btra","F544_10500","K09816","znuB","zinc transport system permease protein","0.0016","0.0058","Bibersteinia trehalosi USDA-ARS-USMARC-190"
"btra","F544_10510","K09817","znuC","zinc transport system ATP-binding protein","0.0000 ","0.0053","Bibersteinia trehalosi USDA-ARS-USMARC-190"
"btra","F544_10540","K07462","recJ","single-stranded-DNA-specific exonuclease","0.0042","0.0324","Bibersteinia trehalosi USDA-ARS-USMARC-190"
"btra","F544_10570","K01714","dapA","4-hydroxy-tetrahydrodipicolinate synthase","0.4899","0.3442","Bibersteinia trehalosi USDA-ARS-USMARC-190"
"btra","F544_10580","K01491","folD","methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase","0.4306","0.4659","Bibersteinia trehalosi USDA-ARS-USMARC-190"
"btra","F544_10650","K18369","adh2","alcohol dehydrogenase","0.0000 ","0.0033","Bibersteinia trehalosi USDA-ARS-USMARC-190"
"btra","F544_10660","K00052","leuB, IMDH","3-isopropylmalate dehydrogenase","0.0322","0.0634","Bibersteinia trehalosi USDA-ARS-USMARC-190"
"btra","F544_10680","K00568","ubiG","2-polyprenyl-6-hydroxyphenyl methylase / 3-demethylubiquinone-9 3-methyltransferase","0.4332","0.1583","Bibersteinia trehalosi USDA-ARS-USMARC-190"
"btra","F544_10700","K00262","E1.4.1.4, gdhA","glutamate dehydrogenase (NADP+)","0.2743","0.2224","Bibersteinia trehalosi USDA-ARS-USMARC-190"
"btra","F544_10710","K03702","uvrB","excinuclease ABC subunit B","0.0041","0.0270","Bibersteinia trehalosi USDA-ARS-USMARC-190"
"btra","F544_10730","K00525","E1.17.4.1A, nrdA, nrdE","ribonucleoside-diphosphate reductase alpha chain","0.7656","0.6595","Bibersteinia trehalosi USDA-ARS-USMARC-190"
"btra","F544_10740","K00526","E1.17.4.1B, nrdB, nrdF","ribonucleoside-diphosphate reductase beta chain","0.7656","0.6595","Bibersteinia trehalosi USDA-ARS-USMARC-190"
"btra","F544_10760","K03701","uvrA","excinuclease ABC subunit A","0.0009","0.0194","Bibersteinia trehalosi USDA-ARS-USMARC-190"
