"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"hic","NTHIC486_00002","K01961","accC","acetyl-CoA carboxylase, biotin carboxylase subunit","0.6943","0.5149","Haemophilus influenzae C486"
"hic","NTHIC486_00003","K02160","accB, bccP","acetyl-CoA carboxylase biotin carboxyl carrier protein","0.6398","0.6233","Haemophilus influenzae C486"
"hic","NTHIC486_00004","K03786","aroQ, qutE","3-dehydroquinate dehydratase II","0.1693","0.1315","Haemophilus influenzae C486"
"hic","NTHIC486_00005","K02549","menC","O-succinylbenzoate synthase","0.0394","0.0612","Haemophilus influenzae C486"
"hic","NTHIC486_00006","K01661","menB","naphthoate synthase","0.0572","0.0673","Haemophilus influenzae C486"
"hic","NTHIC486_00008","K02968","RP-S20, rpsT","small subunit ribosomal protein S20","0.2265","0.4557","Haemophilus influenzae C486"
"hic","NTHIC486_00010","K11753","ribF","riboflavin kinase / FMN adenylyltransferase","0.6293","0.5031","Haemophilus influenzae C486"
"hic","NTHIC486_00011","K01870","IARS, ileS","isoleucyl-tRNA synthetase","0.7341","0.5753","Haemophilus influenzae C486"
"hic","NTHIC486_00014","K01207","nagZ","beta-N-acetylhexosaminidase","0.0013","0.0110","Haemophilus influenzae C486"
"hic","NTHIC486_00016","K10914","crp","CRP/FNR family transcriptional regulator, cyclic AMP receptor protein","0.0000 ","5.20E-","Haemophilus influenzae C486"
"hic","NTHIC486_00019","K01520","dut, DUT","dUTP pyrophosphatase","0.3727","0.3207","Haemophilus influenzae C486"
"hic","NTHIC486_00020","K13038","coaBC, dfp","phosphopantothenoylcysteine decarboxylase / phosphopantothenate--cysteine ligase","0.4153","0.3095","Haemophilus influenzae C486"
"hic","NTHIC486_00022","K02902","RP-L28, MRPL28, rpmB","large subunit ribosomal protein L28","0.3164","0.5072","Haemophilus influenzae C486"
"hic","NTHIC486_00023","K02913","RP-L33, MRPL33, rpmG","large subunit ribosomal protein L33","0.0687","0.3611","Haemophilus influenzae C486"
"hic","NTHIC486_00024","K00836","ectB, dat","diaminobutyrate-2-oxoglutarate transaminase","0.0000 ","0.0153","Haemophilus influenzae C486"
"hic","NTHIC486_00027","K13745","ddc","L-2,4-diaminobutyrate decarboxylase","0.0000 ","0.0367","Haemophilus influenzae C486"
