"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"sgt","SGGB_0001","K02313","dnaA","chromosomal replication initiator protein","0.5800","0.2130","Streptococcus gallolyticus subsp. gallolyticus ATCC 43143"
"sgt","SGGB_0002","K02338","DPO3B, dnaN","DNA polymerase III subunit beta","0.8789","0.9703","Streptococcus gallolyticus subsp. gallolyticus ATCC 43143"
"sgt","SGGB_0007","K03723","mfd","transcription-repair coupling factor (superfamily II helicase)","0.0010","0.0189","Streptococcus gallolyticus subsp. gallolyticus ATCC 43143"
"sgt","SGGB_0012","K01467","ampC","beta-lactamase class C","0.0000 ","0.0009","Streptococcus gallolyticus subsp. gallolyticus ATCC 43143"
"sgt","SGGB_0014","K00760","hprT, hpt, HPRT1","hypoxanthine phosphoribosyltransferase","0.1815","0.3313","Streptococcus gallolyticus subsp. gallolyticus ATCC 43143"
"sgt","SGGB_0019","K00948","PRPS, prsA","ribose-phosphate pyrophosphokinase","0.7656","0.8943","Streptococcus gallolyticus subsp. gallolyticus ATCC 43143"
"sgt","SGGB_0020","K00841","patA","aminotransferase","0.0000 ","0.1087","Streptococcus gallolyticus subsp. gallolyticus ATCC 43143"
"sgt","SGGB_0021","K03584","recO","DNA repair protein RecO (recombination protein O)","0.0010","0.0357","Streptococcus gallolyticus subsp. gallolyticus ATCC 43143"
"sgt","SGGB_0022","K03621","plsX","glycerol-3-phosphate acyltransferase PlsX","0.7026","0.6424","Streptococcus gallolyticus subsp. gallolyticus ATCC 43143"
"sgt","SGGB_0023","K02078","acpP","acyl carrier protein","0.4873","0.1020","Streptococcus gallolyticus subsp. gallolyticus ATCC 43143"
"sgt","SGGB_0024","K01923","purC","phosphoribosylaminoimidazole-succinocarboxamide synthase","0.0544","0.0920","Streptococcus gallolyticus subsp. gallolyticus ATCC 43143"
"sgt","SGGB_0025","K01952","purL, PFAS","phosphoribosylformylglycinamidine synthase","0.0386","0.0838","Streptococcus gallolyticus subsp. gallolyticus ATCC 43143"
"sgt","SGGB_0026","K00764","purF, PPAT","amidophosphoribosyltransferase","0.0184","0.1521","Streptococcus gallolyticus subsp. gallolyticus ATCC 43143"
"sgt","SGGB_0027","K01933","purM","phosphoribosylformylglycinamidine cyclo-ligase","0.0526","0.0937","Streptococcus gallolyticus subsp. gallolyticus ATCC 43143"
"sgt","SGGB_0028","K11175","purN","phosphoribosylglycinamide formyltransferase 1","0.3479","0.4101","Streptococcus gallolyticus subsp. gallolyticus ATCC 43143"
"sgt","SGGB_0030","K00602","purH","phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase","0.3103","0.3691","Streptococcus gallolyticus subsp. gallolyticus ATCC 43143"
"sgt","SGGB_0031","K01945","purD","phosphoribosylamine--glycine ligase","0.0268","0.0743","Streptococcus gallolyticus subsp. gallolyticus ATCC 43143"
"sgt","SGGB_0033","K01588","purE","5-(carboxyamino)imidazole ribonucleotide mutase","0.0526","0.0937","Streptococcus gallolyticus subsp. gallolyticus ATCC 43143"
"sgt","SGGB_0034","K01589","purK","5-(carboxyamino)imidazole ribonucleotide synthase","0.0429","0.0792","Streptococcus gallolyticus subsp. gallolyticus ATCC 43143"
"sgt","SGGB_0036","K01756","purB, ADSL","adenylosuccinate lyase","0.2660","0.2990","Streptococcus gallolyticus subsp. gallolyticus ATCC 43143"
"sgt","SGGB_0037","K20342","comR","HTH-type transcriptional regulator, regulator for ComX","0.0000 ","0.0004","Streptococcus gallolyticus subsp. gallolyticus ATCC 43143"
"sgt","SGGB_0041","K01733","thrC","threonine synthase","0.1110","0.1922","Streptococcus gallolyticus subsp. gallolyticus ATCC 43143"
"sgt","SGGB_0043","K11625","ydfJ","membrane protein YdfJ","0.0000 ","0.0007","Streptococcus gallolyticus subsp. gallolyticus ATCC 43143"
"sgt","SGGB_0044","K11623","ydfH","two-component system, NarL family, sensor histidine kinase YdfH","0.0000 ","0.0013","Streptococcus gallolyticus subsp. gallolyticus ATCC 43143"
"sgt","SGGB_0045","K11618","liaR","two-component system, NarL family, response regulator LiaR","0.0206","0.0010","Streptococcus gallolyticus subsp. gallolyticus ATCC 43143"
"sgt","SGGB_0049","K02946","RP-S10, MRPS10, rpsJ","small subunit ribosomal protein S10","0.4873","0.5756","Streptococcus gallolyticus subsp. gallolyticus ATCC 43143"
"sgt","SGGB_0050","K02906","RP-L3, MRPL3, rplC","large subunit ribosomal protein L3","0.7341","0.6833","Streptococcus gallolyticus subsp. gallolyticus ATCC 43143"
"sgt","SGGB_0051","K02926","RP-L4, MRPL4, rplD","large subunit ribosomal protein L4","0.6807","0.6601","Streptococcus gallolyticus subsp. gallolyticus ATCC 43143"
"sgt","SGGB_0052","K02892","RP-L23, MRPL23, rplW","large subunit ribosomal protein L23","0.5987","0.6114","Streptococcus gallolyticus subsp. gallolyticus ATCC 43143"
"sgt","SGGB_0053","K02886","RP-L2, MRPL2, rplB","large subunit ribosomal protein L2","0.7119","0.6883","Streptococcus gallolyticus subsp. gallolyticus ATCC 43143"
"sgt","SGGB_0054","K02965","RP-S19, rpsS","small subunit ribosomal protein S19","0.4873","0.5756","Streptococcus gallolyticus subsp. gallolyticus ATCC 43143"
"sgt","SGGB_0055","K02890","RP-L22, MRPL22, rplV","large subunit ribosomal protein L22","0.4873","0.5756","Streptococcus gallolyticus subsp. gallolyticus ATCC 43143"
"sgt","SGGB_0056","K02982","RP-S3, rpsC","small subunit ribosomal protein S3","0.7119","0.6883","Streptococcus gallolyticus subsp. gallolyticus ATCC 43143"
"sgt","SGGB_0057","K02878","RP-L16, MRPL16, rplP","large subunit ribosomal protein L16","0.7119","0.6883","Streptococcus gallolyticus subsp. gallolyticus ATCC 43143"
"sgt","SGGB_0058","K02904","RP-L29, rpmC","large subunit ribosomal protein L29","0.4873","0.5756","Streptococcus gallolyticus subsp. gallolyticus ATCC 43143"
"sgt","SGGB_0059","K02961","RP-S17, MRPS17, rpsQ","small subunit ribosomal protein S17","0.4873","0.5756","Streptococcus gallolyticus subsp. gallolyticus ATCC 43143"
"sgt","SGGB_0060","K02874","RP-L14, MRPL14, rplN","large subunit ribosomal protein L14","0.5166","0.6003","Streptococcus gallolyticus subsp. gallolyticus ATCC 43143"
"sgt","SGGB_0061","K02895","RP-L24, MRPL24, rplX","large subunit ribosomal protein L24","0.5800","0.6162","Streptococcus gallolyticus subsp. gallolyticus ATCC 43143"
"sgt","SGGB_0062","K02931","RP-L5, MRPL5, rplE","large subunit ribosomal protein L5","0.7119","0.6883","Streptococcus gallolyticus subsp. gallolyticus ATCC 43143"
"sgt","SGGB_0063","K02954","RP-S14, MRPS14, rpsN","small subunit ribosomal protein S14","0.5625","0.6211","Streptococcus gallolyticus subsp. gallolyticus ATCC 43143"
"sgt","SGGB_0064","K02994","RP-S8, rpsH","small subunit ribosomal protein S8","0.6293","0.6378","Streptococcus gallolyticus subsp. gallolyticus ATCC 43143"
"sgt","SGGB_0065","K02933","RP-L6, MRPL6, rplF","large subunit ribosomal protein L6","0.7656","0.7124","Streptococcus gallolyticus subsp. gallolyticus ATCC 43143"
"sgt","SGGB_0066","K02881","RP-L18, MRPL18, rplR","large subunit ribosomal protein L18","0.5625","0.6211","Streptococcus gallolyticus subsp. gallolyticus ATCC 43143"
"sgt","SGGB_0067","K02988","RP-S5, MRPS5, rpsE","small subunit ribosomal protein S5","0.7119","0.6883","Streptococcus gallolyticus subsp. gallolyticus ATCC 43143"
"sgt","SGGB_0068","K02907","RP-L30, MRPL30, rpmD","large subunit ribosomal protein L30","0.3727","0.4868","Streptococcus gallolyticus subsp. gallolyticus ATCC 43143"
"sgt","SGGB_0069","K02876","RP-L15, MRPL15, rplO","large subunit ribosomal protein L15","0.5625","0.6211","Streptococcus gallolyticus subsp. gallolyticus ATCC 43143"
"sgt","SGGB_0070","K03076","secY","preprotein translocase subunit SecY","0.6601","0.6114","Streptococcus gallolyticus subsp. gallolyticus ATCC 43143"
"sgt","SGGB_0071","K00939","adk, AK","adenylate kinase","0.8789","0.7609","Streptococcus gallolyticus subsp. gallolyticus ATCC 43143"
"sgt","SGGB_0073","K02919","RP-L36, MRPL36, rpmJ","large subunit ribosomal protein L36","0.1815","0.4208","Streptococcus gallolyticus subsp. gallolyticus ATCC 43143"
"sgt","SGGB_0074","K02952","RP-S13, rpsM","small subunit ribosomal protein S13","0.6103","0.6427","Streptococcus gallolyticus subsp. gallolyticus ATCC 43143"
"sgt","SGGB_0075","K02948","RP-S11, MRPS11, rpsK","small subunit ribosomal protein S11","0.7119","0.6883","Streptococcus gallolyticus subsp. gallolyticus ATCC 43143"
"sgt","SGGB_0076","K03040","rpoA","DNA-directed RNA polymerase subunit alpha","0.9384","0.8488","Streptococcus gallolyticus subsp. gallolyticus ATCC 43143"
"sgt","SGGB_0077","K02879","RP-L17, MRPL17, rplQ","large subunit ribosomal protein L17","0.4726","0.5803","Streptococcus gallolyticus subsp. gallolyticus ATCC 43143"
"sgt","SGGB_0078","K00919","ispE","4-diphosphocytidyl-2-C-methyl-D-erythritol kinase","0.5198","0.4114","Streptococcus gallolyticus subsp. gallolyticus ATCC 43143"
"sgt","SGGB_0080","K09817","znuC","zinc transport system ATP-binding protein","0.0000 ","0.0053","Streptococcus gallolyticus subsp. gallolyticus ATCC 43143"
"sgt","SGGB_0081","K09816","znuB","zinc transport system permease protein","0.0016","0.0058","Streptococcus gallolyticus subsp. gallolyticus ATCC 43143"
"sgt","SGGB_0082","K01866","YARS, tyrS","tyrosyl-tRNA synthetase","0.6601","0.5571","Streptococcus gallolyticus subsp. gallolyticus ATCC 43143"
"sgt","SGGB_0083","K03693","pbp1b","penicillin-binding protein 1B","0.0000 ","0.0518","Streptococcus gallolyticus subsp. gallolyticus ATCC 43143"
"sgt","SGGB_0084","K03043","rpoB","DNA-directed RNA polymerase subunit beta","0.9384","0.8359","Streptococcus gallolyticus subsp. gallolyticus ATCC 43143"
"sgt","SGGB_0085","K03046","rpoC","DNA-directed RNA polymerase subunit beta","0.9384","0.8387","Streptococcus gallolyticus subsp. gallolyticus ATCC 43143"
"sgt","SGGB_0095","K00925","ackA","acetate kinase","0.0298","0.0659","Streptococcus gallolyticus subsp. gallolyticus ATCC 43143"
"sgt","SGGB_0100","K00286","proC","pyrroline-5-carboxylate reductase","0.0526","0.0624","Streptococcus gallolyticus subsp. gallolyticus ATCC 43143"
"sgt","SGGB_0106","K03111","ssb","single-strand DNA-binding protein","0.4028","0.5247","Streptococcus gallolyticus subsp. gallolyticus ATCC 43143"
"sgt","SGGB_0110","K03332","fruA","fructan beta-fructosidase","0.0000 ","0.0009","Streptococcus gallolyticus subsp. gallolyticus ATCC 43143"
"sgt","SGGB_0111","K10439","rbsB","ribose transport system substrate-binding protein","0.0020","0.0020","Streptococcus gallolyticus subsp. gallolyticus ATCC 43143"
