"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"nbr","O3I_000005","K02313","dnaA","chromosomal replication initiator protein","0.5800","0.2130","Nocardia brasiliensis"
"nbr","O3I_000010","K02338","DPO3B, dnaN","DNA polymerase III subunit beta","0.8789","0.9703","Nocardia brasiliensis"
"nbr","O3I_000015","K03629","recF","DNA replication and repair protein RecF","0.0047","0.0420","Nocardia brasiliensis"
"nbr","O3I_000045","K01563","dhaA","haloalkane dehalogenase","0.0000 ","0.0032","Nocardia brasiliensis"
"nbr","O3I_000095","K03767","PPIA","peptidyl-prolyl cis-trans isomerase A (cyclophilin A)","0.0000 ","0.0178","Nocardia brasiliensis"
"nbr","O3I_000115","K01664","pabA","para-aminobenzoate synthetase component II","0.0024","0.1645","Nocardia brasiliensis"
"nbr","O3I_000125","K11752","ribD","diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase","0.1944","0.2829","Nocardia brasiliensis"
"nbr","O3I_000150","K05364","pbpA","penicillin-binding protein A","0.0000 ","0.0344","Nocardia brasiliensis"
"nbr","O3I_000215","K01488","add, ADA","adenosine deaminase","0.0022","0.0066","Nocardia brasiliensis"
"nbr","O3I_000250","K01768","E4.6.1.1","adenylate cyclase","0.0000 ","0.0000 ","Nocardia brasiliensis"
"nbr","O3I_000260","K04093","pheA1","chorismate mutase","0.0722","0.0718","Nocardia brasiliensis"
"nbr","O3I_000265","K00265","gltB","glutamate synthase (NADPH/NADH) large chain","0.2338","0.2722","Nocardia brasiliensis"
"nbr","O3I_000270","K00266","gltD","glutamate synthase (NADPH/NADH) small chain","0.2338","0.2051","Nocardia brasiliensis"
"nbr","O3I_000295","K04567","KARS, lysS","lysyl-tRNA synthetase, class II","0.4899","0.4350","Nocardia brasiliensis"
"nbr","O3I_000410","K01126","E3.1.4.46, glpQ, ugpQ","glycerophosphoryl diester phosphodiesterase","0.0000 ","0.0333","Nocardia brasiliensis"
"nbr","O3I_000420","K22336","N/A","","N/A","N/A","Nocardia brasiliensis"
"nbr","O3I_000425","K22336","N/A","","N/A","N/A","Nocardia brasiliensis"
"nbr","O3I_000465","K04518","pheA2","prephenate dehydratase","0.1142","0.0816","Nocardia brasiliensis"
"nbr","O3I_000505","K01875","SARS, serS","seryl-tRNA synthetase","0.6103","0.5347","Nocardia brasiliensis"
"nbr","O3I_000600","K02035","ABC.PE.S","peptide/nickel transport system substrate-binding protein","0.0016","0.0015","Nocardia brasiliensis"
"nbr","O3I_000605","K02035","ABC.PE.S","peptide/nickel transport system substrate-binding protein","0.0016","0.0015","Nocardia brasiliensis"
"nbr","O3I_000610","K02031","ABC.PE.A","peptide/nickel transport system ATP-binding protein","0.0000 ","0.0004","Nocardia brasiliensis"
"nbr","O3I_000615","K02034","ABC.PE.P1","peptide/nickel transport system permease protein","0.0075","0.0026","Nocardia brasiliensis"
"nbr","O3I_000620","K02033","ABC.PE.P","peptide/nickel transport system permease protein","0.0016","0.0026","Nocardia brasiliensis"
"nbr","O3I_000685","K01854","glf","UDP-galactopyranose mutase","0.0127","0.0311","Nocardia brasiliensis"
"nbr","O3I_000710","K18851","fbp","diacylglycerol O-acyltransferase / trehalose O-mycolyltransferase","0.0071","0.0015","Nocardia brasiliensis"
"nbr","O3I_000715","K18851","fbp","diacylglycerol O-acyltransferase / trehalose O-mycolyltransferase","0.0071","0.0015","Nocardia brasiliensis"
"nbr","O3I_000720","K18851","fbp","diacylglycerol O-acyltransferase / trehalose O-mycolyltransferase","0.0071","0.0015","Nocardia brasiliensis"
"nbr","O3I_000725","K18851","fbp","diacylglycerol O-acyltransferase / trehalose O-mycolyltransferase","0.0071","0.0015","Nocardia brasiliensis"
"nbr","O3I_000850","K01790","rfbC, rmlC","dTDP-4-dehydrorhamnose 3,5-epimerase","0.0463","0.0857","Nocardia brasiliensis"
"nbr","O3I_000855","K00973","E2.7.7.24, rfbA, rffH","glucose-1-phosphate thymidylyltransferase","0.0335","0.0709","Nocardia brasiliensis"
"nbr","O3I_000875","K01710","E4.2.1.46, rfbB, rffG","dTDP-glucose 4,6-dehydratase","0.0322","0.0736","Nocardia brasiliensis"
"nbr","O3I_000905","K13775","atuG","citronellol/citronellal dehydrogenase","0.0000 ","0.0295","Nocardia brasiliensis"
"nbr","O3I_000910","K06949","rsgA, engC","ribosome biogenesis GTPase / thiamine phosphate phosphatase","0.3865","0.2740","Nocardia brasiliensis"
"nbr","O3I_000970","K01061","E3.1.1.45","carboxymethylenebutenolidase","0.0000 ","0.0000 ","Nocardia brasiliensis"
"nbr","O3I_000975","K00817","hisC","histidinol-phosphate aminotransferase","0.1003","0.1197","Nocardia brasiliensis"
"nbr","O3I_000985","K00491","nos","nitric-oxide synthase, bacterial","0.0403","0.0125","Nocardia brasiliensis"
"nbr","O3I_001005","K16163","K16163","maleylpyruvate isomerase","0.0000 ","0.0000 ","Nocardia brasiliensis"
"nbr","O3I_001030","K00558","DNMT1, dcm","DNA (cytosine-5)-methyltransferase 1","0.1370","0.1102","Nocardia brasiliensis"
"nbr","O3I_001060","K04517","tyrA2","prephenate dehydrogenase","0.0824","0.0517","Nocardia brasiliensis"
"nbr","O3I_001195","K01885","EARS, gltX","glutamyl-tRNA synthetase","0.6626","0.5645","Nocardia brasiliensis"
