"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"amv","ACMV_00010","K02313","dnaA","chromosomal replication initiator protein","0.5800","0.2130","Acidiphilium multivorum"
"amv","ACMV_00020","K01070","frmB, ESD, fghA","S-formylglutathione hydrolase","0.0000 ","0.0002","Acidiphilium multivorum"
"amv","ACMV_00050","K00632","fadA, fadI","acetyl-CoA acyltransferase","0.0067","0.0198","Acidiphilium multivorum"
"amv","ACMV_00060","K07516","fadN","3-hydroxyacyl-CoA dehydrogenase","0.0029","0.0088","Acidiphilium multivorum"
"amv","ACMV_00090","K15496","wtpB","molybdate/tungstate transport system permease protein","0.0000 ","0.0066","Acidiphilium multivorum"
"amv","ACMV_00100","K15495","wtpA","molybdate/tungstate transport system substrate-binding protein","0.0000 ","0.0053","Acidiphilium multivorum"
"amv","ACMV_00150","K03116","tatA","sec-independent protein translocase protein TatA","0.0206","0.0739","Acidiphilium multivorum"
"amv","ACMV_00160","K03116","tatA","sec-independent protein translocase protein TatA","0.0206","0.0739","Acidiphilium multivorum"
"amv","ACMV_00170","K08964","mtnB","methylthioribulose-1-phosphate dehydratase","0.0000 ","0.0131","Acidiphilium multivorum"
"amv","ACMV_00180","K08967","mtnD, mtnZ, ADI1","1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase","0.0000 ","0.0131","Acidiphilium multivorum"
"amv","ACMV_00190","K09880","mtnC, ENOPH1","enolase-phosphatase E1","0.0000 ","0.0519","Acidiphilium multivorum"
"amv","ACMV_00220","K01783","rpe, RPE","ribulose-phosphate 3-epimerase","0.3164","0.3150","Acidiphilium multivorum"
"amv","ACMV_00240","K01784","galE, GALE","UDP-glucose 4-epimerase","0.0526","0.0568","Acidiphilium multivorum"
"amv","ACMV_00270","K00602","purH","phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase","0.3103","0.3691","Acidiphilium multivorum"
