"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"metm","MSMTP_0016","K07466","RFA1, RPA1, rpa","replication factor A1","0.0000 ","","Methanosarcina sp. MTP4"
"metm","MSMTP_0022","K02316","dnaG","DNA primase","0.3877","0.2987","Methanosarcina sp. MTP4"
"metm","MSMTP_0026","K00104","glcD","glycolate oxidase","0.0085","0.0055","Methanosarcina sp. MTP4"
"metm","MSMTP_0037","K01649","leuA, IMS","2-isopropylmalate synthase","0.0107","0.0293","Methanosarcina sp. MTP4"
"metm","MSMTP_0039","K10773","NTH","endonuclease III","0.0010","0.0113","Methanosarcina sp. MTP4"
"metm","MSMTP_0040","K13812","fae-hps","bifunctional enzyme Fae/Hps","0.0000 ","0.0000 ","Methanosarcina sp. MTP4"
"metm","MSMTP_0041","K01803","TPI, tpiA","triosephosphate isomerase (TIM)","0.5625","0.7010","Methanosarcina sp. MTP4"
"metm","MSMTP_0043","K02013","ABC.FEV.A","iron complex transport system ATP-binding protein","0.0399","0.0544","Methanosarcina sp. MTP4"
"metm","MSMTP_0044","K02015","ABC.FEV.P","iron complex transport system permease protein","0.0184","0.0354","Methanosarcina sp. MTP4"
"metm","MSMTP_0045","K02016","ABC.FEV.S","iron complex transport system substrate-binding protein","0.0044","0.0127","Methanosarcina sp. MTP4"
"metm","MSMTP_0048","K02035","ABC.PE.S","peptide/nickel transport system substrate-binding protein","0.0016","0.0015","Methanosarcina sp. MTP4"
"metm","MSMTP_0051","K02033","ABC.PE.P","peptide/nickel transport system permease protein","0.0016","0.0026","Methanosarcina sp. MTP4"
"metm","MSMTP_0052","K02034","ABC.PE.P1","peptide/nickel transport system permease protein","0.0075","0.0026","Methanosarcina sp. MTP4"
"metm","MSMTP_0053","K02031","ABC.PE.A","peptide/nickel transport system ATP-binding protein","0.0000 ","0.0004","Methanosarcina sp. MTP4"
