"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"bok","DM82_1","K00759","APRT, apt","adenine phosphoribosyltransferase","0.2016","0.1143","Burkholderia oklahomensis E0147"
"bok","DM82_100","K07232","chaC","cation transport protein ChaC","0.0000 ","0.0063","Burkholderia oklahomensis E0147"
"bok","DM82_1000","K01868","TARS, thrS","threonyl-tRNA synthetase","0.6103","0.5347","Burkholderia oklahomensis E0147"
"bok","DM82_1003","K02916","RP-L35, MRPL35, rpmI","large subunit ribosomal protein L35","0.3752","0.5158","Burkholderia oklahomensis E0147"
"bok","DM82_1004","K02887","RP-L20, MRPL20, rplT","large subunit ribosomal protein L20","0.4873","0.5756","Burkholderia oklahomensis E0147"
"bok","DM82_1005","K01889","FARSA, pheS","phenylalanyl-tRNA synthetase alpha chain","0.6601","0.5571","Burkholderia oklahomensis E0147"
"bok","DM82_1006","K01890","FARSB, pheT","phenylalanyl-tRNA synthetase beta chain","0.7119","0.5803","Burkholderia oklahomensis E0147"
"bok","DM82_1011","K14232","tRNA-Pro","tRNA Pro","0.0000 ","0.2024","Burkholderia oklahomensis E0147"
"bok","DM82_1035","K00164","OGDH, sucA","2-oxoglutarate dehydrogenase E1 component","0.2472","0.1717","Burkholderia oklahomensis E0147"
"bok","DM82_1036","K00658","DLST, sucB","2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase)","0.3018","0.2626","Burkholderia oklahomensis E0147"
"bok","DM82_1037","K00382","DLD, lpd, pdhD","dihydrolipoamide dehydrogenase","0.5030","0.4139","Burkholderia oklahomensis E0147"
"bok","DM82_1058","K03666","hfq","host factor-I protein","0.0234","0.0506","Burkholderia oklahomensis E0147"
"bok","DM82_1061","K01897","ACSL, fadD","long-chain acyl-CoA synthetase","0.0000 ","0.0000 ","Burkholderia oklahomensis E0147"
"bok","DM82_1069","K01114","plc","phospholipase C","0.0000 ","0.0000 ","Burkholderia oklahomensis E0147"
"bok","DM82_1070","K14228","tRNA-Leu","tRNA Leu","0.0060","0.2024","Burkholderia oklahomensis E0147"
"bok","DM82_1071","K14228","tRNA-Leu","tRNA Leu","0.0060","0.2024","Burkholderia oklahomensis E0147"
"bok","DM82_1072","K12573","rnr, vacB","ribonuclease R","0.0090","0.0479","Burkholderia oklahomensis E0147"
"bok","DM82_1076","K01807","rpiA","ribose 5-phosphate isomerase A","0.6496","0.7260","Burkholderia oklahomensis E0147"
"bok","DM82_1079","K10009","ABC.CYST.P","cystine transport system permease protein","0.0020","0.0059","Burkholderia oklahomensis E0147"
"bok","DM82_108","K02858","ribB, RIB3","3,4-dihydroxy 2-butanone 4-phosphate synthase","0.2472","0.2616","Burkholderia oklahomensis E0147"
