"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"the","GQS_00050","K12960","mtaD","5-methylthioadenosine/S-adenosylhomocysteine deaminase","0.0000 ","0.0141","Thermococcus sp. 4557"
"the","GQS_00175","K00390","cysH","phosphoadenosine phosphosulfate reductase","0.0144","0.0272","Thermococcus sp. 4557"
"the","GQS_00200","K02936","RP-L7Ae, RPL7A","large subunit ribosomal protein L7Ae","0.0000 ","0.2901","Thermococcus sp. 4557"
"the","GQS_00205","K02979","RP-S28e, RPS28","small subunit ribosomal protein S28e","0.0000 ","0.2901","Thermococcus sp. 4557"
"the","GQS_00210","K02896","RP-L24e, RPL24","large subunit ribosomal protein L24e","0.0000 ","0.2901","Thermococcus sp. 4557"
"the","GQS_00215","K00940","ndk, NME","nucleoside-diphosphate kinase","0.7341","0.8327","Thermococcus sp. 4557"
"the","GQS_00235","K00015","gyaR","glyoxylate reductase","0.0179","0.0057","Thermococcus sp. 4557"
"the","GQS_00315","K01438","argE","acetylornithine deacetylase","0.0579","0.0640","Thermococcus sp. 4557"
"the","GQS_00345","K08963","mtnA","methylthioribose-1-phosphate isomerase","0.0000 ","0.0334","Thermococcus sp. 4557"
"the","GQS_00350","K06928","NTPCR","nucleoside-triphosphatase","0.4891","0.4988","Thermococcus sp. 4557"
"the","GQS_00370","K01756","purB, ADSL","adenylosuccinate lyase","0.2660","0.2990","Thermococcus sp. 4557"
"the","GQS_00385","K01737","queD, ptpS, PTS","6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase","0.0013","0.1482","Thermococcus sp. 4557"
"the","GQS_00450","K06897","K06897","7,8-dihydropterin-6-yl-methyl-4-(beta-D-ribofuranosyl)aminobenzene 5-phosphate synthase","0.0000 ","0.0063","Thermococcus sp. 4557"
"the","GQS_00505","K01784","galE, GALE","UDP-glucose 4-epimerase","0.0526","0.0568","Thermococcus sp. 4557"
"the","GQS_00510","K01939","purA, ADSS","adenylosuccinate synthase","0.1496","0.2426","Thermococcus sp. 4557"
"the","GQS_00525","K01960","pycB","pyruvate carboxylase subunit B","0.1146","0.0445","Thermococcus sp. 4557"
"the","GQS_00530","K11645","fbaB","fructose-bisphosphate aldolase, class I","0.5680","0.4639","Thermococcus sp. 4557"
"the","GQS_00535","K03524","birA","BirA family transcriptional regulator, biotin operon repressor / biotin-[acetyl-CoA-carboxylase] ligase","0.5498","0.3672","Thermococcus sp. 4557"
"the","GQS_00550","K01872","AARS, alaS","alanyl-tRNA synthetase","0.6601","0.5571","Thermococcus sp. 4557"
"the","GQS_00765","K16907","K16907","fluoroquinolone transport system ATP-binding protein","0.0000 ","0.0071","Thermococcus sp. 4557"
"the","GQS_00770","K16906","K16906","fluoroquinolone transport system permease protein","0.0000 ","0.0256","Thermococcus sp. 4557"
"the","GQS_00775","K16905","K16905","fluoroquinolone transport system permease protein","0.0000 ","0.0256","Thermococcus sp. 4557"
"the","GQS_00795","K04802","PCNA","proliferating cell nuclear antigen","0.0000 ","0.4731","Thermococcus sp. 4557"
"the","GQS_00830","K00600","glyA, SHMT","glycine hydroxymethyltransferase","0.3164","0.4597","Thermococcus sp. 4557"
"the","GQS_00925","K01779","racD","aspartate racemase","0.0000 ","0.0000 ","Thermococcus sp. 4557"
"the","GQS_00940","K13038","coaBC, dfp","phosphopantothenoylcysteine decarboxylase / phosphopantothenate--cysteine ligase","0.4153","0.3095","Thermococcus sp. 4557"
"the","GQS_00975","K00873","PK, pyk","pyruvate kinase","0.7341","0.8327","Thermococcus sp. 4557"
"the","GQS_00980","K00939","adk, AK","adenylate kinase","0.8789","0.7609","Thermococcus sp. 4557"
"the","GQS_00990","K03636","moaD, cysO","sulfur-carrier protein","0.0000 ","0.0140","Thermococcus sp. 4557"
"the","GQS_01015","K00820","glmS, GFPT","glucosamine--fructose-6-phosphate aminotransferase (isomerizing)","0.6712","0.7161","Thermococcus sp. 4557"
"the","GQS_01035","K03470","rnhB","ribonuclease HII","0.0093","0.1015","Thermococcus sp. 4557"
"the","GQS_01100","K17488","mptA","GTP cyclohydrolase IV","0.0000 ","0.1626","Thermococcus sp. 4557"
"the","GQS_01135","K02946","RP-S10, MRPS10, rpsJ","small subunit ribosomal protein S10","0.4873","0.5756","Thermococcus sp. 4557"
"the","GQS_01295","K00606","panB","3-methyl-2-oxobutanoate hydroxymethyltransferase","0.1192","0.2722","Thermococcus sp. 4557"
"the","GQS_01335","K03637","moaC, CNX3","cyclic pyranopterin monophosphate synthase","0.0064","0.0241","Thermococcus sp. 4557"
"the","GQS_01345","K07456","mutS2","DNA mismatch repair protein MutS2","0.0000 ","0.0099","Thermococcus sp. 4557"
"the","GQS_01370","K00059","fabG","3-oxoacyl-[acyl-carrier protein] reductase","0.7026","0.4376","Thermococcus sp. 4557"
"the","GQS_01380","K00803","AGPS, agpS","alkyldihydroxyacetonephosphate synthase","0.0060","0.0214","Thermococcus sp. 4557"
"the","GQS_01390","K00111","glpA, glpD","glycerol-3-phosphate dehydrogenase","0.0013","0.0904","Thermococcus sp. 4557"
"the","GQS_01405","K00864","glpK, GK","glycerol kinase","0.0046","0.0302","Thermococcus sp. 4557"
"the","GQS_01450","K01912","paaK","phenylacetate-CoA ligase","0.0000 ","0.0000 ","Thermococcus sp. 4557"
"the","GQS_01470","K03750","moeA","molybdopterin molybdotransferase","0.0051","0.1550","Thermococcus sp. 4557"
"the","GQS_01485","K03638","moaB","molybdenum cofactor biosynthesis protein B","0.0000 ","0.0093","Thermococcus sp. 4557"
"the","GQS_01490","K08260","cbiZ","adenosylcobinamide hydrolase","0.0080","0.0285","Thermococcus sp. 4557"
