"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"smi","BN406_00001","K02313","dnaA","chromosomal replication initiator protein","0.5800","0.2130","Sinorhizobium meliloti Rm41"
"smi","BN406_00007","K02428","rdgB","XTP/dITP diphosphohydrolase","0.2749","0.2063","Sinorhizobium meliloti Rm41"
"smi","BN406_00012","K02806","PTS-Ntr-EIIA, ptsN","PTS system, nitrogen regulatory IIA component","0.0160","0.0050","Sinorhizobium meliloti Rm41"
"smi","BN406_00014","K03092","SIG54, rpoN","RNA polymerase sigma-54 factor","0.0055","0.0160","Sinorhizobium meliloti Rm41"
"smi","BN406_00015","K06861","lptB","lipopolysaccharide export system ATP-binding protein","0.3018","0.1430","Sinorhizobium meliloti Rm41"
"smi","BN406_00024","K03101","lspA","signal peptidase II","0.2338","0.2223","Sinorhizobium meliloti Rm41"
"smi","BN406_00027","K00029","E1.1.1.40, maeB","malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+)","0.0137","0.0262","Sinorhizobium meliloti Rm41"
"smi","BN406_00028","K03555","mutS","DNA mismatch repair protein MutS","0.0046","0.0241","Sinorhizobium meliloti Rm41"
"smi","BN406_00029","K00990","glnD","[protein-PII] uridylyltransferase","0.0000 ","0.0007","Sinorhizobium meliloti Rm41"
"smi","BN406_00032","K01867","WARS, trpS","tryptophanyl-tRNA synthetase","0.5166","0.4923","Sinorhizobium meliloti Rm41"
"smi","BN406_00044","K00789","metK","S-adenosylmethionine synthetase","0.7119","0.5349","Sinorhizobium meliloti Rm41"
"smi","BN406_00048","K01239","iunH","purine nucleosidase","0.0221","0.0143","Sinorhizobium meliloti Rm41"
"smi","BN406_00049","K03406","mcp","methyl-accepting chemotaxis protein","0.0071","0.0042","Sinorhizobium meliloti Rm41"
"smi","BN406_00050","K00852","rbsK, RBKS","ribokinase","0.0015","0.0048","Sinorhizobium meliloti Rm41"
"smi","BN406_00053","K00604","MTFMT, fmt","methionyl-tRNA formyltransferase","0.5166","0.6569","Sinorhizobium meliloti Rm41"
"smi","BN406_00056","K01439","dapE","succinyl-diaminopimelate desuccinylase","0.3579","0.1038","Sinorhizobium meliloti Rm41"
"smi","BN406_00061","K05592","deaD, cshA","ATP-dependent RNA helicase DeaD","0.0000 ","0.0313","Sinorhizobium meliloti Rm41"
"smi","BN406_00064","K00674","dapD","2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase","0.3434","0.1480","Sinorhizobium meliloti Rm41"
"smi","BN406_00065","K06966","K06966","uncharacterized protein","0.0012","0.0125","Sinorhizobium meliloti Rm41"
"smi","BN406_00070","K00930","argB","acetylglutamate kinase","0.0463","0.0630","Sinorhizobium meliloti Rm41"
"smi","BN406_00076","K03217","yidC, spoIIIJ, OXA1, ccfA","YidC/Oxa1 family membrane protein insertase","0.5327","0.5418","Sinorhizobium meliloti Rm41"
"smi","BN406_00078","K03406","mcp","methyl-accepting chemotaxis protein","0.0071","0.0042","Sinorhizobium meliloti Rm41"
"smi","BN406_00100","K00101","lldD","L-lactate dehydrogenase (cytochrome)","0.0017","0.0122","Sinorhizobium meliloti Rm41"
"smi","BN406_00114","K13821","putA","RHH-type transcriptional regulator, proline utilization regulon repressor / proline dehydrogenase / delta 1-pyrroline-5-carboxylate dehydrogenase","0.0750","0.0820","Sinorhizobium meliloti Rm41"
"smi","BN406_00116","K03651","cpdA","3,5-cyclic-AMP phosphodiesterase","0.0067","0.0203","Sinorhizobium meliloti Rm41"
"smi","BN406_00119","K01768","E4.6.1.1","adenylate cyclase","0.0000 ","0.0000 ","Sinorhizobium meliloti Rm41"
"smi","BN406_00120","K10914","crp","CRP/FNR family transcriptional regulator, cyclic AMP receptor protein","0.0000 ","5.20E-","Sinorhizobium meliloti Rm41"
"smi","BN406_00124","K10552","frcB","fructose transport system substrate-binding protein","0.0000 ","0.0057","Sinorhizobium meliloti Rm41"
"smi","BN406_00125","K10553","frcC","fructose transport system permease protein","0.0000 ","0.0053","Sinorhizobium meliloti Rm41"
"smi","BN406_00126","K10554","frcA","fructose transport system ATP-binding protein","0.0000 ","0.0057","Sinorhizobium meliloti Rm41"
"smi","BN406_00128","K01465","URA4, pyrC","dihydroorotase","0.0386","0.1747","Sinorhizobium meliloti Rm41"
"smi","BN406_00129","K00762","pyrE","orotate phosphoribosyltransferase","0.0259","0.1665","Sinorhizobium meliloti Rm41"
"smi","BN406_00130","K00847","E2.7.1.4, scrK","fructokinase","0.0013","0.0090","Sinorhizobium meliloti Rm41"
"smi","BN406_00131","K01810","GPI, pgi","glucose-6-phosphate isomerase","0.3262","0.3873","Sinorhizobium meliloti Rm41"
"smi","BN406_00132","K01897","ACSL, fadD","long-chain acyl-CoA synthetase","0.0000 ","0.0000 ","Sinorhizobium meliloti Rm41"
"smi","BN406_00137","K00981","E2.7.7.41, CDS1, CDS2, cdsA","phosphatidate cytidylyltransferase","0.8212","0.9472","Sinorhizobium meliloti Rm41"
"smi","BN406_00139","K00459","ncd2, npd","nitronate monooxygenase","0.0017","0.1220","Sinorhizobium meliloti Rm41"
"smi","BN406_00141","K22468","N/A","","N/A","N/A","Sinorhizobium meliloti Rm41"
