"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"hyz","AXW84_00165","K03412","cheB","two-component system, chemotaxis family, response regulator CheB","0.0000 ","0.0034","Hymenobacter sp. PAMC 26628"
"hyz","AXW84_00260","K03823","pat","phosphinothricin acetyltransferase","0.0000 ","0.0002","Hymenobacter sp. PAMC 26628"
"hyz","AXW84_00265","K09936","TC.BAT2","bacterial/archaeal transporter family-2 protein","0.0000 ","0.0004","Hymenobacter sp. PAMC 26628"
"hyz","AXW84_00460","K00297","metF, MTHFR","methylenetetrahydrofolate reductase (NADPH)","0.0012","0.0130","Hymenobacter sp. PAMC 26628"
"hyz","AXW84_00465","K00548","metH, MTR","5-methyltetrahydrofolate--homocysteine methyltransferase","0.0551","0.0781","Hymenobacter sp. PAMC 26628"
"hyz","AXW84_00470","K03750","moeA","molybdopterin molybdotransferase","0.0051","0.1550","Hymenobacter sp. PAMC 26628"
"hyz","AXW84_00475","K03637","moaC, CNX3","cyclic pyranopterin monophosphate synthase","0.0064","0.0241","Hymenobacter sp. PAMC 26628"
"hyz","AXW84_00480","K03752","mobA","molybdenum cofactor guanylyltransferase","0.0000 ","0.0063","Hymenobacter sp. PAMC 26628"
"hyz","AXW84_00485","K03635","MOCS2B, moaE","molybdopterin synthase catalytic subunit","0.0115","0.0336","Hymenobacter sp. PAMC 26628"
"hyz","AXW84_00490","K03636","moaD, cysO","sulfur-carrier protein","0.0000 ","0.0140","Hymenobacter sp. PAMC 26628"
"hyz","AXW84_00495","K03639","moaA, CNX2","GTP 3,8-cyclase","0.0206","0.0410","Hymenobacter sp. PAMC 26628"
"hyz","AXW84_00615","K00705","malQ","4-alpha-glucanotransferase","0.0144","0.0200","Hymenobacter sp. PAMC 26628"
"hyz","AXW84_00630","K01190","lacZ","beta-galactosidase","0.0000 ","0.0000 ","Hymenobacter sp. PAMC 26628"
"hyz","AXW84_00700","K00021","HMGCR","hydroxymethylglutaryl-CoA reductase (NADPH)","0.0000 ","0.0041","Hymenobacter sp. PAMC 26628"
"hyz","AXW84_00835","K01698","hemB, ALAD","porphobilinogen synthase","0.3579","0.2014","Hymenobacter sp. PAMC 26628"
"hyz","AXW84_00845","K00819","rocD, OAT","ornithine--oxo-acid transaminase","0.0044","0.0191","Hymenobacter sp. PAMC 26628"
"hyz","AXW84_00855","K02902","RP-L28, MRPL28, rpmB","large subunit ribosomal protein L28","0.3164","0.5072","Hymenobacter sp. PAMC 26628"
"hyz","AXW84_00860","K02913","RP-L33, MRPL33, rpmG","large subunit ribosomal protein L33","0.0687","0.3611","Hymenobacter sp. PAMC 26628"
"hyz","AXW84_00865","K03110","ftsY","fused signal recognition particle receptor","0.6601","0.5766","Hymenobacter sp. PAMC 26628"
"hyz","AXW84_00900","K02010","afuC, fbpC","iron(III) transport system ATP-binding protein","0.0026","0.0068","Hymenobacter sp. PAMC 26628"
"hyz","AXW84_00910","K00065","kduD","2-deoxy-D-gluconate 3-dehydrogenase","0.0000 ","0.0295","Hymenobacter sp. PAMC 26628"
"hyz","AXW84_01000","K00851","E2.7.1.12, gntK, idnK","gluconokinase","0.0000 ","0.0066","Hymenobacter sp. PAMC 26628"
"hyz","AXW84_01015","K00973","E2.7.7.24, rfbA, rffH","glucose-1-phosphate thymidylyltransferase","0.0335","0.0709","Hymenobacter sp. PAMC 26628"
"hyz","AXW84_01045","K00891","E2.7.1.71, aroK, aroL","shikimate kinase","0.1756","0.1196","Hymenobacter sp. PAMC 26628"
"hyz","AXW84_01050","K02033","ABC.PE.P","peptide/nickel transport system permease protein","0.0016","0.0026","Hymenobacter sp. PAMC 26628"
"hyz","AXW84_01065","K00796","folP","dihydropteroate synthase","0.5030","0.3686","Hymenobacter sp. PAMC 26628"
"hyz","AXW84_01095","K00639","kbl, GCAT","glycine C-acetyltransferase","0.0021","0.0164","Hymenobacter sp. PAMC 26628"
"hyz","AXW84_01230","K01820","rhaA","L-rhamnose isomerase / sugar isomerase","0.0000 ","0.0000 ","Hymenobacter sp. PAMC 26628"
"hyz","AXW84_01365","K01934","MTHFS","5-formyltetrahydrofolate cyclo-ligase","0.0190","0.1716","Hymenobacter sp. PAMC 26628"
"hyz","AXW84_01390","K01889","FARSA, pheS","phenylalanyl-tRNA synthetase alpha chain","0.6601","0.5571","Hymenobacter sp. PAMC 26628"
"hyz","AXW84_01415","K11381","bkdA","2-oxoisovalerate dehydrogenase E1 component","0.0000 ","0.0203","Hymenobacter sp. PAMC 26628"
"hyz","AXW84_01470","K03644","lipA","lipoyl synthase","0.2427","0.2360","Hymenobacter sp. PAMC 26628"
"hyz","AXW84_01485","K00281","GLDC, gcvP","glycine dehydrogenase","0.5052","0.3271","Hymenobacter sp. PAMC 26628"
"hyz","AXW84_01580","K00164","OGDH, sucA","2-oxoglutarate dehydrogenase E1 component","0.2472","0.1717","Hymenobacter sp. PAMC 26628"
"hyz","AXW84_01585","K00658","DLST, sucB","2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase)","0.3018","0.2626","Hymenobacter sp. PAMC 26628"
"hyz","AXW84_01595","K00382","DLD, lpd, pdhD","dihydrolipoamide dehydrogenase","0.5030","0.4139","Hymenobacter sp. PAMC 26628"
"hyz","AXW84_01610","K00763","pncB, NAPRT1","nicotinate phosphoribosyltransferase","0.0685","0.2006","Hymenobacter sp. PAMC 26628"
"hyz","AXW84_01640","K03270","kdsC","3-deoxy-D-manno-octulosonate 8-phosphate phosphatase (KDO 8-P phosphatase)","0.2316","0.1497","Hymenobacter sp. PAMC 26628"
