"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"bpr","GBP346_A0002","K02914","RP-L34, MRPL34, rpmH","large subunit ribosomal protein L34","0.3752","0.5158","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0005","K03217","yidC, spoIIIJ, OXA1, ccfA","YidC/Oxa1 family membrane protein insertase","0.5327","0.5418","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0029","K00657","speG, SAT","diamine N-acetyltransferase","0.0022","0.0046","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0035","K01247","alkA","DNA-3-methyladenine glycosylase II","0.0000 ","0.0035","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0037","K01919","gshA","glutamate--cysteine ligase","0.0526","0.0617","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0043","K02055","ABC.SP.S","putative spermidine/putrescine transport system substrate-binding protein","0.0116","0.0040","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0045","K12251","aguB","N-carbamoylputrescine amidase","0.0666","0.0079","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0051","K14229","tRNA-Lys","tRNA Lys","0.0060","0.2024","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0055","K00058","serA, PHGDH","D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase","0.1073","0.1203","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0062","K00604","MTFMT, fmt","methionyl-tRNA formyltransferase","0.5166","0.6569","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0071","K14231","tRNA-Phe","tRNA Phe","0.0000 ","0.2024","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0073","K06920","queC","7-cyano-7-deazaguanine synthase","0.0000 ","0.1423","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0074","K10026","queE","7-carboxy-7-deazaguanine synthase","0.0013","0.1471","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0075","K01737","queD, ptpS, PTS","6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase","0.0013","0.1482","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0078","K01630","garL","2-dehydro-3-deoxyglucarate aldolase","0.0000 ","0.0000 ","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0081","K05515","mrdA","penicillin-binding protein 2","0.2106","0.0687","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0086","K02435","gatC, GATC","aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit C","0.4842","0.3799","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0087","K02433","gatA, QRSL1","aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A","0.5916","0.2286","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0088","K02434","gatB, PET112","aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B","0.5916","0.4150","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0090","K01142","E3.1.11.2, xthA","exodeoxyribonuclease III","0.0010","0.0110","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0094","K08218","ampG","MFS transporter, PAT family, beta-lactamase induction signal transducer AmpG","0.0000 ","0.0004","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0096","K00641","metX","homoserine O-acetyltransferase","0.0342","0.0381","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0099","K00930","argB","acetylglutamate kinase","0.0463","0.0630","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0102","K15011","regB, regS, actS","two-component system, sensor histidine kinase RegB","0.0000 ","0.0013","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0103","K15012","regA, regR, actR","two-component system, response regulator RegA","0.0000 ","0.0007","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0111","K01778","dapF","diaminopimelate epimerase","0.3297","0.2269","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0112","K02517","lpxL, htrB","Kdo2-lipid IVA lauroyltransferase","0.1623","0.0916","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0113","K00789","metK","S-adenosylmethionine synthetase","0.7119","0.5349","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0131","K02414","fliK","flagellar hook-length control protein FliK","0.0000 ","0.0007","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0132","K02413","fliJ","flagellar FliJ protein","0.0024","0.0037","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0133","K02412","fliI","flagellum-specific ATP synthase","0.0000 ","0.0007","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0134","K02411","fliH","flagellar assembly protein FliH","0.0000 ","0.0007","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0135","K02410","fliG","flagellar motor switch protein FliG","0.0000 ","0.0039","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0136","K02409","fliF","flagellar M-ring protein FliF","0.0000 ","0.0013","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0137","K02408","fliE","flagellar hook-basal body complex protein FliE","0.0016","0.0053","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0138","K02422","fliS","flagellar protein FliS","0.0000 ","0.0007","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0139","K02423","fliT","flagellar protein FliT","0.0000 ","0.0210","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0158","K12368","dppA","dipeptide transport system substrate-binding protein","0.0000 ","0.0027","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0159","K12369","dppB","dipeptide transport system permease protein","0.0000 ","0.0075","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0160","K12370","dppC","dipeptide transport system permease protein","0.0000 ","0.0075","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0161","K12371","dppD","dipeptide transport system ATP-binding protein","0.0026","0.0072","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0162","K12372","dppF","dipeptide transport system ATP-binding protein","0.0026","0.0072","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0173","K00329","E1.6.5.3","NADH dehydrogenase","0.0000 ","0.0363","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0174","K00799","GST, gst","glutathione S-transferase","0.0402","0.0384","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0179","K02399","flgN","flagella synthesis protein FlgN","0.0000 ","0.0007","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0180","K02398","flgM","negative regulator of flagellin synthesis FlgM","0.0000 ","0.0000 ","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0181","K02386","flgA","flagella basal body P-ring formation protein FlgA","0.0018","0.0048","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0182","K02387","flgB","flagellar basal-body rod protein FlgB","0.0000 ","0.0007","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0183","K02388","flgC","flagellar basal-body rod protein FlgC","0.0000 ","0.0007","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0184","K02389","flgD","flagellar basal-body rod modification protein FlgD","0.0000 ","0.0007","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0185","K02390","flgE","flagellar hook protein FlgE","0.0000 ","0.0007","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0186","K02391","flgF","flagellar basal-body rod protein FlgF","0.0000 ","0.0007","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0187","K02392","flgG","flagellar basal-body rod protein FlgG","0.0000 ","0.0007","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0188","K02393","flgH","flagellar L-ring protein precursor FlgH","0.0000 ","0.0007","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0189","K02394","flgI","flagellar P-ring protein precursor FlgI","0.0000 ","0.0007","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0192","K02396","flgK","flagellar hook-associated protein 1 FlgK","0.0000 ","0.0007","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0193","K02397","flgL","flagellar hook-associated protein 3 FlgL","0.0016","0.0053","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0212","K00720","UGCG","ceramide glucosyltransferase","0.0000 ","0.0004","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0222","K00383","GSR, gor","glutathione reductase (NADPH)","0.0125","0.1203","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0224","K01940","argG, ASS1","argininosuccinate synthase","0.0584","0.1341","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0238","K07798","cusB, silB","membrane fusion protein, Cu(I)/Ag(I) efflux system","0.0000 ","0.0011","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0239","K07787","cusA, silA","Cu(I)/Ag(I) efflux system membrane protein CusA/SilA","0.0000 ","0.0007","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0243","K00820","glmS, GFPT","glucosamine--fructose-6-phosphate aminotransferase (isomerizing)","0.6712","0.7161","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0244","K04042","glmU","bifunctional UDP-N-acetylglucosamine pyrophosphorylase / Glucosamine-1-phosphate N-acetyltransferase","0.5073","0.2081","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0247","K01633","folB","dihydroneopterin aldolase / 7,8-dihydroneopterin epimerase","0.4583","0.2731","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0253","K00847","E2.7.1.4, scrK","fructokinase","0.0013","0.0090","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0256","K05874","tsr","methyl-accepting chemotaxis protein I, serine sensor receptor","0.0060","0.0042","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0265","K00459","ncd2, npd","nitronate monooxygenase","0.0017","0.1220","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0267","K01561","dehH","haloacetate dehalogenase","0.0000 ","0.0032","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0272","K01640","E4.1.3.4, HMGCL, hmgL","hydroxymethylglutaryl-CoA lyase","0.0091","0.0134","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0273","K12972","ghrA","glyoxylate/hydroxypyruvate reductase A","0.0127","0.0432","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0278","K01114","plc","phospholipase C","0.0000 ","0.0000 ","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0289","K01714","dapA","4-hydroxy-tetrahydrodipicolinate synthase","0.4899","0.3442","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0297","K02048","cysP, sbp","sulfate transport system substrate-binding protein","0.0000 ","0.0000 ","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0309","K01077","E3.1.3.1, phoA, phoB","alkaline phosphatase","0.2007","0.1265","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0310","K01077","E3.1.3.1, phoA, phoB","alkaline phosphatase","0.2007","0.1265","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0314","K01012","bioB","biotin synthase","0.0544","0.1254","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0315","K01935","bioD","dethiobiotin synthetase","0.0414","0.1142","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0316","K00652","bioF","8-amino-7-oxononanoate synthase","0.0414","0.0827","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0317","K00833","bioA","adenosylmethionine---8-amino-7-oxononanoate aminotransferase","0.0190","0.0731","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0323","K00626","E2.3.1.9, atoB","acetyl-CoA C-acetyltransferase","0.0206","0.0393","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0324","K01673","cynT, can","carbonic anhydrase","0.0399","0.0279","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0329","K12368","dppA","dipeptide transport system substrate-binding protein","0.0000 ","0.0027","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0335","K03673","dsbA","thiol:disulfide interchange protein DsbA","0.0000 ","0.0184","Burkholderia pseudomallei MSHR346"
"bpr","GBP346_A0337","K01887","RARS, argS","arginyl-tRNA synthetase","0.5800","0.5082","Burkholderia pseudomallei MSHR346"
