"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"fta","FTA_0001","K02313","dnaA","chromosomal replication initiator protein","0.5800","0.2130","Francisella tularensis subsp. holarctica FTNF002-00"
"fta","FTA_0003","K02338","DPO3B, dnaN","DNA polymerase III subunit beta","0.8789","0.9703","Francisella tularensis subsp. holarctica FTNF002-00"
"fta","FTA_0012","K01011","TST, MPST, sseA","thiosulfate/3-mercaptopyruvate sulfurtransferase","0.0152","0.0317","Francisella tularensis subsp. holarctica FTNF002-00"
"fta","FTA_0013","K03071","secB","preprotein translocase subunit SecB","0.0016","0.2412","Francisella tularensis subsp. holarctica FTNF002-00"
"fta","FTA_0014","K03553","recA","recombination protein RecA","0.0156","0.0636","Francisella tularensis subsp. holarctica FTNF002-00"
"fta","FTA_0016","K03111","ssb","single-strand DNA-binding protein","0.4028","0.5247","Francisella tularensis subsp. holarctica FTNF002-00"
"fta","FTA_0017","K00925","ackA","acetate kinase","0.0298","0.0659","Francisella tularensis subsp. holarctica FTNF002-00"
"fta","FTA_0018","K13788","pta","phosphate acetyltransferase","0.0750","0.0874","Francisella tularensis subsp. holarctica FTNF002-00"
"fta","FTA_0024","K01876","DARS, aspS","aspartyl-tRNA synthetase","0.6601","0.5571","Francisella tularensis subsp. holarctica FTNF002-00"
"fta","FTA_0035","K00609","pyrB, PYR2","aspartate carbamoyltransferase catalytic subunit","0.0526","0.2378","Francisella tularensis subsp. holarctica FTNF002-00"
"fta","FTA_0036","K01955","carB, CPA2","carbamoyl-phosphate synthase large subunit","0.4583","0.4389","Francisella tularensis subsp. holarctica FTNF002-00"
"fta","FTA_0037","K01956","carA, CPA1","carbamoyl-phosphate synthase small subunit","0.4583","0.4389","Francisella tularensis subsp. holarctica FTNF002-00"
"fta","FTA_0040","K01465","URA4, pyrC","dihydroorotase","0.0386","0.1747","Francisella tularensis subsp. holarctica FTNF002-00"
"fta","FTA_0053","K01591","pyrF","orotidine-5-phosphate decarboxylase","0.0665","0.1970","Francisella tularensis subsp. holarctica FTNF002-00"
"fta","FTA_0054","K00254","DHODH, pyrD","dihydroorotate dehydrogenase","0.0463","0.1443","Francisella tularensis subsp. holarctica FTNF002-00"
"fta","FTA_0060","K01193","INV, sacA","beta-fructofuranosidase","0.0031","0.0081","Francisella tularensis subsp. holarctica FTNF002-00"
"fta","FTA_0076","K03271","gmhA, lpcA","D-sedoheptulose 7-phosphate isomerase","0.0472","0.0727","Francisella tularensis subsp. holarctica FTNF002-00"
"fta","FTA_0078","K02968","RP-S20, rpsT","small subunit ribosomal protein S20","0.2265","0.4557","Francisella tularensis subsp. holarctica FTNF002-00"
"fta","FTA_0080","K00566","mnmA, trmU","tRNA-uridine 2-sulfurtransferase","0.5166","0.3627","Francisella tularensis subsp. holarctica FTNF002-00"
"fta","FTA_0083","K00794","ribH, RIB4","6,7-dimethyl-8-ribityllumazine synthase","0.2177","0.2963","Francisella tularensis subsp. holarctica FTNF002-00"
"fta","FTA_0084","K14652","ribBA","3,4-dihydroxy 2-butanone 4-phosphate synthase / GTP cyclohydrolase II","0.3054","0.3176","Francisella tularensis subsp. holarctica FTNF002-00"
"fta","FTA_0085","K00793","ribE, RIB5","riboflavin synthase","0.2177","0.2963","Francisella tularensis subsp. holarctica FTNF002-00"
"fta","FTA_0086","K11752","ribD","diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase","0.1944","0.2829","Francisella tularensis subsp. holarctica FTNF002-00"
"fta","FTA_0096","K00655","plsC","1-acyl-sn-glycerol-3-phosphate acyltransferase","0.7119","0.5099","Francisella tularensis subsp. holarctica FTNF002-00"
"fta","FTA_0097","K00655","plsC","1-acyl-sn-glycerol-3-phosphate acyltransferase","0.7119","0.5099","Francisella tularensis subsp. holarctica FTNF002-00"
"fta","FTA_0101","K08289","purT","phosphoribosylglycinamide formyltransferase 2","0.4534","0.3836","Francisella tularensis subsp. holarctica FTNF002-00"
"fta","FTA_0102","K01183","E3.2.1.14","chitinase","0.0000 ","0.0172","Francisella tularensis subsp. holarctica FTNF002-00"
"fta","FTA_0106","K01695","trpA","tryptophan synthase alpha chain","0.0606","0.0979","Francisella tularensis subsp. holarctica FTNF002-00"
"fta","FTA_0107","K01696","trpB","tryptophan synthase beta chain","0.0606","0.0979","Francisella tularensis subsp. holarctica FTNF002-00"
"fta","FTA_0142","K00826","E2.6.1.42, ilvE","branched-chain amino acid aminotransferase","0.0166","0.0653","Francisella tularensis subsp. holarctica FTNF002-00"
"fta","FTA_0143","K01006","ppdK","pyruvate, orthophosphate dikinase","0.4471","0.4267","Francisella tularensis subsp. holarctica FTNF002-00"
"fta","FTA_0152","K01749","hemC, HMBS","hydroxymethylbilane synthase","0.4471","0.2333","Francisella tularensis subsp. holarctica FTNF002-00"
"fta","FTA_0164","K00919","ispE","4-diphosphocytidyl-2-C-methyl-D-erythritol kinase","0.5198","0.4114","Francisella tularensis subsp. holarctica FTNF002-00"
"fta","FTA_0172","K01114","plc","phospholipase C","0.0000 ","0.0000 ","Francisella tularensis subsp. holarctica FTNF002-00"
"fta","FTA_0188","K01924","murC","UDP-N-acetylmuramate--alanine ligase","0.8149","0.6201","Francisella tularensis subsp. holarctica FTNF002-00"
"fta","FTA_0189","K00014","aroE","shikimate dehydrogenase","0.1039","0.1242","Francisella tularensis subsp. holarctica FTNF002-00"
"fta","FTA_0191","K02914","RP-L34, MRPL34, rpmH","large subunit ribosomal protein L34","0.3752","0.5158","Francisella tularensis subsp. holarctica FTNF002-00"
"fta","FTA_0192","K03217","yidC, spoIIIJ, OXA1, ccfA","YidC/Oxa1 family membrane protein insertase","0.5327","0.5418","Francisella tularensis subsp. holarctica FTNF002-00"
"fta","FTA_0193","K02517","lpxL, htrB","Kdo2-lipid IVA lauroyltransferase","0.1623","0.0916","Francisella tularensis subsp. holarctica FTNF002-00"
"fta","FTA_0194","K02517","lpxL, htrB","Kdo2-lipid IVA lauroyltransferase","0.1623","0.0916","Francisella tularensis subsp. holarctica FTNF002-00"
"fta","FTA_0202","K01713","pheC","cyclohexadienyl dehydratase","0.1465","0.0816","Francisella tularensis subsp. holarctica FTNF002-00"
"fta","FTA_0203","K00426","cydB","cytochrome d ubiquinol oxidase subunit II","0.0046","0.0231","Francisella tularensis subsp. holarctica FTNF002-00"
"fta","FTA_0204","K00425","cydA","cytochrome d ubiquinol oxidase subunit I","0.0184","0.0390","Francisella tularensis subsp. holarctica FTNF002-00"
"fta","FTA_0206","K02297","cyoA","cytochrome o ubiquinol oxidase subunit II","0.0022","0.0171","Francisella tularensis subsp. holarctica FTNF002-00"
"fta","FTA_0207","K02298","cyoB","cytochrome o ubiquinol oxidase subunit I","0.0000 ","0.0160","Francisella tularensis subsp. holarctica FTNF002-00"
"fta","FTA_0208","K02299","cyoC","cytochrome o ubiquinol oxidase subunit III","0.0022","0.0169","Francisella tularensis subsp. holarctica FTNF002-00"
"fta","FTA_0209","K02300","cyoD","cytochrome o ubiquinol oxidase subunit IV","0.0091","0.0184","Francisella tularensis subsp. holarctica FTNF002-00"
"fta","FTA_0210","K02257","COX10","protoheme IX farnesyltransferase","0.0286","0.0140","Francisella tularensis subsp. holarctica FTNF002-00"
"fta","FTA_0214","K00868","pdxK, pdxY","pyridoxine kinase","0.0579","0.0824","Francisella tularensis subsp. holarctica FTNF002-00"
"fta","FTA_0225","K02339","DPO3C, holC","DNA polymerase III subunit chi","0.7895","0.9144","Francisella tularensis subsp. holarctica FTNF002-00"
"fta","FTA_0226","K01873","VARS, valS","valyl-tRNA synthetase","0.6601","0.5571","Francisella tularensis subsp. holarctica FTNF002-00"
"fta","FTA_0229","K00101","lldD","L-lactate dehydrogenase (cytochrome)","0.0017","0.0122","Francisella tularensis subsp. holarctica FTNF002-00"
"fta","FTA_0231","K10679","nfnB, nfsB","nitroreductase / dihydropteridine reductase","0.0000 ","0.0002","Francisella tularensis subsp. holarctica FTNF002-00"
"fta","FTA_0233","K01679","E4.2.1.2B, fumC","fumarate hydratase, class II","0.1043","0.1495","Francisella tularensis subsp. holarctica FTNF002-00"
"fta","FTA_0234","K01885","EARS, gltX","glutamyl-tRNA synthetase","0.6626","0.5645","Francisella tularensis subsp. holarctica FTNF002-00"
"fta","FTA_0239","K00287","folA","dihydrofolate reductase","0.7829","0.7222","Francisella tularensis subsp. holarctica FTNF002-00"
"fta","FTA_0240","K02967","RP-S2, MRPS2, rpsB","small subunit ribosomal protein S2","0.4440","0.5564","Francisella tularensis subsp. holarctica FTNF002-00"
"fta","FTA_0242","K09903","pyrH","uridylate kinase","0.8789","0.5971","Francisella tularensis subsp. holarctica FTNF002-00"
"fta","FTA_0244","K00806","uppS","undecaprenyl diphosphate synthase","0.6186","0.2407","Francisella tularensis subsp. holarctica FTNF002-00"
"fta","FTA_0245","K00981","E2.7.7.41, CDS1, CDS2, cdsA","phosphatidate cytidylyltransferase","0.8212","0.9472","Francisella tularensis subsp. holarctica FTNF002-00"
"fta","FTA_0246","K01520","dut, DUT","dUTP pyrophosphatase","0.3727","0.3207","Francisella tularensis subsp. holarctica FTNF002-00"
"fta","FTA_0247","K00995","pgsA, PGS1","CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase","0.5261","0.1601","Francisella tularensis subsp. holarctica FTNF002-00"
"fta","FTA_0248","K02950","RP-S12, MRPS12, rpsL","small subunit ribosomal protein S12","0.5625","0.6211","Francisella tularensis subsp. holarctica FTNF002-00"
"fta","FTA_0249","K02992","RP-S7, MRPS7, rpsG","small subunit ribosomal protein S7","0.7119","0.6883","Francisella tularensis subsp. holarctica FTNF002-00"
"fta","FTA_0251","K02946","RP-S10, MRPS10, rpsJ","small subunit ribosomal protein S10","0.4873","0.5756","Francisella tularensis subsp. holarctica FTNF002-00"
"fta","FTA_0252","K02906","RP-L3, MRPL3, rplC","large subunit ribosomal protein L3","0.7341","0.6833","Francisella tularensis subsp. holarctica FTNF002-00"
"fta","FTA_0253","K02926","RP-L4, MRPL4, rplD","large subunit ribosomal protein L4","0.6807","0.6601","Francisella tularensis subsp. holarctica FTNF002-00"
