"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"rfe","RF_0003","K09691","ABC-2.LPSE.A","lipopolysaccharide transport system ATP-binding protein","0.0000 ","0.0071","Rickettsia felis"
"rfe","RF_0004","K09690","ABC-2.LPSE.P","lipopolysaccharide transport system permease protein","0.0000 ","0.0060","Rickettsia felis"
"rfe","RF_0006","K00677","lpxA","UDP-N-acetylglucosamine acyltransferase","0.4842","0.3084","Rickettsia felis"
"rfe","RF_0007","K02372","fabZ","3-hydroxyacyl-[acyl-carrier-protein] dehydratase","0.5987","0.6766","Rickettsia felis"
"rfe","RF_0008","K02536","lpxD","UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase","0.5366","0.2754","Rickettsia felis"
"rfe","RF_0018","K09815","znuA","zinc transport system substrate-binding protein","0.0064","0.0067","Rickettsia felis"
"rfe","RF_0019","K00970","pcnB","poly(A) polymerase","0.0234","0.1016","Rickettsia felis"
"rfe","RF_0027","K02109","ATPF0B, atpF","F-type H+-transporting ATPase subunit b","0.2660","0.3800","Rickettsia felis"
"rfe","RF_0028","K02109","ATPF0B, atpF","F-type H+-transporting ATPase subunit b","0.2660","0.3800","Rickettsia felis"
"rfe","RF_0029","K02110","ATPF0C, atpE","F-type H+-transporting ATPase subunit c","0.2416","0.2823","Rickettsia felis"
"rfe","RF_0030","K02108","ATPF0A, atpB","F-type H+-transporting ATPase subunit a","0.3003","0.3956","Rickettsia felis"
"rfe","RF_0035","K03629","recF","DNA replication and repair protein RecF","0.0047","0.0420","Rickettsia felis"
"rfe","RF_0037","K00287","folA","dihydrofolate reductase","0.7829","0.7222","Rickettsia felis"
"rfe","RF_0038","K00287","folA","dihydrofolate reductase","0.7829","0.7222","Rickettsia felis"
"rfe","RF_0039","K13941","folKP","2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase / dihydropteroate synthase","0.6172","0.3717","Rickettsia felis"
"rfe","RF_0054","K01494","dcd","dCTP deaminase","0.3149","0.2584","Rickettsia felis"
"rfe","RF_0055","K03071","secB","preprotein translocase subunit SecB","0.0016","0.2412","Rickettsia felis"
"rfe","RF_0057","K06879","queF","7-cyano-7-deazaguanine reductase","0.0085","0.1498","Rickettsia felis"
"rfe","RF_0059","K00325","pntB","NAD(P) transhydrogenase subunit beta","0.4010","0.3698","Rickettsia felis"
"rfe","RF_0068","K01883","CARS, cysS","cysteinyl-tRNA synthetase","0.6601","0.3696","Rickettsia felis"
"rfe","RF_0069","K02967","RP-S2, MRPS2, rpsB","small subunit ribosomal protein S2","0.4440","0.5564","Rickettsia felis"
"rfe","RF_0072","K02527","kdtA, waaA","3-deoxy-D-manno-octulosonic-acid transferase","0.5052","0.2548","Rickettsia felis"
"rfe","RF_0074","K00812","aspB","aspartate aminotransferase","0.2316","0.1300","Rickettsia felis"
"rfe","RF_0077","K07323","mlaC","phospholipid transport system substrate-binding protein","0.0000 ","0.0053","Rickettsia felis"
"rfe","RF_0078","K00948","PRPS, prsA","ribose-phosphate pyrophosphokinase","0.7656","0.8943","Rickettsia felis"
"rfe","RF_0079","K01775","alr","alanine racemase","0.3752","0.4780","Rickettsia felis"
"rfe","RF_0080","K02066","mlaE, linK","phospholipid/cholesterol/gamma-HCH transport system permease protein","0.0012","0.0117","Rickettsia felis"
"rfe","RF_0081","K02065","mlaF, linL, mkl","phospholipid/cholesterol/gamma-HCH transport system ATP-binding protein","0.0012","0.0117","Rickettsia felis"
"rfe","RF_0083","K02902","RP-L28, MRPL28, rpmB","large subunit ribosomal protein L28","0.3164","0.5072","Rickettsia felis"
"rfe","RF_0084","K02909","RP-L31, rpmE","large subunit ribosomal protein L31","0.1218","0.4008","Rickettsia felis"
"rfe","RF_0086","K00930","argB","acetylglutamate kinase","0.0463","0.0630","Rickettsia felis"
"rfe","RF_0087","K03198","virB3, lvhB3","type IV secretion system protein VirB3","0.0000 ","0.0001","Rickettsia felis"
"rfe","RF_0088","K03199","virB4, lvhB4","type IV secretion system protein VirB4","0.0000 ","0.0001","Rickettsia felis"
"rfe","RF_0089","K03201","virB6, lvhB6","type IV secretion system protein VirB6","0.0000 ","0.0001","Rickettsia felis"
"rfe","RF_0090","K03201","virB6, lvhB6","type IV secretion system protein VirB6","0.0000 ","0.0001","Rickettsia felis"
"rfe","RF_0091","K03201","virB6, lvhB6","type IV secretion system protein VirB6","0.0000 ","0.0001","Rickettsia felis"
"rfe","RF_0092","K03201","virB6, lvhB6","type IV secretion system protein VirB6","0.0000 ","0.0001","Rickettsia felis"
"rfe","RF_0093","K03201","virB6, lvhB6","type IV secretion system protein VirB6","0.0000 ","0.0001","Rickettsia felis"
"rfe","RF_0096","K00625","E2.3.1.8, pta","phosphate acetyltransferase","0.1122","0.0635","Rickettsia felis"
"rfe","RF_0097","K00925","ackA","acetate kinase","0.0298","0.0659","Rickettsia felis"
"rfe","RF_0100","K02884","RP-L19, MRPL19, rplS","large subunit ribosomal protein L19","0.3906","0.5424","Rickettsia felis"
"rfe","RF_0104","K03075","secG","preprotein translocase subunit SecG","0.0644","0.3115","Rickettsia felis"
"rfe","RF_0109","K01887","RARS, argS","arginyl-tRNA synthetase","0.5800","0.5082","Rickettsia felis"
"rfe","RF_0110","K01129","dgt","dGTPase","0.0000 ","0.0331","Rickettsia felis"
"rfe","RF_0113","K01627","kdsA","2-dehydro-3-deoxyphosphooctonate aldolase (KDO 8-P synthase)","0.2898","0.2015","Rickettsia felis"
"rfe","RF_0120","K00940","ndk, NME","nucleoside-diphosphate kinase","0.7341","0.8327","Rickettsia felis"
"rfe","RF_0123","K06223","dam","DNA adenine methylase","0.0192","0.0218","Rickettsia felis"
"rfe","RF_0130","K00995","pgsA, PGS1","CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase","0.5261","0.1601","Rickettsia felis"
"rfe","RF_0131","K03217","yidC, spoIIIJ, OXA1, ccfA","YidC/Oxa1 family membrane protein insertase","0.5327","0.5418","Rickettsia felis"
"rfe","RF_0136","K00240","sdhB, frdB","succinate dehydrogenase / fumarate reductase, iron-sulfur subunit","0.2338","0.2373","Rickettsia felis"
"rfe","RF_0137","K00558","DNMT1, dcm","DNA (cytosine-5)-methyltransferase 1","0.1370","0.1102","Rickettsia felis"
"rfe","RF_0138","K00558","DNMT1, dcm","DNA (cytosine-5)-methyltransferase 1","0.1370","0.1102","Rickettsia felis"
"rfe","RF_0141","K02939","RP-L9, MRPL9, rplI","large subunit ribosomal protein L9","0.0090","0.3152","Rickettsia felis"
"rfe","RF_0142","K02963","RP-S18, MRPS18, rpsR","small subunit ribosomal protein S18","0.4440","0.5564","Rickettsia felis"
"rfe","RF_0143","K02990","RP-S6, MRPS6, rpsF","small subunit ribosomal protein S6","0.5030","0.5709","Rickettsia felis"
"rfe","RF_0145","K00507","SCD, desC","stearoyl-CoA desaturase (Delta-9 desaturase)","0.0141","0.0094","Rickettsia felis"
"rfe","RF_0153","K00023","phbB","acetoacetyl-CoA reductase","0.0029","0.0311","Rickettsia felis"
"rfe","RF_0162","K03821","phbC, phaC","polyhydroxyalkanoate synthase","0.0026","0.0034","Rickettsia felis"
"rfe","RF_0163","K00626","E2.3.1.9, atoB","acetyl-CoA C-acetyltransferase","0.0206","0.0393","Rickettsia felis"
"rfe","RF_0171","K00645","fabD","[acyl-carrier-protein] S-malonyltransferase","0.7026","0.4710","Rickettsia felis"
"rfe","RF_0176","K02342","DPO3E, dnaQ","DNA polymerase III subunit epsilon","0.8212","0.6494","Rickettsia felis"
"rfe","RF_0177","K00859","coaE","dephospho-CoA kinase","0.5800","0.5125","Rickettsia felis"
"rfe","RF_0180","K03469","rnhA, RNASEH1","ribonuclease HI","0.0206","0.1042","Rickettsia felis"
"rfe","RF_0182","K02067","mlaD, linM","phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein","0.0000 ","0.0053","Rickettsia felis"
"rfe","RF_0192","K01972","E6.5.1.2, ligA, ligB","DNA ligase (NAD+)","0.7656","0.6583","Rickettsia felis"
"rfe","RF_0196","K00912","lpxK","tetraacyldisaccharide 4-kinase","0.4534","0.2386","Rickettsia felis"
"rfe","RF_0197","K02517","lpxL, htrB","Kdo2-lipid IVA lauroyltransferase","0.1623","0.0916","Rickettsia felis"
"rfe","RF_0203","K05349","bglX","beta-glucosidase","0.0024","0.0063","Rickettsia felis"
"rfe","RF_0210","K09810","lolD","lipoprotein-releasing system ATP-binding protein","0.3618","0.0231","Rickettsia felis"
"rfe","RF_0211","K09808","lolC_E","lipoprotein-releasing system permease protein","0.4739","0.1800","Rickettsia felis"
"rfe","RF_0217","K06920","queC","7-cyano-7-deazaguanine synthase","0.0000 ","0.1423","Rickettsia felis"
"rfe","RF_0229","K01873","VARS, valS","valyl-tRNA synthetase","0.6601","0.5571","Rickettsia felis"
"rfe","RF_0231","K03179","ubiA","4-hydroxybenzoate polyprenyltransferase","0.2743","0.0958","Rickettsia felis"
"rfe","RF_0234","K00943","tmk, DTYMK","dTMP kinase","0.7026","0.4891","Rickettsia felis"
"rfe","RF_0235","K01874","MARS, metG","methionyl-tRNA synthetase","0.3906","0.3932","Rickettsia felis"
"rfe","RF_0238","K05973","phaZ","poly(3-hydroxybutyrate) depolymerase","0.0035","0.0026","Rickettsia felis"
"rfe","RF_0241","K00971","manC, cpsB","mannose-1-phosphate guanylyltransferase","0.0180","0.0457","Rickettsia felis"
"rfe","RF_0242","K10563","mutM, fpg","formamidopyrimidine-DNA glycosylase","0.0011","0.0071","Rickettsia felis"
"rfe","RF_0243","K03183","ubiE","demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase","0.3865","0.2014","Rickettsia felis"
"rfe","RF_0250","K01142","E3.1.11.2, xthA","exodeoxyribonuclease III","0.0010","0.0110","Rickettsia felis"
"rfe","RF_0253","K03601","xseA","exodeoxyribonuclease VII large subunit","0.0000 ","0.0099","Rickettsia felis"
"rfe","RF_0273","K01679","E4.2.1.2B, fumC","fumarate hydratase, class II","0.1043","0.1495","Rickettsia felis"
"rfe","RF_0277","K02946","RP-S10, MRPS10, rpsJ","small subunit ribosomal protein S10","0.4873","0.5756","Rickettsia felis"
"rfe","RF_0278","K02906","RP-L3, MRPL3, rplC","large subunit ribosomal protein L3","0.7341","0.6833","Rickettsia felis"
"rfe","RF_0279","K02926","RP-L4, MRPL4, rplD","large subunit ribosomal protein L4","0.6807","0.6601","Rickettsia felis"
"rfe","RF_0280","K02892","RP-L23, MRPL23, rplW","large subunit ribosomal protein L23","0.5987","0.6114","Rickettsia felis"
"rfe","RF_0281","K02886","RP-L2, MRPL2, rplB","large subunit ribosomal protein L2","0.7119","0.6883","Rickettsia felis"
"rfe","RF_0282","K02965","RP-S19, rpsS","small subunit ribosomal protein S19","0.4873","0.5756","Rickettsia felis"
"rfe","RF_0283","K02890","RP-L22, MRPL22, rplV","large subunit ribosomal protein L22","0.4873","0.5756","Rickettsia felis"
"rfe","RF_0284","K02982","RP-S3, rpsC","small subunit ribosomal protein S3","0.7119","0.6883","Rickettsia felis"
"rfe","RF_0285","K02878","RP-L16, MRPL16, rplP","large subunit ribosomal protein L16","0.7119","0.6883","Rickettsia felis"
"rfe","RF_0286","K02904","RP-L29, rpmC","large subunit ribosomal protein L29","0.4873","0.5756","Rickettsia felis"
"rfe","RF_0287","K02961","RP-S17, MRPS17, rpsQ","small subunit ribosomal protein S17","0.4873","0.5756","Rickettsia felis"
"rfe","RF_0288","K02874","RP-L14, MRPL14, rplN","large subunit ribosomal protein L14","0.5166","0.6003","Rickettsia felis"
"rfe","RF_0289","K02895","RP-L24, MRPL24, rplX","large subunit ribosomal protein L24","0.5800","0.6162","Rickettsia felis"
