"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"iis","EYM_00015","K10726","mcm, cdc21","replicative DNA helicase Mcm","0.0000 ","0.0772","Ignicoccus islandicus"
"iis","EYM_00025","K04801","rfcS","replication factor C small subunit","0.0000 ","0.5772","Ignicoccus islandicus"
"iis","EYM_00030","K04800","rfcL","replication factor C large subunit","0.0000 ","0.5772","Ignicoccus islandicus"
"iis","EYM_00035","K01867","WARS, trpS","tryptophanyl-tRNA synthetase","0.5166","0.4923","Ignicoccus islandicus"
"iis","EYM_00040","K02917","RP-L35Ae, RPL35A","large subunit ribosomal protein L35Ae","0.0000 ","0.2901","Ignicoccus islandicus"
"iis","EYM_00065","K06167","phnP","phosphoribosyl 1,2-cyclic phosphate phosphodiesterase","0.0000 ","0.0002","Ignicoccus islandicus"
"iis","EYM_00070","K01737","queD, ptpS, PTS","6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase","0.0013","0.1482","Ignicoccus islandicus"
"iis","EYM_00080","K02936","RP-L7Ae, RPL7A","large subunit ribosomal protein L7Ae","0.0000 ","0.2901","Ignicoccus islandicus"
"iis","EYM_00085","K10026","queE","7-carboxy-7-deazaguanine synthase","0.0013","0.1471","Ignicoccus islandicus"
"iis","EYM_00095","K17828","pyrDI","dihydroorotate dehydrogenase (NAD+) catalytic subunit","0.0959","0.1443","Ignicoccus islandicus"
"iis","EYM_00110","K01940","argG, ASS1","argininosuccinate synthase","0.0584","0.1341","Ignicoccus islandicus"
"iis","EYM_00140","K14654","RIB7, arfC","2,5-diamino-6-(ribosylamino)-4(3H)-pyrimidinone 5-phosphate reductase","0.0000 ","0.2304","Ignicoccus islandicus"
"iis","EYM_00160","K06989","nadX","aspartate dehydrogenase","0.0882","0.1674","Ignicoccus islandicus"
"iis","EYM_00165","K07732","rfk","riboflavin kinase, archaea type","0.6172","0.3849","Ignicoccus islandicus"
"iis","EYM_00200","K02435","gatC, GATC","aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit C","0.4842","0.3799","Ignicoccus islandicus"
"iis","EYM_00220","K00891","E2.7.1.71, aroK, aroL","shikimate kinase","0.1756","0.1196","Ignicoccus islandicus"
"iis","EYM_00230","K01885","EARS, gltX","glutamyl-tRNA synthetase","0.6626","0.5645","Ignicoccus islandicus"
"iis","EYM_00235","K02961","RP-S17, MRPS17, rpsQ","small subunit ribosomal protein S17","0.4873","0.5756","Ignicoccus islandicus"
"iis","EYM_00240","K02874","RP-L14, MRPL14, rplN","large subunit ribosomal protein L14","0.5166","0.6003","Ignicoccus islandicus"
"iis","EYM_00245","K02895","RP-L24, MRPL24, rplX","large subunit ribosomal protein L24","0.5800","0.6162","Ignicoccus islandicus"
"iis","EYM_00250","K02987","RP-S4e, RPS4","small subunit ribosomal protein S4e","0.0000 ","0.2901","Ignicoccus islandicus"
"iis","EYM_00255","K02931","RP-L5, MRPL5, rplE","large subunit ribosomal protein L5","0.7119","0.6883","Ignicoccus islandicus"
"iis","EYM_00260","K02994","RP-S8, rpsH","small subunit ribosomal protein S8","0.6293","0.6378","Ignicoccus islandicus"
"iis","EYM_00285","K06282","hyaA, hybO","hydrogenase small subunit","0.0000 ","0.0004","Ignicoccus islandicus"
"iis","EYM_00290","K06281","hyaB, hybC","hydrogenase large subunit","0.0000 ","0.0000 ","Ignicoccus islandicus"
"iis","EYM_00310","K18532","AK6, FAP7","adenylate kinase","0.7777","0.7448","Ignicoccus islandicus"
"iis","EYM_00320","K01494","dcd","dCTP deaminase","0.3149","0.2584","Ignicoccus islandicus"
"iis","EYM_00340","K01465","URA4, pyrC","dihydroorotase","0.0386","0.1747","Ignicoccus islandicus"
"iis","EYM_00345","K15496","wtpB","molybdate/tungstate transport system permease protein","0.0000 ","0.0066","Ignicoccus islandicus"
"iis","EYM_00355","K02907","RP-L30, MRPL30, rpmD","large subunit ribosomal protein L30","0.3727","0.4868","Ignicoccus islandicus"
"iis","EYM_00360","K02988","RP-S5, MRPS5, rpsE","small subunit ribosomal protein S5","0.7119","0.6883","Ignicoccus islandicus"
"iis","EYM_00365","K02881","RP-L18, MRPL18, rplR","large subunit ribosomal protein L18","0.5625","0.6211","Ignicoccus islandicus"
