"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"arb","A9P82_00005","K02313","dnaA","chromosomal replication initiator protein","0.5800","0.2130","Arachidicoccus sp. BS20"
"arb","A9P82_00010","K14233","tRNA-Ser","tRNA Ser","0.0000 ","0.2024","Arachidicoccus sp. BS20"
"arb","A9P82_00045","K19302","bcrC","undecaprenyl-diphosphatase","0.0000 ","0.0619","Arachidicoccus sp. BS20"
"arb","A9P82_00050","K00652","bioF","8-amino-7-oxononanoate synthase","0.0414","0.0827","Arachidicoccus sp. BS20"
"arb","A9P82_00055","K01935","bioD","dethiobiotin synthetase","0.0414","0.1142","Arachidicoccus sp. BS20"
"arb","A9P82_00060","K00833","bioA","adenosylmethionine---8-amino-7-oxononanoate aminotransferase","0.0190","0.0731","Arachidicoccus sp. BS20"
"arb","A9P82_00085","K00014","aroE","shikimate dehydrogenase","0.1039","0.1242","Arachidicoccus sp. BS20"
"arb","A9P82_00090","K08097","comA","phosphosulfolactate synthase","0.0000 ","9.16E-","Arachidicoccus sp. BS20"
"arb","A9P82_00130","K03585","acrA, mexA, adeI, smeD, mtrC, cmeA","membrane fusion protein, multidrug efflux system","0.0015","0.0094","Arachidicoccus sp. BS20"
"arb","A9P82_00265","K06281","hyaB, hybC","hydrogenase large subunit","0.0000 ","0.0000 ","Arachidicoccus sp. BS20"
"arb","A9P82_00270","K06282","hyaA, hybO","hydrogenase small subunit","0.0000 ","0.0004","Arachidicoccus sp. BS20"
"arb","A9P82_00315","K00928","lysC","aspartate kinase","0.3479","0.4527","Arachidicoccus sp. BS20"
"arb","A9P82_00350","K01673","cynT, can","carbonic anhydrase","0.0399","0.0279","Arachidicoccus sp. BS20"
"arb","A9P82_00450","K02195","ccmC","heme exporter protein C","0.0085","0.0090","Arachidicoccus sp. BS20"
"arb","A9P82_00460","K00261","GLUD1_2, gdhA","glutamate dehydrogenase (NAD(P)+)","0.3500","0.2061","Arachidicoccus sp. BS20"
"arb","A9P82_00505","K01681","ACO, acnA","aconitate hydratase","0.1854","0.2183","Arachidicoccus sp. BS20"
"arb","A9P82_00520","K02897","RP-L25, rplY","large subunit ribosomal protein L25","0.0966","0.3652","Arachidicoccus sp. BS20"
"arb","A9P82_00525","K00948","PRPS, prsA","ribose-phosphate pyrophosphokinase","0.7656","0.8943","Arachidicoccus sp. BS20"
"arb","A9P82_00575","K04518","pheA2","prephenate dehydratase","0.1142","0.0816","Arachidicoccus sp. BS20"
"arb","A9P82_00580","K10206","E2.6.1.83","LL-diaminopimelate aminotransferase","0.0286","0.1087","Arachidicoccus sp. BS20"
"arb","A9P82_00585","K04517","tyrA2","prephenate dehydrogenase","0.0824","0.0517","Arachidicoccus sp. BS20"
"arb","A9P82_00595","K05592","deaD, cshA","ATP-dependent RNA helicase DeaD","0.0000 ","0.0313","Arachidicoccus sp. BS20"
"arb","A9P82_00600","K04516","AROA1, aroA","chorismate mutase","0.0887","0.0718","Arachidicoccus sp. BS20"
"arb","A9P82_00605","K01735","aroB","3-dehydroquinate synthase","0.1039","0.1485","Arachidicoccus sp. BS20"
"arb","A9P82_00610","K00800","aroA","3-phosphoshikimate 1-carboxyvinyltransferase","0.1299","0.1579","Arachidicoccus sp. BS20"
"arb","A9P82_00615","K11645","fbaB","fructose-bisphosphate aldolase, class I","0.5680","0.4639","Arachidicoccus sp. BS20"
"arb","A9P82_00625","K01736","aroC","chorismate synthase","0.1496","0.1733","Arachidicoccus sp. BS20"
"arb","A9P82_00680","K08738","CYC","cytochrome c","0.0029","0.0053","Arachidicoccus sp. BS20"
"arb","A9P82_00715","K03183","ubiE","demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase","0.3865","0.2014","Arachidicoccus sp. BS20"
"arb","A9P82_00765","K02065","mlaF, linL, mkl","phospholipid/cholesterol/gamma-HCH transport system ATP-binding protein","0.0012","0.0117","Arachidicoccus sp. BS20"
"arb","A9P82_00775","K01586","lysA","diaminopimelate decarboxylase","0.0710","0.1073","Arachidicoccus sp. BS20"
"arb","A9P82_00785","K03823","pat","phosphinothricin acetyltransferase","0.0000 ","0.0002","Arachidicoccus sp. BS20"
"arb","A9P82_00820","K03703","uvrC","excinuclease ABC subunit C","0.0009","0.0153","Arachidicoccus sp. BS20"
"arb","A9P82_00830","K02428","rdgB","XTP/dITP diphosphohydrolase","0.2749","0.2063","Arachidicoccus sp. BS20"
"arb","A9P82_00895","K08641","vanX","zinc D-Ala-D-Ala dipeptidase","0.0000 ","0.0000 ","Arachidicoccus sp. BS20"
"arb","A9P82_00955","K01772","hemH, FECH","protoporphyrin/coproporphyrin ferrochelatase","0.4153","0.2412","Arachidicoccus sp. BS20"
"arb","A9P82_01000","K03575","mutY","A/G-specific adenine glycosylase","0.0000 ","0.0035","Arachidicoccus sp. BS20"
"arb","A9P82_01015","K03046","rpoC","DNA-directed RNA polymerase subunit beta","0.9384","0.8387","Arachidicoccus sp. BS20"
"arb","A9P82_01105","K06048","ybdK","carboxylate-amine ligase","0.0000 ","0.0063","Arachidicoccus sp. BS20"
"arb","A9P82_01115","K01886","QARS, glnS","glutaminyl-tRNA synthetase","0.4571","0.4463","Arachidicoccus sp. BS20"
"arb","A9P82_01120","K01585","speA","arginine decarboxylase","0.0321","0.0215","Arachidicoccus sp. BS20"
"arb","A9P82_01125","K00616","E2.2.1.2, talA, talB","transaldolase","0.2499","0.2247","Arachidicoccus sp. BS20"
"arb","A9P82_01130","K01983","ffs","SRP RNA","0.0000 ","0.0806","Arachidicoccus sp. BS20"
"arb","A9P82_01145","K03783","punA, PNP","purine-nucleoside phosphorylase","0.0616","0.0429","Arachidicoccus sp. BS20"
"arb","A9P82_01155","K00318","PRODH","proline dehydrogenase","0.0000 ","0.0037","Arachidicoccus sp. BS20"
"arb","A9P82_01180","K10536","aguA","agmatine deiminase","0.0317","0.0111","Arachidicoccus sp. BS20"
"arb","A9P82_01195","K12251","aguB","N-carbamoylputrescine amidase","0.0666","0.0079","Arachidicoccus sp. BS20"
"arb","A9P82_01205","K02335","DPO1, polA","DNA polymerase I","0.7656","0.8943","Arachidicoccus sp. BS20"
"arb","A9P82_01220","K00432","gpx","glutathione peroxidase","0.0000 ","0.0000 ","Arachidicoccus sp. BS20"
"arb","A9P82_01315","K00241","sdhC, frdC","succinate dehydrogenase / fumarate reductase, cytochrome b subunit","0.2684","0.2467","Arachidicoccus sp. BS20"
"arb","A9P82_01325","K00239","sdhA, frdA","succinate dehydrogenase / fumarate reductase, flavoprotein subunit","0.2684","0.2219","Arachidicoccus sp. BS20"
"arb","A9P82_01330","K00240","sdhB, frdB","succinate dehydrogenase / fumarate reductase, iron-sulfur subunit","0.2338","0.2373","Arachidicoccus sp. BS20"
"arb","A9P82_01345","K01756","purB, ADSL","adenylosuccinate lyase","0.2660","0.2990","Arachidicoccus sp. BS20"
"arb","A9P82_01350","K11782","mqnA","chorismate dehydratase","0.0000 ","0.0464","Arachidicoccus sp. BS20"
