"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"pde","Pden_0002","K03628","rho","transcription termination factor Rho","0.2427","0.1615","Paracoccus denitrificans"
"pde","Pden_0011","K02428","rdgB","XTP/dITP diphosphohydrolase","0.2749","0.2063","Paracoccus denitrificans"
"pde","Pden_0015","K03396","gfa","S-(hydroxymethyl)glutathione synthase","0.0000 ","0.0203","Paracoccus denitrificans"
"pde","Pden_0016","K00121","frmA, ADH5, adhC","S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase","0.0144","0.0255","Paracoccus denitrificans"
"pde","Pden_0019","K01070","frmB, ESD, fghA","S-formylglutathione hydrolase","0.0000 ","0.0002","Paracoccus denitrificans"
"pde","Pden_0032","K03752","mobA","molybdenum cofactor guanylyltransferase","0.0000 ","0.0063","Paracoccus denitrificans"
"pde","Pden_0033","K15599","thiX","putative hydroxymethylpyrimidine transport system permease protein","0.0071","0.0060","Paracoccus denitrificans"
"pde","Pden_0034","K15600","thiZ","putative hydroxymethylpyrimidine transport system ATP-binding protein","0.0000 ","0.0053","Paracoccus denitrificans"
"pde","Pden_0035","K03707","tenA","thiaminase (transcriptional activator TenA)","0.0000 ","0.0811","Paracoccus denitrificans"
"pde","Pden_0036","K15598","thiY","putative hydroxymethylpyrimidine transport system substrate-binding protein","0.0000 ","0.0053","Paracoccus denitrificans"
"pde","Pden_0038","K00788","thiE","thiamine-phosphate pyrophosphorylase","0.1443","0.1297","Paracoccus denitrificans"
"pde","Pden_0039","K03149","thiG","thiazole synthase","0.1086","0.1495","Paracoccus denitrificans"
"pde","Pden_0040","K03154","thiS","sulfur carrier protein","0.0551","0.0894","Paracoccus denitrificans"
"pde","Pden_0041","K03153","thiO","glycine oxidase","0.0572","0.0832","Paracoccus denitrificans"
"pde","Pden_0042","K00941","thiD","hydroxymethylpyrimidine/phosphomethylpyrimidine kinase","0.1238","0.1645","Paracoccus denitrificans"
