"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"paln","B0W48_00085","K03594","bfr","bacterioferritin","0.0000 ","0.0280","Pseudoalteromonas aliena"
"paln","B0W48_00090","K03594","bfr","bacterioferritin","0.0000 ","0.0280","Pseudoalteromonas aliena"
"paln","B0W48_00125","K13529","ada-alkA","AraC family transcriptional regulator, regulatory protein of adaptative response / DNA-3-methyladenine glycosylase II","0.0000 ","0.0035","Pseudoalteromonas aliena"
"paln","B0W48_00135","K00857","tdk, TK","thymidine kinase","0.0402","0.0518","Pseudoalteromonas aliena"
"paln","B0W48_00140","K01620","ltaE","threonine aldolase","0.0257","0.0666","Pseudoalteromonas aliena"
"paln","B0W48_00175","K01255","CARP, pepA","leucyl aminopeptidase","0.0277","0.0512","Pseudoalteromonas aliena"
"paln","B0W48_00185","K00648","fabH","3-oxoacyl-[acyl-carrier-protein] synthase III","0.7190","0.3716","Pseudoalteromonas aliena"
"paln","B0W48_00195","K15011","regB, regS, actS","two-component system, sensor histidine kinase RegB","0.0000 ","0.0013","Pseudoalteromonas aliena"
"paln","B0W48_00200","K15012","regA, regR, actR","two-component system, response regulator RegA","0.0000 ","0.0007","Pseudoalteromonas aliena"
"paln","B0W48_00265","K01595","ppc","phosphoenolpyruvate carboxylase","0.0895","0.1205","Pseudoalteromonas aliena"
"paln","B0W48_00270","K01489","cdd, CDA","cytidine deaminase","0.0223","0.0483","Pseudoalteromonas aliena"
"paln","B0W48_00275","K00757","udp, UPP","uridine phosphorylase","0.0022","0.0267","Pseudoalteromonas aliena"
"paln","B0W48_00280","K01480","speB","agmatinase","0.0031","0.0043","Pseudoalteromonas aliena"
"paln","B0W48_00290","K03585","acrA, mexA, adeI, smeD, mtrC, cmeA","membrane fusion protein, multidrug efflux system","0.0015","0.0094","Pseudoalteromonas aliena"
"paln","B0W48_00295","K18138","acrB, mexB, adeJ, smeE, mtrD, cmeB","multidrug efflux pump","0.0058","0.0098","Pseudoalteromonas aliena"
"paln","B0W48_00300","K18139","oprM, emhC, ttgC, cusC, adeK, smeF, mtrE, cmeC, gesC","outer membrane protein, multidrug efflux system","0.0000 ","3.47E-","Pseudoalteromonas aliena"
"paln","B0W48_00335","K00451","HGD, hmgA","homogentisate 1,2-dioxygenase","0.0000 ","0.0000 ","Pseudoalteromonas aliena"
"paln","B0W48_00370","K11751","ushA","5-nucleotidase / UDP-sugar diphosphatase","0.1048","0.0548","Pseudoalteromonas aliena"
"paln","B0W48_00430","K04043","dnaK","molecular chaperone DnaK","0.3525","0.3257","Pseudoalteromonas aliena"
"paln","B0W48_00450","K03413","cheY","two-component system, chemotaxis family, response regulator CheY","0.0000 ","0.0036","Pseudoalteromonas aliena"
"paln","B0W48_00465","K10125","dctB","two-component system, NtrC family, C4-dicarboxylate transport sensor histidine kinase DctB","0.0000 ","0.0007","Pseudoalteromonas aliena"
"paln","B0W48_00470","K10126","dctD","two-component system, NtrC family, C4-dicarboxylate transport response regulator DctD","0.0000 ","0.0011","Pseudoalteromonas aliena"
"paln","B0W48_00590","K00761","upp, UPRT","uracil phosphoribosyltransferase","0.0177","0.1551","Pseudoalteromonas aliena"
"paln","B0W48_00600","K15918","GLYK","D-glycerate 3-kinase","0.0000 ","0.0000 ","Pseudoalteromonas aliena"
"paln","B0W48_00610","K00690","E2.4.1.7","sucrose phosphorylase","0.0000 ","0.0080","Pseudoalteromonas aliena"
"paln","B0W48_00625","K02919","RP-L36, MRPL36, rpmJ","large subunit ribosomal protein L36","0.1815","0.4208","Pseudoalteromonas aliena"
"paln","B0W48_00630","K02909","RP-L31, rpmE","large subunit ribosomal protein L31","0.1218","0.4008","Pseudoalteromonas aliena"
"paln","B0W48_00680","K01714","dapA","4-hydroxy-tetrahydrodipicolinate synthase","0.4899","0.3442","Pseudoalteromonas aliena"
"paln","B0W48_00695","K02078","acpP","acyl carrier protein","0.4873","0.1020","Pseudoalteromonas aliena"
"paln","B0W48_00700","K02078","acpP","acyl carrier protein","0.4873","0.1020","Pseudoalteromonas aliena"
"paln","B0W48_00730","K01745","hutH, HAL","histidine ammonia-lyase","0.0137","0.0186","Pseudoalteromonas aliena"
"paln","B0W48_00760","K00647","fabB","3-oxoacyl-[acyl-carrier-protein] synthase I","0.7777","0.5553","Pseudoalteromonas aliena"
"paln","B0W48_00770","K00059","fabG","3-oxoacyl-[acyl-carrier protein] reductase","0.7026","0.4376","Pseudoalteromonas aliena"
"paln","B0W48_00775","K09458","fabF","3-oxoacyl-[acyl-carrier-protein] synthase II","0.7026","0.5553","Pseudoalteromonas aliena"
"paln","B0W48_00815","K00108","betA, CHDH","choline dehydrogenase","0.0000 ","0.0107","Pseudoalteromonas aliena"
"paln","B0W48_00865","K06447","astD","succinylglutamic semialdehyde dehydrogenase","0.0000 ","0.0078","Pseudoalteromonas aliena"
"paln","B0W48_00870","K00673","astA","arginine N-succinyltransferase","0.0021","0.0073","Pseudoalteromonas aliena"
"paln","B0W48_00875","K00821","argD","acetylornithine/N-succinyldiaminopimelate aminotransferase","0.2629","0.0658","Pseudoalteromonas aliena"
"paln","B0W48_00900","K00705","malQ","4-alpha-glucanotransferase","0.0144","0.0200","Pseudoalteromonas aliena"
"paln","B0W48_00905","K00700","GBE1, glgB","1,4-alpha-glucan branching enzyme","0.0137","0.0162","Pseudoalteromonas aliena"
"paln","B0W48_00910","K01214","ISA, treX","isoamylase","0.0106","0.0117","Pseudoalteromonas aliena"
"paln","B0W48_00915","K00688","PYG, glgP","glycogen phosphorylase","0.0137","0.0350","Pseudoalteromonas aliena"
"paln","B0W48_00920","K00975","glgC","glucose-1-phosphate adenylyltransferase","0.0018","0.0077","Pseudoalteromonas aliena"
"paln","B0W48_00925","K00703","glgA","starch synthase","0.0067","0.0092","Pseudoalteromonas aliena"
"paln","B0W48_01145","K01653","E2.2.1.6S, ilvH, ilvN","acetolactate synthase I/III small subunit","0.0190","0.0562","Pseudoalteromonas aliena"
"paln","B0W48_01150","K01652","E2.2.1.6L, ilvB, ilvG, ilvI","acetolactate synthase I/II/III large subunit","0.0184","0.0311","Pseudoalteromonas aliena"
"paln","B0W48_01155","K00030","IDH3","isocitrate dehydrogenase (NAD+)","0.2159","0.0789","Pseudoalteromonas aliena"
"paln","B0W48_01175","K06966","K06966","uncharacterized protein","0.0012","0.0125","Pseudoalteromonas aliena"
"paln","B0W48_01205","K01740","metY","O-acetylhomoserine (thiol)-lyase","0.1142","0.0577","Pseudoalteromonas aliena"
"paln","B0W48_01220","K11755","hisIE","phosphoribosyl-ATP pyrophosphohydrolase / phosphoribosyl-AMP cyclohydrolase","0.0609","0.0692","Pseudoalteromonas aliena"
"paln","B0W48_01225","K02500","hisF","cyclase","0.0606","0.0888","Pseudoalteromonas aliena"
"paln","B0W48_01230","K01814","hisA","phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase","0.0445","0.0799","Pseudoalteromonas aliena"
"paln","B0W48_01235","K02501","hisH","glutamine amidotransferase","0.0606","0.0888","Pseudoalteromonas aliena"
"paln","B0W48_01240","K01089","hisB","imidazoleglycerol-phosphate dehydratase / histidinol-phosphatase","0.0680","0.0662","Pseudoalteromonas aliena"
"paln","B0W48_01245","K00817","hisC","histidinol-phosphate aminotransferase","0.1003","0.1197","Pseudoalteromonas aliena"
"paln","B0W48_01250","K00013","hisD","histidinol dehydrogenase","0.0309","0.0714","Pseudoalteromonas aliena"
"paln","B0W48_01255","K00765","hisG","ATP phosphoribosyltransferase","0.0606","0.0888","Pseudoalteromonas aliena"
"paln","B0W48_01290","K01077","E3.1.3.1, phoA, phoB","alkaline phosphatase","0.2007","0.1265","Pseudoalteromonas aliena"
"paln","B0W48_01305","K01897","ACSL, fadD","long-chain acyl-CoA synthetase","0.0000 ","0.0000 ","Pseudoalteromonas aliena"
"paln","B0W48_01395","K13953","adhP","alcohol dehydrogenase, propanol-preferring","0.0180","0.0178","Pseudoalteromonas aliena"
"paln","B0W48_01440","K03406","mcp","methyl-accepting chemotaxis protein","0.0071","0.0042","Pseudoalteromonas aliena"
"paln","B0W48_01505","K00133","asd","aspartate-semialdehyde dehydrogenase","0.4295","0.3677","Pseudoalteromonas aliena"
"paln","B0W48_01625","K01007","pps, ppsA","pyruvate, water dikinase","0.4013","0.4084","Pseudoalteromonas aliena"
"paln","B0W48_01635","K01626","E2.5.1.54, aroF, aroG, aroH","3-deoxy-7-phosphoheptulonate synthase","0.0606","0.0964","Pseudoalteromonas aliena"
"paln","B0W48_01725","K00549","metE","5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase","0.0429","0.1899","Pseudoalteromonas aliena"
"paln","B0W48_01780","K01560","E3.8.1.2","2-haloacid dehalogenase","0.0000 ","0.0388","Pseudoalteromonas aliena"
"paln","B0W48_01785","K13745","ddc","L-2,4-diaminobutyrate decarboxylase","0.0000 ","0.0367","Pseudoalteromonas aliena"
"paln","B0W48_01790","K03897","iucD","lysine N6-hydroxylase","0.0000 ","5.82E-","Pseudoalteromonas aliena"
"paln","B0W48_01880","K00797","speE, SRM","spermidine synthase","0.0000 ","0.0000 ","Pseudoalteromonas aliena"
"paln","B0W48_02025","K01638","aceB, glcB","malate synthase","0.0000 ","0.0000 ","Pseudoalteromonas aliena"
"paln","B0W48_02030","K01637","E4.1.3.1, aceA","isocitrate lyase","0.0000 ","0.0000 ","Pseudoalteromonas aliena"
"paln","B0W48_02045","K01207","nagZ","beta-N-acetylhexosaminidase","0.0013","0.0110","Pseudoalteromonas aliena"
"paln","B0W48_02050","K02013","ABC.FEV.A","iron complex transport system ATP-binding protein","0.0399","0.0544","Pseudoalteromonas aliena"
"paln","B0W48_02055","K02015","ABC.FEV.P","iron complex transport system permease protein","0.0184","0.0354","Pseudoalteromonas aliena"
"paln","B0W48_02060","K02016","ABC.FEV.S","iron complex transport system substrate-binding protein","0.0044","0.0127","Pseudoalteromonas aliena"
"paln","B0W48_02125","K07645","qseC","two-component system, OmpR family, sensor histidine kinase QseC","0.0000 ","0.0009","Pseudoalteromonas aliena"
"paln","B0W48_02160","K00876","udk, UCK","uridine kinase","0.0152","0.0293","Pseudoalteromonas aliena"
"paln","B0W48_02165","K01839","deoB","phosphopentomutase","0.0018","0.0086","Pseudoalteromonas aliena"
"paln","B0W48_02170","K03784","deoD","purine-nucleoside phosphorylase","0.0402","0.0637","Pseudoalteromonas aliena"
"paln","B0W48_02205","K03782","katG","catalase-peroxidase","0.0071","0.0192","Pseudoalteromonas aliena"
"paln","B0W48_02305","K01129","dgt","dGTPase","0.0000 ","0.0331","Pseudoalteromonas aliena"
"paln","B0W48_02325","K01772","hemH, FECH","protoporphyrin/coproporphyrin ferrochelatase","0.4153","0.2412","Pseudoalteromonas aliena"
"paln","B0W48_02365","K12373","HEXA_B","hexosaminidase","0.0031","0.0048","Pseudoalteromonas aliena"
"paln","B0W48_02395","K18676","gspK","glucosamine kinase","0.0000 ","0.0172","Pseudoalteromonas aliena"
"paln","B0W48_02400","K00820","glmS, GFPT","glucosamine--fructose-6-phosphate aminotransferase (isomerizing)","0.6712","0.7161","Pseudoalteromonas aliena"
"paln","B0W48_02405","K01443","nagA, AMDHD2","N-acetylglucosamine-6-phosphate deacetylase","0.0053","0.0294","Pseudoalteromonas aliena"
"paln","B0W48_02420","K03885","ndh","NADH dehydrogenase","0.0014","0.0187","Pseudoalteromonas aliena"
"paln","B0W48_02470","K03654","recQ","ATP-dependent DNA helicase RecQ","0.0014","0.0359","Pseudoalteromonas aliena"
"paln","B0W48_02480","K03406","mcp","methyl-accepting chemotaxis protein","0.0071","0.0042","Pseudoalteromonas aliena"
"paln","B0W48_02605","K01892","HARS, hisS","histidyl-tRNA synthetase","0.6103","0.5347","Pseudoalteromonas aliena"
"paln","B0W48_02610","K03526","gcpE, ispG","(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase","0.6310","0.4182","Pseudoalteromonas aliena"
"paln","B0W48_02630","K00940","ndk, NME","nucleoside-diphosphate kinase","0.7341","0.8327","Pseudoalteromonas aliena"
"paln","B0W48_02700","K03413","cheY","two-component system, chemotaxis family, response regulator CheY","0.0000 ","0.0036","Pseudoalteromonas aliena"
"paln","B0W48_02725","K01484","astB","succinylarginine dihydrolase","0.0021","0.0073","Pseudoalteromonas aliena"
"paln","B0W48_02750","K00134","GAPDH, gapA","glyceraldehyde 3-phosphate dehydrogenase","0.5166","0.5281","Pseudoalteromonas aliena"
"paln","B0W48_02760","K03406","mcp","methyl-accepting chemotaxis protein","0.0071","0.0042","Pseudoalteromonas aliena"
"paln","B0W48_02800","K11906","vasD, lip","type VI secretion system protein VasD","0.0000 ","0.0001","Pseudoalteromonas aliena"
"paln","B0W48_02810","K11892","impK, ompA, vasF, dotU","type VI secretion system protein ImpK","0.0000 ","0.0001","Pseudoalteromonas aliena"
"paln","B0W48_02815","K11891","impL, vasK, icmF","type VI secretion system protein ImpL","0.0000 ","0.0000 ","Pseudoalteromonas aliena"
"paln","B0W48_02870","K11907","vasG, clpV","type VI secretion system protein VasG","0.0000 ","0.0038","Pseudoalteromonas aliena"
"paln","B0W48_02875","K11903","hcp","type VI secretion system secreted protein Hcp","0.0000 ","0.0000 ","Pseudoalteromonas aliena"
"paln","B0W48_02880","K11904","vgrG","type VI secretion system secreted protein VgrG","0.0000 ","0.0001","Pseudoalteromonas aliena"
"paln","B0W48_02980","K03781","katE, CAT, catB, srpA","catalase","0.0000 ","0.0000 ","Pseudoalteromonas aliena"
"paln","B0W48_03000","K00045","E1.1.1.67, mtlK","mannitol 2-dehydrogenase","0.0000 ","0.0002","Pseudoalteromonas aliena"
"paln","B0W48_03005","K00847","E2.7.1.4, scrK","fructokinase","0.0013","0.0090","Pseudoalteromonas aliena"
"paln","B0W48_03040","K00138","aldB","aldehyde dehydrogenase","0.0016","0.0092","Pseudoalteromonas aliena"
"paln","B0W48_03290","K01070","frmB, ESD, fghA","S-formylglutathione hydrolase","0.0000 ","0.0002","Pseudoalteromonas aliena"
"paln","B0W48_03295","K00121","frmA, ADH5, adhC","S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase","0.0144","0.0255","Pseudoalteromonas aliena"
"paln","B0W48_03310","K01563","dhaA","haloalkane dehalogenase","0.0000 ","0.0032","Pseudoalteromonas aliena"
"paln","B0W48_03315","K03701","uvrA","excinuclease ABC subunit A","0.0009","0.0194","Pseudoalteromonas aliena"
"paln","B0W48_03445","K22230","N/A","","N/A","N/A","Pseudoalteromonas aliena"
"paln","B0W48_03530","K03406","mcp","methyl-accepting chemotaxis protein","0.0071","0.0042","Pseudoalteromonas aliena"
"paln","B0W48_03610","K03594","bfr","bacterioferritin","0.0000 ","0.0280","Pseudoalteromonas aliena"
"paln","B0W48_03615","K03594","bfr","bacterioferritin","0.0000 ","0.0280","Pseudoalteromonas aliena"
"paln","B0W48_03630","K02422","fliS","flagellar protein FliS","0.0000 ","0.0007","Pseudoalteromonas aliena"
"paln","B0W48_03635","K02407","fliD","flagellar hook-associated protein 2","0.0000 ","0.0007","Pseudoalteromonas aliena"
"paln","B0W48_03640","K02406","fliC","flagellin","0.0016","0.0097","Pseudoalteromonas aliena"
"paln","B0W48_03645","K02406","fliC","flagellin","0.0016","0.0097","Pseudoalteromonas aliena"
"paln","B0W48_03650","K02406","fliC","flagellin","0.0016","0.0097","Pseudoalteromonas aliena"
"paln","B0W48_03655","K02406","fliC","flagellin","0.0016","0.0097","Pseudoalteromonas aliena"
"paln","B0W48_03660","K02406","fliC","flagellin","0.0016","0.0097","Pseudoalteromonas aliena"
"paln","B0W48_03670","K02397","flgL","flagellar hook-associated protein 3 FlgL","0.0016","0.0053","Pseudoalteromonas aliena"
"paln","B0W48_03675","K02396","flgK","flagellar hook-associated protein 1 FlgK","0.0000 ","0.0007","Pseudoalteromonas aliena"
"paln","B0W48_03685","K02394","flgI","flagellar P-ring protein precursor FlgI","0.0000 ","0.0007","Pseudoalteromonas aliena"
"paln","B0W48_03690","K02393","flgH","flagellar L-ring protein precursor FlgH","0.0000 ","0.0007","Pseudoalteromonas aliena"
"paln","B0W48_03695","K02392","flgG","flagellar basal-body rod protein FlgG","0.0000 ","0.0007","Pseudoalteromonas aliena"
"paln","B0W48_03700","K02391","flgF","flagellar basal-body rod protein FlgF","0.0000 ","0.0007","Pseudoalteromonas aliena"
"paln","B0W48_03705","K02390","flgE","flagellar hook protein FlgE","0.0000 ","0.0007","Pseudoalteromonas aliena"
"paln","B0W48_03710","K02389","flgD","flagellar basal-body rod modification protein FlgD","0.0000 ","0.0007","Pseudoalteromonas aliena"
"paln","B0W48_03715","K02388","flgC","flagellar basal-body rod protein FlgC","0.0000 ","0.0007","Pseudoalteromonas aliena"
"paln","B0W48_03720","K02387","flgB","flagellar basal-body rod protein FlgB","0.0000 ","0.0007","Pseudoalteromonas aliena"
"paln","B0W48_03725","K02386","flgA","flagella basal body P-ring formation protein FlgA","0.0018","0.0048","Pseudoalteromonas aliena"
"paln","B0W48_03730","K02398","flgM","negative regulator of flagellin synthesis FlgM","0.0000 ","0.0000 ","Pseudoalteromonas aliena"
"paln","B0W48_03735","K02399","flgN","flagella synthesis protein FlgN","0.0000 ","0.0007","Pseudoalteromonas aliena"
"paln","B0W48_03750","K00548","metH, MTR","5-methyltetrahydrofolate--homocysteine methyltransferase","0.0551","0.0781","Pseudoalteromonas aliena"
"paln","B0W48_03760","K00651","metA","homoserine O-succinyltransferase","0.0020","0.0081","Pseudoalteromonas aliena"
"paln","B0W48_03800","K14379","ACP5","tartrate-resistant acid phosphatase type 5","0.6172","0.2767","Pseudoalteromonas aliena"
"paln","B0W48_03805","K01083","E3.1.3.8","3-phytase","0.0000 ","0.0228","Pseudoalteromonas aliena"
"paln","B0W48_03870","K00209","fabV, ter","enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+)","0.5916","0.4932","Pseudoalteromonas aliena"
"paln","B0W48_03895","K03767","PPIA","peptidyl-prolyl cis-trans isomerase A (cyclophilin A)","0.0000 ","0.0178","Pseudoalteromonas aliena"
"paln","B0W48_03900","K08218","ampG","MFS transporter, PAT family, beta-lactamase induction signal transducer AmpG","0.0000 ","0.0004","Pseudoalteromonas aliena"
"paln","B0W48_03930","K03406","mcp","methyl-accepting chemotaxis protein","0.0071","0.0042","Pseudoalteromonas aliena"
