"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"gar","AOZ07_00005","K02313","dnaA","chromosomal replication initiator protein","0.5800","0.2130","Glutamicibacter arilaitensis KLBMP5180"
"gar","AOZ07_00010","K02338","DPO3B, dnaN","DNA polymerase III subunit beta","0.8789","0.9703","Glutamicibacter arilaitensis KLBMP5180"
"gar","AOZ07_00015","K03629","recF","DNA replication and repair protein RecF","0.0047","0.0420","Glutamicibacter arilaitensis KLBMP5180"
"gar","AOZ07_00040","K14227","tRNA-Ile","tRNA Ile","0.0000 ","0.2024","Glutamicibacter arilaitensis KLBMP5180"
"gar","AOZ07_00045","K14218","tRNA-Ala","tRNA Ala","0.0060","0.2024","Glutamicibacter arilaitensis KLBMP5180"
"gar","AOZ07_00050","K14218","tRNA-Ala","tRNA Ala","0.0060","0.2024","Glutamicibacter arilaitensis KLBMP5180"
"gar","AOZ07_00075","K03767","PPIA","peptidyl-prolyl cis-trans isomerase A (cyclophilin A)","0.0000 ","0.0178","Glutamicibacter arilaitensis KLBMP5180"
"gar","AOZ07_00110","K01664","pabA","para-aminobenzoate synthetase component II","0.0024","0.1645","Glutamicibacter arilaitensis KLBMP5180"
"gar","AOZ07_00125","K05364","pbpA","penicillin-binding protein A","0.0000 ","0.0344","Glutamicibacter arilaitensis KLBMP5180"
"gar","AOZ07_00150","K14228","tRNA-Leu","tRNA Leu","0.0060","0.2024","Glutamicibacter arilaitensis KLBMP5180"
"gar","AOZ07_00165","K01239","iunH","purine nucleosidase","0.0221","0.0143","Glutamicibacter arilaitensis KLBMP5180"
"gar","AOZ07_00170","K01061","E3.1.1.45","carboxymethylenebutenolidase","0.0000 ","0.0000 ","Glutamicibacter arilaitensis KLBMP5180"
"gar","AOZ07_00185","K01715","crt","enoyl-CoA hydratase","0.0241","0.0208","Glutamicibacter arilaitensis KLBMP5180"
"gar","AOZ07_00195","K00847","E2.7.1.4, scrK","fructokinase","0.0013","0.0090","Glutamicibacter arilaitensis KLBMP5180"
"gar","AOZ07_00205","K01126","E3.1.4.46, glpQ, ugpQ","glycerophosphoryl diester phosphodiesterase","0.0000 ","0.0333","Glutamicibacter arilaitensis KLBMP5180"
"gar","AOZ07_00285","K05342","E2.4.1.64","alpha,alpha-trehalose phosphorylase","0.0544","0.0078","Glutamicibacter arilaitensis KLBMP5180"
"gar","AOZ07_00300","K00941","thiD","hydroxymethylpyrimidine/phosphomethylpyrimidine kinase","0.1238","0.1645","Glutamicibacter arilaitensis KLBMP5180"
"gar","AOZ07_00305","K00788","thiE","thiamine-phosphate pyrophosphorylase","0.1443","0.1297","Glutamicibacter arilaitensis KLBMP5180"
"gar","AOZ07_00310","K00878","thiM","hydroxyethylthiazole kinase","0.0000 ","0.0811","Glutamicibacter arilaitensis KLBMP5180"
