"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"mbo","BQ2027_FADD15","K01897","ACSL, fadD","long-chain acyl-CoA synthetase","0.0000 ","0.0000 ","Mycobacterium bovis AF2122/97"
"mbo","BQ2027_MB0001","K02313","dnaA","chromosomal replication initiator protein","0.5800","0.2130","Mycobacterium bovis AF2122/97"
"mbo","BQ2027_MB0002","K02338","DPO3B, dnaN","DNA polymerase III subunit beta","0.8789","0.9703","Mycobacterium bovis AF2122/97"
"mbo","BQ2027_MB0003","K03629","recF","DNA replication and repair protein RecF","0.0047","0.0420","Mycobacterium bovis AF2122/97"
"mbo","BQ2027_MB0009","K03767","PPIA","peptidyl-prolyl cis-trans isomerase A (cyclophilin A)","0.0000 ","0.0178","Mycobacterium bovis AF2122/97"
"mbo","BQ2027_MB0013","K01664","pabA","para-aminobenzoate synthetase component II","0.0024","0.1645","Mycobacterium bovis AF2122/97"
"mbo","BQ2027_MB0016C","K05364","pbpA","penicillin-binding protein A","0.0000 ","0.0344","Mycobacterium bovis AF2122/97"
"mbo","BQ2027_MB0021C","K00459","ncd2, npd","nitronate monooxygenase","0.0017","0.1220","Mycobacterium bovis AF2122/97"
"mbo","BQ2027_MB0033","K00652","bioF","8-amino-7-oxononanoate synthase","0.0414","0.0827","Mycobacterium bovis AF2122/97"
"mbo","BQ2027_MB0042","K01869","LARS, leuS","leucyl-tRNA synthetase","0.6103","0.5347","Mycobacterium bovis AF2122/97"
"mbo","BQ2027_MB0047C","K01858","INO1, ISYNA1","myo-inositol-1-phosphate synthase","0.0080","0.0008","Mycobacterium bovis AF2122/97"
"mbo","BQ2027_MB0054","K02990","RP-S6, MRPS6, rpsF","small subunit ribosomal protein S6","0.5030","0.5709","Mycobacterium bovis AF2122/97"
"mbo","BQ2027_MB0055","K03111","ssb","single-strand DNA-binding protein","0.4028","0.5247","Mycobacterium bovis AF2122/97"
"mbo","BQ2027_MB0056","K02963","RP-S18, MRPS18, rpsR","small subunit ribosomal protein S18","0.4440","0.5564","Mycobacterium bovis AF2122/97"
"mbo","BQ2027_MB0057","K02939","RP-L9, MRPL9, rplI","large subunit ribosomal protein L9","0.0090","0.3152","Mycobacterium bovis AF2122/97"
"mbo","BQ2027_MB0059","K02314","dnaB","replicative DNA helicase","0.6807","0.7836","Mycobacterium bovis AF2122/97"
"mbo","BQ2027_MB0063","K01179","E3.2.1.4","endoglucanase","0.0044","0.0058","Mycobacterium bovis AF2122/97"
"mbo","BQ2027_MB0067C","K00031","IDH1, IDH2, icd","isocitrate dehydrogenase","0.1443","0.2055","Mycobacterium bovis AF2122/97"
"mbo","BQ2027_MB0070C","K01752","E4.3.1.17, sdaA, sdaB, tdcG","L-serine dehydratase","0.1877","0.2699","Mycobacterium bovis AF2122/97"
"mbo","BQ2027_MB0071C","K00600","glyA, SHMT","glycine hydroxymethyltransferase","0.3164","0.4597","Mycobacterium bovis AF2122/97"
"mbo","BQ2027_MB0077","K14155","patB, malY","cystathione beta-lyase","0.4044","0.3065","Mycobacterium bovis AF2122/97"
"mbo","BQ2027_MB0094","K01243","mtnN, mtn, pfs","adenosylhomocysteine nucleosidase","0.0429","0.1589","Mycobacterium bovis AF2122/97"
"mbo","BQ2027_MB0108C","K02902","RP-L28, MRPL28, rpmB","large subunit ribosomal protein L28","0.3164","0.5072","Mycobacterium bovis AF2122/97"
"mbo","BQ2027_MB0116","K15856","rmd","GDP-4-dehydro-6-deoxy-D-mannose reductase","0.0000 ","0.0456","Mycobacterium bovis AF2122/97"
"mbo","BQ2027_MB0117","K03271","gmhA, lpcA","D-sedoheptulose 7-phosphate isomerase","0.0472","0.0727","Mycobacterium bovis AF2122/97"
"mbo","BQ2027_MB0118","K03273","gmhB","D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase","0.0875","0.0999","Mycobacterium bovis AF2122/97"
"mbo","BQ2027_MB0119","K07031","hddA","D-glycero-alpha-D-manno-heptose-7-phosphate kinase","0.0000 ","0.0605","Mycobacterium bovis AF2122/97"
"mbo","BQ2027_MB0122C","K01577","oxc","oxalyl-CoA decarboxylase","0.0071","0.0062","Mycobacterium bovis AF2122/97"
"mbo","BQ2027_MB0131","K05343","treS","maltose alpha-D-glucosyltransferase / alpha-amylase","0.0206","0.0080","Mycobacterium bovis AF2122/97"
"mbo","BQ2027_MB0132","K16146","pep2","maltokinase","0.0080","0.0048","Mycobacterium bovis AF2122/97"
"mbo","BQ2027_MB0134C","K18851","fbp","diacylglycerol O-acyltransferase / trehalose O-mycolyltransferase","0.0071","0.0015","Mycobacterium bovis AF2122/97"
"mbo","BQ2027_MB0136C","K00249","ACADM, acd","acyl-CoA dehydrogenase","0.0080","0.0113","Mycobacterium bovis AF2122/97"
"mbo","BQ2027_MB0152","K00128","ALDH","aldehyde dehydrogenase (NAD+)","0.0018","0.0086","Mycobacterium bovis AF2122/97"
"mbo","BQ2027_MB0159C","K00249","ACADM, acd","acyl-CoA dehydrogenase","0.0080","0.0113","Mycobacterium bovis AF2122/97"
"mbo","BQ2027_MB0160","K00324","pntA","NAD(P) transhydrogenase subunit alpha","0.4010","0.3698","Mycobacterium bovis AF2122/97"
"mbo","BQ2027_MB0161","K00324","pntA","NAD(P) transhydrogenase subunit alpha","0.4010","0.3698","Mycobacterium bovis AF2122/97"
"mbo","BQ2027_MB0162","K00325","pntB","NAD(P) transhydrogenase subunit beta","0.4010","0.3698","Mycobacterium bovis AF2122/97"
