"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"pao","Pat9b_0001","K02313","dnaA","chromosomal replication initiator protein","0.5800","0.2130","Pantoea sp. At-9b"
"pao","Pat9b_0002","K02338","DPO3B, dnaN","DNA polymerase III subunit beta","0.8789","0.9703","Pantoea sp. At-9b"
"pao","Pat9b_0003","K03629","recF","DNA replication and repair protein RecF","0.0047","0.0420","Pantoea sp. At-9b"
"pao","Pat9b_0006","K01714","dapA","4-hydroxy-tetrahydrodipicolinate synthase","0.4899","0.3442","Pantoea sp. At-9b"
"pao","Pat9b_0020","K00835","avtA","valine--pyruvate aminotransferase","0.0426","0.0521","Pantoea sp. At-9b"
"pao","Pat9b_0021","K00090","E1.1.1.215","gluconate 2-dehydrogenase","0.0000 ","0.0056","Pantoea sp. At-9b"
"pao","Pat9b_0023","K00874","kdgK","2-dehydro-3-deoxygluconokinase","0.0018","0.0093","Pantoea sp. At-9b"
"pao","Pat9b_0028","K01246","tag","DNA-3-methyladenine glycosylase I","0.0012","0.0100","Pantoea sp. At-9b"
"pao","Pat9b_0031","K02317","dnaT","DNA replication protein DnaT","0.0206","0.0486","Pantoea sp. At-9b"
"pao","Pat9b_0048","K10544","xylH","D-xylose transport system permease protein","0.0000 ","0.0053","Pantoea sp. At-9b"
"pao","Pat9b_0049","K10545","xylG","D-xylose transport system ATP-binding protein","0.0000 ","0.0057","Pantoea sp. At-9b"
"pao","Pat9b_0050","K10543","xylF","D-xylose transport system substrate-binding protein","0.0000 ","0.0053","Pantoea sp. At-9b"
"pao","Pat9b_0051","K01805","xylA","xylose isomerase","0.0000 ","0.0000 ","Pantoea sp. At-9b"
"pao","Pat9b_0052","K00854","xylB, XYLB","xylulokinase","0.0000 ","0.0007","Pantoea sp. At-9b"
"pao","Pat9b_0057","K01466","allB","allantoinase","0.0039","0.0340","Pantoea sp. At-9b"
"pao","Pat9b_0059","K16422","hmo, nocN","4-hydroxymandelate oxidase","0.0000 ","0.0203","Pantoea sp. At-9b"
"pao","Pat9b_0064","K01878","glyQ","glycyl-tRNA synthetase alpha chain","0.4306","0.3913","Pantoea sp. At-9b"
"pao","Pat9b_0065","K01879","glyS","glycyl-tRNA synthetase beta chain","0.6310","0.4651","Pantoea sp. At-9b"
"pao","Pat9b_0069","K01042","selA","L-seryl-tRNA(Ser) seleniumtransferase","0.0000 ","0.1409","Pantoea sp. At-9b"
"pao","Pat9b_0072","K00127","fdoI","formate dehydrogenase subunit gamma","0.0000 ","0.0000 ","Pantoea sp. At-9b"
"pao","Pat9b_0073","K00124","fdoH","formate dehydrogenase iron-sulfur subunit","0.0000 ","0.0004","Pantoea sp. At-9b"
"pao","Pat9b_0074","K00123","fdoG, fdfH","formate dehydrogenase major subunit","0.0000 ","0.0001","Pantoea sp. At-9b"
"pao","Pat9b_0075","K00123","fdoG, fdfH","formate dehydrogenase major subunit","0.0000 ","0.0001","Pantoea sp. At-9b"
"pao","Pat9b_0085","K00009","mtlD","mannitol-1-phosphate 5-dehydrogenase","0.0000 ","0.0002","Pantoea sp. At-9b"
"pao","Pat9b_0086","K02798","PTS-Mtl-EIIA, mtlA, cmtB","PTS system, mannitol-specific IIA component","0.0000 ","0.0042","Pantoea sp. At-9b"
"pao","Pat9b_0089","K00681","ggt","gamma-glutamyltranspeptidase / glutathione hydrolase","0.0013","0.0125","Pantoea sp. At-9b"
"pao","Pat9b_0090","K02034","ABC.PE.P1","peptide/nickel transport system permease protein","0.0075","0.0026","Pantoea sp. At-9b"
"pao","Pat9b_0091","K02033","ABC.PE.P","peptide/nickel transport system permease protein","0.0016","0.0026","Pantoea sp. At-9b"
"pao","Pat9b_0092","K02035","ABC.PE.S","peptide/nickel transport system substrate-binding protein","0.0016","0.0015","Pantoea sp. At-9b"
"pao","Pat9b_0093","K02032","ABC.PE.A1","peptide/nickel transport system ATP-binding protein","0.0000 ","0.0004","Pantoea sp. At-9b"
"pao","Pat9b_0094","K02031","ABC.PE.A","peptide/nickel transport system ATP-binding protein","0.0000 ","0.0004","Pantoea sp. At-9b"
"pao","Pat9b_0101","K01941","E6.3.4.6","urea carboxylase","0.0000 ","0.0000 ","Pantoea sp. At-9b"
"pao","Pat9b_0106","K12975","eptB","KDO II ethanolaminephosphotransferase","0.0000 ","0.1105","Pantoea sp. At-9b"
"pao","Pat9b_0107","K12368","dppA","dipeptide transport system substrate-binding protein","0.0000 ","0.0027","Pantoea sp. At-9b"
"pao","Pat9b_0108","K12369","dppB","dipeptide transport system permease protein","0.0000 ","0.0075","Pantoea sp. At-9b"
"pao","Pat9b_0109","K12370","dppC","dipeptide transport system permease protein","0.0000 ","0.0075","Pantoea sp. At-9b"
"pao","Pat9b_0110","K12371","dppD","dipeptide transport system ATP-binding protein","0.0026","0.0072","Pantoea sp. At-9b"
"pao","Pat9b_0111","K12372","dppF","dipeptide transport system ATP-binding protein","0.0026","0.0072","Pantoea sp. At-9b"
"pao","Pat9b_0114","K00694","bcsA","cellulose synthase (UDP-forming)","0.0035","0.0047","Pantoea sp. At-9b"
"pao","Pat9b_0122","K00694","bcsA","cellulose synthase (UDP-forming)","0.0035","0.0047","Pantoea sp. At-9b"
"pao","Pat9b_0129","K11103","dctA","aerobic C4-dicarboxylate transport protein","0.0016","0.0023","Pantoea sp. At-9b"
"pao","Pat9b_0132","K00874","kdgK","2-dehydro-3-deoxygluconokinase","0.0018","0.0093","Pantoea sp. At-9b"
"pao","Pat9b_0138","K01524","ppx-gppA","exopolyphosphatase / guanosine-5-triphosphate,3-diphosphate pyrophosphatase","0.0111","0.0535","Pantoea sp. At-9b"
"pao","Pat9b_0139","K03732","rhlB","ATP-dependent RNA helicase RhlB","0.0026","0.0313","Pantoea sp. At-9b"
"pao","Pat9b_0141","K03628","rho","transcription termination factor Rho","0.2427","0.1615","Pantoea sp. At-9b"
"pao","Pat9b_0144","K01791","wecB","UDP-N-acetylglucosamine 2-epimerase (non-hydrolysing)","0.0075","0.0070","Pantoea sp. At-9b"
"pao","Pat9b_0145","K02472","wecC","UDP-N-acetyl-D-mannosaminuronic acid dehydrogenase","0.0000 ","0.0056","Pantoea sp. At-9b"
"pao","Pat9b_0153","K02496","hemX","uroporphyrin-III C-methyltransferase","0.0221","0.0383","Pantoea sp. At-9b"
"pao","Pat9b_0154","K01719","hemD, UROS","uroporphyrinogen-III synthase","0.3727","0.2247","Pantoea sp. At-9b"
"pao","Pat9b_0155","K01749","hemC, HMBS","hydroxymethylbilane synthase","0.4471","0.2333","Pantoea sp. At-9b"
"pao","Pat9b_0157","K05851","cyaA","adenylate cyclase, class 1","0.0031","0.0048","Pantoea sp. At-9b"
"pao","Pat9b_0159","K01778","dapF","diaminopimelate epimerase","0.3297","0.2269","Pantoea sp. At-9b"
"pao","Pat9b_0162","K20862","yigB","FMN hydrolase / 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase","0.5680","0.1942","Pantoea sp. At-9b"
"pao","Pat9b_0163","K03657","uvrD, pcrA","DNA helicase II / ATP-dependent DNA helicase PcrA","0.0351","0.0917","Pantoea sp. At-9b"
"pao","Pat9b_0168","K01058","pldA","phospholipase A1","0.0000 ","0.0000 ","Pantoea sp. At-9b"
"pao","Pat9b_0169","K03654","recQ","ATP-dependent DNA helicase RecQ","0.0014","0.0359","Pantoea sp. At-9b"
"pao","Pat9b_0172","K01048","pldB","lysophospholipase","0.0022","0.0366","Pantoea sp. At-9b"
"pao","Pat9b_0177","K00549","metE","5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase","0.0429","0.1899","Pantoea sp. At-9b"
"pao","Pat9b_0178","K01061","E3.1.1.45","carboxymethylenebutenolidase","0.0000 ","0.0000 ","Pantoea sp. At-9b"
"pao","Pat9b_0179","K00757","udp, UPP","uridine phosphorylase","0.0022","0.0267","Pantoea sp. At-9b"
"pao","Pat9b_0182","K03183","ubiE","demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase","0.3865","0.2014","Pantoea sp. At-9b"
"pao","Pat9b_0185","K03116","tatA","sec-independent protein translocase protein TatA","0.0206","0.0739","Pantoea sp. At-9b"
"pao","Pat9b_0186","K03117","tatB","sec-independent protein translocase protein TatB","0.0131","0.0739","Pantoea sp. At-9b"
"pao","Pat9b_0187","K03118","tatC","sec-independent protein translocase protein TatC","0.0584","0.1144","Pantoea sp. At-9b"
"pao","Pat9b_0191","K03182","ubiD","4-hydroxy-3-polyprenylbenzoate decarboxylase","0.1083","0.0771","Pantoea sp. At-9b"
"pao","Pat9b_0192","K05368","fre, ubiB","aquacobalamin reductase / NAD(P)H-flavin reductase","0.0035","0.0048","Pantoea sp. At-9b"
"pao","Pat9b_0193","K00632","fadA, fadI","acetyl-CoA acyltransferase","0.0067","0.0198","Pantoea sp. At-9b"
"pao","Pat9b_0194","K01825","fadB","3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase / enoyl-CoA isomerase","0.0106","0.0147","Pantoea sp. At-9b"
"pao","Pat9b_0198","K00230","hemG","menaquinone-dependent protoporphyrinogen oxidase","0.1270","0.0403","Pantoea sp. At-9b"
"pao","Pat9b_0199","K00075","murB","UDP-N-acetylmuramate dehydrogenase","0.7026","0.7608","Pantoea sp. At-9b"
"pao","Pat9b_0200","K03524","birA","BirA family transcriptional regulator, biotin operon repressor / biotin-[acetyl-CoA-carboxylase] ligase","0.5498","0.3672","Pantoea sp. At-9b"
"pao","Pat9b_0201","K00867","coaA","type I pantothenate kinase","0.5073","0.3107","Pantoea sp. At-9b"
"pao","Pat9b_0204","K03073","secE","preprotein translocase subunit SecE","0.5987","0.5577","Pantoea sp. At-9b"
"pao","Pat9b_0206","K02867","RP-L11, MRPL11, rplK","large subunit ribosomal protein L11","0.5327","0.5955","Pantoea sp. At-9b"
"pao","Pat9b_0207","K02863","RP-L1, MRPL1, rplA","large subunit ribosomal protein L1","0.4306","0.5610","Pantoea sp. At-9b"
"pao","Pat9b_0208","K02864","RP-L10, MRPL10, rplJ","large subunit ribosomal protein L10","0.5800","0.6162","Pantoea sp. At-9b"
"pao","Pat9b_0209","K02935","RP-L7, MRPL12, rplL","large subunit ribosomal protein L7/L12","0.6601","0.6651","Pantoea sp. At-9b"
"pao","Pat9b_0210","K03043","rpoB","DNA-directed RNA polymerase subunit beta","0.9384","0.8359","Pantoea sp. At-9b"
"pao","Pat9b_0211","K03046","rpoC","DNA-directed RNA polymerase subunit beta","0.9384","0.8387","Pantoea sp. At-9b"
