"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"tpq","TCP_004","K02968","RP-S20, rpsT","small subunit ribosomal protein S20","0.2265","0.4557","Candidatus Tremblaya princeps PCVAL"
"tpq","TCP_006","K02871","RP-L13, MRPL13, rplM","large subunit ribosomal protein L13","0.7119","0.6883","Candidatus Tremblaya princeps PCVAL"
"tpq","TCP_007","K02996","RP-S9, MRPS9, rpsI","small subunit ribosomal protein S9","0.5166","0.6003","Candidatus Tremblaya princeps PCVAL"
"tpq","TCP_009","K01687","ilvD","dihydroxy-acid dehydratase","0.0429","0.0806","Candidatus Tremblaya princeps PCVAL"
"tpq","TCP_010","K14219","tRNA-Arg","tRNA Arg","0.0000 ","0.2024","Candidatus Tremblaya princeps PCVAL"
"tpq","TCP_013","K14170","pheA","chorismate mutase / prephenate dehydratase","0.1083","0.1017","Candidatus Tremblaya princeps PCVAL"
"tpq","TCP_014","K00800","aroA","3-phosphoshikimate 1-carboxyvinyltransferase","0.1299","0.1579","Candidatus Tremblaya princeps PCVAL"
"tpq","TCP_015","K02945","RP-S1, rpsA","small subunit ribosomal protein S1","0.3635","0.5201","Candidatus Tremblaya princeps PCVAL"
"tpq","TCP_016","K02959","RP-S16, MRPS16, rpsP","small subunit ribosomal protein S16","0.3752","0.5158","Candidatus Tremblaya princeps PCVAL"
"tpq","TCP_017","K02884","RP-L19, MRPL19, rplS","large subunit ribosomal protein L19","0.3906","0.5424","Candidatus Tremblaya princeps PCVAL"
"tpq","TCP_018","K00297","metF, MTHFR","methylenetetrahydrofolate reductase (NADPH)","0.0012","0.0130","Candidatus Tremblaya princeps PCVAL"
"tpq","TCP_019","K14233","tRNA-Ser","tRNA Ser","0.0000 ","0.2024","Candidatus Tremblaya princeps PCVAL"
"tpq","TCP_020","K14237","tRNA-Val","tRNA Val","0.0060","0.2024","Candidatus Tremblaya princeps PCVAL"
"tpq","TCP_023","K04077","groEL, HSPD1","chaperonin GroEL","0.4440","0.5638","Candidatus Tremblaya princeps PCVAL"
"tpq","TCP_025","K02337","DPO3A1, dnaE","DNA polymerase III subunit alpha","0.9384","0.7471","Candidatus Tremblaya princeps PCVAL"
"tpq","TCP_026","K01652","E2.2.1.6L, ilvB, ilvG, ilvI","acetolactate synthase I/II/III large subunit","0.0184","0.0311","Candidatus Tremblaya princeps PCVAL"
"tpq","TCP_027","K00053","ilvC","ketol-acid reductoisomerase","0.0563","0.1147","Candidatus Tremblaya princeps PCVAL"
"tpq","TCP_028","K01649","leuA, IMS","2-isopropylmalate synthase","0.0107","0.0293","Candidatus Tremblaya princeps PCVAL"
"tpq","TCP_029","K02956","RP-S15, MRPS15, rpsO","small subunit ribosomal protein S15","0.2910","0.4866","Candidatus Tremblaya princeps PCVAL"
"tpq","TCP_030","K01977","16SrRNA, rrs","16S ribosomal RNA","0.0000 ","0.3104","Candidatus Tremblaya princeps PCVAL"
"tpq","TCP_031","K01980","23SrRNA, rrl","23S ribosomal RNA","0.0000 ","0.3104","Candidatus Tremblaya princeps PCVAL"
"tpq","TCP_032","K01985","5SrRNA, rrf","5S ribosomal RNA","0.0060","0.3104","Candidatus Tremblaya princeps PCVAL"
"tpq","TCP_034","K02899","RP-L27, MRPL27, rpmA","large subunit ribosomal protein L27","0.3906","0.5424","Candidatus Tremblaya princeps PCVAL"
"tpq","TCP_035","K02342","DPO3E, dnaQ","DNA polymerase III subunit epsilon","0.8212","0.6494","Candidatus Tremblaya princeps PCVAL"
"tpq","TCP_040","K02909","RP-L31, rpmE","large subunit ribosomal protein L31","0.1218","0.4008","Candidatus Tremblaya princeps PCVAL"
"tpq","TCP_041","K01733","thrC","threonine synthase","0.1110","0.1922","Candidatus Tremblaya princeps PCVAL"
"tpq","TCP_042","K00003","E1.1.1.3","homoserine dehydrogenase","0.1029","0.1079","Candidatus Tremblaya princeps PCVAL"
"tpq","TCP_043","K02314","dnaB","replicative DNA helicase","0.6807","0.7836","Candidatus Tremblaya princeps PCVAL"
"tpq","TCP_044","K02939","RP-L9, MRPL9, rplI","large subunit ribosomal protein L9","0.0090","0.3152","Candidatus Tremblaya princeps PCVAL"
"tpq","TCP_045","K02963","RP-S18, MRPS18, rpsR","small subunit ribosomal protein S18","0.4440","0.5564","Candidatus Tremblaya princeps PCVAL"
"tpq","TCP_046","K02990","RP-S6, MRPS6, rpsF","small subunit ribosomal protein S6","0.5030","0.5709","Candidatus Tremblaya princeps PCVAL"
"tpq","TCP_048","K02887","RP-L20, MRPL20, rplT","large subunit ribosomal protein L20","0.4873","0.5756","Candidatus Tremblaya princeps PCVAL"
"tpq","TCP_049","K02916","RP-L35, MRPL35, rpmI","large subunit ribosomal protein L35","0.3752","0.5158","Candidatus Tremblaya princeps PCVAL"
"tpq","TCP_051","K14227","tRNA-Ile","tRNA Ile","0.0000 ","0.2024","Candidatus Tremblaya princeps PCVAL"
"tpq","TCP_052","K01736","aroC","chorismate synthase","0.1496","0.1733","Candidatus Tremblaya princeps PCVAL"
"tpq","TCP_054","K02967","RP-S2, MRPS2, rpsB","small subunit ribosomal protein S2","0.4440","0.5564","Candidatus Tremblaya princeps PCVAL"
"tpq","TCP_055","K00674","dapD","2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase","0.3434","0.1480","Candidatus Tremblaya princeps PCVAL"
"tpq","TCP_056","K14224","tRNA-Glu","tRNA Glu","0.0000 ","0.2024","Candidatus Tremblaya princeps PCVAL"
"tpq","TCP_057","K00928","lysC","aspartate kinase","0.3479","0.4527","Candidatus Tremblaya princeps PCVAL"
"tpq","TCP_059","K14218","tRNA-Ala","tRNA Ala","0.0060","0.2024","Candidatus Tremblaya princeps PCVAL"
"tpq","TCP_060","K14229","tRNA-Lys","tRNA Lys","0.0060","0.2024","Candidatus Tremblaya princeps PCVAL"
"tpq","TCP_062","K00766","trpD","anthranilate phosphoribosyltransferase","0.0503","0.0927","Candidatus Tremblaya princeps PCVAL"
"tpq","TCP_063","K02902","RP-L28, MRPL28, rpmB","large subunit ribosomal protein L28","0.3164","0.5072","Candidatus Tremblaya princeps PCVAL"
"tpq","TCP_064","K02913","RP-L33, MRPL33, rpmG","large subunit ribosomal protein L33","0.0687","0.3611","Candidatus Tremblaya princeps PCVAL"
"tpq","TCP_066","K01714","dapA","4-hydroxy-tetrahydrodipicolinate synthase","0.4899","0.3442","Candidatus Tremblaya princeps PCVAL"
"tpq","TCP_069","K04487","iscS, NFS1","cysteine desulfurase","0.4010","0.3030","Candidatus Tremblaya princeps PCVAL"
"tpq","TCP_071","K14230","tRNA-Met","tRNA Met","0.0000 ","0.2024","Candidatus Tremblaya princeps PCVAL"
"tpq","TCP_075","K02343","DPO3G, dnaX","DNA polymerase III subunit gamma/tau","0.9384","0.9971","Candidatus Tremblaya princeps PCVAL"
