"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"acis","CBP35_00005","K02313","dnaA","chromosomal replication initiator protein","0.5800","0.2130","Acidovorax sp. P3"
"acis","CBP35_00010","K02914","RP-L34, MRPL34, rpmH","large subunit ribosomal protein L34","0.3752","0.5158","Acidovorax sp. P3"
"acis","CBP35_00025","K03217","yidC, spoIIIJ, OXA1, ccfA","YidC/Oxa1 family membrane protein insertase","0.5327","0.5418","Acidovorax sp. P3"
"acis","CBP35_00030","K02035","ABC.PE.S","peptide/nickel transport system substrate-binding protein","0.0016","0.0015","Acidovorax sp. P3"
"acis","CBP35_00065","K06041","kdsD, kpsF","arabinose-5-phosphate isomerase","0.3297","0.1914","Acidovorax sp. P3"
"acis","CBP35_00070","K03270","kdsC","3-deoxy-D-manno-octulosonate 8-phosphate phosphatase (KDO 8-P phosphatase)","0.2316","0.1497","Acidovorax sp. P3"
"acis","CBP35_00100","K00641","metX","homoserine O-acetyltransferase","0.0342","0.0381","Acidovorax sp. P3"
"acis","CBP35_00110","K05875","tar","methyl-accepting chemotaxis protein II, aspartate sensor receptor","0.0000 ","0.0042","Acidovorax sp. P3"
"acis","CBP35_00170","K03186","ubiX, bsdB, PAD1","flavin prenyltransferase","0.0788","0.0786","Acidovorax sp. P3"
"acis","CBP35_00175","K03182","ubiD","4-hydroxy-3-polyprenylbenzoate decarboxylase","0.1083","0.0771","Acidovorax sp. P3"
"acis","CBP35_00185","K00145","argC","N-acetyl-gamma-glutamyl-phosphate reductase","0.0463","0.0630","Acidovorax sp. P3"
"acis","CBP35_00195","K01902","sucD","succinyl-CoA synthetase alpha subunit","0.0631","0.0742","Acidovorax sp. P3"
"acis","CBP35_00220","K02650","pilA","type IV pilus assembly protein PilA","0.0000 ","0.0008","Acidovorax sp. P3"
"acis","CBP35_00230","K03637","moaC, CNX3","cyclic pyranopterin monophosphate synthase","0.0064","0.0241","Acidovorax sp. P3"
"acis","CBP35_00270","K01756","purB, ADSL","adenylosuccinate lyase","0.2660","0.2990","Acidovorax sp. P3"
"acis","CBP35_00275","K00799","GST, gst","glutathione S-transferase","0.0402","0.0384","Acidovorax sp. P3"
"acis","CBP35_00320","K00432","gpx","glutathione peroxidase","0.0000 ","0.0000 ","Acidovorax sp. P3"
"acis","CBP35_00345","K11711","dctS","two-component system, LuxR family, sensor histidine kinase DctS","0.0000 ","0.0210","Acidovorax sp. P3"
"acis","CBP35_00350","K11712","dctR","two-component system, LuxR family, response regulator DctR","0.0000 ","0.0007","Acidovorax sp. P3"
"acis","CBP35_00380","K03210","yajC","preprotein translocase subunit YajC","0.1110","0.3272","Acidovorax sp. P3"
"acis","CBP35_00385","K03072","secD","preprotein translocase subunit SecD","0.3583","0.2073","Acidovorax sp. P3"
"acis","CBP35_00390","K03074","secF","preprotein translocase subunit SecF","0.2743","0.1805","Acidovorax sp. P3"
"acis","CBP35_00435","K00927","PGK, pgk","phosphoglycerate kinase","0.3906","0.5214","Acidovorax sp. P3"
"acis","CBP35_00440","K01591","pyrF","orotidine-5-phosphate decarboxylase","0.0665","0.1970","Acidovorax sp. P3"
"acis","CBP35_00460","K03701","uvrA","excinuclease ABC subunit A","0.0009","0.0194","Acidovorax sp. P3"
"acis","CBP35_00485","K00558","DNMT1, dcm","DNA (cytosine-5)-methyltransferase 1","0.1370","0.1102","Acidovorax sp. P3"
"acis","CBP35_00490","K00566","mnmA, trmU","tRNA-uridine 2-sulfurtransferase","0.5166","0.3627","Acidovorax sp. P3"
"acis","CBP35_00530","K00020","mmsB, HIBADH","3-hydroxyisobutyrate dehydrogenase","0.0000 ","0.0024","Acidovorax sp. P3"
