"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"sbm","Shew185_0001","K02313","dnaA","chromosomal replication initiator protein","0.5800","0.2130","Shewanella baltica OS185"
"sbm","Shew185_0002","K02338","DPO3B, dnaN","DNA polymerase III subunit beta","0.8789","0.9703","Shewanella baltica OS185"
"sbm","Shew185_0003","K03629","recF","DNA replication and repair protein RecF","0.0047","0.0420","Shewanella baltica OS185"
"sbm","Shew185_0005","K00799","GST, gst","glutathione S-transferase","0.0402","0.0384","Shewanella baltica OS185"
"sbm","Shew185_0008","K01879","glyS","glycyl-tRNA synthetase beta chain","0.6310","0.4651","Shewanella baltica OS185"
"sbm","Shew185_0009","K01878","glyQ","glycyl-tRNA synthetase alpha chain","0.4306","0.3913","Shewanella baltica OS185"
"sbm","Shew185_0010","K01246","tag","DNA-3-methyladenine glycosylase I","0.0012","0.0100","Shewanella baltica OS185"
"sbm","Shew185_0013","K04085","tusA, sirA","tRNA 2-thiouridine synthesizing protein A","0.0342","0.0693","Shewanella baltica OS185"
"sbm","Shew185_0015","K00632","fadA, fadI","acetyl-CoA acyltransferase","0.0067","0.0198","Shewanella baltica OS185"
"sbm","Shew185_0016","K01825","fadB","3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase / enoyl-CoA isomerase","0.0106","0.0147","Shewanella baltica OS185"
"sbm","Shew185_0020","K00230","hemG","menaquinone-dependent protoporphyrinogen oxidase","0.1270","0.0403","Shewanella baltica OS185"
"sbm","Shew185_0022","K00230","hemG","menaquinone-dependent protoporphyrinogen oxidase","0.1270","0.0403","Shewanella baltica OS185"
"sbm","Shew185_0026","K00604","MTFMT, fmt","methionyl-tRNA formyltransferase","0.5166","0.6569","Shewanella baltica OS185"
"sbm","Shew185_0033","K00228","CPOX, hemF","coproporphyrinogen III oxidase","0.3618","0.1531","Shewanella baltica OS185"
"sbm","Shew185_0035","K00014","aroE","shikimate dehydrogenase","0.1039","0.1242","Shewanella baltica OS185"
"sbm","Shew185_0043","K15633","gpmI","2,3-bisphosphoglycerate-independent phosphoglycerate mutase","0.4153","0.4448","Shewanella baltica OS185"
"sbm","Shew185_0045","K03071","secB","preprotein translocase subunit SecB","0.0016","0.2412","Shewanella baltica OS185"
"sbm","Shew185_0046","K00057","gpsA","glycerol-3-phosphate dehydrogenase (NAD(P)+)","0.2265","0.0904","Shewanella baltica OS185"
"sbm","Shew185_0051","K07667","kdpE","two-component system, OmpR family, KDP operon response regulator KdpE","0.0000 ","0.0024","Shewanella baltica OS185"
"sbm","Shew185_0061","K00690","E2.4.1.7","sucrose phosphorylase","0.0000 ","0.0080","Shewanella baltica OS185"
