"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"mtul","TBHG_00001","K02313","dnaA","chromosomal replication initiator protein","0.5800","0.2130","Mycobacterium tuberculosis Haarlem"
"mtul","TBHG_00002","K02338","DPO3B, dnaN","DNA polymerase III subunit beta","0.8789","0.9703","Mycobacterium tuberculosis Haarlem"
"mtul","TBHG_00003","K03629","recF","DNA replication and repair protein RecF","0.0047","0.0420","Mycobacterium tuberculosis Haarlem"
"mtul","TBHG_00009","K03767","PPIA","peptidyl-prolyl cis-trans isomerase A (cyclophilin A)","0.0000 ","0.0178","Mycobacterium tuberculosis Haarlem"
"mtul","TBHG_00013","K01664","pabA","para-aminobenzoate synthetase component II","0.0024","0.1645","Mycobacterium tuberculosis Haarlem"
"mtul","TBHG_00016","K05364","pbpA","penicillin-binding protein A","0.0000 ","0.0344","Mycobacterium tuberculosis Haarlem"
"mtul","TBHG_00021","K00459","ncd2, npd","nitronate monooxygenase","0.0017","0.1220","Mycobacterium tuberculosis Haarlem"
"mtul","TBHG_00032","K00652","bioF","8-amino-7-oxononanoate synthase","0.0414","0.0827","Mycobacterium tuberculosis Haarlem"
"mtul","TBHG_00041","K01869","LARS, leuS","leucyl-tRNA synthetase","0.6103","0.5347","Mycobacterium tuberculosis Haarlem"
"mtul","TBHG_00046","K01858","INO1, ISYNA1","myo-inositol-1-phosphate synthase","0.0080","0.0008","Mycobacterium tuberculosis Haarlem"
"mtul","TBHG_00053","K02990","RP-S6, MRPS6, rpsF","small subunit ribosomal protein S6","0.5030","0.5709","Mycobacterium tuberculosis Haarlem"
"mtul","TBHG_00054","K03111","ssb","single-strand DNA-binding protein","0.4028","0.5247","Mycobacterium tuberculosis Haarlem"
"mtul","TBHG_00055","K02963","RP-S18, MRPS18, rpsR","small subunit ribosomal protein S18","0.4440","0.5564","Mycobacterium tuberculosis Haarlem"
"mtul","TBHG_00056","K02939","RP-L9, MRPL9, rplI","large subunit ribosomal protein L9","0.0090","0.3152","Mycobacterium tuberculosis Haarlem"
"mtul","TBHG_00058","K02314","dnaB","replicative DNA helicase","0.6807","0.7836","Mycobacterium tuberculosis Haarlem"
"mtul","TBHG_00062","K01179","E3.2.1.4","endoglucanase","0.0044","0.0058","Mycobacterium tuberculosis Haarlem"
"mtul","TBHG_00066","K00031","IDH1, IDH2, icd","isocitrate dehydrogenase","0.1443","0.2055","Mycobacterium tuberculosis Haarlem"
"mtul","TBHG_00069","K01752","E4.3.1.17, sdaA, sdaB, tdcG","L-serine dehydratase","0.1877","0.2699","Mycobacterium tuberculosis Haarlem"
"mtul","TBHG_00070","K00600","glyA, SHMT","glycine hydroxymethyltransferase","0.3164","0.4597","Mycobacterium tuberculosis Haarlem"
"mtul","TBHG_00075","K14155","patB, malY","cystathione beta-lyase","0.4044","0.3065","Mycobacterium tuberculosis Haarlem"
"mtul","TBHG_00092","K01243","mtnN, mtn, pfs","adenosylhomocysteine nucleosidase","0.0429","0.1589","Mycobacterium tuberculosis Haarlem"
