"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"wfu","AXE80_00005","K00655","plsC","1-acyl-sn-glycerol-3-phosphate acyltransferase","0.7119","0.5099","Wenyingzhuangia fucanilytica"
"wfu","AXE80_00010","K13566","NIT2","omega-amidase","0.0000 ","0.0412","Wenyingzhuangia fucanilytica"
"wfu","AXE80_00020","K00057","gpsA","glycerol-3-phosphate dehydrogenase (NAD(P)+)","0.2265","0.0904","Wenyingzhuangia fucanilytica"
"wfu","AXE80_00030","K01889","FARSA, pheS","phenylalanyl-tRNA synthetase alpha chain","0.6601","0.5571","Wenyingzhuangia fucanilytica"
"wfu","AXE80_00050","K00262","E1.4.1.4, gdhA","glutamate dehydrogenase (NADP+)","0.2743","0.2224","Wenyingzhuangia fucanilytica"
"wfu","AXE80_00070","K11927","rhlE","ATP-dependent RNA helicase RhlE","0.0000 ","0.0313","Wenyingzhuangia fucanilytica"
"wfu","AXE80_00095","K02316","dnaG","DNA primase","0.3877","0.2987","Wenyingzhuangia fucanilytica"
"wfu","AXE80_00120","K09812","ftsE","cell division transport system ATP-binding protein","0.1086","0.0737","Wenyingzhuangia fucanilytica"
"wfu","AXE80_00135","K01129","dgt","dGTPase","0.0000 ","0.0331","Wenyingzhuangia fucanilytica"
"wfu","AXE80_00150","K01662","dxs","1-deoxy-D-xylulose-5-phosphate synthase","0.6552","0.5909","Wenyingzhuangia fucanilytica"
"wfu","AXE80_00170","K01126","E3.1.4.46, glpQ, ugpQ","glycerophosphoryl diester phosphodiesterase","0.0000 ","0.0333","Wenyingzhuangia fucanilytica"
"wfu","AXE80_00185","K01876","DARS, aspS","aspartyl-tRNA synthetase","0.6601","0.5571","Wenyingzhuangia fucanilytica"
"wfu","AXE80_00195","K01775","alr","alanine racemase","0.3752","0.4780","Wenyingzhuangia fucanilytica"
"wfu","AXE80_00200","K00857","tdk, TK","thymidine kinase","0.0402","0.0518","Wenyingzhuangia fucanilytica"
"wfu","AXE80_00245","K01880","GARS, glyS1","glycyl-tRNA synthetase","0.0987","0.1960","Wenyingzhuangia fucanilytica"
"wfu","AXE80_00270","K03101","lspA","signal peptidase II","0.2338","0.2223","Wenyingzhuangia fucanilytica"
"wfu","AXE80_00280","K01870","IARS, ileS","isoleucyl-tRNA synthetase","0.7341","0.5753","Wenyingzhuangia fucanilytica"
"wfu","AXE80_00335","K03587","ftsI","cell division protein FtsI (penicillin-binding protein 3)","0.4471","0.0687","Wenyingzhuangia fucanilytica"
"wfu","AXE80_00340","K01928","murE","UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase","0.5681","0.4831","Wenyingzhuangia fucanilytica"
"wfu","AXE80_00345","K01000","mraY","phospho-N-acetylmuramoyl-pentapeptide-transferase","0.6496","0.5029","Wenyingzhuangia fucanilytica"
"wfu","AXE80_00350","K01925","murD","UDP-N-acetylmuramoylalanine--D-glutamate ligase","0.5987","0.7314","Wenyingzhuangia fucanilytica"
"wfu","AXE80_00360","K02563","murG","UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase","0.7026","0.5912","Wenyingzhuangia fucanilytica"
"wfu","AXE80_00365","K01924","murC","UDP-N-acetylmuramate--alanine ligase","0.8149","0.6201","Wenyingzhuangia fucanilytica"
"wfu","AXE80_00425","K01505","E3.5.99.7","1-aminocyclopropane-1-carboxylate deaminase","0.0000 ","0.0131","Wenyingzhuangia fucanilytica"
"wfu","AXE80_00470","K01940","argG, ASS1","argininosuccinate synthase","0.0584","0.1341","Wenyingzhuangia fucanilytica"
"wfu","AXE80_00475","K00145","argC","N-acetyl-gamma-glutamyl-phosphate reductase","0.0463","0.0630","Wenyingzhuangia fucanilytica"
"wfu","AXE80_00480","K00821","argD","acetylornithine/N-succinyldiaminopimelate aminotransferase","0.2629","0.0658","Wenyingzhuangia fucanilytica"
"wfu","AXE80_00505","K00930","argB","acetylglutamate kinase","0.0463","0.0630","Wenyingzhuangia fucanilytica"
"wfu","AXE80_00510","K01438","argE","acetylornithine deacetylase","0.0579","0.0640","Wenyingzhuangia fucanilytica"
"wfu","AXE80_00525","K01755","argH, ASL","argininosuccinate lyase","0.1192","0.1646","Wenyingzhuangia fucanilytica"
"wfu","AXE80_00560","K00382","DLD, lpd, pdhD","dihydrolipoamide dehydrogenase","0.5030","0.4139","Wenyingzhuangia fucanilytica"
"wfu","AXE80_00580","K01657","trpE","anthranilate synthase component I","0.0429","0.0698","Wenyingzhuangia fucanilytica"
"wfu","AXE80_00585","K01658","trpG","anthranilate synthase component II","0.0482","0.0712","Wenyingzhuangia fucanilytica"
"wfu","AXE80_00590","K00766","trpD","anthranilate phosphoribosyltransferase","0.0503","0.0927","Wenyingzhuangia fucanilytica"
"wfu","AXE80_00595","K01609","trpC","indole-3-glycerol phosphate synthase","0.0579","0.0881","Wenyingzhuangia fucanilytica"
"wfu","AXE80_00600","K01817","trpF","phosphoribosylanthranilate isomerase","0.0472","0.0773","Wenyingzhuangia fucanilytica"
"wfu","AXE80_00605","K01696","trpB","tryptophan synthase beta chain","0.0606","0.0979","Wenyingzhuangia fucanilytica"
"wfu","AXE80_00610","K01695","trpA","tryptophan synthase alpha chain","0.0606","0.0979","Wenyingzhuangia fucanilytica"
"wfu","AXE80_00615","K01673","cynT, can","carbonic anhydrase","0.0399","0.0279","Wenyingzhuangia fucanilytica"
"wfu","AXE80_00620","K01673","cynT, can","carbonic anhydrase","0.0399","0.0279","Wenyingzhuangia fucanilytica"
"wfu","AXE80_00635","K01875","SARS, serS","seryl-tRNA synthetase","0.6103","0.5347","Wenyingzhuangia fucanilytica"
"wfu","AXE80_00640","K11753","ribF","riboflavin kinase / FMN adenylyltransferase","0.6293","0.5031","Wenyingzhuangia fucanilytica"
"wfu","AXE80_00650","K02112","ATPF1B, atpD","F-type H+-transporting ATPase subunit beta","0.4028","0.4508","Wenyingzhuangia fucanilytica"
"wfu","AXE80_00655","K02114","ATPF1E, atpC","F-type H+-transporting ATPase subunit epsilon","0.0665","0.2761","Wenyingzhuangia fucanilytica"
"wfu","AXE80_00660","K00652","bioF","8-amino-7-oxononanoate synthase","0.0414","0.0827","Wenyingzhuangia fucanilytica"
"wfu","AXE80_00665","K01935","bioD","dethiobiotin synthetase","0.0414","0.1142","Wenyingzhuangia fucanilytica"
"wfu","AXE80_00670","K00833","bioA","adenosylmethionine---8-amino-7-oxononanoate aminotransferase","0.0190","0.0731","Wenyingzhuangia fucanilytica"
"wfu","AXE80_00690","K02338","DPO3B, dnaN","DNA polymerase III subunit beta","0.8789","0.9703","Wenyingzhuangia fucanilytica"
"wfu","AXE80_00715","K01923","purC","phosphoribosylaminoimidazole-succinocarboxamide synthase","0.0544","0.0920","Wenyingzhuangia fucanilytica"
