"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"cwo","Cwoe_0001","K02313","dnaA","chromosomal replication initiator protein","0.5800","0.2130","Conexibacter woesei"
"cwo","Cwoe_0002","K02338","DPO3B, dnaN","DNA polymerase III subunit beta","0.8789","0.9703","Conexibacter woesei"
"cwo","Cwoe_0003","K03629","recF","DNA replication and repair protein RecF","0.0047","0.0420","Conexibacter woesei"
"cwo","Cwoe_0016","K05364","pbpA","penicillin-binding protein A","0.0000 ","0.0344","Conexibacter woesei"
"cwo","Cwoe_0019","K03563","csrA","carbon storage regulator","0.0770","0.0341","Conexibacter woesei"
"cwo","Cwoe_0021","K02397","flgL","flagellar hook-associated protein 3 FlgL","0.0016","0.0053","Conexibacter woesei"
"cwo","Cwoe_0022","K02396","flgK","flagellar hook-associated protein 1 FlgK","0.0000 ","0.0007","Conexibacter woesei"
"cwo","Cwoe_0025","K02392","flgG","flagellar basal-body rod protein FlgG","0.0000 ","0.0007","Conexibacter woesei"
"cwo","Cwoe_0026","K02392","flgG","flagellar basal-body rod protein FlgG","0.0000 ","0.0007","Conexibacter woesei"
"cwo","Cwoe_0029","K02405","fliA","RNA polymerase sigma factor for flagellar operon FliA","0.0000 ","0.0062","Conexibacter woesei"
"cwo","Cwoe_0032","K02407","fliD","flagellar hook-associated protein 2","0.0000 ","0.0007","Conexibacter woesei"
"cwo","Cwoe_0033","K02422","fliS","flagellar protein FliS","0.0000 ","0.0007","Conexibacter woesei"
"cwo","Cwoe_0035","K02387","flgB","flagellar basal-body rod protein FlgB","0.0000 ","0.0007","Conexibacter woesei"
"cwo","Cwoe_0036","K02388","flgC","flagellar basal-body rod protein FlgC","0.0000 ","0.0007","Conexibacter woesei"
"cwo","Cwoe_0037","K02408","fliE","flagellar hook-basal body complex protein FliE","0.0016","0.0053","Conexibacter woesei"
"cwo","Cwoe_0038","K02409","fliF","flagellar M-ring protein FliF","0.0000 ","0.0013","Conexibacter woesei"
"cwo","Cwoe_0039","K02410","fliG","flagellar motor switch protein FliG","0.0000 ","0.0039","Conexibacter woesei"
"cwo","Cwoe_0040","K02411","fliH","flagellar assembly protein FliH","0.0000 ","0.0007","Conexibacter woesei"
"cwo","Cwoe_0041","K02412","fliI","flagellum-specific ATP synthase","0.0000 ","0.0007","Conexibacter woesei"
"cwo","Cwoe_0045","K02413","fliJ","flagellar FliJ protein","0.0024","0.0037","Conexibacter woesei"
"cwo","Cwoe_0048","K02389","flgD","flagellar basal-body rod modification protein FlgD","0.0000 ","0.0007","Conexibacter woesei"
"cwo","Cwoe_0050","K02390","flgE","flagellar hook protein FlgE","0.0000 ","0.0007","Conexibacter woesei"
"cwo","Cwoe_0052","K02556","motA","chemotaxis protein MotA","0.0000 ","0.0000 ","Conexibacter woesei"
"cwo","Cwoe_0053","K02557","motB","chemotaxis protein MotB","0.0016","0.0085","Conexibacter woesei"
"cwo","Cwoe_0056","K03408","cheW","purine-binding chemotaxis protein CheW","0.0270","0.0084","Conexibacter woesei"
"cwo","Cwoe_0057","K03412","cheB","two-component system, chemotaxis family, response regulator CheB","0.0000 ","0.0034","Conexibacter woesei"
"cwo","Cwoe_0058","K00575","cheR","chemotaxis protein methyltransferase CheR","0.0000 ","0.0032","Conexibacter woesei"
"cwo","Cwoe_0059","K03407","cheA","two-component system, chemotaxis family, sensor kinase CheA","0.0016","0.0078","Conexibacter woesei"
