"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"bvl","BF3285c1_0007","K00102","LDHD, dld","D-lactate dehydrogenase (cytochrome)","0.0000 ","0.0303","Brucella vulpis"
"bvl","BF3285c1_0010","K03657","uvrD, pcrA","DNA helicase II / ATP-dependent DNA helicase PcrA","0.0351","0.0917","Brucella vulpis"
"bvl","BF3285c1_0017","K01972","E6.5.1.2, ligA, ligB","DNA ligase (NAD+)","0.7656","0.6583","Brucella vulpis"
"bvl","BF3285c1_0020","K02535","lpxC","UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase","0.4346","0.2421","Brucella vulpis"
"bvl","BF3285c1_0025","K01921","ddl","D-alanine-D-alanine ligase","0.5987","0.5198","Brucella vulpis"
"bvl","BF3285c1_0026","K00075","murB","UDP-N-acetylmuramate dehydrogenase","0.7026","0.7608","Brucella vulpis"
"bvl","BF3285c1_0027","K01924","murC","UDP-N-acetylmuramate--alanine ligase","0.8149","0.6201","Brucella vulpis"
"bvl","BF3285c1_0028","K02563","murG","UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase","0.7026","0.5912","Brucella vulpis"
"bvl","BF3285c1_0030","K01925","murD","UDP-N-acetylmuramoylalanine--D-glutamate ligase","0.5987","0.7314","Brucella vulpis"
"bvl","BF3285c1_0031","K01000","mraY","phospho-N-acetylmuramoyl-pentapeptide-transferase","0.6496","0.5029","Brucella vulpis"
"bvl","BF3285c1_0032","K01929","murF","UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase","0.7026","0.7733","Brucella vulpis"
"bvl","BF3285c1_0033","K01928","murE","UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase","0.5681","0.4831","Brucella vulpis"
"bvl","BF3285c1_0034","K03587","ftsI","cell division protein FtsI (penicillin-binding protein 3)","0.4471","0.0687","Brucella vulpis"
"bvl","BF3285c1_0047","K00297","metF, MTHFR","methylenetetrahydrofolate reductase (NADPH)","0.0012","0.0130","Brucella vulpis"
"bvl","BF3285c1_0059","K09988","K09988","uncharacterized protein","0.0000 ","0.0063","Brucella vulpis"
"bvl","BF3285c1_0069","K08281","pncA","nicotinamidase/pyrazinamidase","0.0000 ","0.1532","Brucella vulpis"
"bvl","BF3285c1_0073","K01442","E3.5.1.24","choloylglycine hydrolase","0.0029","0.0040","Brucella vulpis"
"bvl","BF3285c1_0076","K14230","tRNA-Met","tRNA Met","0.0000 ","0.2024","Brucella vulpis"
"bvl","BF3285c1_0083","K02316","dnaG","DNA primase","0.3877","0.2987","Brucella vulpis"
"bvl","BF3285c1_0086","K01956","carA, CPA1","carbamoyl-phosphate synthase small subunit","0.4583","0.4389","Brucella vulpis"
