"Org","Gene_Locus","KO_Nbr","Gene_Name","Gene_Function","E_Score","P_Score","Organism"
"csz","CSSP291_00005","K02946","RP-S10, MRPS10, rpsJ","small subunit ribosomal protein S10","0.4873","0.5756","Cronobacter sakazakii Sp291"
"csz","CSSP291_00010","K02906","RP-L3, MRPL3, rplC","large subunit ribosomal protein L3","0.7341","0.6833","Cronobacter sakazakii Sp291"
"csz","CSSP291_00015","K02926","RP-L4, MRPL4, rplD","large subunit ribosomal protein L4","0.6807","0.6601","Cronobacter sakazakii Sp291"
"csz","CSSP291_00020","K02892","RP-L23, MRPL23, rplW","large subunit ribosomal protein L23","0.5987","0.6114","Cronobacter sakazakii Sp291"
"csz","CSSP291_00025","K02886","RP-L2, MRPL2, rplB","large subunit ribosomal protein L2","0.7119","0.6883","Cronobacter sakazakii Sp291"
"csz","CSSP291_00030","K02965","RP-S19, rpsS","small subunit ribosomal protein S19","0.4873","0.5756","Cronobacter sakazakii Sp291"
"csz","CSSP291_00035","K02890","RP-L22, MRPL22, rplV","large subunit ribosomal protein L22","0.4873","0.5756","Cronobacter sakazakii Sp291"
"csz","CSSP291_00040","K02982","RP-S3, rpsC","small subunit ribosomal protein S3","0.7119","0.6883","Cronobacter sakazakii Sp291"
"csz","CSSP291_00045","K02878","RP-L16, MRPL16, rplP","large subunit ribosomal protein L16","0.7119","0.6883","Cronobacter sakazakii Sp291"
"csz","CSSP291_00050","K02904","RP-L29, rpmC","large subunit ribosomal protein L29","0.4873","0.5756","Cronobacter sakazakii Sp291"
"csz","CSSP291_00055","K02961","RP-S17, MRPS17, rpsQ","small subunit ribosomal protein S17","0.4873","0.5756","Cronobacter sakazakii Sp291"
"csz","CSSP291_00060","K02874","RP-L14, MRPL14, rplN","large subunit ribosomal protein L14","0.5166","0.6003","Cronobacter sakazakii Sp291"
"csz","CSSP291_00065","K02895","RP-L24, MRPL24, rplX","large subunit ribosomal protein L24","0.5800","0.6162","Cronobacter sakazakii Sp291"
"csz","CSSP291_00070","K02931","RP-L5, MRPL5, rplE","large subunit ribosomal protein L5","0.7119","0.6883","Cronobacter sakazakii Sp291"
"csz","CSSP291_00075","K02954","RP-S14, MRPS14, rpsN","small subunit ribosomal protein S14","0.5625","0.6211","Cronobacter sakazakii Sp291"
"csz","CSSP291_00080","K02994","RP-S8, rpsH","small subunit ribosomal protein S8","0.6293","0.6378","Cronobacter sakazakii Sp291"
"csz","CSSP291_00085","K02933","RP-L6, MRPL6, rplF","large subunit ribosomal protein L6","0.7656","0.7124","Cronobacter sakazakii Sp291"
"csz","CSSP291_00090","K02881","RP-L18, MRPL18, rplR","large subunit ribosomal protein L18","0.5625","0.6211","Cronobacter sakazakii Sp291"
"csz","CSSP291_00095","K02988","RP-S5, MRPS5, rpsE","small subunit ribosomal protein S5","0.7119","0.6883","Cronobacter sakazakii Sp291"
"csz","CSSP291_00100","K02907","RP-L30, MRPL30, rpmD","large subunit ribosomal protein L30","0.3727","0.4868","Cronobacter sakazakii Sp291"
"csz","CSSP291_00105","K02876","RP-L15, MRPL15, rplO","large subunit ribosomal protein L15","0.5625","0.6211","Cronobacter sakazakii Sp291"
"csz","CSSP291_00110","K03076","secY","preprotein translocase subunit SecY","0.6601","0.6114","Cronobacter sakazakii Sp291"
"csz","CSSP291_00115","K02952","RP-S13, rpsM","small subunit ribosomal protein S13","0.6103","0.6427","Cronobacter sakazakii Sp291"
"csz","CSSP291_00120","K02948","RP-S11, MRPS11, rpsK","small subunit ribosomal protein S11","0.7119","0.6883","Cronobacter sakazakii Sp291"
"csz","CSSP291_00125","K02986","RP-S4, rpsD","small subunit ribosomal protein S4","0.7119","0.6883","Cronobacter sakazakii Sp291"
"csz","CSSP291_00130","K03040","rpoA","DNA-directed RNA polymerase subunit alpha","0.9384","0.8488","Cronobacter sakazakii Sp291"
"csz","CSSP291_00135","K02879","RP-L17, MRPL17, rplQ","large subunit ribosomal protein L17","0.4726","0.5803","Cronobacter sakazakii Sp291"
"csz","CSSP291_00170","K00604","MTFMT, fmt","methionyl-tRNA formyltransferase","0.5166","0.6569","Cronobacter sakazakii Sp291"
"csz","CSSP291_00200","K00014","aroE","shikimate dehydrogenase","0.1039","0.1242","Cronobacter sakazakii Sp291"
"csz","CSSP291_00220","K00651","metA","homoserine O-succinyltransferase","0.0020","0.0081","Cronobacter sakazakii Sp291"
"csz","CSSP291_00225","K01638","aceB, glcB","malate synthase","0.0000 ","0.0000 ","Cronobacter sakazakii Sp291"
"csz","CSSP291_00230","K01637","E4.1.3.1, aceA","isocitrate lyase","0.0000 ","0.0000 ","Cronobacter sakazakii Sp291"
"csz","CSSP291_00245","K00548","metH, MTR","5-methyltetrahydrofolate--homocysteine methyltransferase","0.0551","0.0781","Cronobacter sakazakii Sp291"
"csz","CSSP291_00305","K00928","lysC","aspartate kinase","0.3479","0.4527","Cronobacter sakazakii Sp291"
"csz","CSSP291_00310","K01810","GPI, pgi","glucose-6-phosphate isomerase","0.3262","0.3873","Cronobacter sakazakii Sp291"
"csz","CSSP291_00350","K10110","malG","maltose/maltodextrin transport system permease protein","0.0000 ","0.0053","Cronobacter sakazakii Sp291"
"csz","CSSP291_00355","K10109","malF","maltose/maltodextrin transport system permease protein","0.0000 ","0.0056","Cronobacter sakazakii Sp291"
